GEN.1.1	Kuwaripatjara mulapa Godalu ilkaṟi munu manta palyaṉu uwankara wiyangka. 
DAN.1.1+DAN.1.2	Ngura Jerusalemala aṉangu Jew tjuṯa nyinangi, ka palumpa tjanampa mayatja puḻka ngaṟangi wati ini Tjawakimanya. Ka ngula kuḻi kutjara ngaṟala wiyaringkunyangka wati kutjupa maḻikitja kakaraṟanguṟu tjaultji tjuṯatjara pitjangu ngura ini Papilantanguṟu. Wati paluṟu ini Nipaka-nitjanya ngura Papilanku mayatja puḻka munuya warmaḻa pitjala manta Judah-la wirkanu munuya tawunu panya Jerusalemala para-tjatutjuṟa waṉaṟa aṉangu Jew tjuṯa angatjunu alatjiṯu. Ka Godalu Jew tjuṯa alpamilantja wiyangku wantingu
DAN.1.3+DAN.1.4	Ka Nipaka-nitjaku walingka wati ini Atjapa-natjalu aṉangu waṟkaripai tjuṯa kanyilpai Papilannga nguraṟa tjuṯa. Ka wati nyanga palula Nipaka-nitjalu wangkangu alatji, “Kulila! Kuwariṉa Jew tjuṯa Judah-languṟu ngalya-katingu, ka nyuntu palula tjanalanguṟu wati yangupala tjuṯa ngurkantara tjanampa mayatjaku walytjapitinguṟu. Palu ngurkantara wati yunpa wiṟu tjuṯa, kuṉpu puḻka munu wiṟuṟa kulilpai, nintipuka tjuṯa, pikatjara wiya. Munu tjananya nganampa wangka nintinma, kaya nganampa wangkanguṟu nyiri tjuṯa riitamilaṟa nganampa tjukurpa tjuṯaku nintiringama. 
DAN.1.5	Munu palunya tjananya mai, kuka munu waina kuḻu ungama, panya ngayulu ngalkula tjikilpai puṟunypa. Munu tjananya yiya mankurpa rawangku alatjiṯu nintilkatima, kaya palulanguṟulta yiya mankurpa wiyaringkunyangka tjananya ngayulakutu ngalya-kati, kaṉa nyakula kutjupa tjara ngurkantara tjunkuku ngayuku waṟkarinytjaku.” Alatji wati panya mayatja Nipaka-nitjalu palula wangkangu.
DAN.1.6	Ka mulapaṯu wati panya Atjapa-natjalu kuliṟa ankula wati yangupala Jew tjuṯa para-nyakula ngurkantaṟa tjananya mantjinu. Munu wati Judah-kunu maḻatja mankurpa kuḻu paluṟu mantjinu ini nyanganpa Danielnga, Ananayanya, Mitjayilnga munu Atjaṟayanya. (Panya ini nyanga paluṟu tjana Jew tjuṯaku ini.) 
DAN.1.7	Ka paluṟu tjananya ini kutjupa kuwaritjalta wangkara tjunu ngura panya Papilanku wangkangku. Munu paluṟu Danielnga ini kutjupa tjunu Piltatjanya, munu Anana-yanya Tjataṟa-kanya tjunu, munu Mitjayilnga tjunu Mitjakanya, munu Atjaṟa-yanya tjunu Pinikaunya.
DAN.1.8	Ka Atjapa-natjalu kuka, mai, waina kuḻu tjananya ungkunyangka Danieltu tjana wantingi alatjiṯu panya Godalu ngaṉmanytju Israelkunu tjuṯa painingi mai kuka nyanga puṟunypa ngalkuntja wiyangku wantinytjaku
DAN.1.9	Ka Godalu Atjapa-natjanya kurunpa pukuḻmanu wati panya Danielku ngaḻṯuringkunytjaku. 
DAN.1.10	Ka wati paluṟu Danielta alatji wangkangu, “Palu panya mayatja Nipaka-nitjaluṉi wangkangu nyura kunyu wantinytja wiyangku mai kuka nyanganpa kutju ngalkunma munu waina kuḻu tjikinma. Tjinguṟuṉa nyuranya ngayulu palyanmanama nyura mai kuka ngalkuntja wiyangku wantinytjaku, palu ngayulu Nipaka-nitjanya waintaṟa kulini munuṉa palumpa nguḻuringanyi. Tjinguṟu nyura mai kuka ngalkuntja wiyangku wantirampa nyura uparingkuku, ka yangupala panya kutjupa tjuṯa kutju kunpuringkuku, ka Nipaka-nitjalu nyuranya nyakuku munuṉi ngayunya iluntankuku. Nyangatjaṉa paluṟu wangkanytjitja nyurala wangkanyi. Kaya mai munu kuka nyanganpa ngalkunma wantinytja wiyangku. Palya?” Alatji Atjapa-natjalu Danielta wangkangu.
DAN.1.11+DAN.1.12+DAN.1.13	Munu wati tjaultji kutjupa tjunu Danielnga tjananya ngaṟala aṯunymankunytjaku. Ka Danieltu tjaultji panya palula wangkangu nyanga alatji, “Wati wiṟu, wanyulanyan mai ukiṟi kutju ungama ngalkuntjaku munu kapi kutju waina wantira. Palya? Munulanya rawangku ungama tjiṉṯu kutjupa tjiṉṯu kutjupa, ka tjiṉṯu 10 ngaṟala wiyaringkunyangkalta nyuntu nganaṉanya nyawa, tjinguṟula uparingu, munta tjinguṟula kunpuringu. Munu nganaṉala itingka wati yangupala panya kutjupa tjuṯa kuḻu nyawa panya Nipaka-nitjaku mai kuka ngalkunytja tjuṯa. Munun palulanguṟulta nyakunytjatjanungku ngurkantaṟa wangkama mai nganaku nganaṉa rawangku ngalkuku. Palya?”
DAN.1.14	Ka wati panya paluṟu palya kulinu tjananya mai kutju ungkunytjikitjangku kuka wiyangku munu kapi kutju tjikintjaku. Munu paluṟu tjananya ungangi tjiṉṯu kutjupa tjiṉṯu kutjupa tjiṉṯu 10-kutu.
DAN.1.15	Kaya yangupala panya tjara kutjupangku Nipaka-nitjaku mai kuka puḻka ngalkuningi. Ka tjiṉṯu panya 10 ngaṟala wiyaringkunyangka wati panya Danielnga tjana pukuḻpa alatjiṯu nyinangi kuṉpu pika wiya, panya palula tjanala waintaṟa.
DAN.1.16	Panya Danieltu tjanaya tiṯutjarangku mai kutju ngalkuningi munuya kapi kutju rawangku tjikiningi wati panya tjaultjingku ungkunyangka. Paluṟu tjanaya Nipaka-nitjaku mai munu kuka ngalkuntja wiyangku wantingi alatjiṯu.
DAN.1.17	Ka Mayatja Godalu Danielnga tjananya palumpa maḻpa mankurpa kuḻu nintipuka mulapa palyaṉu nyiri uwankara riitamilaṟa nintingku kulintjaku munu tjukurpa kutjupa kutjupa uwankaraku kuḻu kuliṟa nintiringkunytjaku. Munu Godalu Danielnga nintinu aṉangungku tjukurmankula puṯu kulinnyangka tjukaṟurungku utiṟa tjakultjunkunytjaku. Munu piṟuku nintinu aṉangu kutjupangku kuṟu wankangku kutjupa kutjupa nyakula puṯu kulinnyangka palu puṟunypaṯu utiṟa tjakultjunkunytjaku.
DAN.1.18	Ka ngulalta yiya mankurpa ngaṟala wiyaringkunyangka mayatja panya Atjapa-natjalu wati panya yangupala uwankaralta katingu mayatja puḻkakutu wati panya Nipaka-nitjalakutu. 
DAN.1.19	Ka paluṟu palula tjanala uwankarangka wangkara kuliningi kutjungka kutjungka munu Danielta tjanala palumpa maḻpa mankurta kuḻu wangkangi. Munu paluṟu kuliningi, “Ai! Mulapa wati nyanga mankurpa Danielnga tjana palya mulapa, nintipuka alatjiṯu, wati nyanga kutjupa uwankarangka waintaṟa nguwanpa.” Munu paluṟu Danielnga tjananya palumpa maḻpa mankurpa ngurkantaṟa tjunu palumpa waṟkarinytjaku. 
DAN.1.20	Munu kutjupa-aṟa Nipaka-nitjalalu puṯu kuliṟa tjanala aḻṯira tjapilpai, kaya palula kulilpai munuya palula nintingku wangkara utilpai. Ka palulanguṟu paluṟu kuliningi alatji, “Ai! Danielnga nyanga tjana mulapa nintipuka alatjiṯu, wati nyanga ngangkaṟi nintipuka uwankarangka waintaṟa.”
DAN.1.21	Ka Danielnga panya yiya tjuṯa mulapa Papilanta warkaringi wati panya mayatja Nipaka-nitjaku munu palulanguṟu palumpa katjaku, pakaḻiku, kuḻu waṟkaringiṯu. Ka palulanguṟu wati kutjupalta maḻa mayatja nyinakatingu ini Tjaiṟatjanya. Paluṟu panya manta ini Puutjaku mayatja puḻka nyinanytjatjanu pitjala Papilaniyaku ngapartji mayatja nyinangi. Ka Danielnga palumpa kuḻu waṟkaringi.
DAN.2.1	Nipaka-nitjanya panya mayatja puḻka nyinangi yiya kutjara. Munu palulanguṟu paluṟu munga kutjupangka ngarira tjukurmanu kutjupa kutjupa munu wankaringkula nyinara puṯu kuliningi, “Ai, nyaaṉa panyatja nyangu?” Munu munga nyara palula paluṟu puṯulta kunkunaringi. 
DAN.2.2	Munu wati panya Nipaka-nitjalu aḻṯingu wati ngangkaṟi tjuṯa, munu wati ayinayiningku palyalpai tjuṯa, wati nintipuka tjuṯa kuḻu palulakutu pitjala tjukurmankunytja panya palunya utiṟa wangkanytjaku. 
DAN.2.3	Munu wati panya tjuṯa pitjanyangka paluṟu tjanala wangkangu alatji, “Ngayuluṉa kutjupa kutjupa mulapa tjukurtjunu munu nyangaṉa wankaringkula nyinara puṯu alatjiṯu kulini. Wanyuṉiya utiṟa tjakultjura ngayulu nyanga tjukurmankunytja.”
DAN.2.4	Kaya wati panya paluṟu tjana mayatjangka panya wangkangu tjanampa wangkangku Aṟamaikangku. Nyanga alatjiya wangkangu, “Mayatjan wiṟu mulapa. Nyuntumpala mukuringanyi mayatja nganampa tiṯutjara nyinanytjaku. Palu wanyulanya nyuntu nyanga tjukurmankunytja waraṟa tjakultjura, kala palulanguṟu nyuntula utiṟa wangkaku.”
DAN.2.5	Ka mayatjangku panya tjanala wangkangu, “Wiya, ngayulu mukuringanyi nyura kuwari ngayulu panya nyakunytjanya tjakultjunkunytjaku munuṉiya palulanguṟulta utiṟa wangka. Wiyangkampa ngayuku tjaultji tjuṯangku nyuranya kaṯaṟa minya-minyaṟa wiyalku munu nyurampa ngura kuḻu piluntankuku. 
DAN.2.6	Palu nyura ngayula tjukaṟurungku utiṟa tjakultjunkunyangkampaṉa ngayulu nyuranya wiṟunmankuku munuṉa nyuranya wiṟu tjuṯa ungkula pukuḻmankuku. Uwa, utingkuṉiya wangka, panya ngayulu tjukurmankunytja.”
DAN.2.7	Kaya wati panya ngangkaṟi tjuṯangku mayatjangka piṟuku wangkangu, “Mayatjan wiṟu! Wanyulanya tjakultjura nyuntu panya tjukurmankunytja, kala palulanguṟulta nyuntula utiṟa wangkaku. Nyaan wanyu tjukurmanu?”
DAN.2.8+DAN.2.9	Palu mayatjangku panya wangkangu tjanala, “Ngayulu nyurampa ninti, panya nyura ngurpa munu nyura nguḻuringanyi ngayulu nyuranya iluntankunytjaku-tawara. Pala palulanguṟuṉi nyura ngayunya rawangku wangkanyi ngayuku kulintja kampa kutjupankunytjikitjangku, palu wiya, ngayulu nyurala tjakultjunkunytja wiyangku wantinyi. Nyura alatjiṯuṉiya tjakultjura ngayulu panya tjukurmankunytjanya. Kaṉa palulanguṟu kulira mulamularingkuku nyura utiṟa wangkanyangka kutju.”
DAN.2.10	Kaya wati panya nintipuka tjuṯangku mayatjangka wangkangu, “Wiya, panya nyuntu kutjun ninti nyuntu pala tjukurmankunytjitjaku. Palu nyuntu utiṟa wangkanytja wiyangkampa nganaṉa puṯu kulini. Wiṟungku wanyu kulila, panya ngura manta winkingkayanku wati nintipuka uwankara palu puṟunypaṯu nyinanyi. Kaya ngura winkingka mayatja uwankarangku ngangkaṟi tjuṯangka nyanga palu puṟunypa tjapilpai wiya. 
DAN.2.11	Nganaṉala uwankara ngurpa nyuntu panya tjukurpa nyakunytjitjaku. Tjinguṟu nganampa god tjuṯangku kutju nintingku nyuntula tjakultjunkuku, palu god paluṟu tjana panya nganaṉala tjungu nyinanytja wiya.”
DAN.2.12+DAN.2.13	Ka mayatjangku panya nyangatja kuliṟa tjanampa puḻkaṟa alatjiṯu mirpaṉaringu, ngangkaṟi tjuṯaku, nintipuka tjuṯaku munu palulanguṟu tjaultji tjuṯa wituṟa iyaṉu Papilanta ngura winkikutu para-arintaṟa nintipuka uwankara pungkula iluntankunytjaku, Danielnga munu palumpa maḻpa maṉkurpa kuḻu.
DAN.2.14	Ka panya Nipaka-nitjaku tjaultji tjuṯa ngaṟangi palunya aṯunymankunytjikitja, ka palumpa tjanampa mayatja nyinangi wati ini Aṟiyakanya. Ka Nipaka-nitjalu palula wangkangu tjaultji tjuṯatjara warmaḻarira ankula nintipuka tjuṯa munu ngangkaṟi tjuṯa kuḻu pungkula iluntankunytjaku.
DAN.2.14	Palu Danieltu ankula Aṟiyakala purkaṟangku tjapinu, wati panya tjaultji tjuṯaku mayatjangka alatji, 
DAN.2.15	“Wiṟu ngana, tjakultjuraṉi. Nyaanguru mayatja Nipaka-nitjalu nyuntunya wangkangu nganaṉanya nintipuka uwankara iluntankunytjaku ngangkaṟi tjuṯa kuḻukuḻu? Nyangatja aṟa palya wiya, kura.”
DAN.2.15	Ka Aṟiyakalu Danielta tjakultjunu aṟa panya Nipaka-nitjalu nintipuka tjuṯangka wangkanytja. 
DAN.2.16	Ka Danieltu kulintjatjanu mapalku anu mayatja panya Nipaka-nitjalakutu, munu wirkaṟa palula wangkangu, “Tjaultji panya tjuṯa markula, kaṉa ankula tjukutjuku nyinara kuliṟa maḻaku pitjala nyuntulalta utiṟa tjakultjunkuku nyuntu panya tjukurmankunytjitja.” Ka mayatjangku panya palyanmanu munu tjaultji tjuṯa markuṉu.
DAN.2.17	Ka palulanguṟu Danieltu ngurakutu ankula aṟa panya uwankara tjakultjunu wati panya palumpa maḻpa mankurta Ananayala, Mitjayilta munu Atjaṟayala. 
DAN.2.18	Munu paluṟu tjanala wangkangu, “Wanyula tjapila nganampa panya God ilkaṟitjangka nganampa ngaḻṯuringkunytjaku munu Nipaka-nitjalu tjukurmankunytja ngayula utintjaku, kaṉa Godala kulintjatjanungku ankula mayatjangka panya wangkara utila, kalanya pungkunytja wiyangku wantima wati panya nintipuka tjuṯa munu ngangkaṟi tjuṯa kuḻu, kala uwankara wankaṟu nyinaku.” Munuya mulapatu Godala tjapiningi.
DAN.2.19	Ka munga pala palula Godalu Danielnga nintinu, ka wankaringkula nyangu munu tjukurpa uti kuliningi wati panya Nipaka-nitjalu tjukurmankunytja. Munu nyara palulanguṟu nintinnyangka Danieltu God ilkaṟitjanya pukuḻṯu mirawaṉira walkuṉu nyanga alatji wangkara,
DAN.2.20	“God, nyuntu panya nintipuka puḻka mulapa munun witulya puḻkatjara.
DAN.2.20	Kala nyuntunya tiṯutjarangku mirawaṉiku wantinytja wiyangku.
DAN.2.21	Panya nyuntu mayatjangku mantatja ilkaṟitja uwankara tjunguṟa kanyini.
DAN.2.21	Nyuntu panya ngurkantaṟa mayatja tjunkupai aṉangu tjuṯa aṯunymaṟa kanyintjaku.
DAN.2.21	Munun kutjupa aṟa wiyalpai mayatja wiyaringkunytjaku.
DAN.2.21	Nyuntu alatjiṯun aṉangu nintipuka puḻka palyalpai.
DAN.2.22	“Panya aṉangungku kutjupa-kutjupa puṯu kulinnyangka nyuntu nintingku utilpai, kumpilitja tjuṯa.
DAN.2.22	Nyuntu mungawaluṟungka uwankara nyakupai nintingku alatjiṯu,
DAN.2.22	panya nyuntun tili pitaltji puḻkangku tiṯutjarangku irnyaṉi.
DAN.2.23	God, ngayulu nyuntunya mirawaṉira walkuṉi,
DAN.2.23	panya nyuntu ngayuku walytjapiti iritilpi aṯunymaṟa kanyiningi,
DAN.2.23	munu panyaṉin ngayunya kuwari nintipuka palyaṉu munuṉin witulyanu.
DAN.2.23	Uwa, nganaṉa tjapinnyangka panya nyuntu ngayula utinu,
DAN.2.23	munu panyan nganaṉala nintinu mayatja panya paluṟu tjukurmankunytjitja.”
DAN.2.23	Alatji Danieltu Godanya walkuningi.
DAN.2.24	Palulanguṟulta Danielnga anu tjaultji panya tjuṯaku mayatjakutu wati panya Ariyakalakutu munu palula wangkangu, “Kulila! Ngangkaṟi munu nintipuka tjuṯa iluntankuwiyangku wantima. Wanyuṉi ma-kati mayatja Nipaka-nitjalakutu, kaṉa palula wangkara utilku paluṟu panya tjukurmankunytja.”
DAN.2.25	Ka Ariyakalu Danielnga kuwariṯu katingu mayatja Nipaka-nitjalakutu munu palula wangkangu, “Nyangatja wati panya nyuntu ngalya-katinytjanya ngura panya Judah-languṟu. Nyanga paluṟunta wangkara utilku nyuntu panya tjukurmankunytja.”
DAN.2.26	Ka Nipaka-nitjalu Danielta tjapinu
DAN.2.27	Ka Danieltu wangkangu, “Wati panya nintipuka uwankarangku tjukurpa nyangatja nyuntula puṯu utiṟa wangkangi, ngangkaṟi tjuṯangku, kililpi nyakupai tjuṯangku kuḻu. 
DAN.2.28+DAN.2.29	Palu ilkaṟingka nyinanyi God nintipuka puḻka, panya kumpilitja tjuṯa utilpai. Pala paluṟu nyuntunya tjukurmankunyangka kutjupa kutjupa tjuṯa nintini panya ngula nyaaringkuku. Kaṉa kuwari God pala palula kulintjatjanungku nyuntula utini tjukurpa panya nyuntu ngarira nyakunytjanya. 
DAN.2.30	Palu nyuntu tjinguṟu ngayunya kulilku nintipuka-palku, palu wiya Godaluṉi ngayunya nintinu nyuntula wangkara utintjaku, nyuntu tjukaṟurungku kulintjaku.”
DAN.2.31	Munu palulanguṟu Danieltu Nipaka-nitjalu tjukurmankunytja tjakultjunu alatji wangkara, “Watin mayatja wiṟu mulapa! Nyuntu panya nyangu tjukurpa wati-wati palyantja puḻka mulapa nyuntula kuranyu ngaṟanyangka, waṟa mulapa. Ka panya pitaltji puḻka mulapa irnyaṟa ngaṟangi, kan puḻkaṟa nguḻuringu. 
DAN.2.32	Panya paluṟu kata kaulnguṟu palyantja, munu pilpirpa miṉa tjiilpanguṟu palyantja, munu tjuni kaṟilpa tjunta kuḻu puṟantjinguṟu
DAN.2.33	Munu tjaḻpa ayananguṟu
DAN.2.34	“Munu panyan nyangu puḻi murpu katu katakatinyangka, ka panya puḻi taanpa puḻka ngalya-punkaṟa wati-wati panya tjina atuṟa pilkiṟa minya-minyaṉu. Ka nyangatja aṉangungku palyantja wiya. 
DAN.2.35	Ka palulanguṟu wati-wati panya paluṟu uwankara kaṯakatira minya-minyaringu, kata panya kaulnguṟu palyantja, pilpirpa miṉa tjiilpanguṟu palyantja, munu tjuni kaṟilpa tjunta kuḻu puṟantjinguṟu palyantja, tjaḻpa ayananguṟu palyantja uwankara minya-minyaringkula ulpururingu. Ka waḻpangku uḻpuru palunya uwankara waṉingu, panya aṉangungku uṉinypa kaṉinnyangka unytjunytju waḻpangku waṉira wililytjingalpai, palu puṟunypa. Ka palula maḻangka puḻi panya taanpa paluṟu puḻka mulararira puḻi murpuringu munu manta winkilta tjutuṉu.
DAN.2.36	“Alatji panyan nyuntu tjukurmankula nyangu, kaṉa kuwari tjukurpa panya palunya nyuntula utiṟa wangkanyi. 
DAN.2.37	Kan nyuntu mayatja puḻka mulapa mayatja kutjupa tjuṯangka waintaṟa. Panya Godalunta puḻkaṟa witulyanu munu kunpuṉu. 
DAN.2.38	Nyuntu aṉangu ngura winkitjaku mayatja nyinanyi, kuka tjuṯaku, munu tjuḻpu tjuṯaku kuḻu, uwankaraku. Munu panyan kuwari tjukurpa nyangu wati-wati kata kaulnguṟu palyantja – kata nyara paluṟu nyuntunya nintini mayatja puḻka mulapa nyinanytja. Palu ngula nyuntu wiyaringkula iluku. 
DAN.2.39	Panya nyangun pilpirpa munu miṉa tjiilpanguṟu palyantja – nyara paluṟu nintini mayatja kutjupa nyuntula aṟangka maḻangka nyinakatinytjaku kuṉpu wiya nguwanpa. 
DAN.2.40	Munu panyan nyangu tjuni kaṟilpa tjunta kuḻu puṟantjinguṟu palyantja – nyara paluṟu nintini mayatja kutjupa ngapartji nyinakatinytjaku manta winkiku mayatja. Munu panyan nyangu tjaḻpa ayananguṟu palyantja – nyara paluṟu nintini piṟuku mayatja kutjupa ngapartji nyinakatinytjaku kuṉpu mulapa ayana puṟunypa panya uwankara upirmankupai. Mayatja nyara paluṟu panya tjaultji tjuṯatjarangku mayatja ngaṉmanyitja uwankara wiyalku.
DAN.2.41+DAN.2.42	“Munu panyan nyangu tjina ayananguṟu tjuḻpirta tjunguṟa palyantja – nyara paluṟu nintini piṟuku mayatja kutjupa mankurpa nguwanpa ngapartji nyinakatinytjaku tjungu nguwanpa. Palu panya mayatja kutjupa tjara kuṉpu ngaṟaku ayana puṟunypa, kaya mayatja tjara kutjupa upa ngaṟaku tjuḻpirpa puṟunypa. 
DAN.2.43	Ka nyuntu ninti panya ayana puṯu tjuḻpirpangka tjungu ngaṟapai, pala palu puṟunypa mayatja paluṟu tjana puṯu tjungu ngaṟaku munuya mauṉṯalpa mauṉṯalpa nyinaku kuṉpu wiya.
DAN.2.44+DAN.2.45	“Munu panya nyuntu nyangu maḻatja puḻi murpu katuṉguṟu taanpa wati-watingka punkannyangka, ka panya minya-minyaringu, panya ayananguṟu, puṟantjinguṟu, tjuḻpirpanguṟu, tjiilpanguṟu munu kaulpanguṟu palyantja uwankara alatjiṯu wiyaringu. Ka panya puḻi taanpa paluṟu punkantjatjanu ngalya-puḻkaringkula puḻi murpuringu munu manta winkilta ngalya-tjutuṉu. Palu puḻi nyanga paluṟu nintini mayatja maḻatja nyinakatinytjaku Goda Ilkaṟitjangku tjunkunytja. Panya nyara palula-aṟangka Godalu mayatja panya mankurpa puṯu tjungu nyinanytja tjuṯa wiyalku munu mayatja kutjupa maḻatjalta kunpu mulapa tjunkuku, tiṯutjara nyinapainya, witulya puḻka mulapa. Ka mayatja ngura kutjupitja tjuṯangku palunya arkaṟa puṯu alatjiṯu wiyalku, ka mayatja maḻatja paluṟu munu palumpa walytjapiti tiṯutjara wanka nyinaku.
DAN.2.44+DAN.2.45	“Uwa, mayatja wiṟu! God Ilkaṟitjalu panya nyuntunya nintinu nyaa ngula utiringkuku. Ka ngayulu nyuntula tjukaṟurungku tjakultjunanyi nyuntu panya nyakunytjanya, ka nyuntu kulila munu mulamulariwa ngayulu nyanga utiṟa wangkanytjanya.” Alatji Danieltu mayatja panya Nipaka-nitjala wangkangu.
DAN.2.46	Ka Nipaka-nitjalu Danielta kulintjatjanungku palula kuranyu tultjungaṟakatira palunya walkuṉu. Munu wangkangu palumpa wati waṟka tjuṯangka panti wiṟu, mai kuḻukuḻu Danielnga katira ungkunytjaku. 
DAN.2.47	Munu paluṟu Danielta wangkangu, “Mulapa nyuntumpa God puḻka mulapa, god kutjupa uwankarangka waintarinytja. Paluṟu manta winkitjaku mayatja nyinanyi, ka panya mayatja mantatja tjuṯa nyinanyi paluṟu kutjungku tjunkunytjitja. Paluṟu mulapa kumpilitja utilpai, panya paluṟunta nyuntunya nintinu ngayulu tjukurmankunytja, kaṉin wiṟungku ngayula utiṟa tjakultjunu.”
DAN.2.48	Munu mayatja panya paluṟu Danielnga mayatja kuranyitja tjunu, munu wiṟu tjuṯa palunya ungu. Munu paluṟu wangkangu ngura manta Papilannga mayatjarira palyanyku palumpa kanyintjaku munu nintipuka tjuṯa, ngangkaṟi tjuṯa kuḻu mayatjarira kanyintjaku. 
DAN.2.49	Ka Danieltu Nipaka-nitjala tjapinu palumpa maḻpa maṉkurku ini panya Tjataṟakaku, Mitjakaku, Pinikauku tjanampa tjunguringkula palunya alpamilantjaku. Ka mulapaṯu tjananya mayatja tjunu Danielta itingka tjungu nyinara waṟkarinytjaku. Ka palulanguṟu Danielnga Nipaka-nitjaku waḻingka nyinangi munu palunya alpamilaningi aṉangu winki palyanyku kanyintjaku ngura nyanga Papilanta munu ngura ititja tjuṯangka kuḻu.
DAN.3.1	Ka ngula mayatja Nipaka-nitjalu wati warka tjuṯangka wangkangu wati-wati puḻka mulapa kaulnguṟu palyantjaku, katu mulapa 30 miita munu lipi mulapa 3 miita. Paluṟu tjanala wangkangu uṟilta ngaṟatjunkunytjaku ngura ini Tuuṟala panya Papilanta itingka. 
DAN.3.2	Munu paluṟu mayatja tjuṯa aḻṯingu ngura uwankaranguṟu pitjala tjunguringkunytjaku munu inma puḻka palyaṟa wati-wati panya palunya walkuntjaku. Kaya mulapaṯu mayatja uwankara pitjangu manta panya Papilanta ngura winkinguṟu. Tjara kutjupaya nguraku mayatja, tjara kutjupaya nintipuka, tjara kutjupaya mani kanyilpai, kaya kutjupa tjara kuutpangka ngurkantankupai, kutjupa tjaraya kamanta tjuṯa ngura tjuṯangka waṟkaripai. 
DAN.3.3	Mayatja nyanga paluṟu tjanaya uwankara pitjala tjunguringu wati-wati panya palula kuranyu. 
DAN.3.4	Ka tjana wirkankunyangka Nipaka-nitjalu wati palumpa waṟkangka wangkangu tjanala mirara wangkanytjaku, ka mulapaṯu paluṟu tjanala alatji wangkangu, “Kulilaya aṉangu tjuṯa, panya nyura ngura winkinguṟu pitjangu, wangka kutjupa wangka kutjupa. 
DAN.3.5	Kuwari wati tjuṯangku tuṟampita, puluta munu kutjupa kutjupa tjuṯa puuṟa wangkatjingalku mayu wiṟu, kaya kutjupa tjuṯangku kita, aapa munu kutjupa kutjupa tjuṯa kuḻu maṟangku wangkatjingalku. Ka nyura kuliṟa mapalku tultjungaṟakatira wati-wati nyangatja walkula, panya Mayatja Nipaka-nitjalu palyantja. 
DAN.3.6	Palu tjinguṟu nyura walkulwiyangku wantinyangkampa palumpa tjaultji tjuṯangku nyuranya waṟungka waṉiku.”
DAN.3.7	Ka wangkatjingannyangka aṉangu ngura winkitja wangka kutjupa wangka kutjupa tultjungaṟakatingu munuya pupakatira walkuningi wati-wati panya palunya.
