GEN.1.1	Pada mulanya, ketika Allah mula menciptakan alam semesta,
NUM.28.26	Pada hari pertama Perayaan Menuai, apabila kamu mempersembahkan gandum baru kepada TUHAN, kamu harus berkumpul untuk beribadat; jangan lakukan pekerjaan berat. 
NUM.28.27	Persembahkanlah korban untuk menyenangkan hati TUHAN, iaitu dua ekor lembu jantan muda, seekor domba jantan, dan tujuh ekor domba jantan yang berumur satu tahun. Semuanya tidak boleh ada cacat. Bau korban itu menyenangkan hati TUHAN. 
NUM.28.28	Persembahkanlah korban untuk mengucap syukur, yang berupa tepung bercampur minyak zaitun: tiga kilogram untuk setiap ekor lembu jantan, dua kilogram untuk domba jantan 
NUM.28.29	dan satu kilogram untuk setiap ekor anak domba. 
NUM.28.30	Persembahkanlah juga seekor kambing jantan sebagai korban untuk mengampunkan dosa. Dengan cara itu kamu melakukan upacara penyucian untuk umat Israel. 
NUM.28.31	 Semua persembahan itu bersama dengan korban wain merupakan tambahan kepada korban untuk menyenangkan hati TUHAN dan korban untuk mengucap syukur, yang dipersembahkan setiap hari.
NUM.29.1	Pada hari pertama bulan ketujuh, kamu harus berkumpul untuk beribadat; jangan lakukan pekerjaan harian. Pada hari itu trompet-trompet harus dibunyikan. 
NUM.29.2	Persembahkanlah korban untuk menyenangkan hati TUHAN.
NUM.29.3	Persembahkanlah juga korban untuk mengucap syukur, menurut apa yang ditetapkan, iaitu korban berupa tepung terbaik bercampur minyak zaitun: tiga kilogram tepung untuk lembu jantan, dua kilogram untuk domba jantan, 
NUM.29.4	dan satu kilogram untuk setiap ekor anak domba jantan. 
NUM.29.5	Persembahkanlah seekor kambing jantan sebagai korban untuk mengampunkan dosa. Dengan cara itu kamu melakukan upacara penyucian untuk umat. 
NUM.29.6	Semua korban itu merupakan tambahan kepada korban untuk menyenangkan hati TUHAN,
NUM.29.7	Pada hari kesepuluh bulan ketujuh, kamu harus berkumpul untuk beribadat. Pada hari itu kamu harus berpuasa dan jangan lakukan pekerjaan harian. 
NUM.29.8	Persembahkanlah korban untuk menyenangkan hati TUHAN.
NUM.29.9	Persembahkanlah korban untuk mengucap syukur, menurut apa yang ditetapkan, iaitu tepung terbaik bercampur minyak zaitun: tiga kilogram untuk lembu jantan, dua kilogram untuk domba jantan, 
NUM.29.10	dan satu kilogram untuk setiap ekor anak domba. 
NUM.29.11	 Persembahkanlah juga seekor kambing jantan sebagai korban untuk mengampunkan dosa umat, di samping kambing jantan yang dipersembahkan bagi upacara penyucian umat, dan korban harian bersama dengan korban untuk mengucap syukur dan korban wain yang dipersembahkan pada hari itu.
NUM.29.12	Pada hari kelima belas bulan ketujuh, kamu harus berkumpul untuk beribadat dan jangan lakukan pekerjaan harian. Kamu harus merayakan perayaan itu selama tujuh hari untuk menghormati TUHAN. 
NUM.29.13	Pada hari yang pertama, persembahkanlah korban untuk menyenangkan hati TUHAN.
NUM.29.14	Persembahkanlah juga korban untuk mengucap syukur, menurut apa yang ditetapkan, iaitu korban berupa tepung terbaik bercampur minyak zaitun: tiga kilogram gandum untuk setiap ekor lembu jantan, dua kilogram untuk setiap ekor domba jantan, 
NUM.29.15	dan satu kilogram untuk setiap ekor anak domba jantan bersama dengan korban wain yang ditetapkan. 
NUM.29.16	Selain itu persembahkanlah seekor kambing jantan sebagai korban untuk mengampunkan dosa. Korban itu merupakan tambahan kepada korban harian bersama dengan korban untuk mengucap syukur,
NUM.29.17	Pada hari kedua, persembahkanlah dua belas ekor lembu jantan muda, dua ekor domba jantan dan empat belas ekor anak domba jantan yang berumur satu tahun. Semuanya tidak boleh ada cacat. 
NUM.29.18+NUM.29.19	Persembahkanlah korban-korban itu bersama dengan segala korban lain yang ditetapkan untuk hari pertama.
NUM.29.20	Pada hari ketiga, persembahkanlah sebelas ekor lembu jantan muda, dua ekor domba jantan dan empat belas ekor anak domba jantan yang berumur satu tahun. Semuanya tidak boleh ada cacat. 
NUM.29.21+NUM.29.22	Persembahkanlah korban-korban itu bersama dengan segala korban yang ditetapkan untuk hari pertama.
NUM.29.23	Pada hari keempat, persembahkanlah sepuluh ekor lembu jantan muda, dua ekor domba jantan, dan empat belas ekor domba jantan yang berumur satu tahun. Semuanya tidak boleh ada cacat. 
NUM.29.24+NUM.29.25	Persembahkanlah korban-korban itu bersama dengan segala korban lain yang ditetapkan untuk hari pertama.
NUM.29.26	Pada hari kelima, persembahkanlah sembilan ekor lembu jantan muda, dua ekor domba jantan, dan empat belas ekor anak domba jantan yang berumur satu tahun. Semuanya tidak boleh ada cacat. 
NUM.29.27+NUM.29.28	Persembahkanlah korban-korban itu bersama dengan segala korban lain yang ditetapkan untuk hari pertama.
NUM.29.29	Pada hari keenam, persembahkanlah lapan ekor lembu jantan muda, dua ekor domba jantan, dan empat belas ekor anak domba jantan yang berumur satu tahun. Semuanya tidak boleh ada cacat. 
NUM.29.30+NUM.29.31	Persembahkanlah korban-korban itu bersama dengan segala korban lain yang ditetapkan untuk hari pertama.
NUM.29.32	Pada hari ketujuh, persembahkanlah tujuh ekor lembu jantan muda, dua ekor domba jantan, dan empat belas ekor anak domba jantan yang berumur satu tahun. Semuanya tidak boleh ada cacat. 
NUM.29.33+NUM.29.34	Persembahkanlah korban-korban itu bersama dengan segala korban lain yang ditetapkan untuk hari pertama.
NUM.29.35	Pada hari kelapan, kamu harus berkumpul untuk beribadat dan jangan lakukan pekerjaan harian. 
NUM.29.36	Persembahkanlah korban untuk menyenangkan hati TUHAN.
NUM.29.37+NUM.29.38	Persembahkanlah korban-korban itu bersama dengan segala korban lain yang ditetapkan untuk hari pertama.
NUM.29.39	Itulah peraturan tentang korban untuk menyenangkan hati TUHAN,
NUM.29.40	Segala perintah TUHAN kepada Musa itu disampaikannya kepada umat Israel.
NUM.30.1	Musa memberikan peraturan berikut kepada para pemimpin suku-suku Israel. 
NUM.30.2	 Apabila seorang lelaki bernazar untuk memberikan sesuatu kepada TUHAN ataupun bersumpah tidak akan melakukan sesuatu perkara, dia tidak boleh memungkiri janjinya. Dia harus melakukan segala yang dikatakannya.
NUM.30.3	Apabila seorang gadis yang masih tinggal dengan bapanya bernazar untuk memberikan sesuatu kepada TUHAN, ataupun berjanji tidak akan melakukan sesuatu perkara, 
NUM.30.4	dia mesti memenuhi segala nazar atau janjinya itu, kecuali bapanya melarang dia apabila bapanya mendengar perkara itu. 
NUM.30.5	Tetapi jika bapa gadis itu mendengar perkara itu, dan tidak menyetujuinya, maka gadis itu tidak lagi diwajibkan untuk memenuhi nazarnya. TUHAN akan mengampuni dia kerana bapanya tidak membenarkan dia memenuhi nazarnya.
NUM.30.6+NUM.30.7	Jika seorang perempuan bujang bernazar, sama ada dipertimbangkan terlebih dahulu ataupun tidak, atau dia berjanji tidak akan melakukan sesuatu perkara, dia terikat kepada nazar atau janjinya itu. Jika pada kemudian hari perempuan itu berkahwin, dia mesti memenuhi segala nazar atau janjinya itu, kecuali suaminya melarang dia apabila mendengar tentang perkara itu. 
NUM.30.8	Tetapi jika suaminya mendengar perkara itu dan tidak menyetujuinya, perempuan itu tidak lagi diwajibkan untuk memenuhi nazarnya. TUHAN akan mengampuni dia.
NUM.30.9	Apabila seorang balu atau seorang perempuan yang sudah bercerai membuat nazar ataupun berjanji tidak akan melakukan sesuatu perkara, dia terikat kepada nazar atau janjinya itu, dan dia mesti memenuhinya.
NUM.30.10	Jika seorang perempuan yang sudah berkahwin bernazar ataupun berjanji tidak akan melakukan sesuatu perkara, 
NUM.30.11	dia mesti memenuhi segala nazar atau janjinya itu, jika suaminya tidak melarang dia ketika mendengar tentang perkara itu. 
NUM.30.12	Tetapi jika suaminya melarang dia memenuhi nazarnya ketika mendengar perkara itu, perempuan itu tidak lagi diwajibkan untuk memenuhi nazarnya. Suaminya telah menghalang dia, maka TUHAN pun akan mengampuni perempuan itu. 
NUM.30.13	Suaminya berhak menyetujui ataupun membatalkan nazar atau janji apa sahaja yang sudah dibuat oleh isterinya. 
NUM.30.14	Tetapi jika suaminya mendengar perkara itu, dan tidak melarangnya pada waktu itu, maka isteri itu harus memenuhi segala nazar ataupun janjinya. Suami itu sudah menyetujui nazar atau janji isterinya, kerana dia tidak melarang isterinya pada hari dia mendengar perkara itu. 
NUM.30.15	Tetapi jika suami itu membatalkan nazar atau janji isterinya pada kemudian hari, maka suamilah yang mesti menanggung akibat pembatalan nazar itu.
NUM.30.16	Itulah peraturan-peraturan yang diberikan oleh TUHAN kepada Musa tentang nazar yang dibuat oleh seorang perempuan yang sudah berkahwin atau oleh gadis yang masih tinggal dengan bapanya.
NUM.31.1	TUHAN berfirman kepada Musa, 
NUM.31.2	“Balaslah kejahatan orang Midian terhadap umat Israel. Selepas itu engkau akan meninggal.”
NUM.31.3	Kemudian Musa berkata kepada umat Israel, “Bersedialah untuk berperang. Seranglah orang Midian dan balaslah kejahatan mereka terhadap TUHAN. 
NUM.31.4	Tiap-tiap suku Israel harus menghantarkan seribu orang askar untuk maju berperang.”
NUM.31.5	Maka seribu orang dipilih daripada tiap-tiap suku Israel, sehingga orang yang bersedia untuk berperang berjumlah 12,000 orang. 
NUM.31.6	Musa memerintahkan mereka pergi berperang di bawah arahan Pinehas anak Imam Eleazar. Pinehas membawa benda-benda dari Khemah TUHAN dan trompet-trompet untuk memberikan isyarat. 
NUM.31.7	Orang Israel menyerang orang Midian, sebagaimana yang diperintahkan TUHAN kepada Musa. Mereka membunuh semua orang lelaki Midian, 
NUM.31.8	termasuk lima orang raja Midian: Ewi, Rekem, Zur, Hur, dan Reba. Mereka juga membunuh Bileam anak Beor.
NUM.31.9	Orang Israel menawan semua orang perempuan dan anak orang Midian, merampas ternakan lembu dan domba, serta segala kekayaan orang Midian. 
NUM.31.10	Mereka juga membakar kota-kota serta perkhemahan-perkhemahan orang Midian. 
NUM.31.11	Kemudian orang Israel mengambil segala barang rampasan itu, termasuk orang tawanan dan ternakan. 
NUM.31.12	Mereka membawa semuanya kepada Musa, Eleazar, dan umat Israel yang sedang berkhemah di dataran Moab, di seberang Sungai Yordan, bertentangan dengan kota Yerikho.
NUM.31.13	Kemudian Musa, Imam Eleazar, dan semua pemimpin umat Israel pergi ke luar perkhemahan untuk menyambut tentera Israel. 
NUM.31.14	Musa marah terhadap para ketua askar dan komandan pasukan yang baru kembali dari pertempuran. 
NUM.31.15	Dia bertanya kepada mereka, “Mengapakah kamu tidak membunuh semua perempuan ini? 
NUM.31.16	 Ingatlah bahawa kaum perempuanlah yang mengikut nasihat Bileam, sehingga menyebabkan orang Israel tidak taat kepada TUHAN di Peor. Hal itulah yang mendatangkan wabak kepada umat TUHAN. 
NUM.31.17	Sekarang bunuhlah semua kanak-kanak lelaki dan semua perempuan yang bukan dara lagi, 
NUM.31.18	tetapi ambillah semua gadis dan perempuan yang masih dara bagi diri kamu sendiri. 
NUM.31.19	Semua orang di kalangan kamu yang sudah membunuh orang, ataupun yang sudah menyentuh mayat mesti tinggal di luar perkhemahan selama tujuh hari. Pada hari ketiga dan hari ketujuh, kamu mesti melakukan upacara penyucian diri bersama-sama semua perempuan yang sudah kamu tawan itu. 
NUM.31.20	Sucikanlah juga semua pakaian dan apa sahaja yang dibuat daripada kulit, bulu kambing, ataupun kayu.”
NUM.31.21	Imam Eleazar berkata kepada mereka yang baru pulang dari pertempuran, “Inilah peraturan-peraturan yang diberikan TUHAN kepada Musa. 
NUM.31.22+NUM.31.23	Segala sesuatu yang tahan api, seperti emas, perak, gangsa, besi, timah putih, atau timah hitam, mesti disucikan dengan melalukannya dalam api. Semua benda lain yang tidak tahan api harus disucikan dengan air upacara penyucian. 
NUM.31.24	Pada hari ketujuh, kamu harus membasuh pakaian kamu. Barulah kamu tidak najis, dan kamu boleh masuk ke dalam perkhemahan.”
NUM.31.25	TUHAN berfirman kepada Musa, 
NUM.31.26	“Engkau, Imam Eleazar, dan para pemimpin Israel yang lain, mesti menghitung semua barang jarahan, termasuk juga orang tawanan dan ternakan. 
NUM.31.27	Bahagikanlah barang jarahan itu menjadi dua bahagian yang sama banyaknya. Sebahagian untuk askar-askar yang berperang dan sebahagian lagi untuk orang Israel yang lain. 
NUM.31.28	Daripada bahagian yang diberikan kepada askar, ambillah seorang tawanan daripada tiap-tiap 500 orang tawanan, dan berilah mereka kepada Aku, TUHAN, sebagai sumbangan khas. Buatlah demikian juga dengan lembu, keldai, domba, dan kambing. 
NUM.31.29	Berikanlah semuanya kepada Imam Eleazar sebagai sumbangan khas untuk Aku, TUHAN. 
NUM.31.30	Daripada bahagian yang diberikan kepada umat Israel lain, ambillah seorang tawanan daripada tiap-tiap 50 orang tawanan. Demikian juga dengan lembu, keldai, domba, dan kambing. Berikanlah semuanya kepada orang Lewi yang mengurus Khemah-Ku.” 
NUM.31.31	Musa dan Eleazar melaksanakan apa yang diperintahkan TUHAN.
NUM.31.32+NUM.31.33+NUM.31.34+NUM.31.35	Inilah yang dirampas askar-askar itu, selain jarahan yang disimpan oleh mereka sendiri: 675,000 ekor domba dan kambing, 72,000 ekor lembu, 61,000 ekor keldai, dan 32,000 orang anak dara. 
NUM.31.36+NUM.31.37+NUM.31.38+NUM.31.39+NUM.31.40	Separuh daripada jumlah itu diberikan kepada askar-askar dengan perincian berikut: 337,500 ekor domba dan kambing, dan daripada jumlah itu yang diambil sebagai sumbangan khas untuk TUHAN adalah 675 ekor; 36,000 ekor lembu, dan daripada jumlah itu 72 ekor diambil sebagai sumbangan khas untuk TUHAN; 30,500 ekor keldai, dan daripada jumlah itu 61 ekor diambil sebagai sumbangan khas untuk TUHAN; 16,000 orang anak dara, dan daripada jumlah itu 32 orang diambil sebagai sumbangan khas untuk TUHAN. 
NUM.31.41	Oleh itu Musa memberikan sumbangan khas itu kepada Eleazar sebagai persembahan untuk TUHAN, sebagaimana yang diperintahkan TUHAN.
NUM.31.42+NUM.31.43+NUM.31.44+NUM.31.45+NUM.31.46	Bahagian untuk orang Israel lain sama banyaknya dengan bahagian untuk askar: 337,500 ekor domba dan kambing, 36,000 ekor lembu, 30,500 ekor keldai, dan 16,000 orang anak dara. 
NUM.31.47	Daripada bahagian ini, Musa mengambil satu daripada tiap-tiap 50 orang tawanan dan ternakan, lalu memberikan semuanya kepada orang Lewi yang bertugas di Khemah TUHAN, sebagaimana yang diperintahkan TUHAN.
NUM.31.48	Kemudian ketua-ketua yang memimpin pasukan tentera itu 
NUM.31.49	menghadap Musa dan berkata, “Tuan, kami sudah menghitung semua askar yang di bawah perintah kami dan tiada seorang pun yang hilang. 
NUM.31.50	Oleh itu kami membawa barang perhiasan emas, gelang tangan, gelang kaki, cincin, anting-anting, dan kalung yang kami masing-masing ambil. Sekarang kami menyerahkan semua ini kepada TUHAN sebagai persembahan kami, supaya Dia tetap melindungi kami.” 
NUM.31.51	Musa dan Eleazar menerima emas itu, yang semuanya berupa perhiasan. 
NUM.31.52	Persembahan para ketua askar itu hampir seberat 200 kilogram. 
NUM.31.53	Askar-askar lain yang bukan ketua menyimpan barang-barang jarahan bagi diri masing-masing. 
NUM.31.54	Setelah itu Musa dan Eleazar membawa emas itu ke dalam Khemah TUHAN, supaya TUHAN melindungi umat Israel.
NUM.32.1	Suku Ruben dan suku Gad mempunyai sangat banyak ternakan. Apabila mereka melihat betapa baiknya tanah Yaezer dan Gilead untuk penternakan, 
NUM.32.2	mereka pergi menghadap Musa, Eleazar, dan para pemimpin Israel yang lain. Suku Ruben dan suku Gad berkata, 
NUM.32.3+NUM.32.4	“Kota-kota yang diduduki umat kita dengan pertolongan TUHAN, sangat baik untuk penternakan, iaitu kota Atarot, Dibon, Yaezer, Nimra, Hesybon, Eleale, Sebam, Nebo, dan Beon. Oleh sebab kami mempunyai sangat banyak ternakan, 
NUM.32.5	berikanlah tanah itu kepada kami sebagai milik kami. Janganlah suruh kami menyeberang Sungai Yordan dan tinggal di sana.”
NUM.32.6	Musa menjawab, “Adakah kamu mahu tinggal di sini, sedangkan orang sebangsa kamu pergi berperang? 
NUM.32.7	Mengapa kamu menawarkan hati orang Israel untuk menyeberang Sungai Yordan dan pergi ke tanah yang diberikan TUHAN kepada mereka? 
NUM.32.8	Itulah perkara yang dibuat oleh bapa-bapa kamu di Kades-Barnea ketika aku menyuruh mereka pergi mengintip tanah itu. 
NUM.32.9	 Mereka pergi sampai ke Lembah Eskol lalu nampak tanah itu. Tetapi apabila mereka kembali, mereka menawarkan hati orang Israel, sehingga orang Israel takut pergi ke tanah yang diberikan TUHAN kepada mereka. 
NUM.32.10	Pada hari itu TUHAN murka lalu berfirman, 
NUM.32.11	‘Umat itu tidak setia kepada-Ku. Oleh itu Aku bersumpah bahawa tiada seorang pun yang keluar dari Mesir, yang berumur dua puluh tahun ke atas akan pergi ke negeri yang Aku janjikan kepada Abraham, Ishak, dan Yakub.’ 
NUM.32.12	Semua orang kena hukuman itu kecuali Kaleb anak Yefune orang Kenas itu dan Yosua anak Nun, kerana mereka berdua setia kepada TUHAN. 
NUM.32.13	 TUHAN murka terhadap umat Israel dan membuat mereka mengembara di padang gurun selama empat puluh tahun, sehingga segenap keturunan yang memberontak terhadap TUHAN sudah meninggal. 
NUM.32.14	Sekarang kamu pula menjadi seperti bapa-bapa kamu, satu lagi generasi orang yang berdosa. Kamu mendatangkan lagi kemurkaan TUHAN kepada Israel. 
NUM.32.15	Jika kamu, suku Ruben dan suku Gad tidak setia kepada TUHAN sekarang, sekali lagi TUHAN akan meninggalkan umat Israel di padang gurun ini, dan kamulah yang menyebabkan kebinasaan mereka.”
NUM.32.16	Suku Ruben dan suku Gad menghadap Musa dan berkata, “Mula-mula benarkanlah kami membina kandang bertembok batu untuk domba kami dan kota bertembok untuk anak isteri kami. 
NUM.32.17	Setelah itu kami bersedia mengikut sesama bangsa kami maju berperang. Kami akan memimpin serangan itu sehingga kami membantu mereka menetap di tanah yang menjadi milik mereka. Sementara itu anak isteri kami dapat tinggal di sini, di dalam kota-kota yang bertembok dan selamat daripada serangan penduduk negeri ini. 
NUM.32.18	Kami tidak akan kembali ke rumah sebelum semua orang Israel mempunyai tanah sebagai milik pusaka. 
NUM.32.19	Kami tidak akan mengambil sedikit pun daripada tanah di seberang Sungai Yordan, kerana kami sudah menerima bahagian kami di sebelah timur Sungai Yordan.”
NUM.32.20	Musa menjawab, “Jika kamu sungguh-sungguh menepati janji kamu, bersedialah untuk berperang bagi TUHAN. 
NUM.32.21	Semua orang kamu yang dapat berperang harus menyeberang Sungai Yordan; demi perintah TUHAN, mereka harus menyerang musuh kita sehingga TUHAN mengalahkan musuh, 
NUM.32.22	lalu merebut tanah itu. Selepas itu kamu boleh pulang, kerana kamu sudah menunaikan kewajipan kamu terhadap TUHAN dan sesama bangsa kamu orang Israel. Oleh itu TUHAN akan mengakui bahawa tanah di sebelah timur Sungai Yordan ini milik kamu. 
NUM.32.23	Tetapi jika kamu tidak menepati janji, ingatlah bahawa kamu berdosa terhadap TUHAN. Sesungguhnya, kamu akan dihukum kerana dosa kamu itu. 
NUM.32.24	Pergilah bina kota kamu dan kandang untuk domba kamu, tetapi tepatilah janji kamu itu!”
NUM.32.25	Orang daripada suku Gad dan suku Ruben berkata, “Tuan, kami akan menurut perintah tuan. 
NUM.32.26	Anak isteri kami serta lembu dan domba kami akan tinggal di sini, di kota-kota Gilead. 
NUM.32.27	Tetapi kami bersedia berperang demi perintah TUHAN. Kami akan menyeberangi Sungai Yordan dan bertempur seperti yang sudah tuan katakan.”
NUM.32.28	Oleh itu Musa memberikan perintah ini kepada Imam Eleazar, Yosua, dan para pemimpin Israel yang lain, katanya, 
NUM.32.29	“Jika orang Gad dan orang Ruben menyeberang Sungai Yordan dan bersedia berperang demi perintah TUHAN, dan jika dengan pertolongan mereka, kamu berjaya menakluki tanah itu, berilah mereka tanah Gilead sebagai pusaka mereka. 
