GEN.1.1	Na počátku Bůh stvořil nebe a zemi. 
DEU.13.1	Pečlivě dodržujte vše, co vám přikazuji – nic k tomu nepřidávejte ani z toho neubírejte. 
DEU.13.2	Ve tvém středu by se mohl objevit prorok nebo vykladač snů a nabízet ti nějaké znamení či div 
DEU.13.3	se slovy: „Pojďme následovat cizí bohy“ (které jsi nepoznal) „a sloužit jim!“ Tehdy, i kdyby se stalo to znamení či div, o kterém ti říkal, 
DEU.13.4	neposlouchej jeho řeči. To vás Hospodin, váš Bůh, zkouší, aby se poznalo, zda milujete Hospodina, svého Boha, celým srdcem a celou duší. 
DEU.13.5	Hospodina, svého Boha, následujte, jeho ctěte, jeho přikázání zachovávejte, jeho poslouchejte, jemu služte a k němu se přimkněte. 
DEU.13.6	Takový prorok nebo vykladač snů ať je popraven, neboť nabádal k odpadnutí od Hospodina, vašeho Boha, který vás vyvedl z Egypta a vykoupil vás z domu otroctví. Odstraň ze svého středu zlo – vždyť tě ten bludař chtěl strhnout z cesty, po níž ti přikázal jít Hospodin, tvůj Bůh! 
DEU.13.7	Mohl by tě tajně ponoukat tvůj vlastní bratr nebo syn, dcera, manželka ve tvém náručí nebo přítel, jehož miluješ jako sebe sama. Mohl by říkat: „Pojďme sloužit cizím bohům“ (které jsi nepoznal ty ani tví otcové, 
DEU.13.8	totiž některému z bohů okolních národů, blízkých či vzdálených, z jednoho konce světa či z druhého). 
DEU.13.9	Nesvoluj a neposlouchej ho! Nesmíš se nad ním slitovat a ušetřit jej. Nesmíš ho krýt, 
DEU.13.10	musíš ho popravit. Sám na něj vztáhneš ruku jako první, aby zemřel, a pak se připojí všechen lid. 
DEU.13.11	Ukamenuj ho k smrti – vždyť tě chtěl odtrhnout od Hospodina, tvého Boha, který tě vyvedl z Egypta, z domu otroctví! 
DEU.13.12	Až o tom uslyší všechen Izrael, přijde na ně bázeň a už nikdy ve tvém středu podobné zlo nespáchají. 
DEU.13.13	Mohl by ses doslechnout o jednom ze svých měst, která ti Hospodin, tvůj Bůh, dá k bydlení, 
DEU.13.14	že z vašeho středu vyšli ničemové, aby svedli obyvatele svého města slovy: „Pojďme sloužit cizím bohům“ (které jsi nepoznal). 
DEU.13.15	Tehdy to prozkoumej a vyšetři; důkladně se na to vyptej. Pokud se najisto potvrdí, že ve tvém středu byla spáchána taková ohavnost, 
DEU.13.16	musíš obyvatele toho města pobít mečem. To město se vším, co je v něm, musíš vyhladit jako proklaté. I jeho dobytek musíš pobít mečem. 
DEU.13.17	Veškerou kořist z něj shromáždi doprostřed jeho náměstí a spal to město i s jeho kořistí jako zápalnou oběť Hospodinu, svému Bohu. Ať je z něj navěky hromada sutin, ať už nikdy není vystavěno. 
DEU.13.18	Nic z toho, co propadlo klatbě, ti nesmí zůstat v rukou. Pak se Hospodin odvrátí od svého planoucího hněvu, prokáže ti milosrdenství a ve svém smilování tě rozmnoží, jak s přísahou zaslíbil tvým otcům.
DEU.13.19	Proto poslouchej Hospodina, svého Boha, zachovávej všechna jeho přikázání, která ti dnes udílím, a čiň, co je v očích Hospodina, tvého Boha, správné. 
DEU.14.1	Jste děti Hospodina, svého Boha. Nedělejte si kvůli mrtvému jizvy ani si neholte hlavu. 
DEU.14.2	Jsi přece svatý lid Hospodina, svého Boha! Tebe Hospodin vyvolil, abys byl jeho lidem, jeho zvláštním pokladem jako žádný jiný lid na zemi.
DEU.14.3	Nejez žádnou ohavnost. 
DEU.14.4	Toto jsou zvířata, která smíte jíst:
DEU.14.5	jelen, gazela, daněk, kozorožec, kamzík, antilopa a muflon. 
DEU.14.6	Ze zvířat smíte jíst každého přežvýkavého sudokopytníka. 
DEU.14.7	Nesmíte však jíst ty, kteří jsou jen přežvýkavci nebo jen sudokopytníci. Velbloud, zajíc a daman sice přežvykují, ale nemají rozdělené kopyto – budou tedy pro vás nečistí. 
DEU.14.8	Vepř sice má rozdělené kopyto, ale nepřežvykuje – bude tedy pro vás nečistý. Jejich maso nesmíte jíst, jejich zdechliny se nedotknete. 
DEU.14.9	Ze všech vodních živočichů smíte jíst tyto: Smíte jíst všechno, co má ploutve a šupiny. 
DEU.14.10	Cokoli nemá ploutve a šupiny, to jíst nesmíte – bude to pro vás nečisté. 
DEU.14.11	Smíte jíst všechny čisté ptáky. 
DEU.14.12	Tyto však jíst nesmíte: orla, orlosupa, mořského orla, 
DEU.14.13	luňáka, sokola, různé druhy supů, 
DEU.14.14	všechny druhy havranů, 
DEU.14.15	dále pštrosa, sovu, racka, různé druhy jestřábů, 
DEU.14.16	sýčka, výra, ibise, 
DEU.14.17	pelikána, mrchožrouta, kormorána, 
DEU.14.18	čápa, různé druhy volavek ani dudka a netopýra. 
DEU.14.19	Také všechna okřídlená havěť pro vás bude nečistá – nesmí se jíst. 
DEU.14.20	Všechno čisté ptactvo však jíst smíte. 
DEU.14.21	Nesmíte jíst žádnou zdechlinu. Dej ji přistěhovalci, který žije ve tvých branách, ať ji sní, nebo ji prodej cizinci. Jsi přece svatý lid Hospodina, svého Boha! 
DEU.14.21	Nevař kůzle v mléce jeho matky. 
DEU.14.22	Věrně odděluj desátek z veškeré úrody své setby, která každoročně vyroste na poli. 
DEU.14.23	Desátky ze svého obilí, vína a oleje, stejně jako prvorozené ze svého skotu a bravu, budeš jíst před Hospodinem, svým Bohem, na místě, které si vyvolí za příbytek pro své jméno. Tak se budeš po všechny dny učit ctít Hospodina, svého Boha. 
DEU.14.24	Bude-li však místo, které si Hospodin, tvůj Bůh, vyvolí, aby tam umístil své jméno, od tebe příliš daleko, takže tam nebudeš moci donést desátky z toho, čím ti Hospodin, tvůj Bůh, požehnal, 
DEU.14.25	můžeš je zpeněžit. Peníze zavaž, vezmi s sebou a vydej se k místu, které si Hospodin, tvůj Bůh, vyvolil. 
DEU.14.26	Za ty peníze tam pořiď vše, nač budeš mít chuť – hovězí, skopové, víno, pivo nebo cokoli budeš chtít. Jez to tam před Hospodinem, svým Bohem, a raduj se s celou svou rodinou. 
DEU.14.27	Nezanedbávej ovšem levitu, který je ve tvém městě, neboť u tebe nemá žádný podíl ani dědictví. 
DEU.14.28	Každý třetí rok vezmi všechny desátky z úrody toho roku a slož je ve svém městě. 
DEU.14.29	Přijde levita (jenž u tebe nemá podíl ani dědictví) a také přistěhovalec, sirotek a vdova, kteří jsou ve tvém městě, a budou jíst do sytosti. Hospodin, tvůj Bůh, pak požehná každou práci, k níž přiložíš ruku. 
DEU.15.1	Každý sedmý rok budeš promíjet dluhy. 
DEU.15.2	Promíjení dluhů se bude dít takto: Každý věřitel promine svému bližnímu, co mu osobně půjčil. Nebude to od svého bližního, totiž od svého bratra, vymáhat, neboť je vyhlášeno Hospodinovo promíjení dluhů. 
DEU.15.3	Od cizince dluh vymáhat smíš, ale co máš u svého bratra, to mu osobně promineš. 
DEU.15.4	Jen ať u tebe nikdo není chudý! Hospodin, tvůj Bůh, ti bohatě požehná v zemi, kterou ti dává za dědictví, abys ji obsadil. 
DEU.15.5	Musíš jen bedlivě poslouchat Hospodina, svého Boha, a pečlivě dodržovat všechna tato přikázání, která ti dnes udílím. 
DEU.15.6	Hospodin, tvůj Bůh, ti pak požehná, jak ti slíbil: budeš moci půjčovat mnohým národům, ale sám si nevypůjčíš a budeš ovládat mnohé národy, ale tebe neovládnou. 
DEU.15.7	Bude-li u tebe někdo chudý (kterýkoli tvůj bratr v kterémkoli městě v zemi, již ti dává Hospodin, tvůj Bůh), pak před svým chudým bratrem nezatvrzuj srdce a neodpírej mu pomoc. 
DEU.15.8	Naopak, ochotně mu nabídni pomoc a půjč mu, co ve své nouzi potřebuje. 
DEU.15.9	Měj se na pozoru, abys v srdci nechoval ničemnou myšlenku: „Blíží se sedmý rok, rok promíjení dluhů…“ Hleděl-li bys na svého bratra lakotně a nic mu nedal, volal by kvůli tobě k Hospodinu a ty bys měl hřích. 
DEU.15.10	Dávej ochotně, nepouštěj si do srdce lakotu! Hospodin, tvůj Bůh, pak požehná veškerou tvou práci a vše, k čemu přiložíš ruku. 
DEU.15.11	A protože v zemi nikdy nepřestanou být chudí, přikazuji ti: „Ochotně nabízej pomoc svému bratru – tomu, kdo je ve tvé zemi chudý a potřebný.“ 
DEU.15.12	Když se ti tvůj bratr, ať Hebrej či Hebrejka, prodá do otroctví, odslouží u tebe šest let, ale sedmého roku jej propustíš na svobodu. 
DEU.15.13	Až ho budeš propouštět na svobodu, nenech jej odejít s prázdnou. 
DEU.15.14	Štědře ho obdaruj ze svého stáda, humna i lisu. Podělíš se s ním o vše, čím ti Hospodin, tvůj Bůh, požehnal. 
DEU.15.15	Pamatuj, že jsi v egyptské zemi sám byl otrokem, ale Hospodin, tvůj Bůh, tě vykoupil. Proto ti to dnes přikazuji. 
DEU.15.16	Řekne-li ti však: „Neodejdu od tebe", protože miluje tebe i tvou rodinu a je mu u tebe dobře, 
DEU.15.17	pak vezmeš šídlo, na dveřích mu jím probodneš ucho a zůstane ve službě navždy. Totéž uděláš, půjde-li o tvou děvečku. 
DEU.15.18	Ať ti není zatěžko propustit jej na svobodu – vždyť se ti za těch šest let vyplatil dvakrát více nežli nádeník! Hospodin, tvůj Bůh, ti pak požehná ve všem, co děláš. 
DEU.15.19	Každého prvorozeného samce ze svého skotu a bravu zasvěť Hospodinu, svému Bohu. Prvorozeného býčka nepoužívej k práci a prvorozeného beránka nestříhej. 
DEU.15.20	Každý rok je se svou rodinou sněz před Hospodinem, svým Bohem, na místě, které si Hospodin vyvolí. 
DEU.15.21	Bude-li však na něm nějaká vada – bude-li kulhavý, slepý nebo s jinou vážnou vadou – nesmíš ho obětovat Hospodinu, svému Bohu. 
DEU.15.22	Můžeš jej sníst ve svém městě, tak jako gazelu či jelena, ať jsi čistý nebo nečistý. 
DEU.15.23	Jen nejez jeho krev – nech ji vytéci na zem jako vodu. 
DEU.16.1	Zachovávej měsíc aviv, kdy budeš Hospodinu, svému Bohu, slavit Pesach, Hod beránka.
DEU.16.2	Na místě, které Hospodin vyvolí za příbytek pro své jméno, přines pro tento hod Hospodinu, svému Bohu, oběť z bravu či skotu. 
DEU.16.3	Nesmíš k němu jíst nic kvašeného. Po sedm dní jez nekvašený chléb, chléb tísně (neboť jsi z Egypta vyšel ve chvatu). Takto si po celý život připomínej den svého odchodu z Egypta. 
DEU.16.4	Po sedm dní ať se u tebe nevyskytne nic kvašeného. Z masa, které jsi obětoval večer prvního dne, ať nezůstane nic až do rána. 
DEU.16.5	Nesmíš pořádat Hod beránka v kterémkoli z měst, která ti Hospodin, tvůj Bůh, dává. 
DEU.16.6	Hod beránka pořádej pouze na místě, které Hospodin, tvůj Bůh, vyvolí za příbytek pro své jméno, a to večer při západu slunce, v dobu, kdy jsi odcházel z Egypta. 
DEU.16.7	Připrav a sněz jej na místě, které si Hospodin, tvůj Bůh, vyvolí, a ráno se vydej zpátky domů. 
DEU.16.8	Po šest dní budeš jíst nekvašené chleby. Sedmého dne pak bude svátek Hospodina, tvého Boha: nebudeš dělat žádnou práci. 
DEU.16.9	Odpočítej si sedm týdnů. Až napočítáš sedm týdnů od začátku obilné žně, 
DEU.16.10	uspořádej Hospodinu, svému Bohu, Slavnost týdnů.
DEU.16.11	Na místě, které Hospodin, tvůj Bůh, vyvolí za příbytek pro své jméno, se pak před Hospodinem, svým Bohem, raduj se svým synem a dcerou, se svým otrokem a děvečkou, s levitou, který je ve tvém městě, a s přistěhovalcem, sirotkem a vdovou ve tvém středu. 
DEU.16.12	Pamatuj, že jsi sám byl v Egyptě otrokem. Proto pečlivě dodržuj tato ustanovení. 
DEU.16.13	Až shromáždíš úrodu ze svého humna i lisu, uspořádej sedmidenní Slavnost stánků.
DEU.16.14	Při této slavnosti se raduj se svým synem a dcerou, se svým otrokem a děvečkou, s levitou i s přistěhovalcem, sirotkem a vdovou, kteří jsou ve tvém městě. 
DEU.16.15	Po sedm dní pořádej pro Hospodina, svého Boha, slavnost na místě, které si Hospodin vyvolí. Hospodin, tvůj Bůh, ti přece požehnal ve vší tvé úrodě a ve vší tvé práci, a tak to náležitě oslav! 
DEU.16.16	Třikrát za rok ať se každý, kdo je u tebe mužského pohlaví, ukáže před Hospodinem, tvým Bohem, na místě, které si on vyvolil: při Slavnosti nekvašených chlebů, při Slavnosti týdnů a při Slavnosti stánků. Nikdo ať se před Hospodinem neukáže s prázdnou. 
DEU.16.17	Každý ať přinese, co si může dovolit, podle toho, jak mu požehnal Hospodin, tvůj Bůh. 
DEU.16.18	Ve městech, která ti Hospodin, tvůj Bůh, dá, si pro každý svůj kmen ustanovte soudce a správce. Ti ať soudí lid spravedlivým soudem. 
DEU.16.19	Nepřekrucuj právo. Buď nestranný a neúplatný, neboť úplatek zaslepuje i oči moudrých a podvrací i rozhodnutí spravedlivých. 
DEU.16.20	Usiluj o spravedlnost, o skutečnou spravedlnost! Pak teprve budeš žít a ovládneš zem, kterou ti Hospodin, tvůj Bůh, dává. 
DEU.16.21	U oltáře, který postavíš Hospodinu, svému Bohu, si nezasadíš žádný strom ani posvátný kůl. 
DEU.16.22	Také si nevztyčíš posvátný sloup – to Hospodin, tvůj Bůh, nenávidí! 
DEU.17.1	Neobětuj Hospodinu, svému Bohu, býka ani berana, na němž by byla vada nebo cokoli špatného – pro Hospodina, tvého Boha, je to ohavnost! 
DEU.17.2	Ve tvém středu, v kterémkoli městě, které ti Hospodin, tvůj Bůh, dá, by se mohl objevit muž nebo žena, kteří by v očích Hospodina, tvého Boha, spáchali tu špatnost, že by přestoupili jeho smlouvu 
DEU.17.3	a odešli sloužit a klanět se cizím bohům – slunci, měsíci či celému nebeskému zástupu (což jsem nikdy nepřikázal). 
DEU.17.4	Bude-li ti to oznámeno nebo se o tom doslechneš, důkladně to prošetři. Pokud se najisto potvrdí, že v Izraeli byla spáchána taková ohavnost, 
DEU.17.5	vyvedeš muže nebo ženu, kteří tu špatnost spáchali, ke svým branám a ukamenuješ je k smrti. 
DEU.17.6	Ten, kdo má zemřít, ať je popraven na základě výpovědi dvou nebo tří svědků. Nesmí být popraven na základě jediného svědectví. 
DEU.17.7	Svědkové ať na něj vztáhnou ruku jako první, aby zemřel, a potom se přidá všechen lid. Odstraň ze svého středu zlo! 
DEU.17.8	Ve tvém městě by se mohlo stát něco mimořádného, co bys nedovedl rozsoudit. Ať už půjde o vraždu, spor či napadení, v těchto sporných případech vstaň a vydej se na místo, které si Hospodin, tvůj Bůh, vyvolí. 
DEU.17.9	Přijď se dotázat levitských kněží nebo soudce, který tam v oněch dnech bude, a oni ti oznámí soudní výrok. 
DEU.17.10	Zachovej se pak podle výroku, který ti oznámí z místa, které si Hospodin vyvolil. Pečlivě dodrž všechny jejich pokyny. 
DEU.17.11	Zachovej se podle pravidla, o němž tě poučí, a podle rozsudku, který ti řeknou. Od výroku, který ti oznámí, se neuchyluj napravo ani nalevo. 
DEU.17.12	Kdyby se někdo odvážil neuposlechnout kněze, stojícího tam ve službě Hospodinu, tvému Bohu, anebo soudce, pak ať ten člověk zemře. Odstraň z Izraele zlo! 
DEU.17.13	Až o tom všechen lid uslyší, přijde na ně bázeň a nebudou už jednat opovážlivě. 
DEU.17.14	Až přijdeš do země, kterou ti Hospodin, tvůj Bůh, dává, ovládneš ji a usadíš se v ní. Řekneš-li si: „Ustanovím nad sebou krále, tak jako všechny národy kolem mne“, 
DEU.17.15	pak nad sebou ustanov jen takového krále, jehož si vyvolí Hospodin, tvůj Bůh. Ustanovíš nad sebou krále ze svých bratří; cizince, jenž by nebyl tvým bratrem, si dosadit nesmíš. 
DEU.17.16	Ať ale nemá mnoho koní, aby neposílal lid zpátky do Egypta pro další koně. Hospodin vám přece řekl: „Touto cestou se už nikdy nevrátíte.“
DEU.17.17	Ať nemá mnoho žen, aby snad jeho srdce nezabloudilo. Také ať nemá příliš mnoho zlata a stříbra. 
DEU.17.18	Až dosedne na svůj královský trůn, ať si nechá od levitských kněží pořídit opis tohoto Zákona. 
DEU.17.19	Tu knihu ať má stále u sebe a čte ji po všechny dny svého života. Tak se bude učit ctít Hospodina, svého Boha, a pečlivě dodržovat všechna slova tohoto Zákona a tato pravidla, 
DEU.17.20	aby se jeho srdce nepozdvihlo nad jeho bratry a aby se neuchýlil od tohoto přikázání napravo ani nalevo. Pak bude moci dlouho kralovat on i jeho synové uprostřed Izraele. 
DEU.18.1	Levitští kněží, totiž celý kmen Levi, nebudou mít podíl ani dědictví v Izraeli. Budou žít z ohnivých obětí Hospodinu, z jeho dědictví. 
DEU.18.2	Nebudou mít dědictví mezi svými bratry – sám Hospodin je jejich dědictvím, jak jim pověděl.
DEU.18.3	Toto budou kněží právoplatně dostávat od lidu: Ti, kdo budou přinášet oběť – ať už ze skotu nebo z bravu – dají knězi plece, obě čelisti a žaludek. 
DEU.18.4	Budeš mu také dávat prvotiny ze svého obilí, vína a oleje a prvotiny z vlny svých ovcí. 
DEU.18.5	Jeho si totiž Hospodin, tvůj Bůh, vyvolil ze všech tvých kmenů, aby po všechny dny stál se svými syny ve službě v Hospodinově jménu. 
DEU.18.6	Kterýkoli levita smí odejít z tvého města (ať už bydlel v Izraeli kdekoli) na místo, které vyvolil Hospodin. Smí odejít, kdykoli se mu zachce. 
DEU.18.7	Bude sloužit ve jménu Hospodina, svého Boha, tak jako jeho ostatní bratři levité, kteří tam stojí před Hospodinem. 
DEU.18.8	Budou jíst stejný podíl bez ohledu na to, co kdo prodal po otcích. 
