GEN.1.1	In the beginning God (
1CH.24.29	By Kish: the sons of Kish, Jerahmeel. 
1CH.24.30	The sons of Mushi: Mahli, Eder, and Jerimoth. These were the sons of the Levites according to their fathers’ households. 
1CH.24.31	These also cast lots as did their relatives the sons of Aaron in the presence of David the king, Zadok, Ahimelech, and the heads of the fathers’ 
1CH.25.1	Moreover, David and the commanders of the army selected for the [temple] service some of the sons of Asaph, Heman, and Jeduthun, who were to 
1CH.25.2	Of the sons of Asaph: Zaccur, Joseph, Nethaniah, and Asharelah; the sons of Asaph were under the direction of Asaph, who prophesied 
1CH.25.3	Of Jeduthun, the sons of Jeduthun: Gedaliah, Zeri, Jeshaiah, Shimei, Hashabiah, and Mattithiah, six, under the direction of their father Jeduthun, who prophesied with the lyre in thanksgiving and praise to the L
1CH.25.4	Of Heman, the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, Romamti-ezer, Joshbekashah, Mallothi, Hothir, and Mahazioth. 
1CH.25.5	All these [men] were the sons of Heman the king’s seer to 
1CH.25.6	All these were under the direction of their father to sing in the house of the L
1CH.25.7	So their number [who led the remainder of the 4,000], with their relatives who were trained in singing to the L
1CH.25.8	The musicians cast lots for their duties, everyone alike, the small (younger) as well as the great (older), the teacher 
1CH.25.9	The first lot for Asaph fell to Joseph; the second to Gedaliah, to him, his relatives and his sons, twelve; 
1CH.25.10	the third to Zaccur, his sons and his relatives, twelve; 
1CH.25.11	the fourth to Izri, his sons and his relatives, twelve; 
1CH.25.12	the fifth to Nethaniah, his sons and his relatives, twelve; 
1CH.25.13	the sixth to Bukkiah, his sons and his relatives, twelve; 
1CH.25.14	the seventh to Jesharelah, his sons and his relatives, twelve; 
1CH.25.15	the eighth to Jeshaiah, his sons and his relatives, twelve; 
1CH.25.16	the ninth to Mattaniah, his sons and his relatives, twelve; 
1CH.25.17	the tenth to Shimei, his sons and his relatives, twelve; 
1CH.25.18	the eleventh to Azarel, his sons and his relatives, twelve; 
1CH.25.19	the twelfth to Hashabiah, his sons and his relatives, twelve; 
1CH.25.20	the thirteenth to Shubael, his sons and his relatives, twelve; 
1CH.25.21	the fourteenth to Mattithiah, his sons and his relatives, twelve; 
1CH.25.22	the fifteenth to Jeremoth, his sons and his relatives, twelve; 
1CH.25.23	the sixteenth to Hananiah, his sons and his relatives, twelve; 
1CH.25.24	the seventeenth of Joshbekashah, his sons and his relatives, twelve; 
1CH.25.25	the eighteenth to Hanani, his sons and his relatives, twelve; 
1CH.25.26	the nineteenth to Mallothi, his sons and his relatives, twelve; 
1CH.25.27	the twentieth to Eliathah, his sons and his relatives, twelve; 
1CH.25.28	the twenty-first to Hothir, his sons and his relatives, twelve; 
1CH.25.29	the twenty-second to Giddalti, his sons and his relatives, twelve; 
1CH.25.30	the twenty-third to Mahazioth, his sons and his relatives, twelve; 
1CH.25.31	the twenty-fourth to Romamti-ezer, his sons and his relatives, twelve.
1CH.26.1	For the divisions of the gatekeepers: Of the Korahites: Meshelemiah the son of Kore, of the sons of Asaph. 
1CH.26.2	Meshelemiah had sons: Zechariah the firstborn, Jediael the second, Zebadiah the third, Jathniel the fourth, 
1CH.26.3	Elam the fifth, Jehohanan the sixth, Eliehoenai the seventh. 
1CH.26.4	Obed-edom had sons: Shemaiah the firstborn, Jehozabad the second, Joah the third, Sacar the fourth, Nethanel the fifth, 
1CH.26.5	Ammiel the sixth, Issachar the seventh, Peullethai the eighth; for God had blessed him. 
1CH.26.6	Also to his son Shemaiah sons were born who ruled over the house of their father, for they were courageous men of ability. 
1CH.26.7	The sons of Shemaiah: Othni, Rephael, Obed, and Elzabad, whose brothers were courageous 
1CH.26.8	All these were sons of Obed-edom [in whose house the ark was kept], they and their sons and relatives, strong 
1CH.26.9	Meshelemiah had sons and relatives, eighteen courageous men. 
1CH.26.10	Also Hosah, one of the sons of Merari, had sons: Shimri the first 
1CH.26.11	Hilkiah the second, Tebaliah the third, Zechariah the fourth; the sons and relatives of Hosah were thirteen in all.
1CH.26.12	To these divisions of the gatekeepers, the chief men, 
1CH.26.13	They cast lots, the small (younger) and great (older) alike, in accordance with their fathers’ households, for every gate. 
1CH.26.14	The lot for the east [gates] fell to Shelemiah. They cast lots also for his son Zechariah, a wise counselor, and his lot came out for the north [gates]. 
1CH.26.15	To Obed-edom [it came out] for the south [gates], and the storehouse 
1CH.26.16	To Shuppim and Hosah [the lot fell] for the west [gates], by the gate of Shallecheth, on the ascending highway, division by division. 
1CH.26.17	On the east were six Levites, on the north four a day, on the south four a day, and two by two at the storehouse. 
1CH.26.18	At the 
1CH.26.19	These were the divisions of the gatekeepers among the Korahites and the sons of Merari.
1CH.26.20	Of the Levites, Ahijah was in charge of the treasuries of the house of God and the treasuries of the dedicated gifts. 
1CH.26.21	The sons of Ladan, the sons of the Gershonites belonging to Ladan, 
1CH.26.22	The sons of Jehieli, Zetham and his brother Joel, were in charge of the treasuries of the house of the L
1CH.26.23	Of the Amramites, Izharites, Hebronites, and Uzzielites: 
1CH.26.24	Shebuel the son of Gershom, the son of Moses, was supervisor over the treasuries. 
1CH.26.25	His relatives by Eliezer were his son Rehabiah, his son Jeshaiah, his son Joram, his son Zichri, and his son Shelomoth. 
1CH.26.26	This Shelomoth and his relatives were in charge of all the treasuries of the dedicated gifts which King David, the heads of the fathers’ 
1CH.26.27	From spoil won in battles they dedicated 
1CH.26.28	Also all that Samuel the seer had dedicated, and Saul the son of Kish, Abner the son of Ner and Joab the son of Zeruiah, everyone who had dedicated 
1CH.26.29	Of the Izharites: Chenaniah and his sons were 
1CH.26.30	Of the Hebronites: Hashabiah and his relatives, 1,700 capable men, were in charge of the affairs of Israel west of the Jordan, for all the work of the L
1CH.26.31	Of the Hebronites: Jerijah was the chief (these Hebronites were examined according to their descendants and fathers’ 
1CH.26.32	and Jerijah’s relatives, 2,700 capable men, were heads of fathers’ 
1CH.27.1	This is the list of the sons (descendants) of Israel, the heads of fathers’ 
1CH.27.2	Jashobeam the son of Zabdiel was in charge of the first division for the first month; and in his division were 24,000. 
1CH.27.3	 descended from Perez, 
1CH.27.4	Dodai the Ahohite and his division was in charge of the division for the second month, Mikloth was the chief officer; and in his division were 24,000. 
1CH.27.5	The third commander of the army for the third month was Benaiah, the son of Jehoiada the priest, as chief; and in his division were 24,000. 
1CH.27.6	This is the Benaiah who was the mighty man of the thirty and was in charge of the thirty; and Ammizabad his son was 
1CH.27.7	The fourth, for the fourth month was Asahel the brother of Joab, and Zebadiah his son after him; and in his division were 24,000. 
1CH.27.8	The fifth, for the fifth month was the commander Shamhuth the Izrahite; and in his division were 24,000. 
1CH.27.9	The sixth, for the sixth month was Ira the son of Ikkesh the Tekoite; and in his division were 24,000. 
1CH.27.10	The seventh, for the seventh month was Helez the Pelonite of the sons of Ephraim; and in his division were 24,000. 
1CH.27.11	The eighth, for the eighth month was Sibbecai the Hushathite of the Zerahites; and in his division were 24,000. 
1CH.27.12	The ninth, for the ninth month was Abiezer of Anathoth, a Benjamite; and in his division were 24,000. 
1CH.27.13	The tenth, for the tenth month was Maharai from Netophah of the Zerahites; and in his division were 24,000. 
1CH.27.14	The eleventh, for the eleventh month was Benaiah the Pirathonite of the sons of Ephraim; and in his division were 24,000. 
1CH.27.15	The twelfth, for the twelfth month was Heldai the Netophathite of Othniel; and in his division were 24,000.
1CH.27.16	Now in charge of the tribes of Israel [were the following]: chief officer of the Reubenites was Eliezer the son of Zichri; of the Simeonites, Shephatiah the son of Maacah; 
1CH.27.17	of Levi, Hashabiah the son of Kemuel; of Aaron, Zadok; 
1CH.27.18	of Judah, Elihu, one of David’s brothers; of Issachar, Omri the son of Michael; 
1CH.27.19	of Zebulun, Ishmaiah the son of Obadiah; of Naphtali, Jeremoth the son of Azriel; 
1CH.27.20	of the Ephraimites, Hoshea the son of Azaziah; of the half-tribe of Manasseh, Joel the son of Pedaiah; 
1CH.27.21	of the half-tribe of Manasseh in Gilead, Iddo the son of Zechariah; of Benjamin, Jaasiel the son of Abner; 
1CH.27.22	of Dan, Azarel the son of Jeroham. These were the leaders of the tribes of Israel. 
1CH.27.23	But David did not count those twenty years of age and under, for the L
1CH.27.24	Joab the son of Zeruiah began a census but did not finish; and because of this, [God’s] wrath came on Israel, and the number was not recorded in the chronicles of King David.
1CH.27.25	Azmaveth the son of Adiel was in charge of the king’s storerooms; and Jonathan the son of Uzziah was in charge of the storehouses in the country, in the cities, in the villages, and in the towers. 
1CH.27.26	Ezri the son of Chelub was in charge of those who did the work of the field, tilling the soil. 
1CH.27.27	Shimei the Ramathite was in charge of the vineyards; Zabdi the Shiphmite was in charge of the produce of the vineyards for the wine cellars. 
1CH.27.28	Baal-hanan the Gederite was in charge of the olive and 
1CH.27.29	Shitrai the Sharonite was in charge of the cattle grazing in Sharon; Shaphat the son of Adlai was in charge of the cattle in the valleys. 
1CH.27.30	Obil the Ishmaelite was in charge of the camels; and Jehdeiah the Meronothite was in charge of the donkeys. 
1CH.27.31	Jaziz the Hagrite was in charge of the flocks. All these were overseers 
1CH.27.32	Also Jonathan, David’s uncle, was a counselor 
1CH.27.33	Ahithophel was counselor to the king; and Hushai the Archite was the king’s companion 
1CH.27.34	Ahithophel was succeeded by Jehoiada the son of Benaiah and by Abiathar; and Joab was the commander of the king’s army.
1CH.28.1	David assembled at Jerusalem all the leaders (officials) of Israel, the leaders of the tribes, and the commanders of the divisions that served the king, and the commanders of thousands, and the commanders of hundreds, and the overseers of all the property and livestock of the king and his sons, with the palace officers and the mighty men, and all the brave warriors. 
1CH.28.2	Then David the king rose to his feet and said, “Hear me, my brothers [in arms] and my people. I had intended to build a permanent home for the ark of the covenant of the L
1CH.28.3	But God said to me, ‘You shall not build a house for My Name (Presence), because you are a man of war and have shed blood.’ 
