GEN.1.1	In the beginning of God's preparing the heavens and the earth —
JDG.11.11	And Jephthah goeth with the elders of Gilead, and the people set him over them for head and for captain, and Jephthah speaketh all his words before 
JDG.11.12	And Jephthah sendeth messengers unto the king of the Bene-Ammon, saying, ‘What — to me and to thee, that thou hast come in unto me, to fight in my land.’
JDG.11.13	And the king of the Bene-Ammon saith unto the messengers of Jephthah, ‘Because Israel took my land in his coming up out of Egypt, from Arnon, and unto the Jabbok, and unto the Jordan; and now, restore them in peace.’
JDG.11.14	And Jephthah addeth yet and sendeth messengers unto the king of the Bene-Ammon,
JDG.11.15	and saith to him, ‘Thus said Jephthah, Israel took not the land of Moab, and the land of the Bene-Ammon,
JDG.11.16	for in their coming up out of Egypt, Israel goeth in the wilderness unto the Red Sea, and cometh in to Kadesh,
JDG.11.17	and Israel sendeth messengers unto the king of Edom, saying, Let me pass over, I pray thee, through thy land, and the king of Edom hearkened not; and also unto the king of Moab hath [Israel] sent, and he hath not been willing; and Israel abideth in Kadesh,
JDG.11.18	and he goeth through the wilderness, and compasseth the land of Edom and the land of Moab, and cometh in at the rising of the sun of the land of Moab, and they encamp beyond Arnon, and have not come into the border of Moab, for Arnon [is] the border of Moab.
JDG.11.19	‘And Israel sendeth messengers unto Sihon, king of the Amorite, king of Heshbon, and Israel saith to him, Let us pass over, we pray thee, through thy land, unto my place,
JDG.11.20	and Sihon hath not trusted Israel to pass over through his border, and Sihon gathereth all his people, and they encamp in Jahaz, and fight with Israel;
JDG.11.21	and 
JDG.11.22	and they possess all the border of the Amorite from Arnon, and unto the Jabbok, and from the wilderness, and unto the Jordan.
JDG.11.23	‘And now, 
JDG.11.24	That which Chemosh thy god causeth thee to possess — dost thou not possess it? and all that which 
JDG.11.25	‘And now, [art] thou at all better than Balak son of Zippor, king of Moab? did he at all strive with Israel? did he at all fight against them?
JDG.11.26	In Israel's dwelling in Heshbon and in its towns, and in Aroer and in its towns, and in all the cities which [are] by the sides of Arnon three hundred years — and wherefore have ye not delivered them in that time?
JDG.11.27	And I — I have not sinned against thee, and thou art doing with me evil — to fight against me. 
JDG.11.28	And the king of the Bene-Ammon hath not hearkened unto the words of Jephthah which he sent unto him,
JDG.11.29	and the Spirit of 
JDG.11.30	And Jephthah voweth a vow to 
JDG.11.31	then it hath been, that which at all cometh out from the doors of my house to meet me in my turning back in peace from the Bene-Ammon — it hath been to 
JDG.11.32	And Jephthah passeth over unto the Bene-Ammon to fight against them, and 
JDG.11.33	and he smiteth them from Aroer, and unto thy going in to Minnith, twenty cities, and unto the meadow of the vineyards — a very great smiting; and the Bene-Ammon are humbled at the presence of the sons of Israel.
JDG.11.34	And Jephthah cometh into Mizpeh, unto his house, and lo, his daughter is coming out to meet him with timbrels, and with choruses, and save her alone, he hath none, son or daughter.
JDG.11.35	And it cometh to pass, when he seeth her, that he rendeth his garments, and saith, ‘Alas, my daughter, thou hast caused me greatly to bend, and thou hast been among those troubling me; and I — I have opened my mouth unto 
JDG.11.36	And she saith unto him, ‘My father — thou hast opened thy mouth unto 
JDG.11.37	And she saith unto her father, ‘Let this thing be done to me; desist from me two months, and I go on, and have gone down on the hills, and I weep for my virginity — I and my friends.’
JDG.11.38	And he saith, ‘Go;’ and he sendeth her away two months, and she goeth, she and her friends, and she weepeth for her virginity on the hills;
JDG.11.39	and it cometh to pass at the end of two months that she turneth back unto her father, and he doth to her his vow which he hath vowed, and she knew not a man; and it is a statute in Israel:
JDG.11.40	from time to time the daughters of Israel go to talk to the daughter of Jephthah the Gileadite, four days in a year.
JDG.12.1	And the men of Ephraim are called together, and pass over northward, and say to Jephthah, ‘Wherefore has thou passed over to fight against the Bene-Ammon, and on us hast not called to go with thee? thy house we burn over thee with fire.’
JDG.12.2	And Jephthah saith unto them, ‘A man of great strife I have been (I and my people) with the Bene-Ammon, and I call you, and ye have not saved me out of their hand,
JDG.12.3	and I see that thou art not a saviour, and I put my life in my hand, and pass over unto the Bene-Ammon, and 
JDG.12.4	And Jephthah gathered all the men of Gilead, and fighteth with Ephraim, and the men of Gilead smite Ephraim, because they said, ‘Fugitives of Ephraim [are] ye Gileadites, in the midst of Ephraim — in the midst of Manasseh.’
JDG.12.5	And Gilead captureth the passages of the Jordan to Ephraim, and it hath been, when [any of] the fugitives of Ephraim say, ‘Let me pass over,’ and the men of Gilead say to him, ‘An Ephramite thou?’ and he saith, ‘No;’
JDG.12.6	that they say to him, ‘Say, I pray thee, Shibboleth;’ and he saith, ‘Sibboleth,’ and is not prepared to speak right — and they seize him, and slaughter him at the passages of the Jordan, and there fall at that time, of Ephraim, forty and two chiefs.
JDG.12.7	And Jephthah judged Israel six years, and Jephthah the Gileadite dieth, and is buried in [one of] the cities of Gilead.
JDG.12.8	And after him Ibzan of Beth-Lehem judgeth Israel,
JDG.12.9	and he hath thirty sons and thirty daughters, he hath sent without and thirty daughters hath brought in to his sons from without; and he judgeth Israel seven years.
JDG.12.10	And Ibzan dieth, and is buried in Beth-Lehem.
JDG.12.11	And after him Elon the Zebulunite judgeth Israel, and he judgeth Israel ten years,
JDG.12.12	and Elon the Zebulunite dieth, and is buried in Aijalon, in the land of Zebulun.
JDG.12.13	And after him, Abdon son of Hillel, the Pirathonite, judgeth Israel,
JDG.12.14	and he hath forty sons, and thirty grandsons, riding on seventy ass-colts, and he judgeth Israel eight years.
JDG.12.15	And Abdon son of Hillel, the Pirathonite, dieth, and is buried in Pirathon, in the land of Ephraim, in the hill-country of the Amalekite.
JDG.13.1	And the sons of Israel add to do the evil thing in the eyes of 
JDG.13.2	And there is a certain man of Zorah, of the family of the Danite, and his name [is] Manoah, his wife [is] barren, and hath not borne;
JDG.13.3	and a messenger of 
JDG.13.4	And, now, take heed, I pray thee, and do not drink wine, and strong drink, and do not eat any unclean thing,
JDG.13.5	for, lo, thou art conceiving and bearing a son, and a razor doth not go up on his head, for a Nazarite to God is the youth from the womb, and he doth begin to save Israel out of the hand of the Philistines.’
JDG.13.6	And the woman cometh and speaketh to her husband, saying, ‘A man of God hath come unto me, and his appearance [is] as the appearance of a messenger of God, very fearful, and I have not asked him whence he [is], and his name he hath not declared to me;
JDG.13.7	and he saith to me, Lo, thou art pregnant, and bearing a son, and now do not drink wine and strong drink, and do not eat any unclean thing, for a Nazarite to God is the youth from the womb till the day of his death.’
JDG.13.8	And Manoah maketh entreaty unto 
JDG.13.9	And God hearkeneth to the voice of Manoah, and the messenger of God cometh again unto the woman, and she [is] sitting in a field, and Manoah her husband is not with her,
JDG.13.10	and the woman hasteth, and runneth, and declareth to her husband, and saith unto him, ‘Lo, he hath appeared unto me — the man who came on [that] day unto me.’
JDG.13.11	And Manoah riseth, and goeth after his wife, and cometh unto the man, and saith to him, ‘Art thou the man who spake unto the woman?’ and he saith, ‘I [am].’
JDG.13.12	And Manoah saith, ‘Now let thy words come to pass; what is the custom of the youth — and his work?’
JDG.13.13	And the messenger of 
JDG.13.14	of anything which cometh out from the wine-vine she doth not eat, and wine and strong drink she doth not drink, and any unclean thing she doth not eat; all that I have commanded her she doth observe.’
JDG.13.15	And Manoah saith unto the messenger of 
JDG.13.16	And the messenger of 
JDG.13.17	And Manoah saith unto the messenger of 
JDG.13.18	And the messenger of 
JDG.13.19	And Manoah taketh the kid of the goats, and the present, and offereth on the rock to 
JDG.13.20	and it cometh to pass, in the going up of the flame from off the altar toward the heavens, that the messenger of 
JDG.13.21	and the messenger of 
JDG.13.22	And Manoah saith unto his wife, ‘We certainly die, for we have seen God.’
JDG.13.23	And his wife saith to him, ‘If 
JDG.13.24	And the woman beareth a son, and calleth his name Samson, and the youth groweth, and 
JDG.13.25	and the Spirit of 
JDG.14.1	And Samson goeth down to Timnath, and seeth a woman in Timnath of the daughters of the Philistines,
JDG.14.2	and cometh up and declareth to his father, and to his mother, and saith, ‘A woman I have seen in Timnath, of the daughters of the Philistines; and now, take her for me for a wife.’
JDG.14.3	And his father saith to him — also his mother, ‘Is there not among the daughters of thy brethren, and among all my people, a woman, that thou art going to take a woman from the uncircumcised Philistines?’ and Samson saith unto his father, ‘Take her for me, for she is right in mine eyes.’
JDG.14.4	And his father and his mother have not known that from 
JDG.14.5	And Samson goeth down — also his father and his mother, to Timnath, and they come unto the vineyards of Timnath, and lo, a lion's whelp roareth at meeting him,
JDG.14.6	and the Spirit of 
JDG.14.7	And he goeth down and speaketh to the woman, and she is right in the eyes of Samson;
