GEN.1.1	In the beginning God created the sky and the earth. 
1SA.22.18	Then the king ordered Doeg, “Go and kill the priests.” So Doeg the Edomite went and killed the priests. That day he killed eighty-five men who wore the linen holy vest. 
1SA.22.19	He also killed the people of Nob, the city of the priests. With the sword he killed men, women, children, babies, cattle, donkeys, and sheep.
1SA.22.20	But Abiathar, a son of Ahimelech, who was the son of Ahitub, escaped. He ran away and joined David. 
1SA.22.21	He told David that Saul had killed the L
1SA.22.22	Then David told him, “Doeg the Edomite was there at Nob that day. I knew he would surely tell Saul. So I am responsible for the death of all your father’s family. 
1SA.22.23	Stay with me. Don’t be afraid. The man who wants to kill you also wants to kill me. You will be safe with me.”
1SA.23.1	Someone told David, “Look, the Philistines are fighting against Keilah and stealing grain from the threshing floors.”
1SA.23.2	David asked the L
1SA.23.2	The L
1SA.23.3	But David’s men said to him, “We’re afraid here in Judah. We will be more afraid if we go to Keilah where the Philistine army is.”
1SA.23.4	David again asked the L
1SA.23.5	So David and his men went to Keilah and fought the Philistines and took their cattle. David killed many Philistines and saved the people of Keilah. 
1SA.23.6	(Now Abiathar son of Ahimelech had brought the holy vest with him when he came to David at Keilah.)
1SA.23.7	Someone told Saul that David was now at Keilah. Saul said, “God has handed David over to me! He has trapped himself, because he has entered a town with gates and bars.” 
1SA.23.8	Saul called all his army together for battle, and they prepared to go down to Keilah to attack David and his men.
1SA.23.9	David learned Saul was making evil plans against him. So he said to Abiathar the priest, “Bring the holy vest.” 
1SA.23.10	David prayed, “L
1SA.23.11	Will the leaders of Keilah hand me over to Saul? Will Saul come down to Keilah, as I heard? L
1SA.23.11	The L
1SA.23.12	Again David asked, “Will the leaders of Keilah hand me and my men over to Saul?”
1SA.23.12	The L
1SA.23.13	So David and his six hundred men left Keilah and kept moving from place to place. When Saul found out that David had escaped from Keilah, he did not go there.
1SA.23.14	David stayed in the desert hideouts and in the hills of the Desert of Ziph. Every day Saul looked for David, but the L
1SA.23.15	While David was at Horesh in the Desert of Ziph, he learned that Saul was coming to kill him. 
1SA.23.16	But Saul’s son Jonathan went to David at Horesh and strengthened his faith in God. 
1SA.23.17	Jonathan told him, “Don’t be afraid, because my father won’t touch you. You will be king of Israel, and I will be second to you. Even my father Saul knows this.” 
1SA.23.18	The two of them made an agreement before the L
1SA.23.19	The people from Ziph went to Saul at Gibeah and told him, “David is hiding in our land. He’s at the hideouts of Horesh, on the hill of Hakilah, south of Jeshimon. 
1SA.23.20	Now, our king, come down anytime you want. It’s our duty to hand David over to you.”
1SA.23.21	Saul answered, “The L
1SA.23.22	Go and learn more about him. Find out where he is staying and who has seen him there. I have heard that he is clever. 
1SA.23.23	Find all the hiding places he uses, and come back and tell me everything. Then I’ll go with you. If David is in the area, I will track him down among all the families in Judah.”
1SA.23.24	So they went back to Ziph ahead of Saul. Now David and his men were in the Desert of Maon in the desert area south of Jeshimon. 
1SA.23.25	Saul and his men went to look for David, but David heard about it and went down to a rock and stayed in the Desert of Maon. When Saul heard that, he followed David into the Desert of Maon.
1SA.23.26	Saul was going along one side of the mountain, and David and his men were on the other side. They were hurrying to get away from Saul, because Saul and his men were closing in on them. 
1SA.23.27	But a messenger came to Saul, saying, “Come quickly! The Philistines are attacking our land!” 
1SA.23.28	So Saul stopped chasing David and went to challenge the Philistines. That is why people call this place Rock of Parting. 
1SA.23.29	David also left the Desert of Maon and stayed in the hideouts of En Gedi.
1SA.24.1	After Saul returned from chasing the Philistines, he was told, “David is in the Desert of En Gedi.” 
1SA.24.2	So he took three thousand chosen men from all Israel and began looking for David and his men near the Rocks of the Wild Goats.
1SA.24.3	Saul came to the sheep pens beside the road. A cave was there, and he went in to relieve himself. Now David and his men were hiding far back in the cave. 
1SA.24.4	The men said to David, “Today is the day the L
1SA.24.4	Then David crept up to Saul and quietly cut off a corner of Saul’s robe. 
1SA.24.5	Later David felt guilty because he had cut off a corner of Saul’s robe. 
1SA.24.6	He said to his men, “May the L
1SA.24.7	David used these words to stop his men; he did not let them attack Saul. Then Saul left the cave and went his way.
1SA.24.8	When David came out of the cave, he shouted to Saul, “My master and king!” Saul looked back, and David bowed facedown on the ground. 
1SA.24.9	He said to Saul, “Why do you listen when people say, ‘David wants to harm you’? 
1SA.24.10	You have seen something with your own eyes today. The L
1SA.24.11	My father, look at this piece of your robe in my hand! I cut off the corner of your robe, but I didn’t kill you. Now understand and know I am not planning any evil against you. I did nothing wrong to you, but you are hunting me to kill me. 
1SA.24.12	May the L
1SA.24.13	There is an old saying: ‘Evil things come from evil people.’ But I am not against you. 
1SA.24.14	Whom is the king of Israel coming out against? Whom are you chasing? It’s as if you are chasing a dead dog or a flea. 
1SA.24.15	May the L
1SA.24.16	When David finished saying these words, Saul asked, “Is that your voice, David my son?” And he cried loudly. 
1SA.24.17	He said, “You are a better man than I am. You have been good to me, but I have done wrong to you. 
1SA.24.18	You told me what good things you did. The L
1SA.24.19	People don’t normally let an enemy get away like this, do they? May the L
1SA.24.20	I know you will surely be king, and you will rule the kingdom of Israel. 
1SA.24.21	Now swear to me by the L
1SA.24.22	So David made the promise to Saul. Then Saul went back home, and David and his men went up to their hideout.
1SA.25.1	Now Samuel died, and all the Israelites met and had a time of sadness for him. Then they buried him at his home in Ramah.
1SA.25.1	David moved to the Desert of Maon. 
1SA.25.2	A man in Maon who had land at Carmel was very rich. He had three thousand sheep and a thousand goats. He was cutting the wool off his sheep at Carmel. 
1SA.25.3	His name was Nabal, and he was a descendant of Caleb. His wife was named Abigail. She was wise and beautiful, but Nabal was cruel and mean.
1SA.25.4	While David was in the desert, he heard that Nabal was cutting the wool from his sheep. 
1SA.25.5	So he sent ten young men and told them, “Go to Nabal at Carmel, and greet him for me. 
1SA.25.6	Say to Nabal, ‘May you and your family and all who belong to you have good health! 
1SA.25.7	I have heard that you are cutting the wool from your sheep. When your shepherds were with us, we did not harm them. All the time your shepherds were at Carmel, we stole nothing from them. 
1SA.25.8	Ask your servants, and they will tell you. We come at a happy time, so be kind to my young men. Please give anything you can find for them and for your son David.’ ”
1SA.25.9	When David’s men arrived, they gave the message to Nabal, but Nabal insulted them. 
1SA.25.10	He answered them, “Who is David? Who is this son of Jesse? Many slaves are running away from their masters today! 
1SA.25.11	I have bread and water, and I have meat that I killed for my servants who cut the wool. But I won’t give it to men I don’t know.”
1SA.25.12	David’s men went back and told him all Nabal had said. 
1SA.25.13	Then David said to them, “Put on your swords!” So they put on their swords, and David put on his also. About four hundred men went with David, but two hundred men stayed with the supplies.
1SA.25.14	One of Nabal’s servants said to Abigail, Nabal’s wife, “David sent messengers from the desert to greet our master, but Nabal insulted them. 
1SA.25.15	These men were very good to us. They did not harm us. They stole nothing from us during all the time we were out in the field with them. 
1SA.25.16	Night and day they protected us. They were like a wall around us while we were with them caring for the sheep. 
