GEN.1.1	In the beginning, God
2KI.20.7	Isaiah said, “Take a cake of figs.”
2KI.20.7	They took and laid it on the boil, and he recovered. 
2KI.20.8	Hezekiah said to Isaiah, “What will be the sign that the 
2KI.20.9	Isaiah said, “This will be the sign to you from the 
2KI.20.10	Hezekiah answered, “It is a light thing for the shadow to go forward ten steps. No, but let the shadow return backward ten steps.”
2KI.20.11	Isaiah the prophet cried to the 
2KI.20.12	At that time Berodach Baladan the son of Baladan, king of Babylon, sent letters and a present to Hezekiah; for he had heard that Hezekiah had been sick. 
2KI.20.13	Hezekiah listened to them, and showed them all the storehouse of his precious things, the silver, the gold, the spices, and the precious oil, and the house of his armour, and all that was found in his treasures. There was nothing in his house, or in all his dominion, that Hezekiah didn’t show them.
2KI.20.14	Then Isaiah the prophet came to king Hezekiah, and said to him, “What did these men say? From where did they come to you?”
2KI.20.14	Hezekiah said, “They have come from a far country, even from Babylon.”
2KI.20.15	He said, “What have they seen in your house?”
2KI.20.15	Hezekiah answered, “They have seen all that is in my house. There is nothing amongst my treasures that I have not shown them.”
2KI.20.16	Isaiah said to Hezekiah, “Hear the 
2KI.20.17	‘Behold, the days come that all that is in your house, and that which your fathers have laid up in store to this day, will be carried to Babylon. Nothing will be left,’ says the 
2KI.20.18	‘They will take away some of your sons who will issue from you, whom you will father; and they will be eunuchs in the palace of the king of Babylon.’”
2KI.20.19	Then Hezekiah said to Isaiah, “The 
2KI.20.20	Now the rest of the acts of Hezekiah, and all his might, and how he made the pool, and the conduit, and brought water into the city, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.20.21	Hezekiah slept with his fathers, and Manasseh his son reigned in his place.
2KI.21.1	Manasseh was twelve years old when he began to reign, and he reigned fifty-five years in Jerusalem. His mother’s name was Hephzibah. 
2KI.21.2	He did that which was evil in the 
2KI.21.3	For he built again the high places which Hezekiah his father had destroyed; and he raised up altars for Baal, and made an Asherah, as Ahab king of Israel did, and worshipped all the army of the sky, and served them. 
2KI.21.4	He built altars in the 
2KI.21.5	He built altars for all the army of the sky in the two courts of the 
2KI.21.6	He made his son to pass through the fire, practised sorcery, used enchantments, and dealt with those who had familiar spirits, and with wizards. He did much evil in the 
2KI.21.7	He set the engraved image of Asherah that he had made in the house of which the 
2KI.21.8	I will not cause the feet of Israel to wander any more out of the land which I gave their fathers, if only they will observe to do according to all that I have commanded them, and according to all the law that my servant Moses commanded them.” 
2KI.21.9	But they didn’t listen, and Manasseh seduced them to do that which is evil more than the nations did whom the 
2KI.21.10	The 
2KI.21.11	“Because Manasseh king of Judah has done these abominations, and has done wickedly above all that the Amorites did, who were before him, and has also made Judah to sin with his idols; 
2KI.21.12	therefore the 
2KI.21.13	I will stretch over Jerusalem the line of Samaria, and the plummet of Ahab’s house; and I will wipe Jerusalem as a man wipes a dish, wiping it and turning it upside down. 
2KI.21.14	I will cast off the remnant of my inheritance, and deliver them into the hands of their enemies. They will become a prey and a plunder to all their enemies, 
2KI.21.15	because they have done that which is evil in my sight, and have provoked me to anger, since the day their fathers came out of Egypt, even to this day.’”
2KI.21.16	Moreover Manasseh shed innocent blood very much, until he had filled Jerusalem from one end to another; in addition to his sin with which he made Judah to sin, in doing that which was evil in the 
2KI.21.17	Now the rest of the acts of Manasseh, and all that he did, and his sin that he sinned, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.21.18	Manasseh slept with his fathers, and was buried in the garden of his own house, in the garden of Uzza; and Amon his son reigned in his place.
2KI.21.19	Amon was twenty-two years old when he began to reign; and he reigned two years in Jerusalem. His mother’s name was Meshullemeth the daughter of Haruz of Jotbah. 
2KI.21.20	He did that which was evil in the 
2KI.21.21	He walked in all the ways that his father walked in, and served the idols that his father served, and worshipped them; 
2KI.21.22	and he abandoned the 
2KI.21.23	The servants of Amon conspired against him, and put the king to death in his own house. 
2KI.21.24	But the people of the land killed all those who had conspired against king Amon; and the people of the land made Josiah his son king in his place. 
2KI.21.25	Now the rest of the acts of Amon which he did, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.21.26	He was buried in his tomb in the garden of Uzza, and Josiah his son reigned in his place.
2KI.22.1	Josiah was eight years old when he began to reign, and he reigned thirty-one years in Jerusalem. His mother’s name was Jedidah the daughter of Adaiah of Bozkath. 
2KI.22.2	He did that which was right in the 
2KI.22.3	In the eighteenth year of king Josiah, the king sent Shaphan, the son of Azaliah the son of Meshullam, the scribe, to the 
2KI.22.4	“Go up to Hilkiah the high priest, that he may count the money which is brought into the 
2KI.22.5	Let them deliver it into the hand of the workmen who have the oversight of the 
2KI.22.6	to the carpenters, and to the builders, and to the masons, and for buying timber and cut stone to repair the house. 
2KI.22.7	However no accounting shall be made with them of the money delivered into their hand; for they deal faithfully.”
2KI.22.8	Hilkiah the high priest said to Shaphan the scribe, “I have found the book of the law in the 
2KI.22.9	Shaphan the scribe came to the king, and brought the king word again, and said, “Your servants have emptied out the money that was found in the house, and have delivered it into the hands of the workmen who have the oversight of the 
2KI.22.10	Shaphan the scribe told the king, saying, “Hilkiah the priest has delivered a book to me.” Then Shaphan read it before the king.
2KI.22.11	When the king had heard the words of the book of the law, he tore his clothes. 
2KI.22.12	The king commanded Hilkiah the priest, Ahikam the son of Shaphan, Achbor the son of Micaiah, Shaphan the scribe, and Asaiah the king’s servant, saying, 
2KI.22.13	“Go enquire of the 
2KI.22.14	So Hilkiah the priest, Ahikam, Achbor, Shaphan, and Asaiah, went to Huldah the prophetess, the wife of Shallum the son of Tikvah, the son of Harhas, keeper of the wardrobe (now she lived in Jerusalem in the second quarter); and they talked with her. 
2KI.22.15	She said to them, “The 
2KI.22.16	“The 
2KI.22.17	Because they have forsaken me, and have burnt incense to other gods, that they might provoke me to anger with all the work of their hands, therefore my wrath shall be kindled against this place, and it will not be quenched.’” 
2KI.22.18	But to the king of Judah, who sent you to enquire of The 
2KI.22.19	because your heart was tender, and you humbled yourself before the 
2KI.22.20	‘Therefore behold, I will gather you to your fathers, and you will be gathered to your grave in peace. Your eyes will not see all the evil which I will bring on this place.’”’” So they brought this message back to the king.
2KI.23.1	The king sent, and they gathered to him all the elders of Judah and of Jerusalem. 
2KI.23.2	The king went up to the 
2KI.23.3	The king stood by the pillar, and made a covenant before the 
2KI.23.4	The king commanded Hilkiah the high priest, and the priests of the second order, and the keepers of the threshold, to bring out of the 
2KI.23.5	He got rid of the idolatrous priests, whom the kings of Judah had ordained to burn incense in the high places in the cities of Judah, and in the places around Jerusalem; those also who burnt incense to Baal, to the sun, and to the moon, and to the planets, and to all the army of the sky. 
2KI.23.6	He brought out the Asherah from the 
2KI.23.7	He broke down the houses of the male shrine prostitutes that were in the 
2KI.23.8	He brought all the priests out of the cities of Judah, and defiled the high places where the priests had burnt incense, from Geba to Beersheba; and he broke down the high places of the gates that were at the entrance of the gate of Joshua the governor of the city, which were on a man’s left hand at the gate of the city. 
