LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
LKA.39.5	Then some of the believers who belonged to the party of the Pharisees stood up and said, “The Gentiles must be circumcised and required to keep the law of Moses.”
LKA.39.6	The apostles and elders met to consider this question. 
LKA.39.7	After much discussion, Peter got up and addressed them: “Brothers, you know that some time ago God made a choice among you that the Gentiles might hear from my lips the message of the gospel and believe. 
LKA.39.8	God, who knows the heart, showed that he accepted them by giving the Holy Spirit to them, just as he did to us. 
LKA.39.9	He did not discriminate between us and them, for he purified their hearts by faith. 
LKA.39.10	Now then, why do you try to test God by putting on the necks of Gentiles a yoke that neither we nor our ancestors have been able to bear? 
LKA.39.11	No! We believe it is through the grace of our Lord Jesus that we are saved, just as they are.”
LKA.39.12	The whole assembly became silent as they listened to Barnabas and Paul telling about the signs and wonders God had done among the Gentiles through them. 
LKA.39.13	When they finished, James spoke up. “Brothers,” he said, “listen to me. 
LKA.39.14	Simon
LKA.39.15	The words of the prophets are in agreement with this, as it is written:
LKA.39.16	“ ‘After this I will return
LKA.39.16	and rebuild Davidʼs fallen tent.
LKA.39.16	Its ruins I will rebuild,
LKA.39.16	and I will restore it,
LKA.39.17	that the rest of mankind may seek the Lord,
LKA.39.17	even all the Gentiles who bear my name,
LKA.39.17	says the Lord, who does these things’
LKA.39.18	things known from long ago.
LKA.39.19	“It is my judgment, therefore, that we should not make it difficult for the Gentiles who are turning to God. 
LKA.39.20	Instead we should write to them, telling them to abstain from food polluted by idols, from sexual immorality, from the meat of strangled animals and from blood. 
LKA.39.21	For the law of Moses has been preached in every city from the earliest times and is read in the synagogues on every Sabbath.”
LKA.39.22	Then the apostles and elders, with the whole church, decided to choose some of their own men and send them to Antioch with Paul and Barnabas. They chose Judas (called Barsabbas) and Silas, men who were leaders among the believers. 
LKA.39.23	With them they sent the following letter:
LKA.39.23	The apostles and elders, your brothers,
LKA.39.23	To the Gentile believers in Antioch, Syria and Cilicia:
LKA.39.23	Greetings.
LKA.39.24	We have heard that some went out from us without our authorization and disturbed you, troubling your minds by what they said. 
LKA.39.25	So we all agreed to choose some men and send them to you with our dear friends Barnabas and Paul —  
LKA.39.26	men who have risked their lives for the name of our Lord Jesus Christ. 
LKA.39.27	Therefore we are sending Judas and Silas to confirm by word of mouth what we are writing. 
LKA.39.28	It seemed good to the Holy Spirit and to us not to burden you with anything beyond the following requirements: 
LKA.39.29	You are to abstain from food sacrificed to idols, from blood, from the meat of strangled animals and from sexual immorality. You will do well to avoid these things.
LKA.39.29	Farewell.
LKA.39.30	So the men were sent off and went down to Antioch, where they gathered the church together and delivered the letter. 
LKA.39.31	The people read it and were glad for its encouraging message. 
LKA.39.32	Judas and Silas, who themselves were prophets, said much to encourage and strengthen the believers. 
LKA.39.33	After spending some time there, they were sent off by the believers with the blessing of peace to return to those who had sent them. 
LKA.39.35	But Paul and Barnabas remained in Antioch, where they and many others taught and preached the word of the Lord.
LKA.39.36	Some time later Paul said to Barnabas, “Let us go back and visit the believers in all the towns where we preached the word of the Lord and see how they are doing.” 
LKA.39.37	Barnabas wanted to take John, also called Mark, with them, 
LKA.39.38	but Paul did not think it wise to take him, because he had deserted them in Pamphylia and had not continued with them in the work. 
LKA.39.39	They had such a sharp disagreement that they parted company. Barnabas took Mark and sailed for Cyprus, 
LKA.39.40	but Paul chose Silas and left, commended by the believers to the grace of the Lord. 
LKA.39.41	He went through Syria and Cilicia, strengthening the churches.
LKA.40.1	Paul came to Derbe and then to Lystra, where a disciple named Timothy lived, whose mother was Jewish and a believer but whose father was a Greek. 
LKA.40.2	The believers at Lystra and Iconium spoke well of him. 
LKA.40.3	Paul wanted to take him along on the journey, so he circumcised him because of the Jews who lived in that area, for they all knew that his father was a Greek. 
LKA.40.4	As they traveled from town to town, they delivered the decisions reached by the apostles and elders in Jerusalem for the people to obey. 
LKA.40.5	So the churches were strengthened in the faith and grew daily in numbers.
LKA.40.6	Paul and his companions traveled throughout the region of Phrygia and Galatia, having been kept by the Holy Spirit from preaching the word in the province of Asia. 
LKA.40.7	When they came to the border of Mysia, they tried to enter Bithynia, but the Spirit of Jesus would not allow them to. 
LKA.40.8	So they passed by Mysia and went down to Troas. 
LKA.40.9	During the night Paul had a vision of a man of Macedonia standing and begging him, “Come over to Macedonia and help us.” 
LKA.40.10	After Paul had seen the vision, we got ready at once to leave for Macedonia, concluding that God had called us to preach the gospel to them.
LKA.40.11	From Troas we put out to sea and sailed straight for Samothrace, and the next day we went on to Neapolis. 
LKA.40.12	From there we traveled to Philippi, a Roman colony and the leading city of that district
LKA.40.13	On the Sabbath we went outside the city gate to the river, where we expected to find a place of prayer. We sat down and began to speak to the women who had gathered there. 
LKA.40.14	One of those listening was a woman from the city of Thyatira named Lydia, a dealer in purple cloth. She was a worshiper of God. The Lord opened her heart to respond to Paulʼs message. 
LKA.40.15	When she and the members of her household were baptized, she invited us to her home. “If you consider me a believer in the Lord,” she said, “come and stay at my house.” And she persuaded us.
LKA.40.16	Once when we were going to the place of prayer, we were met by a female slave who had a spirit by which she predicted the future. She earned a great deal of money for her owners by fortune-telling. 
LKA.40.17	She followed Paul and the rest of us, shouting, “These men are servants of the Most High God, who are telling you the way to be saved.” 
LKA.40.18	She kept this up for many days. Finally Paul became so annoyed that he turned around and said to the spirit, “In the name of Jesus Christ I command you to come out of her!” At that moment the spirit left her.
LKA.40.19	When her owners realized that their hope of making money was gone, they seized Paul and Silas and dragged them into the marketplace to face the authorities. 
LKA.40.20	They brought them before the magistrates and said, “These men are Jews, and are throwing our city into an uproar 
LKA.40.21	by advocating customs unlawful for us Romans to accept or practice.”
LKA.40.22	The crowd joined in the attack against Paul and Silas, and the magistrates ordered them to be stripped and beaten with rods. 
LKA.40.23	After they had been severely flogged, they were thrown into prison, and the jailer was commanded to guard them carefully. 
LKA.40.24	When he received these orders, he put them in the inner cell and fastened their feet in the stocks.
