GEN.1.1	 In the beginning God created heaven and earth.
EZK.7.19	 They will throw their silver and gold into the streets like garbage. Their silver and gold won’t be able to rescue them on the day of the L
EZK.7.20	 They were proud of their beautiful jewels and used them to make disgusting and detestable statues ⌊of false gods⌋. That is why I will make their jewels disgusting. 
EZK.7.21	 I will hand their jewels over to foreigners as loot and to the most evil people on earth as prizes. These foreigners will dishonor the people of Israel. 
EZK.7.22	 I will turn my face away from the people of Israel, and foreigners will dishonor my treasured place. Robbers will go in and dishonor it.
EZK.7.23	 “Get the chains ready! The land is filled with murder, and the city is filled with violence. 
EZK.7.24	 So I will send the most evil nation, and it will take possession of people’s houses. I will stop those who are strong from feeling proud, and their holy places will be dishonored. 
EZK.7.25	 Anguish is coming. People will look for peace, but there will be none. 
EZK.7.26	 One disaster will happen after another. One rumor will follow another. People will ask for a vision from a prophet. The teachings of priests and the advice of leaders will disappear. 
EZK.7.27	 Kings will mourn, and princes will give up hope. The common people will lose their courage. I will give them what they deserve and judge them as they have judged others. Then they will know that I am the L
EZK.8.1	 On the fifth day of the sixth month in the sixth year, I was sitting in my home. Judah’s leaders were sitting in front of me. The power of the Almighty L
EZK.8.2	 As I looked, I saw something that looked like a human. From the waist down its body looked like fire, and from the waist up its body looked like glowing metal. 
EZK.8.3	 It stretched out what looked like a hand and grabbed me by the hair on my head. In these visions from God, the Spirit carried me between heaven and earth. He took me to Jerusalem, to the entrance to the north gate of the inner courtyard of the temple. That was where an idol that stirs up ⌊God’s⌋ anger was located. 
EZK.8.4	 There I saw the glory of Israel’s God as I did in the vision that I saw in the valley.
EZK.8.5	 God said to me, “Son of man, look toward the north.” So I looked toward the north, and there in the entrance to the north gate beside the altar, I saw the idol that stirs up ⌊God’s⌋ anger.
EZK.8.6	 He asked me, “Son of man, do you see what the people of Israel are doing? The people of Israel are doing very disgusting things here, things that will force me to go far away from my holy place. But you will see even more disgusting things.”
EZK.8.7	 Then he took me to the entrance of the courtyard. As I looked, I saw a hole in the wall. 
EZK.8.8	 He said to me, “Son of man, dig through the wall.” So I dug through the wall, and I saw a door.
EZK.8.9	 He said to me, “Go in, and see the wicked, disgusting things that the people of Israel are doing here.” 
EZK.8.10	 So I went in and looked. I saw that the walls were covered with drawings of every kind of crawling creature, every kind of disgusting animal, and all the idols in the nation of Israel. 
EZK.8.11	 In front of these drawings stood 70 of Israel’s leaders. Jaazaniah, son of Shaphan, was standing with the leaders. Each of them was holding an incense burner in his hand, and a cloud of incense went up.
EZK.8.12	 God asked me, “Son of man, do you see what the leaders of the nation of Israel are doing in secret? Each of them is in the room where his god is, and each one of them is thinking, ‘The L
EZK.8.13	 Then he said to me, “You will see even more disgusting things that they are doing.”
EZK.8.14	 He brought me to the entrance of the north gate of the L
EZK.8.15	 He asked me, “Son of man, do you see this? You will see even more disgusting things than these.”
EZK.8.16	 Then he brought me into the inner courtyard of the L
EZK.8.17	 He asked me, “Son of man, do you see this? Isn’t it bad enough that the people of Judah have done these disgusting things that you have seen here? Yet, they also fill the land with violence and continue to provoke me even more. Look how they insult me in the worst possible way.
EZK.8.18	 So I will take action because I’m angry, and I won’t have compassion for them or feel sorry for them. Even if they shout in my ears, I won’t listen to them.”
EZK.9.1	 Then I heard the L
EZK.9.2	 So six men came from the upper north gate. Each one brought a deadly weapon with him. Among them was a person dressed in linen who was carrying paper and pen. The men came in and stood by the bronze altar. 
EZK.9.3	 Then the glory of the God of Israel went up from the angels,
EZK.9.4	 The L
EZK.9.5	 Then he said to the others as I was listening, “Follow him throughout the city and kill. Don’t have any compassion, and don’t feel sorry. 
EZK.9.6	 Kill old men, young men, old women, young women, and children. But don’t come near anyone who has a mark on him. Start with my holy place.” So they started with the old men in front of the temple.
EZK.9.7	 He said to them, “Dishonor the temple! Fill its courtyards with dead people, and then leave.” So they went out and killed the people in the city.
EZK.9.8	 As they were killing people, I was left alone. So I immediately bowed down. I cried, “Almighty L
EZK.9.9	 He answered me, “The wickedness of the nations of Israel and Judah is terrible. The land is filled with murder, and the city is filled with wrongdoing. They think that the L
EZK.9.10	 But I will not have compassion or feel sorry. I will do to them what they have done to others.”
EZK.9.11	 Then the person dressed in linen who was carrying paper and pen reported, “I did everything you commanded.”
EZK.10.1	 As I looked at the dome over the heads of the angels,
EZK.10.2	 The L
EZK.10.3	 The angels were standing on the south side of the temple as the person went. A cloud filled the inner courtyard. 
EZK.10.4	 The L
EZK.10.5	 The sound of the angels’ wings was heard as far as the outer courtyard. It was like the sound of the Almighty God when he speaks.
EZK.10.6	 After the L
EZK.10.7	 One of the angels reached into the fire that was between the angels and took out some coals. This angel put them in the hands of the person dressed in linen. The person took them and left.
EZK.10.8	 The angels appeared to have what looked like human hands under their wings. 
EZK.10.9	 As I looked, I saw four wheels beside the angels, one wheel beside each of the angels. The wheels looked like beryl. 
EZK.10.10	 All four wheels looked the same. Each was like a wheel within a wheel. 
EZK.10.11	 Whenever the angels moved, they moved in any of the four directions without turning as they moved. They always moved in the direction they faced without turning as they moved. 
EZK.10.12	 Their entire bodies, their backs, hands, wings, and wheels were covered with eyes. Each of the angels had a wheel. 
EZK.10.13	 I heard that the wheels were called the whirling wheels. 
EZK.10.14	 Each of the angels had four faces. The first was the face of an angel, the second was the face of a human, the third was the face of a lion, and the fourth was the face of an eagle.
EZK.10.15	 The angels rose. These were the living creatures that I saw at the Chebar River. 
EZK.10.16	 When the angels moved, the wheels moved beside them. When the angels lifted their wings to rise from the ground, the wheels didn’t leave their side. 
EZK.10.17	 When the angels stood still, the wheels stood still. When the angels rose, the wheels rose with them. The spirit of the living creatures was in the wheels. 
EZK.10.18	 Then the glory of the L
EZK.10.19	 The angels lifted their wings and rose from the ground. I was watching them as they left with the wheels beside them. The angels stood at the door to the east gate of the L
EZK.10.20	 These are the living creatures that I saw under the God of Israel at the Chebar River. I realized that they were angels. 
EZK.10.21	 Each had four faces and four wings, and under their wings were what looked like human hands. 
EZK.10.22	 Their faces looked exactly like the faces that I saw by the Chebar River. Each one went straight ahead.
EZK.11.1	 Then the Spirit lifted me and took me to the east gate of the L
EZK.11.2	 Then the L
EZK.11.3	 They say, ‘It’s almost time to rebuild homes. This city is a cooking pot, and we’re the meat.’ 
EZK.11.4	 So prophesy against them. Prophesy, son of man.”
EZK.11.5	 The L
EZK.11.6	 You have killed many people in this city and have filled its streets with corpses.
EZK.11.7	 “So this is what the Almighty L
EZK.11.8	 You are afraid of swords, so I will bring swords to attack you, declares the Almighty L
EZK.11.9	 I will force you out of the city. I will hand you over to foreigners, and I will punish you. 
EZK.11.10	 You will die in battle. I will judge you at Israel’s borders. Then you will know that I am the L
EZK.11.11	 The city will not be your cooking pot, and you will not be the meat in it. I will judge you at Israel’s borders. 
EZK.11.12	 Then you will know that I am the L
EZK.11.13	 While I was prophesying, Benaiah’s son Pelatiah died.
EZK.11.13	I immediately bowed down and cried out, “Almighty L
EZK.11.14	 Then the L
EZK.11.15	 “Son of man, the people who live in Jerusalem are talking about your own relatives and about the entire nation of Israel. The people who live in Jerusalem say, ‘They are far away from the L
EZK.11.16	 “So tell them, ‘This is what the Almighty L
EZK.11.17	 “So tell them, ‘This is what the Almighty L
EZK.11.18	 They will come and remove all the disgusting and detestable things that are there. 
EZK.11.19	 I will give them a single purpose and put a new spirit in them. I will remove their stubborn hearts and give them obedient hearts. 
EZK.11.20	 Then they will live by my laws and obey my rules. They will be my people, and I will be their God. 
EZK.11.21	 But as for those whose minds are set on following detestable and disgusting idols, I will pay them back for what they have done, declares the Almighty L
EZK.11.22	 Then the angels 
EZK.11.23	 The L
EZK.11.24	 In this vision from God’s Spirit, the Spirit lifted me and brought me to the exiles in Babylonia. Then the vision I saw left me.
EZK.11.25	 I told the exiles everything the L
EZK.12.1	 The L
EZK.12.2	 “Son of man, you are living among rebellious people. They have eyes, but they can’t see. They have ears, but they can’t hear because they are rebellious people.
EZK.12.3	 “Son of man, pack your bags as if you were going into exile. Let the people see you leave in the daylight. March like a captive from your place to another place as they watch. Maybe they will understand, even though they are rebellious people. 
EZK.12.4	 Let them see you in the daylight. Bring out your bags as if you were going into exile. In the evening let them see you leave like a captive going into exile. 
