GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
PSA.92.6	the stupid cannot understand this:
PSA.92.7	that, though the wicked sprout like grass
PSA.92.7	and all evildoers flourish,
PSA.92.7	they are doomed to destruction for ever,
PSA.92.8	but thou, O 
PSA.92.9	For lo, thy enemies, O 
PSA.92.9	for lo, thy enemies shall perish;
PSA.92.9	all evildoers shall be scattered.
PSA.92.10	But thou hast exalted my horn like that of the wild ox;
PSA.92.10	thou hast poured over me
PSA.92.11	My eyes have seen the downfall of my enemies,
PSA.92.11	my ears have heard the doom of my evil assailants.
PSA.92.12	The righteous flourish like the palm tree,
PSA.92.12	and grow like a cedar in Lebanon.
PSA.92.13	They are planted in the house of the 
PSA.92.13	they flourish in the courts of our God.
PSA.92.14	They still bring forth fruit in old age,
PSA.92.14	they are ever full of sap and green,
PSA.92.15	to show that the 
PSA.92.15	he is my rock, and there is no unrighteousness in him.
PSA.93.1	The 
PSA.93.1	the 
PSA.93.1	Yea, the world is established; it shall never be moved;
PSA.93.2	thy throne is established from of old;
PSA.93.2	thou art from everlasting.
PSA.93.3	The floods have lifted up, O 
PSA.93.3	the floods have lifted up their voice,
PSA.93.3	the floods lift up their roaring.
PSA.93.4	Mightier than the thunders of many waters,
PSA.93.4	mightier than the waves
PSA.93.4	the 
PSA.93.5	Thy decrees are very sure;
PSA.93.5	holiness befits thy house,
PSA.93.5	O 
PSA.94.1	O 
PSA.94.1	thou God of vengeance, shine forth!
PSA.94.2	Rise up, O judge of the earth;
PSA.94.2	render to the proud their deserts!
PSA.94.3	O 
PSA.94.3	how long shall the wicked exult?
PSA.94.4	They pour out their arrogant words,
PSA.94.4	they boast, all the evildoers.
PSA.94.5	They crush thy people, O 
PSA.94.5	and afflict thy heritage.
PSA.94.6	They slay the widow and the sojourner,
PSA.94.6	and murder the fatherless;
PSA.94.7	and they say, “The 
PSA.94.7	the God of Jacob does not perceive.”
PSA.94.8	Understand, O dullest of the people!
PSA.94.8	Fools, when will you be wise?
PSA.94.9	He who planted the ear, does he not hear?
PSA.94.9	He who formed the eye, does he not see?
PSA.94.10	He who chastens the nations, does he not chastise?
PSA.94.10	He who teaches men knowledge,
PSA.94.11	that they are but a breath.
PSA.94.12	Blessed is the man whom thou dost chasten, O 
PSA.94.12	and whom thou dost teach out of thy law
PSA.94.13	to give him respite from days of trouble,
PSA.94.13	until a pit is dug for the wicked.
PSA.94.14	For the 
PSA.94.14	he will not abandon his heritage;
PSA.94.15	for justice will return to the righteous,
PSA.94.15	and all the upright in heart will follow it.
PSA.94.16	Who rises up for me against the wicked?
PSA.94.16	Who stands up for me against evildoers?
PSA.94.17	If the 
PSA.94.17	my soul would soon have dwelt in the land of silence.
PSA.94.18	When I thought, “My foot slips,”
PSA.94.18	thy steadfast love, O 
PSA.94.19	When the cares of my heart are many,
PSA.94.19	thy consolations cheer my soul.
PSA.94.20	Can wicked rulers be allied with thee,
PSA.94.20	who frame mischief by statute?
PSA.94.21	They band together against the life of the righteous,
PSA.94.21	and condemn the innocent to death.
PSA.94.22	But the 
PSA.94.22	and my God the rock of my refuge.
PSA.94.23	He will bring back on them their iniquity
PSA.94.23	and wipe them out for their wickedness;
PSA.94.23	the 
PSA.95.1	O come, let us sing to the 
PSA.95.1	let us make a joyful noise to the rock of our salvation!
PSA.95.2	Let us come into his presence with thanksgiving;
PSA.95.2	let us make a joyful noise to him with songs of praise!
PSA.95.3	For the 
PSA.95.3	and a great King above all gods.
PSA.95.4	In his hand are the depths of the earth;
PSA.95.4	the heights of the mountains are his also.
PSA.95.5	The sea is his, for he made it;
PSA.95.5	for his hands formed the dry land.
PSA.95.6	O come, let us worship and bow down,
PSA.95.6	let us kneel before the 
PSA.95.7	and we are the people of his pasture,
PSA.95.7	and the sheep of his hand.
PSA.95.7	O that today you would hearken to his voice!
PSA.95.8	Harden not your hearts, as at Meribah,
PSA.95.8	as on the day at Massah in the wilderness,
PSA.95.9	when your fathers tested me,
PSA.95.9	and put me to the proof, though they had seen my work.
PSA.95.10	For forty years I loathed that generation
PSA.95.10	and said, “They are a people who err in heart,
PSA.95.10	and they do not regard my ways.”
PSA.95.11	Therefore I swore in my anger
PSA.95.11	that they should not enter my rest.
PSA.96.1	sing to the 
PSA.96.2	Sing to the 
PSA.96.2	tell of his salvation from day to day.
PSA.96.3	Declare his glory among the nations,
PSA.96.3	his marvelous works among all the peoples!
PSA.96.4	For great is the 
PSA.96.4	he is to be feared above all gods.
PSA.96.5	For all the gods of the peoples are idols;
PSA.96.5	but the 
PSA.96.6	Honor and majesty are before him;
PSA.96.6	strength and beauty are in his sanctuary.
PSA.96.7	Ascribe to the 
PSA.96.7	ascribe to the 
PSA.96.8	Ascribe to the 
PSA.96.8	bring an offering, and come into his courts!
PSA.96.9	Worship the 
PSA.96.9	tremble before him, all the earth!
PSA.96.10	Say among the nations, “The 
PSA.96.10	Yea, the world is established, it shall never be moved;
PSA.96.10	he will judge the peoples with equity.”
PSA.96.11	Let the heavens be glad, and let the earth rejoice;
PSA.96.11	let the sea roar, and all that fills it;
PSA.96.12	let the field exult, and everything in it!
PSA.96.12	Then shall all the trees of the wood sing for joy
PSA.96.13	before the 
PSA.96.13	for he comes to judge the earth.
PSA.96.13	He will judge the world with righteousness,
PSA.96.13	and the peoples with his truth.
PSA.97.1	The 
PSA.97.1	let the many coastlands be glad!
PSA.97.2	Clouds and thick darkness are round about him;
PSA.97.2	righteousness and justice are the foundation of his throne.
PSA.97.3	Fire goes before him,
PSA.97.3	and burns up his adversaries round about.
PSA.97.4	His lightnings lighten the world;
PSA.97.4	the earth sees and trembles.
PSA.97.5	The mountains melt like wax before the 
PSA.97.5	before the Lord of all the earth.
PSA.97.6	The heavens proclaim his righteousness;
PSA.97.6	and all the peoples behold his glory.
PSA.97.7	who make their boast in worthless idols;
PSA.97.7	all gods bow down before him.
PSA.97.8	Zion hears and is glad,
PSA.97.8	and the daughters of Judah rejoice,
PSA.97.8	because of thy judgments, O God.
PSA.97.9	For thou, O 
PSA.97.9	thou art exalted far above all gods.
PSA.97.10	The 
PSA.97.10	he preserves the lives of his saints;
PSA.97.10	he delivers them from the hand of the wicked.
PSA.97.11	Light dawns
PSA.97.11	and joy for the upright in heart.
PSA.97.12	Rejoice in the 
PSA.97.12	and give thanks to his holy name!
PSA.98.1	O sing to the 
PSA.98.1	for he has done marvelous things!
PSA.98.1	His right hand and his holy arm
PSA.98.1	have gotten him victory.
PSA.98.2	The 
PSA.98.2	he has revealed his vindication in the sight of the nations.
PSA.98.3	He has remembered his steadfast love and faithfulness
PSA.98.3	to the house of Israel.
PSA.98.3	All the ends of the earth have seen
PSA.98.3	the victory of our God.
PSA.98.4	Make a joyful noise to the 
PSA.98.4	break forth into joyous song and sing praises!
PSA.98.5	Sing praises to the 
PSA.98.5	with the lyre and the sound of melody!
PSA.98.6	With trumpets and the sound of the horn
PSA.98.6	make a joyful noise before the King, the 
PSA.98.7	Let the sea roar, and all that fills it;
PSA.98.7	the world and those who dwell in it!
PSA.98.8	Let the floods clap their hands;
PSA.98.8	let the hills sing for joy together
PSA.98.9	before the 
PSA.98.9	to judge the earth.
PSA.98.9	He will judge the world with righteousness,
PSA.98.9	and the peoples with equity.
PSA.99.1	The 
PSA.99.1	He sits enthroned upon the cherubim; let the earth quake!
PSA.99.2	The 
PSA.99.2	he is exalted over all the peoples.
PSA.99.3	Let them praise thy great and terrible name!
PSA.99.3	Holy is he!
PSA.99.4	Mighty King,
PSA.99.4	thou hast established equity;
PSA.99.4	thou hast executed justice
PSA.99.4	and righteousness in Jacob.
PSA.99.5	Extol the 
PSA.99.5	worship at his footstool!
PSA.99.5	Holy is he!
PSA.99.6	Moses and Aaron were among his priests,
PSA.99.6	Samuel also was among those who called on his name.
PSA.99.6	They cried to the 
PSA.99.7	He spoke to them in the pillar of cloud;
PSA.99.7	they kept his testimonies,
PSA.99.7	and the statutes that he gave them.
PSA.99.8	O 
PSA.99.8	thou wast a forgiving God to them,
PSA.99.8	but an avenger of their wrongdoings.
PSA.99.9	Extol the 
PSA.99.9	and worship at his holy mountain;
PSA.99.9	for the 
PSA.100.1	Make a joyful noise to the 
PSA.100.2	Serve the 
PSA.100.2	Come into his presence with singing!
PSA.100.3	Know that the 
PSA.100.3	It is he that made us, and we are his;
PSA.100.3	we are his people, and the sheep of his pasture.
PSA.100.4	Enter his gates with thanksgiving,
PSA.100.4	and his courts with praise!
PSA.100.4	Give thanks to him, bless his name!
PSA.100.5	For the 
PSA.100.5	his steadfast love endures for ever,
PSA.100.5	and his faithfulness to all generations.
PSA.101.1	I will sing of loyalty and of justice;
PSA.101.1	to thee, O 
PSA.101.2	I will give heed to the way that is blameless.
PSA.101.2	Oh when wilt thou come to me?
PSA.101.2	I will walk with integrity of heart
PSA.101.2	within my house;
PSA.101.3	I will not set before my eyes
PSA.101.3	anything that is base.
PSA.101.3	I hate the work of those who fall away;
PSA.101.3	it shall not cleave to me.
PSA.101.4	Perverseness of heart shall be far from me;
PSA.101.4	I will know nothing of evil.
PSA.101.5	Him who slanders his neighbor secretly
PSA.101.5	I will destroy.
PSA.101.5	The man of haughty looks and arrogant heart
PSA.101.5	I will not endure.
PSA.101.6	I will look with favor on the faithful in the land,
PSA.101.6	that they may dwell with me;
PSA.101.6	he who walks in the way that is blameless
PSA.101.6	shall minster to me.
PSA.101.7	No man who practices deceit
PSA.101.7	shall dwell in my house;
PSA.101.7	no man who utters lies
PSA.101.7	shall continue in my presence.
PSA.101.8	Morning by morning I will destroy
PSA.101.8	all the wicked in the land,
PSA.101.8	cutting off all the evildoers
PSA.101.8	from the city of the 
PSA.102.1	Hear my prayer, O 
PSA.102.1	let my cry come to thee!
PSA.102.2	Do not hide thy face from me
PSA.102.2	in the day of my distress!
PSA.102.2	Incline thy ear to me;
PSA.102.2	answer me speedily in the day when I call!
PSA.102.3	For my days pass away like smoke,
PSA.102.3	and my bones burn like a furnace.
PSA.102.4	My heart is smitten like grass, and withered;
PSA.102.4	I forget to eat my bread.
PSA.102.5	Because of my loud groaning
PSA.102.5	my bones cleave to my flesh.
PSA.102.6	I am like a vulture
PSA.102.6	like an owl of the waste places;
PSA.102.7	I lie awake,
PSA.102.7	I am like a lonely bird on the housetop.
PSA.102.8	All the day my enemies taunt me,
PSA.102.8	those who deride me use my name for a curse.
PSA.102.9	For I eat ashes like bread,
PSA.102.9	and mingle tears with my drink,
PSA.102.10	because of thy indignation and anger;
PSA.102.10	for thou hast taken me up and thrown me away.
PSA.102.11	My days are like an evening shadow;
PSA.102.11	I wither away like grass.
PSA.102.12	But thou, O 
PSA.102.12	thy name endures to all generations.
PSA.102.13	Thou wilt arise and have pity on Zion;
PSA.102.13	it is the time to favor her;
PSA.102.13	the appointed time has come.
PSA.102.14	For thy servants hold her stones dear,
PSA.102.14	and have pity on her dust.
PSA.102.15	The nations will fear the name of the 
PSA.102.15	and all the kings of the earth thy glory.
PSA.102.16	For the 
PSA.102.16	he will appear in his glory;
PSA.102.17	he will regard the prayer of the destitute,
PSA.102.17	and will not despise their supplication.
PSA.102.18	Let this be recorded for a generation to come,
PSA.102.18	so that a people yet unborn may praise the 
PSA.102.19	that he looked down from his holy height,
PSA.102.19	from heaven the 
PSA.102.20	to hear the groans of the prisoners,
PSA.102.20	to set free those who were doomed to die;
PSA.102.21	that men may declare in Zion the name of the 
PSA.102.21	and in Jerusalem his praise,
PSA.102.22	when peoples gather together,
PSA.102.22	and kingdoms, to worship the 
PSA.102.23	He has broken my strength in midcourse;
PSA.102.23	he has shortened my days.
PSA.102.24	“O my God,” I say, “take me not hence
PSA.102.24	in the midst of my days,
PSA.102.24	thou whose years endure
PSA.102.24	throughout all generations!”
PSA.102.25	and the heavens are the work of thy hands.
PSA.102.26	They will perish, but thou dost endure;
PSA.102.26	they will all wear out like a garment.
PSA.102.26	Thou changest them like raiment, and they pass away;
PSA.102.27	but thou art the same, and thy years have no end.
PSA.102.28	The children of thy servants shall dwell secure;
PSA.102.28	their posterity shall be established before thee.
PSA.103.1	Bless the 
PSA.103.1	and all that is within me, bless his holy name!
PSA.103.2	Bless the 
PSA.103.2	and forget not all his benefits,
PSA.103.3	who forgives all your iniquity,
PSA.103.3	who heals all your diseases,
PSA.103.4	who redeems your life from the Pit,
PSA.103.4	who crowns you with steadfast love and mercy,
PSA.103.5	who satisfies you with good as long as you live
PSA.103.5	so that your youth is renewed like the eagle's.
PSA.103.6	The 
PSA.103.6	and justice for all who are oppressed.
PSA.103.7	He made known his ways to Moses,
PSA.103.7	his acts to the people of Israel.
PSA.103.8	slow to anger and abounding in steadfast love.
PSA.103.9	He will not always chide,
PSA.103.9	nor will he keep his anger for ever.
PSA.103.10	He does not deal with us according to our sins,
PSA.103.10	nor requite us according to our iniquities.
PSA.103.11	For as the heavens are high above the earth,
PSA.103.11	so great is his steadfast love toward those who fear him;
PSA.103.12	as far as the east is from the west,
PSA.103.12	so far does he remove our transgressions from us.
PSA.103.13	As a father pities his children,
PSA.103.13	so the 
PSA.103.14	For he knows our frame;
PSA.103.14	he remembers that we are dust.
PSA.103.15	As for man, his days are like grass;
PSA.103.15	he flourishes like a flower of the field;
PSA.103.16	for the wind passes over it, and it is gone,
PSA.103.16	and its place knows it no more.
PSA.103.17	upon those who fear him,
PSA.103.17	and his righteousness to children's children,
PSA.103.18	to those who keep his covenant
PSA.103.18	and remember to do his commandments.
PSA.103.19	The 
PSA.103.19	and his kingdom rules over all.
PSA.103.20	Bless the 
PSA.103.20	you mighty ones who do his word,
