GEN.1.1	In the 
1CH.3.20	and Hashubah, Ohel, Berechiah, Hasadiah, and Jushab-Hesed—five 
1CH.3.21	The sons of Hananiah 
1CH.3.22	The son of Shechaniah was Shemaiah. The sons of Shemaiah 
1CH.3.23	The sons of Neariah 
1CH.3.24	The sons of Elioenai 
1CH.4.1	The sons of Judah 
1CH.4.2	And Reaiah the son of Shobal begot Jahath, and Jahath begot Ahumai and Lahad. These 
1CH.4.3	These 
1CH.4.4	and Penuel 
1CH.4.4	These 
1CH.4.5	And 
1CH.4.6	Naarah bore him Ahuzzam, Hepher, Temeni, and Haahashtari. These 
1CH.4.7	The sons of Helah 
1CH.4.8	and Koz begot Anub, Zobebah, and the families of Aharhel the son of Harum.
1CH.4.9	Now Jabez was 
1CH.4.10	And Jabez called on the God of Israel saying, “Oh, that You would bless me indeed, and enlarge my territory, that Your hand would be with me, and that You would keep 
1CH.4.11	Chelub the brother of 
1CH.4.12	And Eshton begot Beth-Rapha, Paseah, and Tehinnah the father of Ir-Nahash. These 
1CH.4.13	The sons of Kenaz 
1CH.4.14	and Meonothai 
1CH.4.15	The sons of 
1CH.4.16	The sons of Jehallelel 
1CH.4.17	The sons of Ezrah 
1CH.4.18	(His wife Jehudijah bore Jered the father of Gedor, Heber the father of Sochoh, and Jekuthiel the father of Zanoah.) And these were the sons of Bithiah the daughter of Pharaoh, whom Mered took.
1CH.4.19	The sons of Hodiah’s wife, the sister of Naham, 
1CH.4.20	And the sons of Shimon 
1CH.4.21	The sons of 
1CH.4.22	also Jokim, the men of Chozeba, and Joash; Saraph, who ruled in Moab, and Jashubi-Lehem. Now the records are ancient. 
1CH.4.23	These 
1CH.4.24	The 
1CH.4.25	Shallum his son, Mibsam his son, and Mishma his son. 
1CH.4.26	And the sons of Mishma 
1CH.4.27	Shimei had sixteen sons and six daughters; but his brothers did not have many children, 
1CH.4.28	They dwelt at Beersheba, Moladah, Hazar Shual, 
1CH.4.29	Bilhah, Ezem, Tolad, 
1CH.4.30	Bethuel, Hormah, Ziklag, 
1CH.4.31	Beth Marcaboth, Hazar Susim, Beth Biri, and at Shaaraim. These 
1CH.4.32	And their villages 
1CH.4.33	and all the villages that 
1CH.4.34	Meshobab, Jamlech, and Joshah the son of Amaziah; 
1CH.4.35	Joel, and Jehu the son of Joshibiah, the son of Seraiah, the son of Asiel; 
1CH.4.36	Elioenai, Jaakobah, Jeshohaiah, Asaiah, Adiel, Jesimiel, and Benaiah; 
1CH.4.37	Ziza the son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah— 
1CH.4.38	these mentioned by name 
1CH.4.39	So they went to the entrance of Gedor, as far as the east side of the valley, to seek pasture for their flocks. 
1CH.4.40	And they found rich, good pasture, and the land 
1CH.4.41	These recorded by name came in the days of Hezekiah king of Judah; and they 
1CH.4.42	Now 
1CH.4.43	And they defeated 
1CH.5.1	Now the sons of Reuben the firstborn of Israel—
1CH.5.2	yet 
1CH.5.3	the sons of 
1CH.5.4	The sons of Joel 
1CH.5.5	Micah his son, Reaiah his son, Baal his son, 
1CH.5.6	and Beerah his son, whom Tiglath-Pileser king of Assyria 
1CH.5.7	And his brethren by their families, 
1CH.5.8	and Bela the son of Azaz, the son of Shema, the son of Joel, who dwelt in 
1CH.5.9	Eastward they settled as far as the entrance of the wilderness this side of the River Euphrates, because their cattle had multiplied 
1CH.5.10	Now in the days of Saul they made war 
1CH.5.11	And the 
1CH.5.12	Joel 
1CH.5.13	and their brethren of their father’s house: Michael, Meshullam, Sheba, Jorai, Jachan, Zia, and Eber—seven 
1CH.5.14	These 
1CH.5.15	Ahi the son of Abdiel, the son of Guni, 
1CH.5.16	And 
1CH.5.17	All these were registered by genealogies in the days of 
1CH.5.18	The sons of Reuben, the Gadites, and half the tribe of Manasseh 
1CH.5.19	They made war with the Hagrites, 
1CH.5.20	And 
1CH.5.21	Then they took away their livestock—fifty thousand of their camels, two hundred and fifty thousand of their sheep, and two thousand of their donkeys—also one hundred thousand of their men; 
1CH.5.22	for many fell dead, because the war 
1CH.5.23	So the children of the half-tribe of Manasseh dwelt in the land. Their 
1CH.5.24	These 
1CH.5.25	And they were unfaithful to the God of their fathers, and 
1CH.5.26	So the God of Israel stirred up the spirit of 
1CH.6.1	The sons of Levi 
1CH.6.2	The sons of Kohath 
1CH.6.3	The children of Amram 
1CH.6.4	Eleazar begot Phinehas, 
1CH.6.5	Abishua begot Bukki, and Bukki begot Uzzi; 
1CH.6.6	Uzzi begot Zerahiah, and Zerahiah begot Meraioth; 
1CH.6.7	Meraioth begot Amariah, and Amariah begot Ahitub; 
1CH.6.8	Ahitub begot 
1CH.6.9	Ahimaaz begot Azariah, and Azariah begot Johanan; 
1CH.6.10	Johanan begot Azariah (it was he 
1CH.6.11	Azariah begot 
1CH.6.12	Ahitub begot Zadok, and Zadok begot Shallum; 
1CH.6.13	Shallum begot Hilkiah, and Hilkiah begot Azariah; 
1CH.6.14	Azariah begot 
1CH.6.15	Jehozadak went 
1CH.6.16	The sons of Levi 
1CH.6.17	These are the names of the sons of Gershon: Libni and Shimei. 
1CH.6.18	The sons of Kohath 
1CH.6.19	The sons of Merari 
1CH.6.20	Of Gershon 
1CH.6.21	Joah his son, Iddo his son, Zerah his son, 
1CH.6.22	The sons of Kohath 
1CH.6.23	Elkanah his son, Ebiasaph his son, Assir his son, 
1CH.6.24	Tahath his son, Uriel his son, Uzziah his son, and Shaul his son. 
1CH.6.25	The sons of Elkanah 
1CH.6.27	Eliab his son, Jeroham his son, 
1CH.6.28	The sons of Samuel 
1CH.6.29	The sons of Merari 
1CH.6.30	Shimea his son, Haggiah his son, 
1CH.6.31	Now these are 
1CH.6.32	They were ministering with music before the dwelling place of the tabernacle of meeting, until Solomon had built the house of the 
1CH.6.33	And these 
1CH.6.34	the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah, 
1CH.6.35	the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai, 
1CH.6.36	the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah, 
1CH.6.37	the son of Tahath, the son of Assir, the son of 
1CH.6.38	the son of Izhar, the son of Kohath, the son of Levi, the son of Israel. 
1CH.6.39	And his brother 
1CH.6.40	the son of Michael, the son of Baaseiah, the son of Malchijah, 
1CH.6.41	the son of 
1CH.6.42	the son of Ethan, the son of Zimmah, the son of Shimei, 
1CH.6.43	the son of Jahath, the son of Gershon, the son of Levi.
1CH.6.44	Their brethren, the sons of Merari, on the left hand, 
1CH.6.45	the son of Hashabiah, the son of Amaziah, the son of Hilkiah, 
1CH.6.46	the son of Amzi, the son of Bani, the son of Shamer, 
1CH.6.47	the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
1CH.6.48	And their brethren, the Levites, 
1CH.6.49	But Aaron and his sons offered sacrifices 
1CH.6.50	Now these 
1CH.6.51	Bukki his son, Uzzi his son, Zerahiah his son, 
1CH.6.52	Meraioth his son, Amariah his son, Ahitub his son, 
1CH.6.53	Zadok his son, 
1CH.6.54	Now these 
1CH.6.55	They gave them Hebron in the land of Judah, with its surrounding common-lands. 
1CH.6.56	But the fields of the city and its villages they gave to Caleb the son of Jephunneh. 
1CH.6.57	And 
1CH.6.58	Hilen with its common-lands, Debir with its common-lands, 
1CH.6.59	Ashan with its common-lands, and Beth Shemesh with its common-lands. 
1CH.6.60	And from the tribe of Benjamin: Geba with its common-lands, Alemeth with its common-lands, and Anathoth with its common-lands. All their cities among their families 
1CH.6.61	To the rest of the family of the tribe of the Kohathites 
1CH.6.62	And to the sons of Gershon, throughout their families, 
1CH.6.63	To the sons of Merari, throughout their families, 
1CH.6.64	So the children of Israel gave 
1CH.6.65	And they gave by lot from the tribe of the children of Judah, from the tribe of the children of Simeon, and from the tribe of the children of Benjamin these cities which are called by 
1CH.6.66	Now 
1CH.6.67	And they gave them 
1CH.6.68	Jokmeam with its common-lands, Beth Horon with its common-lands, 
1CH.6.69	Aijalon with its common-lands, and Gath Rimmon with its common-lands. 
1CH.6.70	And from the half-tribe of Manasseh: Aner with its common-lands and Bileam with its common-lands, for the rest of the family of the sons of Kohath.
1CH.6.71	From the family of the half-tribe of Manasseh the sons of Gershon 
1CH.6.72	And from the tribe of Issachar: Kedesh with its common-lands, Daberath with its common-lands, 
1CH.6.73	Ramoth with its common-lands, and Anem with its common-lands. 
1CH.6.74	And from the tribe of Asher: Mashal with its common-lands, Abdon with its common-lands, 
1CH.6.75	Hukok with its common-lands, and Rehob with its common-lands. 
1CH.6.76	And from the tribe of Naphtali: Kedesh in Galilee with its common-lands, Hammon with its common-lands, and Kirjathaim with its common-lands.
1CH.6.77	From the tribe of Zebulun the rest of the children of Merari 
1CH.6.78	And on the other side of the Jordan, across from Jericho, on the east side of the Jordan, 
1CH.6.79	Kedemoth with its common-lands, and Mephaath with its common-lands. 
1CH.6.80	And from the tribe of Gad: Ramoth in Gilead with its common-lands, Mahanaim with its common-lands, 
1CH.6.81	Heshbon with its common-lands, and Jazer with its common-lands.
1CH.7.1	The sons of Issachar 
1CH.7.2	The sons of Tola 
1CH.7.3	The son of Uzzi 
1CH.7.4	And with them, by their generations, according to their fathers’ houses, 
1CH.7.5	Now their brethren among all the families of Issachar 
1CH.7.7	The sons of Bela were Ezbon, Uzzi, Uzziel, Jerimoth, and Iri—five 
1CH.7.8	The sons of Becher 
1CH.7.9	And they were recorded by genealogy according to their generations, heads of their fathers’ houses, twenty thousand two hundred mighty men of valor. 
1CH.7.10	The son of Jediael 
1CH.7.11	All these sons of Jediael 
1CH.7.12	Shuppim and Huppim 
1CH.7.13	The 
1CH.7.14	The 
1CH.7.15	Machir took as his wife 
1CH.7.16	(Maachah the wife of Machir bore a son, and she called his name Peresh. The name of his brother 
1CH.7.17	The son of Ulam 
1CH.7.18	His sister Hammoleketh bore Ishhod, Abiezer, and Mahlah.
1CH.7.19	And the sons of Shemida were Ahian, Shechem, Likhi, and Aniam.
1CH.7.20	The sons of Ephraim 
1CH.7.21	Zabad his son, Shuthelah his son, and Ezer and Elead. The men of Gath who were born in 
1CH.7.22	Then Ephraim their father mourned many days, and his brethren came to comfort him.
1CH.7.23	And when he went in to his wife, she conceived and bore a son; and he called his name Beriah, because tragedy had come upon his house. 
1CH.7.24	Now his daughter 
1CH.7.25	and Rephah 
1CH.7.26	Laadan his son, Ammihud his son, 
1CH.7.27	Nun his son, and 
1CH.7.28	Now their 
1CH.7.29	and by the borders of the children of 
1CH.7.30	The sons of Asher 
1CH.7.31	The sons of Beriah 
1CH.7.32	And Heber begot Japhlet, Shomer, Hotham, and their sister Shua. 
1CH.7.33	The sons of Japhlet 
1CH.7.34	The sons of 
1CH.7.35	And the sons of his brother Helem 
1CH.7.36	The sons of Zophah 
1CH.7.37	Bezer, Hod, Shamma, Shilshah, Jithran, and Beera. 
1CH.7.38	The sons of Jether 
1CH.7.39	The sons of Ulla 
1CH.7.40	All these 
1CH.8.1	Now Benjamin begot 
1CH.8.2	Nohah the fourth, and Rapha the fifth. 
1CH.8.3	The sons of Bela 
1CH.8.4	Abishua, Naaman, Ahoah, 
1CH.8.5	Gera, Shephuphan, and Huram.
1CH.8.6	These 
1CH.8.7	Naaman, Ahijah, and Gera who forced them to move. He begot Uzza and Ahihud.
1CH.8.8	Also Shaharaim had children in the country of Moab, after he had sent away Hushim and Baara his wives. 
1CH.8.9	By Hodesh his wife he begot Jobab, Zibia, Mesha, Malcam, 
1CH.8.10	Jeuz, Sachiah, and Mirmah. These 
1CH.8.11	And by Hushim he begot Abitub and Elpaal. 
1CH.8.12	The sons of Elpaal 
1CH.8.13	and Beriah and 
1CH.8.14	Ahio, Shashak, Jeremoth, 
1CH.8.15	Zebadiah, Arad, Eder, 
1CH.8.16	Michael, Ispah, and Joha 
1CH.8.17	Zebadiah, Meshullam, Hizki, Heber, 
1CH.8.18	Ishmerai, Jizliah, and Jobab 
1CH.8.19	Jakim, Zichri, Zabdi, 
1CH.8.20	Elienai, Zillethai, Eliel, 
1CH.8.21	Adaiah, Beraiah, and Shimrath 
1CH.8.22	Ishpan, Eber, Eliel, 
1CH.8.23	Abdon, Zichri, Hanan, 
1CH.8.24	Hananiah, Elam, Antothijah, 
1CH.8.25	Iphdeiah, and Penuel 
1CH.8.26	Shamsherai, Shehariah, Athaliah, 
1CH.8.27	Jaareshiah, Elijah, and Zichri 
1CH.8.28	These 
1CH.8.29	Now the father of Gibeon, whose 
1CH.8.30	And his firstborn son 
1CH.8.31	Gedor, Ahio, Zecher, 
1CH.8.32	and Mikloth, 
1CH.8.33	Ner begot Kish, Kish begot Saul, and Saul begot Jonathan, Malchishua, Abinadab, and Esh-Baal. 
1CH.8.34	The son of Jonathan 
1CH.8.35	The sons of Micah 
1CH.8.36	And Ahaz begot Jehoaddah; Jehoaddah begot Alemeth, Azmaveth, and Zimri; and Zimri begot Moza. 
1CH.8.37	Moza begot Binea, Raphah his son, Eleasah his son, 
1CH.8.38	Azel had six sons whose names 
1CH.8.39	And the sons of Eshek his brother 
1CH.8.40	The sons of Ulam were mighty men of valor—archers. 
1CH.9.1	So 
1CH.9.2	And the first inhabitants who 
1CH.9.3	Now in 
1CH.9.4	Uthai the son of Ammihud, the son of Omri, the son of Imri, the son of Bani, of the descendants of Perez, the son of Judah. 
1CH.9.5	Of the Shilonites: Asaiah the firstborn and his sons. 
1CH.9.6	Of the sons of Zerah: Jeuel, and their brethren—six hundred and ninety. 
1CH.9.7	Of the sons of Benjamin: Sallu the son of Meshullam, the son of Hodaviah, the son of Hassenuah; 
1CH.9.8	Ibneiah the son of Jeroham; Elah the son of Uzzi, the son of Michri; Meshullam the son of Shephatiah, the son of Reuel, the son of Ibnijah; 
1CH.9.9	and their brethren, according to their generations—nine hundred and fifty-six. All these men 
1CH.9.10	Of the priests: Jedaiah, Jehoiarib, and Jachin; 
1CH.9.11	Azariah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the 
1CH.9.12	Adaiah the son of Jeroham, the son of Pashur, the son of Malchijah; Maasai the son of Adiel, the son of Jahzerah, the son of Meshullam, the son of Meshillemith, the son of Immer; 
1CH.9.13	and their brethren, heads of their fathers’ houses—one thousand seven hundred and sixty. 
1CH.9.14	Of the Levites: Shemaiah the son of Hasshub, the son of Azrikam, the son of Hashabiah, of the sons of Merari; 
1CH.9.15	Bakbakkar, Heresh, Galal, and Mattaniah the son of Micah, the son of 
1CH.9.16	Obadiah the son of 
1CH.9.17	And the gatekeepers 
1CH.9.18	Until then 
1CH.9.19	Shallum the son of Kore, the son of Ebiasaph, the son of Korah, and his brethren, from his father’s house, the Korahites, 
1CH.9.20	And 
1CH.9.21	Zechariah the son of Meshelemiah 
1CH.9.22	All those chosen as gatekeepers 
1CH.9.23	So they and their children 
1CH.9.24	The gatekeepers were assigned to the four directions: the east, west, north, and south. 
1CH.9.25	And their brethren in their villages 
1CH.9.26	For in this trusted office 
1CH.9.27	And they lodged 
1CH.9.28	Now 
1CH.9.29	 of them 
1CH.9.30	And 
1CH.9.31	Mattithiah of the Levites, the firstborn of Shallum the Korahite, had the trusted office 
1CH.9.32	And some of their brethren of the sons of the Kohathites 
1CH.9.33	These are 
1CH.9.34	These heads of the fathers’ 
1CH.9.35	Jeiel the father of Gibeon, whose wife’s name 
1CH.9.36	His firstborn son 
1CH.9.37	Gedor, Ahio, Zechariah, and Mikloth. 
