GEN.1.1	I begyndelsen skabte Gud himlen og jorden. 
NUM.1.2+NUM.1.3+NUM.1.4	„Lav en liste over alle våbenføre mænd over 20 år med deres stamme- og slægtsnavne. Du og Aron skal være ansvarlige for optællingen, som skal uddelegeres til en leder fra hver enkelt stamme. 
NUM.1.5	Følgende ledere skal hjælpe jer: fra Rubens stamme: Elitzur, Shedeurs søn; 
NUM.1.6	fra Simeons stamme: Shelumiel, Zurishaddajs søn; 
NUM.1.7	fra Judas stamme: Nahshon, Amminadabs søn; 
NUM.1.8	fra Issakars stamme: Netanel, Suars søn; 
NUM.1.9	fra Zebulons stamme: Eliab, Helons søn; 
NUM.1.10	fra Efraims, Josefs søns, stamme: Elishama, Ammihuds søn; fra Manasses, Josefs søns, stamme: Gamliel, Pedasurs søn; 
NUM.1.11	fra Benjamins stamme: Abidan, Gidonis søn; 
NUM.1.12	fra Dans stamme: Ahiezer, Ammishaddajs søn; 
NUM.1.13	fra Ashers stamme: Pagiel, Okrans søn; 
NUM.1.14	fra Gads stamme: Eljasaf, Deuels søn; 
NUM.1.15	fra Naftalis stamme: Ahira, Enans søn.” 
NUM.1.16	Disse mænd var ledere blandt folket, overhoveder for hver deres slægt.
NUM.1.17+NUM.1.18+NUM.1.19+NUM.1.20+NUM.1.21+NUM.1.22+NUM.1.23+NUM.1.24+NUM.1.25+NUM.1.26+NUM.1.27+NUM.1.28+NUM.1.29+NUM.1.30+NUM.1.31+NUM.1.32+NUM.1.33+NUM.1.34+NUM.1.35+NUM.1.36+NUM.1.37+NUM.1.38+NUM.1.39+NUM.1.40+NUM.1.41+NUM.1.42+NUM.1.43+NUM.1.44+NUM.1.45+NUM.1.46	Samme dag sammenkaldte Moses, Aron og de ovennævnte ledere samtlige våbenføre mænd i Israel over 20 år. Hver person fik besked på at oplyse sit stamme- og slægtsnavn, sådan som Herren havde befalet Moses. Her følger den samlede opgørelse: Jakobs førstefødte søns, Rubens, stamme: 46.500; Simeons stamme: 59.300; Gads stamme: 45.650; Judas stamme: 74.600; Issakars stamme: 54.400; Zebulons stamme: 57.400; Efraims, Josefs søns, stamme: 40.500; Manasses, Josefs søns, stamme: 32.200; Benjamins stamme: 35.400; Dans stamme: 62.700; Ashers stamme: 41.500; Naftalis stamme: 53.400. Det samlede antal våbenføre mænd udgjorde 603.550 personer.
NUM.1.47+NUM.1.48+NUM.1.49	Dette tal indbefatter dog ikke levitterne, for Herren havde sagt til Moses: „Du må ikke bruge levitterne som soldater, og du skal ikke tage dem med på listen. 
NUM.1.50	Jeg har nemlig givet dem ansvar for at tage sig af min bolig, det hellige telt, som indeholder pagtens ark. Derfor skal de altid have deres lejr i nærheden af boligen. 
NUM.1.51	Det er levitternes opgave at pakke teltet sammen og rejse det igen, og hvis nogen andre blander sig i den opgave eller blot rører ved teltet, skal de henrettes. 
NUM.1.52	Resten af Israels stammer skal tildeles hver deres lejrplads med hver deres banner, 
NUM.1.53	men levitterne skal slå lejr rundt om teltet med pagtens ark, så de udgør en mur mellem folket og Herren, for at ingen af de menige israelitter skal komme til at røre ved teltet og rammes af Herrens vrede.”
NUM.1.54	Israels folk fulgte omhyggeligt de befalinger, som Herren havde givet Moses.
NUM.2.1	Derpå sagde Herren til Moses og Aron: 
NUM.2.2	„Hver enkelt stamme skal tildeles deres eget område i lejren, og det skal markeres med deres stammes banner. Deres lejre skal ligge i en kreds rundt om åbenbaringsteltet.
NUM.2.3+NUM.2.4+NUM.2.5+NUM.2.6+NUM.2.7+NUM.2.8+NUM.2.9	På teltets østside skal Judas stamme stå i spidsen for en hærafdeling. Foruden de 74.600 våbenføre mænd fra Judas stamme under ledelse af Nahshon er der Issakars stamme med 54.400 våbenføre mænd under ledelse af Netanel og Zebulons stamme med 57.400 våbenføre mænd under ledelse af Eliab. Det samlede antal våbenføre mænd i Judas hærafdeling er således 186.400. Disse tre stammer skal gå forrest, hver gang israelitterne bryder op og drager af sted til næste lejrplads.
NUM.2.10+NUM.2.11+NUM.2.12+NUM.2.13+NUM.2.14+NUM.2.15+NUM.2.16	På teltets sydside skal Rubens stamme stå i spidsen for en hærafdeling: Foruden Rubens stamme med dens 46.500 våbenføre mænd under ledelse af Elitzur er der Simeons stamme med 59.300 våbenføre mænd under ledelse af Shelumiel og Gads stamme med 45.650 våbenføre mænd under ledelse af Eljasaf. Det samlede antal våbenføre mænd i Rubens hærafdeling er således 151.450. Disse tre stammer skal følge efter Judas hærafdeling, hver gang israelitterne bryder op og drager af sted til næste lejrplads.
NUM.2.17	Derefter skal levitterne bryde op med deres egne telte og med åbenbaringsteltet, så de hele tiden holder sig i midten. De skal følge denne orden, når de bryder op, og når de slår lejr igen, hver hærafdeling med sit eget banner.
NUM.2.18+NUM.2.19+NUM.2.20+NUM.2.21+NUM.2.22+NUM.2.23+NUM.2.24	På teltets vestside skal Efraims stamme stå i spidsen for en hærafdeling. Foruden Efraims stamme med dens 40.500 våbenføre mænd under ledelse af Elishama er der Manasses stamme med 32.200 våbenføre mænd under ledelse af Gamliel og Benjamins stamme med 35.400 våbenføre mænd under ledelse af Abidan. Det samlede antal våbenføre mænd i Efraims hærafdeling er således 108.100. Disse tre stammer skal følge efter Rubens hærafdeling, hver gang israelitterne bryder op og drager af sted til næste lejrplads.
NUM.2.25+NUM.2.26+NUM.2.27+NUM.2.28+NUM.2.29+NUM.2.30+NUM.2.31	På teltets nordside skal Dans stamme stå i spidsen for en hærafdeling. Foruden Dans stamme med dens 62.700 våbenføre mænd under ledelse af Ahiezer er der Ashers stamme med 41.500 våbenføre mænd under ledelse af Pagiel og Naftalis stamme med 53.400 våbenføre mænd under ledelse af Ahira. Det samlede antal våbenføre mænd i Dans hærafdeling er således 157.600. Disse tre stammer skal danne bagtrop, hver gang israelitterne bryder op og drager af sted til næste lejrplads.”
NUM.2.32+NUM.2.33	I alt udgjorde den israelitiske hær altså 603.550 våbenføre mænd foruden levitterne, der ifølge Herrens befaling til Moses var fritaget for værnepligt. 
NUM.2.34	Og israelitterne fulgte omhyggeligt de befalinger, som Herren havde givet Moses, så de brød op i den angivne rækkefølge og slog lejr på deres tildelte områder under deres respektive stammefaner.
NUM.3.1	Dengang Herren talte til Moses på Sinaibjerget, 
NUM.3.2	havde Aron følgende sønner: Nadab (den førstefødte), Abihu, Eleazar og Itamar. 
NUM.3.3	Moses salvede og indsatte dem alle til at gøre tjeneste som præster for Herren. 
NUM.3.4	Men Nadab og Abihu døde i Sinai ørken, for Herren straffede dem, da de forsøgte at bringe et forkert røgelsesoffer. De havde ingen børn, så Eleazar og Itamar var derefter alene om at gøre præstetjeneste under deres fars opsyn.
NUM.3.5	Da sagde Herren til Moses: 
NUM.3.6	„Kald Levis stamme sammen og lad dem træde frem for Aron. 
NUM.3.7+NUM.3.8+NUM.3.9	Levitterne skal efter Arons anvisninger hjælpe præsterne med at udføre deres forskellige pligter i åbenbaringsteltet på Israels folks vegne; for disse mænd er udpeget til at repræsentere hele folket, og de har ansvaret for boligens inventar og vedligeholdelse. 
NUM.3.10	Men kun Aron og hans sønner må udføre præstetjeneste. Hvis nogen lægmand trænger ind i helligdommen, skal han henrettes.”
NUM.3.11+NUM.3.12+NUM.3.13	Og Herren fortsatte: „Dengang jeg dræbte egypternes førstefødte sønner, var det på betingelse af, at alle Israels førstefødte sønner og dyr skulle tilhøre mig. Jeres førstefødte sønner skulle blive min ejendom og tjene mig. Men nu vil jeg acceptere levitterne som erstatning, således at det i stedet bliver dem, der skal tilhøre mig og tjene mig.”
NUM.3.14	Senere talte Herren igen til Moses i Sinai ørken. 
NUM.3.15	„Nu skal du optælle Levis stamme,” sagde han. „Lav et slægtsregister over samtlige mandspersoner, der er over en måned gamle.” 
NUM.3.16	Moses begyndte straks på den opgave, Herren havde givet ham.
NUM.3.17+NUM.3.18+NUM.3.19+NUM.3.20	Levi havde tre sønner: Gershon, Kehat og Merari, som blev stamfædre til de slægter blandt levitterne, der bærer deres navne. Gershon havde to sønner: Libni og Shimi; Kehat havde fire sønner: Amram, Jitzhar, Hebron og Uzziel; Merari havde to sønner: Mahli og Mushi.
NUM.3.21	Gershons slægt gennem sønnerne Libni og Shimi 
NUM.3.22	blev optalt til 7500 mandspersoner over en måned gamle, 
NUM.3.23	og de skulle slå lejr bag ved boligen, på vestsiden. 
NUM.3.24	Den øverste for Gershon-slægten var Laels søn Eljasaf. 
NUM.3.25	Denne slægts ansvarsområde var boligens teltduge, presenninger og indgangsforhæng, 
NUM.3.26	forgårdens teltduge, der indhegnede åbenbaringsteltet og brændofferalteret og forhænget foran indgangen til forgården. De havde også ansvar for de snore, der hørte til.
NUM.3.27	Kehats slægt gennem sønnerne Amram, Jitzhar, Hebron og Uzziel 
NUM.3.28	blev optalt til 8600
NUM.3.29	og de skulle slå lejr ved boligens sydside. 
NUM.3.30	Lederen af denne slægt var Elitzafan, søn af Uzziel. 
NUM.3.31	De var ansvarlige for pagtens ark, bordet med brødene, lysestagen, altrene, de forskellige redskaber, der blev brugt i helligdommen, samt for forhænget i helligdommen. Alt det praktiske arbejde vedrørende disse ting var deres ansvar.
NUM.3.32	Præsten Eleazar, Arons søn, fik overopsynet med levitterne. Det blev hans opgave at føre tilsyn med dem, der arbejdede i helligdommen.
NUM.3.33	Meraris slægt gennem sønnerne Mahli og Mushit 
NUM.3.34	blev optalt til 6200 mandspersoner over en måned gamle, 
NUM.3.35	og de skulle slå lejr ved boligens nordside. Lederen af denne slægt var Zuriel, søn af Abihajil. 
NUM.3.36	De var ansvarlige for boligens vægmoduler, tværstænger, stolper, sokler og det værktøj, der blev brugt under monteringen, 
NUM.3.37	forgårdens stolper og sokler, samt alle pløkker og barduner.
NUM.3.38	På østsiden af åbenbaringsteltet, ud for indgangen, skulle Moses, Aron og Arons sønner slå deres telte op, for de havde overopsynet med al tjenesten i helligdommen, hvor de repræsenterede folket. Og hvis nogen lægmand trængte ind i helligdommen, skulle han henrettes.
NUM.3.39	Optællingen af levitterne, som Moses og Aron på Herrens befaling udførte, resulterede i en liste med 22.000 mandspersoner over en måned gamle.
NUM.3.40	Da sagde Herren til Moses: „Optæl nu hvor mange førstefødte sønner blandt hele Israels folk, der er over en måned gamle. 
NUM.3.41	Alle Israels førstefødte sønner og det førstefødte blandt jeres husdyr tilhører jo mig, men i stedet for kan I give mig levitterne, og alle levitternes husdyr skal tilhøre mig som erstatning for de førstefødte blandt resten af folkets husdyr.”
NUM.3.42+NUM.3.43	Så gjorde Moses, som Herren havde befalet. Han optalte alle folkets førstefødte sønner, der var over en måned gamle, og det samlede antal viste sig at være 22.273.
NUM.3.44	Derefter sagde Herren til Moses: 
NUM.3.45	„Giv mig levitterne i stedet for disse førstefødte sønner, og levitternes dyr i stedet for folkets førstefødte dyr, for jeg er Herren. 
NUM.3.46+NUM.3.47+NUM.3.48	Da antallet af de førstefødte sønner overstiger levitternes antal med 273, skal du løskøbe de 273 overskydende sønner ved at betale fem shekel
NUM.3.49	Så indsamlede Moses løsesummen for de overskydende 273 førstefødte sønner. De øvrige 22.000 førstefødte sønner var allerede købt fri ved, at alle de levitiske mænd blev indviet til Herren i deres sted. 
NUM.3.50	Den samlede løsesum blev således 1365 shekel sølv. 
NUM.3.51	Og Moses gav pengene til Aron og hans sønner, sådan som Herren havde befalet ham.
NUM.4.1	Da sagde Herren til Moses og Aron: 
NUM.4.2+NUM.4.3	„Optæl hvor mange mandlige efterkommere af Levis søn Kehat, der er mellem 30 og 50 år. Det er dem, der skal arbejde i åbenbaringsteltet 
NUM.4.4	med de helligste ting:
NUM.4.5	Hver gang I er klar til at pakke lejren sammen, skal Aron og hans sønner først gå ind i helligdommen og tage forhænget mellem det hellige og det allerhelligste rum ned og lægge det over pagtens ark. 
NUM.4.6	Oven på det skal de lægge et kraftigt stykke læder, som igen skal dækkes med purpurfarvet klæde, før de anbringer bærestængerne i guldringene.
NUM.4.7	Dernæst skal de brede et purpurfarvet klæde ud over bordet med de hellige brød og anbringe de forskellige fade, skåle og kander, der bruges ved drikofrene, oven på klædet sammen med de brød, der altid ligger fremme. 
NUM.4.8	Ovenpå igen skal de brede et skarlagenrødt klæde og et kraftigt stykke læder, før de anbringer bærestængerne i bordets guldringe.
NUM.4.9	Lysestagen, lamperne, vægesaksene, vægebakkerne og beholderne til olivenolie skal anbringes på bærestativet, hvorefter de dækkes med et purpurfarvet klæde 
NUM.4.10	og derefter med et stykke kraftigt læder.
NUM.4.11	Så skal de brede et purpurfarvet klæde over røgelsesalteret af guld, dække det med et kraftigt stykke læder og anbringe bærestængerne i alterets guldringe. 
NUM.4.12	Alle de øvrige redskaber, der bruges i helligdommen, skal dækkes med purpurfarvet klæde og kraftigt læder, før de anbringes på bærestativet.
NUM.4.13	Brændofferalteret skal også dækkes til med et purpurfarvet klæde, men først skal asken fjernes. 
NUM.4.14	Alle redskaber, der bruges ved ofringen, skal lægges oven på klædet—både bakker til gløder, kødgafler, skovle og skåle—hvorefter det hele skal dækkes til med kraftigt læder. Til sidst skal bærestængerne anbringes i ringene.
NUM.4.15	Når Aron og hans sønner har pakket helligdommens inventar og redskaber sammen, skal kehatitterne træde til og bære det hele til næste lejrplads. Men hvis de rører disse hellige ting, skal de dø. Det er altså kehatitternes opgave at bære helligdommens inventar.
NUM.4.16	Arons søn Eleazar er ansvarlig for lampeolien, den hellige røgelse, det daglige afgrødeoffer og salveolien—ja, han skal have overopsynet med åbenbaringsteltet og alt dets inventar og de hellige redskaber.”
NUM.4.17	Dernæst sagde Herren til Moses og Aron: 
NUM.4.18	„I må passe på, at kehatitterne ikke mister livet. 
NUM.4.19	I skal nøje overholde de forskrifter, jeg her har givet, så de ikke dør under udførelsen af deres opgave. Det er Aron og hans sønner, der skal fortælle kehatitterne, hvad de hver især skal bære. 
NUM.4.20	Men kehatitterne må først komme ind i helligdommen, efter at det hele er pakket ned, for hvis de ser de hellige ting, skal de dø.”
NUM.4.21	Herren sagde nu til Moses: 
NUM.4.22+NUM.4.23	„Optæl hvor mange mandlige efterkommere af Levis søn Gershon, der er mellem 30 og 50 år. De skal også arbejde ved åbenbaringsteltet. 
NUM.4.24+NUM.4.25	Det er deres opgave at transportere boligens teltduge, de to tagdækninger af vædderskind og kraftigt læder samt indgangsforhænget. 
NUM.4.26	Derudover har de til opgave at transportere forgårdens teltvægge og forhænget over indgangen til forgården, som indhegner helligdommen og brændofferalteret. Endelig skal de også transportere diverse snore og værktøj, der bruges ved arbejdet. 
NUM.4.27	Aron og hans sønner skal uddelegere arbejdet blandt gershonitterne, 
NUM.4.28	og gershonitterne skal stå til regnskab for deres arbejde over for Arons søn Itamar.
NUM.4.29+NUM.4.30	Optæl hvor mange mandlige efterkommere af Levis søn Merari, der er mellem 30 og 50 år. De skal også arbejde ved åbenbaringsteltet. 
