GEN.1.2	Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu no ani. Na Onyankopɔn honhom butu
1SA.14.41	 Na Saulo kaa sɛ: Ao, AWURADE Israel Nyankopɔn, Adɛn nti na wommua w’akoa nnɛ yi? Sɛ ɛyɛ me anaa me ba Yonatan na ɛdi fɔ anaa Israelfoɔ yi a, ma nokorɛ nna adi. Na ɛbɔɔ Saulo ne ba Yonatan, na ɛdɔm no firii mu firii. 
1SA.14.42	Ɛnna Saulo kaa sɛ: Montwe me ne me ba Yonatan ntam ntonto. Na ɛbɔɔ Yonatan.
1SA.14.44	Na Saulo kaa sɛ: Yonatan, Onyankopɔn nyɛ saa na ɔnkɔ so nyɛ saa, sɛ wuo na wobɛwuo. 
1SA.14.45	Na ɛdɔm no ka kyerɛɛ Saulo sɛ: Yonatan a wayɛ Israel mu ɔgyeɛ adwuma kɛseɛ yi nwu anaa? Ɛmpare no! Sɛ AWURADE te aseɛ yi, ne tirinwi baako mpo rentɔ fam, ɛfiri sɛ ɔne Onyankopɔn na ayɛ adeɛ nnɛ da yi. Na ɔman no gyee Yonatan na wanwu. 
1SA.14.46	Ɛnna Saulo firii Filistifoɔ no akyiridie sane baeɛ, na Filistifoɔ no kɔɔ wɔn nkuro mu.
1SA.14.47	Na Saulo dii Israel so hene no, ɔne n’atamfo nyinaa kɔko hyiae, ɔne Moab ne Amonfoɔ ne Edom ne Soba ahemfo ne Filistifoɔ koeɛ; na baabiara a ɔdanee ne ho koeɛ no, ɔdii nim. 
1SA.14.48	Na ɔyɛɛ mmaninneɛ, na ɔkɔkumm Amalekfoɔ, na ɔgyee Israel wɔn afomfafoɔ nsam.
1SA.14.50	 Na Saulo yere din ne Ahinoam, Ahimaas ba. Na ne sahene din ne Abner, Saulo agya nua Ner ba. 
1SA.14.51	Na Saulo agya Kis ne Abner agya Ner yɛ Abiel mma.
1SA.14.52	Na ɛko denden daa Filistifoɔ so Saulo nna nyinaa. Na sɛ Saulo hunu ɔbarima hoɔdenfoɔ biara anaa obiara a ɔyɛ nnam a, ɔkɔfa no ba ne nkyɛn.
1SA.15.2	 Sɛɛ na asafo AWURADE seɛ: Mahunu deɛ Amalek yɛɛ Israel, sɛdeɛ wɔfiri Misraim reba no wɔbɛtwaree wɔn ɛkwan mu. 
1SA.15.3	 Na afei kɔ na kɔkum Amalek, na monsɛe deɛ wɔwɔ nyinaa pasapasa, na nhu wɔn mmɔbɔ, na kum mmarima ne mmaa, mmɔfra ne nkɔkoaa, anantwie ne nnwan, yoma ne mfunumu. 
1SA.15.4	Ɛnna Saulo maa ɔman no teeɛ, na ɔkan wɔn wɔ Telaim, mmarima a wɔnam anammɔn mu mpem ahanu ne Yuda mmarima mpem du.
1SA.15.5	Na Saulo duruu Amalek kuro kɛseɛ no so, na ɔde atɛfoɔ sisii bonhwa no mu. 
1SA.15.6	 Na Saulo ka kyerɛɛ Kenifoɔ no sɛ: Monkɔ, momfiri Amalek mu nsiane nkɔ, na mampra wo mamfra wɔn; na wo deɛ, woyɛɛ Israelfoɔ nyinaa adɔeɛ berɛ a wɔfiri Misraim reba no. Ɛnna Kenifoɔ firii Amalek mu kɔeɛ. 
1SA.15.7	Na Saulo kunkumm Amalek firii Hawila de kɔsii baabi a w’ani kyerɛ Sur a ɛda Misraim apueeɛ fam no. 
1SA.15.8	Na ɔkyeree Amalekhene Agag animono, na ɔman no nyinaa deɛ, ɔde nkrantɛ ano sɛee wɔn pasapasa. 
1SA.15.9	Na Saulo ne dɔm no hunuu Agag ne nnwan ne anantwie a wɔyɛ ne wɔn a wɔadodɔre sradeɛ ne nnwammuruwa ne deɛ ɛyɛ no nyinaa mmɔbɔ, na wɔampɛ sɛ wɔsɛe wɔn; na adeɛ biara a wɔmmuo na ɛnyɛ mma hwee no deɛ, wɔsɛee no pasapasa.
1SA.15.10	Ɛnna AWURADE asɛm baa Samuel nkyɛn sɛ: 
1SA.15.11	Manu me ho sɛ mede Saulo sii hene, ɛfiri sɛ wasane afiri m’akyi, na wamma me nsɛm annyina. Na ɛyɛɛ Samuel awerɛho, na ɔsu frɛɛ AWURADE anadwo no nyinaa. 
1SA.15.12	Na Samuel tuaa nhema sɛ ɔrekɔhyia Saulo anɔpa; na wɔka kyerɛɛ Samuel sɛ: Saulo aba Karmel, na hwɛ, wasi ne nkaeɛ dum, na wadane ne ho atwam asiane rekɔ Gilgal. 
1SA.15.13	Na Samuel duruu Saulo nkyɛn no, Saulo ka kyerɛɛ no sɛ: AWURADE nhyira wo. Mama AWURADE asɛm no atim. 
1SA.15.14	Na Samuel kaa sɛ: Na ɛdeɛn ne nnwan su a ɛgu m’asom yi ne anantwie su a meteɛ yi? 
1SA.15.15	Na Saulo se: Amalekfoɔ mu na wɔde firi baeɛ, ɛfiri sɛ ɔman no dodoo nnwan ne anantwie a ɛyɛ no ho sɛ wɔde rebɛbɔ afɔdeɛ ama AWURADE wo Nyankopɔn, na nkaeɛ no deɛ, yɛasɛe wɔn pasapasa. 
1SA.15.16	Ɛnna Samuel ka kyerɛɛ Saulo sɛ: Gyae ma menka deɛ AWURADE ka kyerɛɛ me anadwo yi menkyerɛ wo. Na ɔka kyerɛɛ no sɛ: Kasa ɛ!
1SA.15.18	na AWURADE somaa wo akwankorɔ bi sɛ: Kɔ na kɔsɛe Amalekfoɔ nnebɔneyɛfoɔ no pasapasa, na ɛne wɔn nko kɔsi sɛ wobɛhye wɔn ase. 
1SA.15.19	Adɛn nti na woantie AWURADE, na woato ahyɛ asadeɛ soɔ, na woayɛ deɛ ɛyɛ AWURADE ani so bɔne yi? 
1SA.15.20	Ɛnna Saulo ka kyerɛɛ Samuel sɛ: Matie AWURADE, na makɔ kwan a AWURADE somaa me no, na mede Amalekhene Agag aba, na masɛe Amalek pasapasa! 
1SA.15.21	Na ɔman no faa asadeɛ no mu nnwan ne anantwie, ahyiradeɛ no mu adikaneɛ, sɛ wɔde rebɛbɔ AWURADE wo Nyankopɔn afɔdeɛ Gilgal. 
1SA.15.22	 Na Samuel kaa sɛ:
1SA.15.22	AWURADE pɛ ɔhyeɛ afɔdeɛ ne okum afɔdeɛ
1SA.15.22	sene tie a wobɛtie AWURADE anaa?
1SA.15.22	Hwɛ, setie yɛ sene afɔdeɛ,
1SA.15.22	na asoɔmmerɛ kyɛne nnwennini sradeɛ.
1SA.15.23	na asoɔden te sɛ amumuyɛ ne ahonisom.
1SA.15.23	Ɛsiane sɛ woapo AWURADE asɛm nti,
1SA.15.23	ɔno nso apo wo afiri ahennie no so.
1SA.15.24	Ɛnna Saulo ka kyerɛɛ Samuel sɛ: Mayɛ bɔne sɛ mafom wɔ AWURADE anomu asɛm ne wo nsɛm ho, sɛ mesuroo ɔman no na metiee wɔn. 
1SA.15.25	Na afei fa me bɔne firi me, na wo ne me nsane na menkɔsɔre AWURADE. 
1SA.15.26	Na Samuel ka kyerɛɛ Saulo sɛ: Me ne wo rensane nkɔ, ɛfiri sɛ woapo AWURADE asɛm, na AWURADE nso apo wo sɛ nni Israel so hene. 
1SA.15.27	Na Samuel danee ne ho rekorɔ no, Saulo sɔɔ ne batakari ano, na ɛsuanee. 
1SA.15.28	 Na Samuel ka kyerɛɛ no sɛ: Suane na AWURADE asuane Israel ahennie afiri wo nsam nnɛ, na ɔde ama wo yɔnko a ɔyɛ sene woɔ. 
1SA.15.29	 Nso Israel Tumfoɔ no renni atorɔ na ɔrennu ne ho, ɛfiri sɛ ɔnyɛ onipa na wanu ne ho. 
1SA.15.30	Ɛnna ɔse: Mayɛ bɔne deɛ, nanso afei di me ni me man mpanimfoɔ ne Israel nyinaa anim: Ɛne me nsane nkɔ, na menkɔsɔre AWURADE wo Nyankopɔn. 
1SA.15.31	Ɛnna Samuel sane kɔdii Saulo akyire; na Saulo kɔsɔree AWURADE.
1SA.15.32	Na Samuel se: Momfa Amalekhene Agag mmrɛ me ha. Na Agag baa ne nkyɛn anigyeɛ so. Na Agag se: Ampa, owuoyea atwam kɔ. 
1SA.15.33	Na Samuel se: Sɛ wo nkrantɛ maa mmaa dii mmasugya no, saa ara nso na wo na bɛdi basugya mmaa mu. Na Samuel twitwaa Agag AWURADE anim wɔ Gilgal.
1SA.15.34	Ɛnna Samuel sii mu kɔɔ Rama. Na Saulo nso foro kɔɔ ne fie Gibea-saulo. 
1SA.15.35	Na Samuel ammɛhwɛ Saulo bio kɔsii ne wuda, na Samuel gyam Saulo; na AWURADE nuu ne ho sɛ ɔde Saulo dii Israel so hene.
1SA.16.2	Na Samuel se: Mɛyɛ dɛn makorɔ? Na Saulo te a, ɔbɛku me. Na AWURADE se: Fa nantwie ba kura na kɔka sɛ: Mebaa sɛ merebɛbɔ afɔdeɛ ama AWURADE. 
1SA.16.3	Na frɛ Yisai bra afɔdeɛ no ho, na me ara mɛkyerɛ wo deɛ yɛ, na sra deɛ mɛka makyerɛ woɔ no ma me. 
1SA.16.4	 Na Samuel yɛɛ sɛdeɛ AWURADE ka kyerɛɛ no no, na ɔkɔɔ Betlehem. Na kuro no mu mpanimfoɔ de ahopopoɔ bɛhyiaa no bisaa no sɛ: Woaba no asomdwoeɛ mu anaa? 
1SA.16.5	Na ɔse: Asomdwoeɛ mu: Mebaa sɛ merebɛbɔ afɔdeɛ ama AWURADE; monnwira mo ho na mo ne me nkɔ afɔdeɛ no ho. Na ɔdwiraa Yisai ne ne mma no ho, na ɔfrɛɛ wɔn baa afɔdeɛ no ho.
1SA.16.6	Na wɔbaa mu no, ɔhunuu Eliab, na ɔse: Ampa, deɛ AWURADE asra no no na ɔwɔ n’anim yi. 
1SA.16.7	 Na AWURADE ka kyerɛɛ Samuel sɛ: Nhwɛ ne ho tebea ne ne nipadua tenteneyɛ, na mempɛ no; na menhwɛ deɛ onipa hwɛ, na onipa hwɛ deɛ ɛtua aniwa, na AWURADE deɛ, ɔhwɛ akoma mu. 
1SA.16.8	Ɛnna Yisai frɛɛ Abinadab maa no twaa mu Samuel anim. Na ɔse: Oyi nso, AWURADE mfaa no. 
1SA.16.9	Na Yisai maa Sama twaa mu. Na ɔse: Oyi nso, AWURADE mfaa no. 
1SA.16.10	 Na Yisai maa ne mma baason bɛtwaa mu Samuel anim. Na Samuel ka kyerɛɛ Yisai sɛ: AWURADE nyii yeinom. 
1SA.16.11	 Na Samuel bisaa Yisai sɛ: Mmeranteɛ no nyinaa nie? Na ɔse: Aka akumaa no, na hwɛ, ɔrehwɛ nnwan. Na Samuel ka kyerɛɛ Yisai sɛ: Soma ma wɔnkɔfa no mmra, na yɛrentena ase gye sɛ waba ha ansa.
1SA.16.12	Na ɔsoma maa wɔkɔfaa no baeɛ. Nso na ɔbere, na n’animma yɛ fɛ, na ne ho nso yɛ fɛ. Na AWURADE kaa sɛ: Sɔre sra no, na ɔno ara nie. 
1SA.16.13	 Ɛnna Samuel faa ngo abɛn no, na ɔsraa no ne nuanom mu. Na AWURADE honhom sii Dawid so, ɛfiri da no ara de rekorɔ no. Ɛnna Samuel sɔre baa Rama.
1SA.16.15	Na Saulo nkoa ka kyerɛɛ no sɛ: Hwɛ ɛ, honhommɔne bi a ɛfiri Nyankopɔn nkyɛn na ɛreha woɔ yi. 
1SA.16.16	 Ma yɛn wura nka nkyerɛ wo nkoa a wɔwɔ w’anim yi, na wɔnkɔhwehwɛ obi a ɔnim sankuo bɔ, na sɛ honhommɔne no firi Nyankopɔn nkyɛn ba wo so a, ɔde ne nsa abɔ ama wo ho atɔ wo. 
1SA.16.17	Na Saulo ka kyerɛɛ ne nkoa sɛ: Monhwehwɛ obi a ɔnim bɔ yie mma me ɛ, na momfa no mmrɛ me. 
1SA.16.18	Na mmeranteɛ no mu baako buaa sɛ: Hwɛ, mahunu Betlehemni Yisai ba bi a ɔnim bɔ, ɔyɛ ɔbarima a ɔtumi ne ho ne ɔkofoni, na ɔhunu nsɛm mu, na ne ho nso yɛ fɛ, na AWURADE di n’akyi. 
1SA.16.19	Na Saulo somaa abɔfoɔ maa wɔkɔɔ Yisai nkyɛn kɔkaa sɛ: Ma wo ba Dawid a ɔwɔ nnwan ho no mmra me nkyɛn. 
1SA.16.20	Na Yisai faa afunumu de paanoo ne nsa kotokuo ma, ne ɔpapo soaa no, na ɔde somaa ne ba Dawid kɔmaa Saulo. 
1SA.16.21	Na Dawid baa Saulo nkyɛn, na ɔbɛyɛɛ ne somfoɔ. Na Saulo dɔɔ no sɛ, na ɔde no yɛɛ n’akodeɛkurani. 
1SA.16.22	Na Saulo soma maa wɔkɔɔ Yisai nkyɛn kɔkaa sɛ: Mesrɛ wo, ma Dawid nsom me, na wanya m’anim adom. 
1SA.16.23	 Na ɛbaa sɛ, sɛ honhom no firi Nyankopɔn nkyɛn ba Saulo so a, na Dawid afa sankuo na ɔde ne nsa abɔ, na Saulo ho adwo no, na ne ho atɔ no, na honhommɔne no afiri ne so kɔ.
1SA.17.1	Na Filistifoɔ boaboaa wɔn dɔm ano sɛ wɔrebɛdi ako, na wɔbɛboaa wɔn ano Soko a ɛyɛ Yuda dea no, na wɔbɛkyeree nsraban Soko ne Aseka ntam wɔ Efes-damim. 
1SA.17.2	Na Saulo ne Israel mmarima boaboaa wɔn ano na wɔkɔkyeree nsraban Ela bonhwa mu, na wɔtwitwaa mpasua sɛ wɔne Filistifoɔ rehyia akɔko. 
1SA.17.3	Na Filistifoɔ gyina bepɔ so ɔfa ha, na Israel nso gyina bepɔ so ɔfa ha, na bonhwa da wɔn ntam. 
1SA.17.4	 Na ɔbarima katakyie bi firi Filistifoɔ nsram firii adi, a ne din de Goliat a ɔfiri Gat, na ne tentene yɛ basafa mmiɛnsa ne saama. 
1SA.17.5	Na kɔbere mfrafraeɛ kyɛ hyɛ ne ti, na ɔhyɛ kɔbere mfrafraeɛ abono akotadeɛ, a n’akotadeɛ no mu duro yɛ nnwetɛbena mpemnum. 
1SA.17.6	Na kɔbere mfrafraeɛ nkataho kata ne nan ho, na kɔbere mfrafraeɛ pɛmɛ wɔ ne mmatiri so. 
1SA.17.7	Na ne pea dua te sɛ ntomanwomfoɔ nsadua, na ne pea ti kari dadeɛ nnwetɛbena ahansia; na ɛkyɛmkurani di n’anim. 
1SA.17.8	Na ɔbɛgyinaa hɔ teaa mu frɛɛ Israel mpasua ka kyerɛɛ wɔn sɛ: Adɛn na moafiri aba mpasua so rebɛko yi? Menyɛ Filistini na mo nso moyɛ Saulo nkoa? Monyi mo mu ɔbarima bi, na ɔnsiane mmra me nkyɛn. 
1SA.17.9	Sɛ ɔtumi ne me ko na ɔku me a, ɛnneɛ yɛbɛyɛ mo nkoa; na sɛ me nso metumi no, na meku no a, ɛnneɛ monyɛ yɛn nkoa na monsom yɛn. 
1SA.17.10	 Na Filistini no kaa sɛ: Me deɛ, meretwa Israel mpasua poa nnɛ da yi, momma me ɔbarima bi na yɛnko. 
1SA.17.11	Na Saulo ne Israel nyinaa tee Filistini no nsɛm yi no, wɔn akoma tui, na wɔsuroo pa ara.
1SA.17.13	 Na Yisai mma mpanin baasa dii Saulo akyi kɔɔ ɔsa no; na ne mma baasa a wɔkɔɔ ɔsa no din nie: Abakan Eliab ne n’akyiriba Abinadab ne deɛ ɔtɔ so mmiɛnsa Sama. 
1SA.17.14	Na Dawid deɛ, na ɔno ne akumaa, na mpanimfoɔ baasa no dii Saulo akyiri kɔeɛ; 
1SA.17.15	na Dawid deɛ, ɛyɛ a, ɔfiri Saulo nkyɛn sane kɔhwɛ n’agya nnwan wɔ Betlehem. 
1SA.17.16	Na adaduanan, na Filistini no firi bɛgyina hɔ anɔpatutu ne anwummerɛ biara de ne ho kyerɛ.
1SA.17.17	Na Yisai ka kyerɛɛ ne ba Dawid sɛ: Fa wo nuanom nnoɔma yi, nkyeweɛ efa yi ne paanoo du yi, tu mmirika kɔ nsraban no mu kɔma wo nuanom; 
1SA.17.18	na fa nufosuo a akyenkyen mua du yi kɔma apem so safohene no, na hwɛ sɛdeɛ wo nuanom ho teɛ, na fa wɔn ho biribi bra.
1SA.17.19	Nso na Saulo ne wɔn ne Israel mmarima nyinaa na ɛwɔ Ela bonhwa no mu ne Filistifoɔ reko. 
1SA.17.20	Na Dawid sɔree anɔpahema gyaa nnwan no hyɛɛ ɔhwɛfoɔ nsa, na ɔsoa kɔeɛ, sɛdeɛ Yisai hyɛɛ no no; na ɔkɔduruu nteaseɛnam aboaeɛ; na ɛdɔm no refiri adi akɔ mpasua mu na wɔbɔɔ ɔko no ho se, 
1SA.17.21	na Israel ne Filistifoɔ atwitwa mpasua a ɛdɔm kyerɛ dɔm anim. 
1SA.17.22	Ɛnna Dawid gyaa ne nnoɔma a na ɔkura no hyɛɛ nnoɔma so hwɛfoɔ nsa, na ɔtuu mmirika kɔɔ mpasua no mu na ɔkɔkyeaa ne nuanom no.
1SA.17.23	Na ɔne wɔn rekasa no, hwɛ, Filistini katakyie a wɔfrɛ no Goliat a ɔfiri Gat no, firi Filistifoɔ mpasua mu bae, na ɔbɛkekaa nsɛm no ara, na Dawid teeɛ. 
1SA.17.24	Na Israel mmarima no nyinaa, wɔhunu ɔbarima no a, wɔdwanedwane firi n’anim, na wɔsuro sɛ. 
1SA.17.25	Na Israel mmarima no kekaa sɛ: Sɛ moahunu ɔbarima a ɔreforo aba yi? Israel ara na waba rebɛtwa wɔn poa; na onii ko a ɔbɛku no no, ɔhene bɛma no anya ne ho sɛ, na ɔde ne babaa bɛma no aware, na wama n’agya fie ade wɔn ho wɔ Israel. 
1SA.17.26	Na Dawid ka kyerɛɛ mmarima a wɔne no gyina hɔ no sɛ: Ɛdeɛn na wɔbɛyɛ onipa a ɔbɛku Filistini yi na wayi ahohora afiri Israel soɔ no? Na hwan mpo ne Filistini momonoto yi a ɔtwa Onyankopɔn teasefoɔ mpasua poa yi? 
1SA.17.27	Na nkurɔfoɔ no kaa saa asɛm no ara kyerɛɛ no sɛ: Sɛɛ na wɔbɛyɛ onipa a ɔbɛku no no.
1SA.17.28	Na ne nua panin Eliab tee sɛ ɔne mmarima no rekasa; na Eliab bo fuu Dawid kaa sɛ: Adɛn nti na wosiane baa ha? Na hwan na wogyaa nnwan kakra a wɔwɔ wiram no hyɛɛ ne nsa? Me deɛ, menim w’aniɛden ne w’akoma mu bɔne dada sɛ ɔko no hwɛ nti na wosiane baeɛ. 
1SA.17.29	Na Dawid se: Na mayɛ dɛn? Ɛnyɛ asɛm bi ntira? 
1SA.17.30	Na ɔdanee ne ho firii ne nkyɛn kyerɛɛ obi, na ɔkaa saa asɛm no ara; na nkurɔfoɔ no de akane asɛm no ara buaa no.
1SA.17.31	Na wɔtee Dawid nsɛm a ɔkaeɛ no, wɔde kɔtoo Saulo anim, na ɔmaa wɔkɔfaa no baeɛ. 
1SA.17.32	Na Dawid ka kyerɛɛ Saulo sɛ: Mma ne ho nnyɛ obiara akomatuo; w’akoa bɛkɔ akɔne Filistini yi ako. 
1SA.17.33	Na Saulo ka kyerɛɛ Dawid sɛ: Wontumi nkɔ nkɔne Filistini no nko, ɛfiri sɛ wo deɛ, woyɛ abɔfra, na ɔno deɛ, ɔyɛ ɔbarima kofoni firi ne mmɔfraase. 
1SA.17.34	Na Dawid ka kyerɛɛ Saulo sɛ: W’akoa rehwɛ n’agya nnwan na sɛ gyata ne sisire ba bɛkyere adwammaa firi ekuo no mu a, 
1SA.17.35	mefiri adi meti no mekɔbɔ no, na meyi no mefiri n’anomu; na sɛ ɔsɔre tia me a, mesɔ ne bɔgyesɛ mu mebɔ no meku no. 
1SA.17.36	W’akoa akum gyata ne sisire nyinaa, na Filistini momonoto yi nyɛ sɛ wɔn mu baako, sɛ watwa Onyankopɔn teasefoɔ mpasua poa. 
1SA.17.37	Na Dawid kaa sɛ: AWURADE a ɔyii me gyata ne sisire nsam no, ɔno ara bɛyi me Filistini yi nsam. Ɛnna Saulo ka kyerɛɛ Dawid sɛ: Kɔ, na AWURADE bɛdi w’akyi. 
1SA.17.38	Na Saulo de ne ntadeɛ hyɛɛ Dawid na ɔde kɔbere mfrafraeɛ kyɛ soaa no, na ɔde nkataboɔ hyɛɛ no. 
1SA.17.39	Na Dawid de ne nkrantɛ bɔɔ n’atadeɛ no so, na ɔde nante hwɛe; ɛfiri sɛ na ɔnnya nsɔ nhwɛe. Na Dawid ka kyerɛɛ Saulo sɛ: Merentumi mfa yeinom nkɔ, ɛfiri sɛ mensɔ menhwɛe da; na Dawid yi firii ne ho. 
1SA.17.40	 Na ɔfaa ne poma kuraa ne nsam, na ɔyii mmoseaa a akokwa nnum firii subɔn no mu de guu ne nnwanhwɛfoɔ kotokuo ne bɔtɔ mu; na ɔkuraa ne ntɔmmoɔ ne nsam, na ɔtwe pinii Filistini no.
1SA.17.41	Na Filistini no nso nam reba, na ɔtwe pinii Dawid; na ɔbarima a ɔso kyɛm no di n’anim. 
1SA.17.42	 Na Filistini no totoo n’ani na ɔhunuu Dawid no, ɔbuu no animtia; ɛfiri sɛ ɔyɛ abɔfra, na ɔbere, na ne ho nso yɛ fɛ. 
1SA.17.43	Na Filistini no ka kyerɛɛ Dawid sɛ: Meyɛ kraman na wode mpoma reba me nkyɛn yi? Na Filistini no frɛɛ ne nyame domee Dawid. 
1SA.17.44	 Na Filistini no ka kyerɛɛ Dawid sɛ: Bra me nkyɛn na memfa wo nam memma ewiem nnomaa ne wiram mmoa. 
1SA.17.45	Ɛnna Dawid ka kyerɛɛ Filistini no sɛ: Wo deɛ, wode nkrantɛ ne pea ne pɛmɛ na ɛreba me so, na me deɛ, mede asafo AWURADE, Israel mpasua a woatwa wɔn poa no Nyankopɔn din na mereba wo so. 
1SA.17.46	Ɛnnɛ da yi AWURADE de wo bɛhyɛ me nsa, na maku wo, na matwa wo tiri afiri so, na mede Filistifoɔ dɔm afunu mama ewiem nnomaa ne asase so mmoadoma nnɛ ara, na asase nyinaa ahunu sɛ Onyankopɔn bi wɔ Israel, 
1SA.17.47	na badwa yi nyinaa nso ahunu sɛ ɛnyɛ nkrantɛ ne pea na AWURADE de gye nkwa, ɛfiri sɛ ɔko no yɛ AWURADE dea, na ɔde mo bɛhyɛ yɛn nsa.
1SA.17.48	Na ɛbaa sɛ, Filistini no sɔree sɛ ɔreba abɛhyia Dawid no, Dawid yɛɛ ntɛm tuu mmirika kɔɔ mpasua no so kɔhyiaa Filistini no. 
1SA.17.49	Na Dawid tenee ne nsa hyɛɛ kotokuo no mu yii ɔboɔ wɔ mu, na ɔtoo ntɔmmoɔ no bɔɔ Filistini no moma so, na ɔboɔ no hyɛnee ne tirim, na ɔhwee ase maa n’anim butuu fam.
1SA.17.50	Saa na Dawid de ntɔmmoɔ ne ɔboɔ faa Filistini no soɔ, na ɔbɔɔ Filistini no kumm no, nanso na nkrantɛ biara nkura Dawid nsam. 
1SA.17.51	Enti Dawid tutuu mmirika kɔgyinaa Filistini no so, na ɔsɔɔ ne nkrantɛ mu twe firii bɔha mu, na ɔkumm no, na ɔde twaa ne ti. Na Filistifoɔ no hunuu sɛ wɔn brane awuo no, wɔdwaneeɛ.
1SA.17.52	Ɛnna Israel ne Yuda mmarima sɔre bɔɔ ose na wɔtii Filistifoɔ no kɔduruu Gai
1SA.17.53	Na Israelfoɔ no sane firii Filistifoɔ no akyiridie ne pamo denden no mu, na wɔbɛfomm wɔn nsraban no faeɛ. 
1SA.17.54	Na Dawid faa Filistini no ti, na ɔde baa Yerusalem; na n’akodeɛ deɛ, ɔde guu ne ntomadan mu.
1SA.17.56	Na ɔhene se: Wo deɛ, bisa onii ko a ne ba ne akwankwaa yi. 
1SA.17.57	Na Dawid firi Filistini no kum resane aba no, Abner faa no de no baa Saulo anim, na Filistini no tiri no kura ne nsam. 
1SA.17.58	Na Saulo ka kyerɛɛ no sɛ: Aberanteɛ, hwan ba ne wo? Na Dawid buaa sɛ: W’akoa Yisai, Betlehemni no ba ne me.
1SA.18.1	Na ɔne Saulo kasa wieeɛ no, na Yonatan kra akyekyere Dawid kra ho, na Yonatan dɔɔ no sɛ ɔno ara ne kra. 
1SA.18.2	 Ɛda no ara, Saulo faa no ne no tenaeɛ, na wamma no ansane ankɔ n’agya fie. 
1SA.18.3	 Na Yonatan ne Dawid pam apam bi, ɛfiri sɛ na ɔdɔ no sɛ ɔno ara ne kra. 
1SA.18.4	Na Yonatan yii ne batakari a ɔhyɛ no maa Dawid ne ne ntadeɛ kɔduruu ne nkrantɛ ne ne tadua ne n’abɔsoɔ so. 
1SA.18.5	 Na Dawid firi adi kɔ baabiara a Saulo soma no na ne biribiara kɔ so; na Saulo de no sii akofoɔ so, na ɔsɔɔ ɔman no nyinaa ne Saulo nkoa nso ani.
1SA.18.7	 Na mmaa a wɔregorɔ no gyee wɔn ho so sɛ:
1SA.18.7	Saulo akum apem mu,
1SA.18.7	na Dawid akum ne mpem du mu.
1SA.18.8	Na Saulo bo fuu kɛse, na asɛm no anyɛ no dɛ. Na ɔkaa sɛ: Wɔde mpem du ama Dawid, na me deɛ, apem na wɔde ama me, na ɛdeɛn na aka no bio sɛ ahennie no? 
1SA.18.9	Na ɛfiri da no ara de rekorɔ no, Saulo tuu n’ani saa Dawid.
1SA.18.11	 Na Saulo too pea no, na ɔse: Mɛbɔ Dawid afam ɔfasuo ho. Na Dawid danee ne ho firii n’anim mprenu.
1SA.18.12	Na Saulo suroo Dawid, ɛfiri sɛ AWURADE di n’akyi, na Saulo deɛ, wafiri ne nkyɛn. 
1SA.18.13	Enti Saulo yii no firii ne ho, na ɔsii no apem so safohene, na ɔdii ahyɛmfire, ɔman no anim. 
1SA.18.14	 Na Dawid nyaa nkɔsoɔ n’akwan nyinaa mu, na AWURADE dii n’akyi. 
1SA.18.15	Na Saulo hunuu sɛ ne biribiara kɔ soɔ no, ɔsuroo no kɔkɔɔkɔ. 
1SA.18.16	Na Israel ne Yuda nyinaa dɔɔ Dawid, ɛfiri sɛ ɔno na na ɔdi wɔn anim ahyɛmfire.
1SA.18.17	Na Saulo ka kyerɛɛ Dawid sɛ: Hwɛ, me babaa panin Merab nie, ɔno na mede no bɛma wo aware; nnam ara na yɛ ma me, na ko ma AWURADE! Ɛfiri sɛ Saulo dwenee sɛ: Meremma me nsa nnka no, na Filistifoɔ na wɔn nsa nka no. 
1SA.18.18	Na Dawid ka kyerɛɛ Saulo sɛ: Mene hwan, na me nkwa, anaa m’agya abusua ne deɛn wɔ Israel, na memmɛyɛ ɔhene aseɛ? 
1SA.18.19	 Na berɛ duruiɛ a anka wɔde Saulo babaa Merab rebɛma Dawid no, wɔde no maa Meholatni Adriel awareɛ.
1SA.18.20	Na Saulo ba Mikal dɔ Dawid; na wɔka kyerɛɛ Saulo no, asɛm no yɛɛ no anigyeɛ. 
1SA.18.21	Na Saulo se: Mede no bɛma no, na ayɛ no fidie, na Filistifoɔ nsa aka no. Na Saulo ka kyerɛɛ Dawid ne mprenu soɔ sɛ: Wobɛyɛ m’ase nnɛ. 
1SA.18.22	 Na Saulo hyɛɛ n’asomfoɔ sɛ: Momfa aseɛ ne Dawid nkasa sɛ: Hwɛ, ɔhene pɛ w’asɛm, na ne nkoa nyinaa dɔ wo, enti afei, bɛyɛ ɔhene ase. 
1SA.18.23	Na Saulo nkoa no kaa nsɛm yi guu Dawid aso mu. Na Dawid kaa sɛ: Ɛyɛ mo ani so adewa sɛ obi bɛyɛ ɔhene aseɛ? Na me deɛ, meyɛ onipa hiani a m’akyiri nyɛ duro. 
1SA.18.24	Na Saulo nkoa kɔka kyerɛɛ no sɛ: Sɛdeɛ Dawid kaeɛ nie. 
