GEN.1.1	Makasososan Manetualain nakadadadik lalai no dae-inak.
MAT.9.12	Boe ma Yesus nafada sara nae, “Hatahori kamahedik memak parluu doter. Tehuu hatahori bee fo sodak ena, ta parluu. 
MAT.9.13	Malole lenak ei fali miu ngga fo parisa matalolole Manetualain Dedea-kokolan, fo lele uluk Ana nadenu Ndia mana toꞌu dedeꞌan Hosea surak nae,
MAT.9.13	‘Au hihii-nanaung ndia,
MAT.9.13	Au hatahoring nggara rasue-laik ma ratudu dale kasian esa no esa.
MAT.9.13	Mete ma ara ta tao talo naa, na,
MAT.9.13	sira tunu-hotun banda fo ara renin fee Au naa,
MAT.9.13	nanalan ta faa boe na.’
MAT.9.13	Naa, ndia Manetualain nafada ena. Huu naa de Au ta mai fo faduli hatahori mana tao aon neulauk ena, tehuu Au mai fo faduli hatahori ta kambareek kara.”
MAT.9.14	Basa naa, Yohanis Mana Saranik ana nunin nara reni Yesus reu. Ara ratane rae, “Ai mana tungga Yohanis naa, masiꞌe puasa. Hatahori Farisir oo puasa boe. Tehuu tao hata de Papa ana nunin nara raꞌa-rinu rakandoo? Sira raa, ta ralela puasa, do?”
MAT.9.15	Tehuu Yesus naselu sara pake lololek nae, “Talo ia: mete ma hambu feta kabin, fuik kara ta puasa, tehuu ara raꞌa losa rakabete. Mete ma baroit touk bei nai naa, neu ko basa sara raꞌa rame-rame. Tehuu neu laꞌe esa, mete ma hatahori laen humu reni baroit touk, boe ma ndia nonoon nara rameda susa, dei fo lelek naa ara puasa.
MAT.9.16	Hatahori ta haꞌi rala tema beuk bibiak faa fo tandan neu badu raak mana sidak ena. Te mete ma safe badu naa, tema neni tanda beuk naa, neu ko ana kukundu. No dalak naa, badu raak naa sidan boe tamba.
MAT.9.17	Leo naak oo hatahori ta radai oe anggor beuk neni boboꞌik banda rou raak dale neu boe, te neu ko kadin ma ana sii sasarak, de oe anggor beuk naa mboꞌa henin. Dadi oe anggor beuk muste nadain neni boboꞌik banda rou beuk neu, fo dua sara rakatataka no neulauk.” [No lololek naa, Yesus nanori sara nae Ndia nenorin naa, beuk. Dadi boso feen nabali no nenori raak.]
MAT.9.18	Neu Yesus bei kokolak no Yohanis ana nunin nara, boe ma hambu malangga uma huhule-haradoik esa mai natonggo no Yesus. Hatahori naa sendek luu-langgan neu Yesus matan, de noke-hule nae, “Papa, ee! Tulun dei! Te au ana fetong dei fo maten. Papa tulun mai ndae limam neun dei, fo ana bisa nasoda fali numa mamaten mai.”
MAT.9.19	Yesus namanene nala naa, boe ma Ana no ana nunin nara tungga memak ro hatahori naa.
MAT.9.20+MAT.9.21	Neu ara bei laꞌok numa dalak, hambu inak esa laꞌo tungga sara. Ana hambu bulak ta tungga ndoon losa teuk salahunu dua ena. Ana duduꞌa nai dalen dale nae, “Sadi au bisa afaroe kada Yesus badun, neu ko au hai.” Huu naa de ana neu nafaroe Yesus badun suꞌun.
MAT.9.22	Yesus nameda, boe ma Ana hekor aon de mete neu inak naa. Boe ma Ana kokolak nae, “Ana nggee! Matetea o dalem. Huu o mamahere tebe-tebe neu Au, de o hai ena.” Hatematak naa oo inak naa hai tutik kana boe.
MAT.9.23	Basa de Yesus asa laꞌok rakandoo reni malangga uma huhule-haradoik naa uman reu. Losa naa, boe ma Ana maso de mete-nita manahelo bini susa-sonak, ma hatahori noꞌuk ka buꞌi rakarereu. 
MAT.9.24	Boe ma Yesus nafada sara nae, “Hahae bubuꞌik, fali miu ngga leo! Huu kakanak ia ta mate. Ana kada sunggu a.” Tehuu ara hika korombiꞌe bafan nara mbali Yesus.
MAT.9.25	Boe ma hatahorir raa, basa sara kalua. De Yesus maso neni kakanak naa kaman dale neu, ma toꞌu nala liman. Boe ma kakanak naa nasoda fali numa mamaten mai tutik kana. 
MAT.9.26	Hatahori mete-rita naa, boe ma ara mulai ratuik ndule sira nusan, laꞌe-neu hata fo Yesus taok naa ena.
MAT.9.27	Basa boe ma Yesus laꞌok nakandoo. Neu bei laꞌok numa dalak, hambu hatahori pokek dua tungga-tungga roon. Ara eki rae, “Mane Dauk tititi-nonosin, ee! Kasian neu ai dei!”
MAT.9.28	Yesus maso neni uma dale neu, boe ma hatahori pokek kaduak kara raa reni Yesus reu. De Ana natane sara nae, “Ei mamahere tebe-tebe mae, Au aena koasa fo tao ei bisa mete-mita?”
MAT.9.28	Boe ma ara raselu rae, “Awii! Papa boso matane bali, te ai mamahere Papa tebe-tebe ena.”
MAT.9.29	Yesus namanene nala naa, boe ma Ana nafaroe matan nara, de kokolak nae, “Mete ma talo naa, na, ana dadi leo tungga ei nemeheherem naa!” 
MAT.9.30	Yesus kokolak basa talo naa, boe ma ara mete-rita tutik ka. Tehuu Yesus fee nesenedak maherek neu sara nae, “Masaneda, ee! Boso mafada hatahori esa boe na, hata fo mandadik ia ena!”
MAT.9.31	Tehuu ara ta bisa rakataka rala aon nara. De ara laꞌok ndule nusak naa, fo tui ratanggela hata fo Yesus taok naa.
MAT.9.32	Hatahori pokek kaduak kara raa kalua, boe ma hatahorir nuni roo hatahori laen esa neni Yesus neu. Hatahori naa, ta bisa kokolak, nahuu nitu saꞌen. 
MAT.9.33	Yesus mete-nita naa, boe ma Ana parenda nitu naa kalua laꞌo ela hatahori naa. Nitu naa kalua, boe ma hatahori naa kokolak tutik kana. De hatahori noꞌuk kara marai naa, heran bali-bali. Ara rae, “Awii! Ita hatahori Yahudir bei ta mete tita mandadik leo iak ia!”
MAT.9.34	Tehuu hatahori Farisir ta ramahoko. Ara kokolak rae, “Weeh! Nitur malanggan ndia feen koasa fo Ana bisa husi kalua nitur.”
MAT.9.35	Basa de Yesus laꞌok ndule kota ma nggorok noꞌuk ka, fo fee nenorik nai uma huhule-haradoik kara. Ana nanori hatahorir laꞌe-neu Manetualain Hara Lii Malolen, ma tao talo bee fo bisa maso dadi Ndia hatahorin. Ana oo, tao nahai hedis mata-matak kara, ma basa hatahorir fo ao-mbaan nara mana male-maꞌak kara boe.
MAT.9.36	Yesus mete-nita hatahori noꞌuk kara raa, boe ma Ana tuda kasian neu sara, nahuu ara ta bubuluk tao talo bee. Basa sara, sama leo bibi lombo fo mana lolo taak.
MAT.9.37	De Yesus kokolak no Ndia ana nunin nara nae, “Hatahori noꞌuk kara ia, sama leo osi-lutu buna-boan. Leo mae buna-boan noꞌuk, tehuu hatahori mana maue-osa ta dai fo ketu-koru rala buna-boan nara raa, fo rambeda sara rai soka-poler dale. 
MAT.9.38	Huu naa de ei muste moke Tenu osik fo Ana nadenu hatahori mana maue-osar, mita fo ara reu rakabubua rala Ndia osin buna-boan nara.”
MAT.10.1	Basa naa, Yesus nanggou nala Ndia ana nunin nara fo mai rakabua. Boe ma Ana fee sara koasa fo husi nitu ma tao rahai hatahori ruma sira hedi-raun mata-matak kara mai. 
MAT.10.2	Ana nuni kasalahunu duak kara fo Ana nadenu sara raa naden nara, sira:
MAT.10.2	Kaesan, nade Simon (ara rasiꞌe roken rae, ‘Petrus’),
MAT.10.2	ma fadin, nade Anderias,
MAT.10.2	boe ma Yakobis,
MAT.10.2	ma fadin, nade Yohanis (dua sara, Sabadeus anan).
MAT.10.3	Hambu Felipus boe,
MAT.10.3	ma Bartolomeos.
MAT.10.3	Tomas,
MAT.10.3	ma Mateos (mana susu bea).
MAT.10.3	Boe ma Yakobis (Alpius anan),
MAT.10.3	ma Tadius.
MAT.10.4	Boe ma Simon (mana tungga Selot partei politin),
MAT.10.4	ma Yudas Iskariot (fo neu ko ana ndia seꞌo heni Yesus).
MAT.10.5+MAT.10.6	Basa naa, Yesus nadenu Ndia ana nuni kasalahunu duan nara, ma Ana fee parenda nae, “Au adenu ei meni ita hatahori Yahudin nara miu, nahuu hambu noꞌuk ka ruma ita hatahorin nara mai, fo ta mana tungga tebe-tebe neu Manetualain eno-dalan. Sira raa, sama leo bibi lombo mana matarak. Huu naa de ei hae meni hatahori ta Yahudir miu, ndia leo hatahori Samariar. 
MAT.10.7	Miu mafada ita hatahori Israꞌel asa mae, ‘Fain losa ena fo basa hatahorir bisa maso dadi reu Manetualain hatahorin.’ 
MAT.10.8	Miu mahai hatahori kamahedik, tao masoda falik hatahori mates, mahai hatahori hedi kusta ma husi kalua heni nitu. Manetualain fee ei mana hetak ena, tehuu Ana ta noke falik hata esa boe na. Dadi hatematak ia, ei oo muste miu fo fee soa-neu hatahori laen boe no ei dale kateman ma hae moke falik hata esa boe na numa sira mai. 
MAT.10.9	Miu meni kada lima roum mara, ee. Hae meni doik, 
MAT.10.10	lepa-nggees, bua-loꞌa ngganggatik, tabu eis, do teteꞌe ai. Hatahori muste fee hatahori mana maue-osa, hata ndia mandaak fo ara bisa rasoda.
MAT.10.11	Mete ma ei maso meni kota esa dale miu, do nggorok esa, na, sangga hatahori mana nau simbok ei. Basa, na, leo miu naa, losa ei laꞌo ela mamanak naa. 
MAT.10.12	Mete ma ei maso meni hatahori uman miu, na, kokolak mae, ‘Soda-molek! Manetualain fee babaꞌe-babatik neu ei.’ 
MAT.10.13	Mete ma hatahori manai uma naa simbok nala ei no malole, na, moke-hule fo Manetualain fee babaꞌe-babatik neu sara. Tehuu mete ma ara ta simbok ei, Manetualain oo ta fee babaꞌe-babatik neu sara boe. 
MAT.10.14	Mete ma hatahori ta nau ramanene ei, na, kalua laꞌo ela uma naa, do kota naa, ma ngganggafu heni afu numa ei eim mara mai, fo dadi neu tanda nae, ara ta nau ramanene, na, sira mesa kasa lemba-rasaa sira neselu-netaan.
MAT.10.15	Tehuu masaneda, ee! Mateꞌen, neu faik Manetualain naketu hukun soa-neu hatahori marai dae-bafok ia, neu ko Ana naketu hukun soa-neu hatahorir fo ta nau simbok ei nai kota naa beran lena heni hatahori Sodom ma Gomora, fo bakahulun manggaraun sudi selik kana!”
MAT.10.16	“Masanenedak, ee! Huu Au adenu eir ia, sama leo Au haitua bibi lombo neni busa fui manggarauk taladan nara neu. Huu naa de, ei muste pake ute-dodolem sama leo mengge malelak fo tao neulauk. Ma ei dalem mara oo, muste ndoos sama leo mbui lunda sina fo ta mana sangga mbutes boe.
MAT.10.17	Tehuu besa-besa, ee! Huu neu ko hatahori tuni-ndeni ei sama leo busa manggarauk kiki nakanisa bibi lombo. Neu ko ara leꞌa reni ei maso meni mamana parisa dedeꞌa anggama miu. Ma neu ko ara poko-femba ei nai sira uma huhule-haradoin nara. 
MAT.10.18	Neu ko ara leꞌa roo ei miu masare nggubenor ma manek, nahuu ei tungga Au. Tehuu ei muste pake fai lelak naa, fo tui-bengga Au Hara Lii Maloleng neu sara. No dalak naa, hatahori ta mana nalela Lamatuak oo namanene laꞌe-neu Au boe. 
MAT.10.19	Tehuu mete ma ara leꞌa roo ei talo naa, na, ei hae mamataꞌu mae, ‘neu ko au kokolak ae, hata?’ Do, ‘neu ko au aselu ae, leo bee?’ Haen no duduꞌa talo naa, huu losa fain, neu ko ei Amam manai nusa tetuk do inggu temak nafada laꞌe-neu hata fo ei muste kokolak. 
MAT.10.20	Faik naa, hata fo ei kokolak, ta naoka numa ei mesa ngga dalem mai, huu Manetualain Dula-dale Malalaon, ndia fee nenorik fo ei kokolak hata.
MAT.10.21	Ei mete leo, huu neu ko nai uma esa dale, mete ma hambu hatahori namahere neu Au, mete te ndia toranoo heli-helin sangga dalak fo nakanisan. Mete ma kanak ndia namahere, neu ko aman ndia nakanisan. Mete ma aman no inan ndia ramahere, neu ko ana heli-helin nara ndia nakanisa sara.
MAT.10.22	Neu ko mateꞌen basa hatahorir mburuk ralan seli roo ei, nahuu ei tungga ma mamahere Au. Tehuu hatahori mana nakatataka losa babasan, Manetualain neu ko tao masoi-masodak soa-neun.
MAT.10.23	Mete ma hatahorir tuni-ndeni ei nai kota esa, na, malai meni kota laen miu. Tebe, naa! Au ia, Hatahori Dae-bafo Isi-isik. Neu ko ei bei ta laꞌok ndule basa kotar marai Israꞌel, tehuu Au fali mai ena.
MAT.10.24	Hatahorir rasiꞌe fee hada-horomatak neu meser esa, lena heni ndia ana nunin nara. Ma hatahori fee hada-horomatak neu malanggan esa, lena heni ndia ana maue-osan nara.
MAT.10.25	Mete ma ana nunik nanori fo malelan sama no ndia mesen ena, ana nameda dai ena. Ma mete ma ana maue-osa nanori fo malelan sama no ndia malanggan ena, na, ana oo nameda dai boe.
MAT.10.25	Dadi masaneda, ee! Mete ma hatahori roke tenu uma rae, ‘O ia, Balsebul, ndia nitur malanggan!’ na, neu ko ndia uma isin oo, hambu nade pake taak lenak bali boe.”
MAT.10.26	“Dadi ei hae mamataꞌu mia hatahori mana laban ei. Huu hata fo hatahori taon no nefufunik, neu ko basa hatahorir mete-ritan.
MAT.10.27	Hata fo Au anori neu ei mesa ngga ena, neu ko ei muste miu mafada basa hatahorir. Ma hata fo Au afada ei no neneek, neu ko ei muste miu mafada ndule basa mamanak kara. 
MAT.10.28	Hae mamataꞌu hatahori dae-bafok, huu ara rala kada tao risa hatahori ao-inan, tehuu ta bisa rakalulutu hatahori samanen. Huu naa de, ei muste mamataꞌu neu Manetualain, huu Ana ndia naena koasa fo piru-nggari heni hatahori ao-inan ma samanen, neni tasi aꞌi mana mbila seku neu. 
MAT.10.29	Dadi tao matea ei dalem mara. Hatahori seꞌo mbui litik nai pasar, belin kada baꞌu anan seli. Tehuu ta hambu esa boe na tuda neni daer neu fo maten, mete ma ei Amam manai nusa tetuk do inggu temak ta nakaheik kana. 
MAT.10.30	Ei Amam manai nusa tetuk do inggu temak oo, tao matak neu ei losa hata fo kadiꞌi anan seli boe. Ei langga bulu doom noꞌun hida nai ei langgam oo, Ana bubuluk ena boe. 
MAT.10.31	Dadi ei boso mamataꞌu! Manetualain timba-tai ei belin lena heni basa mbui litik kara raa lalaꞌen.”
MAT.10.32	Basa de Yesus kokolak bali nae, “Hatahori mana nambarani manaku nalela Au nai hatahori noꞌuk matan nai dae-bafok ia, neu ko Au oo manaku alelan nai Au Amang matan nai nusa tetuk do inggu temak boe ae, ‘Ndia ia, Au hatahoring.’ 
MAT.10.33	Tehuu hatahori fo mana laka nai hatahori noꞌuk matan nae, ndia ta nalela Au, neu ko Au oo afada Au Amang manai nusa tetuk do inggu temak ae, ‘Au ta alela hatahori ia boe.’ ”
MAT.10.34	“Ei boso duꞌa mae, Au mai uni mole-damek nai dae-bafok ia. Au mai fo tao hatahori dae-bafok esa laban esa. 
MAT.10.35	Au uni dae-bafok ia mai, tungga hata fo Manetualain mana toꞌu dedeꞌan surak memak kana ena nae,
MAT.10.35	‘Neu ko ana touk laban ndia aman,
MAT.10.35	ana inak laban ndia inan,
MAT.10.35	ma feto-feuk laban ari-inan,
MAT.10.36	te uma isin nara mesa kasa, esa namusuk no esa.’
MAT.10.37	Dadi hatahori mana nau tungga Au tebe-tebe, ana muste sue-lai neu Au 
MAT.10.38	Hatahori mana nau tungga Au, tehuu ta nau lemba-nasaa doidosok, ana ta nandaa dadi neu Au hatahoring.
MAT.10.39	Hatahori mana sadia mate nahuu tungga Au, neu ko ana hambu masodak nakandoo no Manetualain. Tehuu hatahori mana nau nasoda soa-neu kada ndia ao heli-helin, neu ko masodan naa, mopon neuk kana leo!”
MAT.10.40	“Hatahori mana simbok ei no neulauk, ana oo simbok Au boe. Ma hatahori mana simbok Au, ana oo simbok Manetualain mana madenu Au boe.
MAT.10.41	Hatahori mana simbok Manetualain mana toꞌu dedeꞌan, nahuu mana toꞌu dedeꞌak naa kokolak laꞌe-neu Lamatuak, neu ko Lamatuak balan sama leo Lamatuak bala mana toꞌu dedeꞌak esa. Ma hatahori mana simbok hatahori dale ndoos esa, nahuu hatahori naa tungga tebe-tebe Lamatuak hihii-nanaun, neu ko Lamatuak balan sama leo Lamatuak bala hatahori dale ndoos esa. 
MAT.10.42	Hatahori mana simbok hatahori esa kadiꞌin seli, nahuu ana tungga Au, neu ko Lamatuak balan. Leo mae hatahori fee kada oe mutik nggalas esa oo, neu ko Manetualain ta lilii heni sana boe.”
MAT.11.1	Neu Yesus helu basa Ndia ana nuni kasalahunu duan nara raa, boe ma Ana laꞌok ndule nggorok kara marai nusak naa, fo nanori hatahori ma tui-bengga Manetualain Hara Lii Malolen.
MAT.11.2	Lelek naa, Yohanis nai bui dale ena. Neu ana namanene basa hata fo Yesus taok ena, boe ma ana nadenu ana nunin nara reu ratane Yesus rae, 
MAT.11.3	“Manetualain helu-bartaa memak numa lele uluk mai ena nae, Ana nau nadenu Karistus mai fo tao masoi-masodak neu ita hatahori Yahudir. Papa ia, ndia Karistus, do? Do, ai muste mahani neu hatahori laen bali?” De ara reu ratane Yesus.
MAT.11.4	Yesus namanene nala naa, boe ma Ana naselu nae, “Ei mesa ngga mamanene ena ma mete-mita ena. De fali miu ngga fo tui kaꞌa Yohanis mae, basa-basan dadi ena tungga hata fo Manetualain mana toꞌu dedeꞌan Yesaya surak memak kana ena nae:
MAT.11.5	Hatahori pokek, mete-nita.
MAT.11.5	Hatahori ei kekok, nambadeik laꞌo-laꞌo.
MAT.11.5	Hatahori hedi kusta, dadi nambalao.
MAT.11.5	Hatahori mbakek, namanene.
MAT.11.5	Hatahori mates, nasoda fali numa mamates mai.
MAT.11.5	Hatahori kasian, namanene Hara Lii Malole.
MAT.11.6	Dadi talo ia: miu mafada kaꞌa Yohanis, neu ko ana naua mete ma namahere nakandoo neu Au. Neu ko Manetualain fee babaꞌe-babatik neu hatahori fo nemeheheren neu Au ta nanggenggo!”
MAT.11.7	Neu Yohanis ana nunin nara fali reu ngga, boe ma Yesus kokolak no hatahori noꞌuk kara laꞌe-neu Yohanis nae, “Neu faik ei miu sangga Yohanis numa mamana nees naa, ei duꞌa mae ei matonggo mia hatahori dae-bafok rupak leo beek? Ta bisa dadi ei miu matonggo hatahori mana noe-naꞌuk, nok bali milak mana mbeu neu-mai tungga kada anin! 
MAT.11.8	Ma ta bisa dadi ei miu fo mete-mita hatahori mana pake bua-loꞌa mabeli, huu hatahori rupa leo naak, leo nai kada uma manek! 
MAT.11.9	Dadi ei miu mete-mita hatahori rupa leo beek nai naa? Ei duꞌa mae, ei miu sangga Manetualain mana toꞌu dedeꞌan? Tebe! Tehuu ndia ia, mana toꞌu dedeꞌak ta hohoꞌan lenak. 
MAT.11.10	Sama leo Manetualain Susura Malalaon surak memak laꞌe-neu Yohanis nae,
MAT.11.10	‘Nenene! Au adenu Au hatahoring,
MAT.11.10	fo neu nasosoi dalak fee O.’
MAT.11.11	Nenene matalolole, ee! Nai dae-bafok ia, ta hambu hatahori esa boe na, ta hohoꞌan lena heni Yohanis. Tehuu numa basa hatahori dae-bafok mana manaku nita Manetualain dadi neu sira Manen, hatahori bakahitok mateꞌen oo, ta hohoꞌan lena heni Yohanis ena boe. 
MAT.11.12	Mulai numa Yohanis nakalalaꞌok ue-tataon losa hatematak ia, hatahori noꞌuk ka maso dadi reu Manetualain enan ena. Tehuu hambu ketuk duꞌa sala rae, ara muste ratati fo rakasetik hatahorir maso dadi reu Manetualain hatahorin. Ma hambu ketuk oo mana ratati laban Manetualain hatahorin boe. 
MAT.11.13	Losa faik Yohanis Mana Saranik mamain, ita hatahori Yahudir tasiꞌe leo-laꞌo tungga baꞌi Musa ma Manetualain mana toꞌu dedeꞌan nara hohoro-lalanen.
MAT.11.14	Dadi mamahere neu kada Au leo! Yohanis naa, ndia Elia fo Manetualain mana toꞌu dedeꞌan nara rafada memak ndia mamain ena.
MAT.11.15	Dadi mana hii bubuluk muste mamanene matalolole, ee!
MAT.11.16	Au ae fee lololek fo ei bisa bubuluk, hatahori hatematak ia, hatahori dae-bafok rupak bee. Sira raa, sama leo kana anar mana nggua-nggua rai pasar. Ara kada eki ro nonoon nara rae,
MAT.11.17	‘Woi! Ai fuu sulik rame-rame,
MAT.11.17	tehuu ei ta foti-lendo setelele.
MAT.11.17	Boe ma ai soda sosoda susa-sonak,
MAT.11.17	tehuu ei ta buꞌi mamatani.’
MAT.11.18	Eir ia, sama leo kana kadiꞌi anak kara fo ta mana rameda dai ndoos. Neu Yohanis mai, ana hii puasa, ma ta ninu anggor. De hatahorir henggenee ralan rae, ‘Ndia nitu saꞌek!’ 
MAT.11.19	Tehuu hatematak ia Au, Hatahori Dae-bafo Isi-isik mai ena. Au ta puasa, ma Au inu anggor. Boe ma hatahorir henggenee rala Au rae, ‘Ndia ia, hatahori bare-naꞌo huun! Mana mafu kamberak bali! Ana neu natia-laik no mana susu bear! Partei esa no hatahori ta papake taak kara! Ta nalela aon bali!’ Tehuu ei tanda Au kokolang leo, ee! Manetualain malelan neni nitak nai Ndia hatahorin leleo-lalaꞌon.”
MAT.11.20	Basa naa, Lamatuak Yesus mulai nahara berak neu hatahorir mana leo rai nggorok hida. Ana tao tanda heran noꞌun lenak numa naa ena, tehuu ara ta nau laꞌo ela sira sala-singgon nara, fo tungga Manetualain eno-dala ndoon. 
MAT.11.21	Yesus nahara berak nae, “Ei hatahori Korasin ma hatahori Betsaida rein, ee! Besa-besa, ee! Neu ko ei hambu sosoek! Au tao tanda heran mata-matak kara numa ei matam mara, tehuu ei ta nau mamahere neu Manetualain. Naa te, eir ia hatahori Yahudir fo mana manaku malela Manetualain. Tehuu mete ma tanda heran nara raa fo Au taok kara numa ei nggorom, ara dadi rakahuluk nai kota Tirus ma kota Sidon ena, na, doo basa ia hatahorir marai naar sale dalen do tuke tein nara memak, ma laꞌo ela sira sala-singgon nara ena, fo tungga Manetualain. Ma sira oo pake bua-loꞌa sususak boe, ma tao afu neu langgan nara fo dadi tanda rae, ara fale dalen nara neu sira sala-singgon nara. Naa te, hatahori Tirus ma hatahori Sidon iar, ta hatahori Yahudir fo mana manaku ralela Manetualain.
MAT.11.22	Tebe! Neu ko ei mete a leo! Mete ma Manetualain naketu basa hatahorir dedeꞌan nara, ei huku-dokim mara beran lena heni hatahori Tirus ma hatahori Sidon huku-dokin nara.
MAT.11.23	Ei hatahori Kapernaum! Besa-besa, ee! Ei boso duꞌa mae, neu ko Manetualain soꞌu botik ei maso meni nusa tetuk do inggu temak miu. Taa! Neu ko Manetualain nggari ei meni aꞌi mbila ta kala matek miu! Mete ma tanda heran nara raa fo Au taok numa ei nggorom, dadi nakahuluk numa kota Sodom, na, Manetualain ta parluu nakalulutu kota manggarauk naa. Mete ma hatahori Sodom mara mete-rita tanda heran nara raa, na, ara laꞌo ela sira manggaraun nara ena.
MAT.11.24	Tebe! Neu ko ei mete a leo! Neu faik fo Manetualain naketu-naladi basa hatahorir dedeꞌan nara, ei huku-dokim mara beran lena heni hatahori Sodom huku-dokin nara!”
MAT.11.25	Yesus kokolak basa talo naa, boe ma Ana hule-haradoi nae, “Papa! Papa ndia toꞌu haak parenda basa-basan nai lalai no dae-inak. Au oke makasi noꞌun seli, nahuu Papa tatana mala huku-dokik naa numa hatahori mana tao aon malelak kara, ma mana makadedema aok kara mai. Tehuu Papa buka basa dedeꞌak kara raa neu hatahori kadiꞌik kara, ma hatahori mana makaloloe aok kara. 
