MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
LUK.14.26	"Wer zu mir kommt und nicht aufgibt
LUK.14.27	Wer nicht sein Kreuz trägt und mir nachfolgt, der kann nicht mein Jünger sein.
LUK.14.28	Will einer von euch einen Turm bauen, setzt er sich dann nicht erst hin und berechnet die Kosten, damit er wisse, ob er auch die Mittel hat, den Bau ganz auszuführen? 
LUK.14.29	Es könnte sonst geschehen, daß er nach der Grundlegung nicht imstande wäre, das Werk zu vollenden. Dann aber würden alle, die es sehen, anfangen, über ihn zu spotten 
LUK.14.30	und zu sagen: 'Dieser Mensch hat einen Bau begonnen, aber er hat ihn nicht zu Ende führen können.' 
LUK.14.31	Oder wenn ein König mit einem anderen König Krieg anfangen will, setzt er sich dann nicht erst hin und überlegt, ob er imstande ist, mit zehntausend Mann dem die Spitze zu bieten, der gegen ihn rückt mit zwanzigtausend? 
LUK.14.32	Wo nicht, so schickt er eine Gesandtschaft an ihn, solange er noch fern ist, und sucht Friedensverhandlungen einzuleiten. 
LUK.14.33	So kann auch keiner von euch mein Jünger sein, der nicht auf alles, was er hat, verzichtet.
LUK.14.34	Das Salz ist etwas Gutes. Wird aber das Salz fade, womit soll man ihm dann seine Würzkraft wiedergeben? 
LUK.14.35	Es ist weder für das Land noch für den Düngerhaufen brauchbar; man wirft es weg.
LUK.15.1	Überall pflegten sich die Zöllner und andere verrufene Leute an ihn heranzudrängen, um ihn zu hören. 
LUK.15.2	Darüber waren die Pharisäer und die Schriftgelehrten unwillig. "Dieser Mann", so sprachen sie, "verkehrt ja mit offenbaren Sündern und läßt sich sogar von ihnen zu Tisch laden." 
LUK.15.3	Darauf antwortete ihnen Jesus durch dies Gleichnis: 
LUK.15.4	"Wenn einer von euch hundert Schafe hat und eins davon kommt ihm abhanden, läßt er dann nicht die neunundneunzig auf der Weide und sucht nach dem verirrten, bis er's findet? 
LUK.15.5	Und hat er es gefunden, so nimmt er's voller Freude auf seine Schulter. 
LUK.15.6	Kommt er dann nach Hause, so ruft er seine Freunde und Nachbarn zusammen und spricht zu ihnen: 'Freut euch mit mir, denn ich habe mein verirrtes Schaf wiedergefunden.' 
LUK.15.7	Ich sage euch: Ebenso ist auch im Himmel über einen einzigen Sünder, der von seinem Irrweg umkehrt, größere Freude als über neunundneunzig Gerechte, die keine Bekehrung nötig haben.
LUK.15.8	Oder wenn eine Frau zehn Silberlinge
LUK.15.9	Und hat sie ihn gefunden, so ruft sie ihre Freundinnen und Nachbarinnen zusammen und spricht: 'Freut euch mit mir, denn ich habe den verlorenen Silberling wiedergefunden.' 
LUK.15.10	Ebenso, sage ich euch, herrscht Freude bei den Engeln Gottes über einen einzigen Sünder, der sich bekehrt." 
LUK.15.11	Weiter sprach er: "Ein Mann hatte zwei Söhne. 
LUK.15.12	Der jüngste sprach zu seinem Vater: 'Vater, gib mir das Erbteil, das mir zukommt.'
LUK.15.13	Bald darauf nahm der jüngste Sohn all sein Gut zusammen und zog in ein fernes Land. Dort brachte er sein Vermögen in einem liederlichen Leben durch. 
LUK.15.14	Als er alles ausgegeben hatte, entstand in jenem Land eine schwere Hungersnot. Da fing er an zu darben. 
LUK.15.15	Er ging hin und trat in Dienst bei einem Bürger jenes Landes. Der schickte ihn auf seine Felder, um die Schweine zu hüten.
LUK.15.16	Da hätte er sich gern sattgegessen an den Schoten,
LUK.15.17	Da kam er zur Besinnung und sprach: 'Wieviel Tagelöhner meines Vaters haben Brot im Überfluß, und ich muß hier verhungern! 
LUK.15.18	Ich will mich aufmachen und zu meinem Vater gehen und zu ihm sagen: 'Vater, ich habe gesündigt gegen den Himmel
LUK.15.19	ich bin nicht mehr wert, dein Sohn zu heißen; behandle mich wie einen deiner Tagelöhner.' 
LUK.15.20	Er machte sich nun auf den Weg zu seinem Vater. Als er noch weit entfernt war, sah ihn schon sein Vater kommen, und voll Mitleid eilte er ihm entgegen, fiel ihm um den Hals und küßte ihn. 
LUK.15.21	Da sprach der Sohn zu ihm: 'Vater, ich habe gesündigt gegen den Himmel und wider dich; ich bin nicht mehr wert, dein Sohn zu heißen.' 
LUK.15.22	Doch der Vater befahl seinen Knechten: 'Holt schnell ein Festgewand — das allerbeste — und legt's ihm an; steckt einen Ring an seine Hand und zieht ihm Schuhe an die Füße! 
LUK.15.23	Dann holt das Mastkalb her und schlachtet es: laßt uns ein Festmahl halten und fröhlich sein! 
LUK.15.24	Denn dieser mein Sohn war tot
LUK.15.25	Der älteste Sohn war gerade auf dem Feld. Als er nun heimkam und sich dem Haus näherte, hörte er Spiel und Tanz. 
LUK.15.26	Da rief er einen von den Knechten und fragte ihn, was das bedeute. 
LUK.15.27	Der sagte ihm: 'Dein Bruder ist zurückgekommen; da hat dein Vater das Mastkalb geschlachtet, weil er ihn gesund wiederhat.' 
LUK.15.28	Da ward er zornig und wollte nicht hineingehen. Da kam sein Vater heraus und redete ihm zu. 
LUK.15.29	Er aber antwortete dem Vater: 'So viele Jahre schon diene ich dir wie ein leibeigener Knecht, und nie habe ich gegen dein Gebot gehandelt. Doch noch kein einzigmal hast du mir einen jungen Ziegenbock geschenkt, damit ich ein frohes Mahl mit meinen Freunden hielte. 
LUK.15.30	Jetzt aber, wo dieser dein Sohn heimkommt, der dein Hab und Gut im Verkehr mit Dirnen vergeudet hat, da hast du ihm das Mastkalb schlachten lassen.'
LUK.15.31	Der Vater sprach zu ihm: 'Mein Kind, du bist ja immer bei mir, und alles, was mir gehört, gehört auch dir. Aber jetzt sollte doch lauter Freude herrschen; denn dieser dein Bruder war tot und ist lebendig geworden, er war verloren und ist wiedergefunden worden.'"
LUK.16.1	Dann sprach er zu seinen Jüngern: "Ein reicher Mann hatte einen Verwalter. Über den wurde ihm hinterbracht, er verschwende ihm sein Vermögen.
LUK.16.2	Da ließ er ihn rufen und sprach zu ihm: 'Was muß ich von dir hören? Lege mir Rechnung ab von deiner Tätigkeit! Denn du kannst nicht länger in meinem Dienst bleiben.'
LUK.16.3	Da überlegte der Verwalter: 'Was soll ich machen, da mir mein Herr die Stelle nimmt? Zur Feldarbeit fehlt mir die Kraft, zum Betteln bin ich zu stolz. 
LUK.16.4	Ich weiß schon, was ich tue, damit ich Leute finde, die mich nach meiner Entlassung in ihre Häuser aufnehmen.' 
LUK.16.5	Er ließ nun alle Schuldner seines Herrn einzeln zu sich kommen. Den ersten fragte er: 'Wieviel bist du meinem Herrn schuldig?' 
LUK.16.6	Der gab ihm zur Antwort: 'Hundert Eimer
LUK.16.7	Dann fragte er einen anderen: 'Wieviel bist du schuldig?' Der sagte: 'Hundert Malter
LUK.16.8	Und der Herr
LUK.16.9	Auch ich sage euch:
LUK.16.10	Wer im Kleinsten treu ist, der ist auch im Großen treu;
LUK.16.11	Seid ihr nun untreu in dem irdischen Geld und Gut, an dem doch so viel Unrecht klebt, wer wird euch dann die wahren
LUK.16.12	Und geht ihr nicht treu mit fremdem Gut
LUK.16.13	Kein Knecht kann zwei Herren dienen. Denn er wird den einen hassen und den anderen lieben oder doch dem einen anhangen und gering von dem anderen denken. Ihr könnt nicht Gott und zugleich dem Geld dienen." 
LUK.16.14	Dies alles hörten die Pharisäer, die das Geld liebhatten, und sie spotteten über ihn. 
LUK.16.15	Da sprach er zu ihnen: "Ihr seid Leute, die vor den Menschen mit ihrer Frömmigkeit großtun; Gott aber durchschaut eure Herzen. Denn was die Menschen hochhalten,
LUK.16.16	Das Gesetz und die Propheten
LUK.16.17	Doch es ist leichter möglich, daß Himmel und Erde vergehen, als daß von dem Gesetz ein einziger Strich hinfällig werde. 
LUK.16.18	Wer sein Weib entläßt und eine andere heiratet, der begeht einen Ehebruch; und wer eine von ihrem Mann entlassene Frau zum Weib nimmt, der begeht damit auch einen Ehebruch.
LUK.16.19	Es war einmal ein reicher Mann, der kleidete sich in Purpur und feine Leinwand und lebte alle Tage herrlich und in Freuden. 
LUK.16.20	Ein Armer aber mit Namen Lazarus
LUK.16.21	und sehnte sich danach, mit dem Abfall von des Reichen Tisch seinen Hunger zu stillen. Sogar die Straßenhunde kamen und beleckten seine Schwären.
LUK.16.22	Da starb der Arme und wurde von den Engeln in Abrahams Schoß getragen.
LUK.16.23	Als er nun im Totenreich Qualen litt, hob er seine Augen auf: da sah er Abraham in weiter Ferne und Lazarus in seinen Armen. 
LUK.16.24	Da rief er: 'Vater Abraham, erbarme dich mein und sende Lazarus, daß er seine Fingerspitze mit Wasser netze und mir die Zunge kühle; denn ich leide Pein hier in der Feuerglut!' 
LUK.16.25	Abraham aber antwortete: 'Mein Sohn, bedenke: du hast die Güter, die dir begehrenswert erschienen, schon in deinem Erdenleben empfangen;
LUK.16.26	Überdies liegt zwischen uns und euch auch eine weite Kluft: die soll den Weg für alle, die von hier zu euch hinüberwollen, unmöglich machen und ebenso den Weg von euch zu uns.' 
LUK.16.27	Da sagte er: 'So bitte ich dich, Vater, sende ihn in meines Vaters Haus! 
LUK.16.28	Denn ich habe noch fünf Brüder; die soll er ernstlich warnen, damit sie nicht auch an diesen Ort der Qual geraten.' 
LUK.16.29	Abraham erwiderte: 'Sie haben Mose und die Propheten;
LUK.16.30	Er aber sprach: 'Nein, Vater Abraham;
LUK.16.31	Da antwortete ihm Abraham: 'Hören sie nicht auf Mose und die Propheten, so lassen sie sich auch nicht überzeugen, wenn einer von den Toten aufersteht.'"
LUK.17.1	Jesus sprach dann weiter zu seinen Jüngern:
LUK.17.2	Es wäre für ihn besser, er läge in des Meeres Tiefe mit einem Mühlstein um den Hals, als daß er eins der Kinder, die hier stehen, zur Sünde verführte. 
LUK.17.3	Hütet euch davor!
LUK.17.4	Ja wenn er sich siebenmal an einem Tag gegen dich versündigte und er käme siebenmal zu dir zurück und spräche: 'Es tut mir leid', so sollst du ihm vergeben." 
LUK.17.5	Da baten die Apostel den Herrn: "Gib uns mehr Glauben!" 
LUK.17.6	Der Herr antwortete: "Wenn ihr Glauben hättet wie ein Senfkorn, so sprächt ihr zu diesem Maulbeerbaum: Entwurzele dich und verpflanze dich ins Meer!' —, und er gehorchte euch. 
LUK.17.7	Wer von euch sagt zu seinem Acker- oder Hüteknecht, wenn er vom Feld heimkehrt: 'Geschwind komm her und geh zu Tisch'? 
LUK.17.8	Wird er ihm nicht vielmehr befehlen: 'Mach mir mein Abendessen fertig, schürze dich und bediene mich, bis ich gegessen und getrunken habe — dann halte du dein Mahl'? 
LUK.17.9	Dankt er etwa dem Knecht, weil er getan hat, was ihm befohlen worden ist? 
LUK.17.10	Ebenso auch ihr: Habt ihr alles ausgeführt, was euch aufgetragen worden ist, so denkt: wir haben als Knechte kein Verdienst; wir haben nur getan, was wir zu tun schuldig waren." 
LUK.17.11	Auf seiner Wanderung nach Jerusalem zog er längs der Grenze zwischen Samaria und Galiläa.
LUK.17.12	Als er in ein Dorf kam, begegneten ihm zehn aussätzige Männer: die blieben von weitem stehen
LUK.17.13	und riefen laut: "Jesus, Meister, erbarme dich unser!" 
LUK.17.14	Als er sie erblickte, sagte er zu ihnen: "Geht hin und zeigt euch den Priestern!"
LUK.17.15	Aber einer von ihnen kam zurück, als er sich geheilt sah: er pries Gott mit lauter Stimme, 
LUK.17.16	warf sich zu Jesu Füßen auf sein Angesicht und dankte ihm. Das war ein Samariter. 
LUK.17.17	Da fragte Jesus: "Sind nicht alle zehn gesund geworden? Wo sind die anderen neun? 
LUK.17.18	Hat sich sonst keiner gefunden, der zurückkäme, um Gott die Ehre zu geben, als dieser Fremdling?" 
LUK.17.19	Und er sprach zu ihm: "Steh auf und geh! Dein Glaube hat dich gesund gemacht." 
LUK.17.20	Einst fragten ihn die Pharisäer: "Wann kommt Gottes Königreich?" Er antwortete ihnen: "Gottes Königreich kommt ganz ohne äußeres Aufsehen.
LUK.17.21	Man kann auch nicht sagen: 'Hier ist es oder dort.' Denn wißt: Gottes Königreich ist schon mitten unter euch."
LUK.17.22	Dann sagte er zu seinen Jüngern: "Die Zeit wird kommen, wo ihr euch danach sehnt, nur einen von den Tagen des Menschensohnes zu erleben;
LUK.17.23	Dann wird man zu euch sagen: 'Seht dort, seht hier (ist der Messias)!'
LUK.17.24	Denn wie der Blitz aufleuchtet und am Himmel hin- und herzuckt, so wird der Menschensohn an seinem Tage sein.
LUK.17.25	Zuvor aber
LUK.17.26	Wie es in Noahs Tagen zuging, so wird's auch zugehen in des Menschensohnes Tagen: 
LUK.17.27	Man aß und trank, man nahm zur Ehe und gab zur Ehe bis zu dem Tag, als Noah in die Arche ging. Dann brach die Flut herein und vertilgte alle. 
LUK.17.28	Ganz ebenso ging's in den Tagen Lots: man aß und trank, man kaufte und verkaufte, man pflanzte und baute. 
LUK.17.29	Doch an dem Tag, wo Lot aus Sodom ging, fiel ein Feuer- und Schwefelregen vom Himmel und vertilgte alle. 
LUK.17.30	So wird's auch an dem Tag sein, an dem der Menschensohn sich offenbart. 
LUK.17.31	Wer an jenem Tag auf dem Dach ist und sein Gerät im Haus liegen hat, der soll nicht erst hinuntergehen und es holen; und ebenso: wer draußen auf dem Feld ist, der kehre nicht zurück in seine Wohnung. 
LUK.17.32	Denkt an Lots Weib!
LUK.17.33	Wer sein Leben zu erhalten sucht, der wird's verlieren; und wer's verliert, der wird es sich bewahren.
LUK.17.34	Ich sage euch: In jener Nacht werden zwei Männer auf einem Lager ruhen: der eine wird mitgenommen, der andere bleibt zurück. 
LUK.17.35	Zwei Frauen werden miteinander mahlen: die eine wird mitgenommen, die andere bleibt zurück." 
LUK.17.37	Da fragten ihn die Jünger: "Wo, Herr (finden wir dann Zuflucht)?"
LUK.18.1	Er erzählte ihnen ferner ein Gleichnis, um ihnen zu zeigen, daß sie allezeit beten müßten und dabei nie den Mut verlieren dürften. 
LUK.18.2	"In einer Stadt", so sagte er, "war einst ein Richter, der kannte keine Gottesfurcht und keine Scheu vor Menschen.
LUK.18.3	Nun lebte eine Witwe in jener Stadt, die kam oft zu ihm und bat ihn: 'Hilf mir zu meinem Recht gegen meine Widersacher!' 
LUK.18.4	Eine Zeitlang wollte er nicht. Dann aber dachte er bei sich: 'Sind mir auch Gottesfurcht und Scheu vor Menschen fremd, 
LUK.18.5	so will ich dieser Witwe doch zu ihrem Recht verhelfen, weil sie mir keine Ruhe läßt. Sonst kommt sie immer wieder und peinigt mich.'"
LUK.18.6	"Hört", fuhr der Herr dann fort, "was hier der ungerechte Richter sagt! 
LUK.18.7	Sollte Gott da nicht viel mehr seinen Auserwählten zu ihrem Recht verhelfen, wenn sie zu ihm rufen Tag und Nacht? Sollte er da zaudern, sie zu retten? 
LUK.18.8	Ich sage euch: Er wird ihnen schnell zu ihrem Recht verhelfen. Doch wird der Menschensohn bei seiner Wiederkunft auf Erden auch das volle Maß des Glaubens finden?"
LUK.18.9	Im Blick auf Leute, die auf ihre eigene Frömmigkeit vertrauten und dabei die anderen verachteten, erzählte er dieses Gleichnis: 
LUK.18.10	"Zwei Männer gingen in den Tempel, um zu beten: der eine war ein Pharisäer, der andere ein Zöllner. 
LUK.18.11	Der Pharisäer trat (selbstgefällig) hin und betete in seinem Herzen: 'Gott, ich danke dir, daß ich nicht bin wie die anderen Menschen: ich bin kein Räuber, kein Betrüger, kein Ehebrecher, ich bin auch nicht wie jener Zöllner dort. 
LUK.18.12	Ich faste zweimal in der Woche
LUK.18.13	Der Zöllner aber blieb im Hintergrund stehen, er wagte nicht einmal die Augen zum Himmel zu erheben, sondern schlug an seine Brust und sprach: 'Gott, sei mir Sünder gnädig!' 
LUK.18.14	Ich sage euch: Dieser ging gerechtfertigt nach Hause, der andere nicht. Denn wer sich selbst erhöht, der soll erniedrigt werden; und wer sich selbst erniedrigt, der soll erhöht werden."
LUK.18.15	Einst brachten die Leute ihre unmündigen Kinder
LUK.18.16	Jesus aber rief die Kinder zu sich und sprach: "Laßt die kleinen Kinder zu mir kommen und hindert sie nicht daran! Denn gerade ihnen ist Gottes Königreich bestimmt. 
LUK.18.17	Wahrlich, ich sage euch: Wer Gottes Königreich nicht annimmt wie ein Kind, der kommt sicher nicht hinein." 
LUK.18.18	Es fragte ihn ein Gemeindevorsteher:
LUK.18.19	Jesus antwortete ihm: "Warum nennst du mich gut? Niemand ist gut als Gott allein. 
LUK.18.20	Du kennst doch die Gebote: Du sollst nicht ehebrechen, nicht morden, nicht stehlen, nicht falsches Zeugnis ablegen! Ehre Vater und Mutter!"
LUK.18.21	Er sprach zu ihm: "Dies alles habe ich von Jugend auf erfüllt." 
LUK.18.22	Darauf antwortete ihm Jesus: "Eins fehlt dir noch: verkaufe deine ganze Habe und verteile den Erlös an die Armen, so wirst du einen Schatz im Himmel haben; dann komm und folge mir!" 
LUK.18.23	Bei diesen Worten ward er sehr betrübt, denn er war außerordentlich reich. 
LUK.18.24	Als Jesus ihn so traurig sah, da sprach er: "Wie schwer ist doch für die Begüterten der Eingang in Gottes Königreich! 
LUK.18.25	Ein Kamel kommt leichter durch ein Nadelöhr als ein Reicher in Gottes Königreich." 
LUK.18.26	Darauf sagten die Zuhörer: "Ja, wer kann dann überhaupt gerettet werden?" 
LUK.18.27	Er erwiderte: "Was für Menschen unmöglich ist, das ist möglich bei Gott." 
LUK.18.28	Da sprach Petrus: "Siehe, wir haben unser Heim aufgegeben und sind dir nachgefolgt." 
LUK.18.29	Er antwortete ihnen: "Wahrlich, ich sage euch: Jeder, der Haus, Weib, Brüder, Eltern oder Kinder aus Liebe zu dem Königreich Gottes fahren läßt, 
LUK.18.30	der soll dafür schon jetzt in diesem Leben vielfach Ersatz bekommen und in der zukünftigen Welt das ewige Leben empfangen." 
LUK.18.31	Dann nahm er die Zwölf als seine besonderen Begleiter zu sich und sprach zu ihnen: "Jetzt gehen wir nach Jerusalem, und da erfüllt sich alles, was die Propheten von dem Menschensohn geschrieben haben. 
LUK.18.32	Denn er wird den Heiden überliefert und verspottet, mißhandelt und angespien werden; 
LUK.18.33	ja man wird ihn geißeln und töten; doch am dritten Tag wird er auferstehen." 
LUK.18.34	Sie aber verstanden nichts davon, sondern diese Worte waren ihnen dunkel, und sie begriffen nicht, was er damit meinte. 
LUK.18.35	Als er in die Nähe von Jericho kam, saß ein Blinder am Weg und bettelte. 
LUK.18.36	Als der viele Leute vorbeigehen hörte, fragte er, was das bedeute. 
LUK.18.37	Man sagte ihm, Jesus von Nazaret ziehe vorüber. 
LUK.18.38	Da rief er: "Jesus, Sohn Davids, erbarme dich mein!" 
LUK.18.39	Die aber vorn im Zug gingen, fuhren ihn mit harten Worten an, er solle schweigen. Doch er rief nur noch lauter: "Sohn Davids, erbarme dich mein!" 
LUK.18.40	Da blieb Jesus stehen und ließ ihn zu sich führen. Als nun der Blinde nahe bei ihm war, fragte ihn Jesus: 
LUK.18.41	"Was willst du von mir?" Er antwortete: "Herr, laß mich wieder sehend werden!" 
LUK.18.42	Jesus sprach zu ihm: "Sei wieder gesund, dein Glaube hat dich gesund gemacht!" 
LUK.18.43	Da ward er auf der Stelle wieder sehend, und er folgte ihm und lobte Gott. Und alles Volk, das dieses sah, gab Gott die Ehre.
LUK.19.1	Dann kam Jesus nach Jericho hinein und zog durch den Ort. 
LUK.19.2	Nun wohnte dort ein Mann mit Namen Zachäus,
LUK.19.3	Der wollte Jesus gern von Angesicht sehen; doch des Gedränges wegen gelang es ihm nicht, denn er war klein von Gestalt. 
