GEN.1.1	Im Anfang schuf Gott die Himmel 
JDG.11.15	und ließ ihm sagen: So spricht Jephta: Israel hat nicht das Land Moabs und das Land der Kinder Ammon genommen; 
JDG.11.16	sondern als sie aus Ägypten heraufzogen, da wanderte Israel durch die Wüste bis zum Schilfmeere, und es kam nach Kades; 
JDG.11.17	und Israel sandte Boten an den König von Edom und ließ ihm sagen: Laß mich doch durch dein Land ziehen! Aber der König von Edom gab kein Gehör. Und auch an den König von Moab sandte es; aber er wollte nicht. So blieb Israel in Kades. 
JDG.11.18	Und es wanderte durch die Wüste und umging das Land Edom und das Land Moab und kam von Sonnenaufgang her zum Lande Moab; und sie lagerten sich jenseit des Arnon und kamen nicht in das Gebiet Moabs, denn der Arnon ist die Grenze Moabs. 
JDG.11.19	Und Israel sandte Boten an Sihon, den König der Amoriter, den König von Hesbon, und Israel ließ ihm sagen: Laß uns doch durch dein Land ziehen bis an meinen Ort! 
JDG.11.20	Aber Sihon traute Israel nicht, es durch sein Gebiet ziehen zu lassen; und Sihon versammelte all sein Volk, und sie lagerten sich zu Jahza; und er stritt wider Israel. 
JDG.11.21	Und Jehova, der Gott Israels, gab Sihon und all sein Volk in die Hand Israels, und sie schlugen sie. So nahm Israel das ganze Land der Amoriter, die jenes Land bewohnten, in Besitz: 
JDG.11.22	sie nahmen das ganze Gebiet der Amoriter in Besitz, vom Arnon bis an den Jabbok, und von der Wüste bis an den Jordan. 
JDG.11.23	Und so hat nun Jehova, der Gott Israels, die Amoriter vor seinem Volke Israel ausgetrieben, und du willst uns 
JDG.11.24	Nimmst du nicht das in Besitz, was Kamos, dein Gott, dir zum Besitz gibt? So auch alles, was Jehova, unser Gott, vor uns ausgetrieben hat, das wollen wir besitzen. 
JDG.11.25	Und nun, bist du etwa besser als Balak, der Sohn Zippors, der König von Moab? Hat er je mit Israel gerechtet, oder je wider sie gestritten? 
JDG.11.26	Während Israel in Hesbon wohnte und in seinen Tochterstädten, und in Aroer und in seinen Tochterstädten, und in all den Städten, die längs des Arnon liegen, dreihundert Jahre lang: warum habt ihr sie denn nicht in jener Zeit entrissen? 
JDG.11.27	Und nicht ich habe gegen dich gesündigt, sondern du tust übel an mir, wider mich zu streiten. Jehova, der Richter, richte heute zwischen den Kindern Israel und den Kindern Ammon! 
JDG.11.28	Aber der König der Kinder Ammon hörte nicht auf die Worte Jephthas, die er ihm entboten hatte.
JDG.11.29	Da kam der Geist Jehovas über Jephtha; und er zog durch Gilead und Manasse, und zog nach Mizpe in Gilead, und von Mizpe in Gilead zog er gegen die Kinder Ammon. 
JDG.11.30	Und Jephtha gelobte Jehova ein Gelübde und sprach: Wenn du die Kinder Ammon wirklich in meine Hand gibst, 
JDG.11.31	so soll das, was zur Tür meines Hauses herausgeht, mir entgegen, wenn ich in Frieden von den Kindern Ammon zurückkehre, es soll Jehova gehören, und ich werde es als Brandopfer opfern! 
JDG.11.32	Und so zog Jephtha gegen die Kinder Ammon, um wider sie zu streiten; und Jehova gab sie in seine Hand. 
JDG.11.33	Und er schlug sie von Aroer an, bis man nach Minnith kommt, zwanzig Städte, und bis nach Abel-Keramim, und er richtete eine sehr große Niederlage unter ihnen an; 
JDG.11.34	Und als Jephtha nach Mizpa, nach seinem Hause kam, siehe, da trat seine Tochter heraus, ihm entgegen, mit Tamburinen und mit Reigen; und sie war nur die einzige; außer ihr hatte er weder Sohn noch Tochter. 
JDG.11.35	Und es geschah, als er sie sah, da zerriß er seine Kleider und sprach: Ach, meine Tochter! tief beugst du mich nieder; und du, du bist unter denen, die mich in Trübsal bringen! denn ich habe meinen Mund gegen Jehova aufgetan und kann nicht zurücktreten! 
JDG.11.36	Und sie sprach zu ihm: Mein Vater, hast du deinen Mund gegen Jehova aufgetan, so tue mir, wie es aus deinem Munde hervorgegangen ist, nachdem Jehova dir Rache verschafft hat an deinen Feinden, den Kindern Ammon. 
JDG.11.37	Und sie sprach zu ihrem Vater: Es geschehe mir diese Sache: Laß zwei Monate von mir ab, daß ich hingehe und auf die Berge hinabsteige 
JDG.11.38	Und er sprach: Gehe hin. Und er entließ sie auf zwei Monate. Und sie ging hin, sie und ihre Freundinnen, und beweinte ihre Jungfrauschaft auf den Bergen. 
JDG.11.39	Und es geschah am Ende von zwei Monaten, da kehrte sie zu ihrem Vater zurück. Und er tat an ihr das Gelübde, das er gelobt hatte. Sie hatte aber keinen Mann erkannt. Und es wurde zum Gebrauch in Israel: 
JDG.11.40	von Jahr zu Jahr gehen die Töchter Israels hin, um die Tochter Jephthas, des Gileaditers, zu preisen vier Tage im Jahre.
JDG.12.1	Und die Männer von Ephraim versammelten sich und zogen hinüber nach Norden, 
JDG.12.2	Und Jephtha sprach zu ihnen: Einen heftigen Streit haben wir gehabt, ich und mein Volk, mit den Kindern Ammon; und ich rief euch, aber ihr habt mich nicht aus ihrer Hand gerettet. 
JDG.12.3	Und als ich sah, daß du nicht helfen wolltest, da setzte ich mein Leben aufs Spiel 
JDG.12.4	Und Jephtha versammelte alle Männer von Gilead und stritt mit Ephraim; und die Männer von Gilead schlugen Ephraim, weil sie gesagt hatten: Flüchtlinge Ephraims seid ihr, ihr Gileaditer, 
JDG.12.5	Und Gilead nahm Ephraim die Furten des Jordan. 
JDG.12.6	Und sagte er: Nein! so sprachen sie zu ihm: Sage doch: Schibboleth! 
JDG.12.7	Und Jephtha richtete Israel sechs Jahre; und Jephtha, der Gileaditer, starb und wurde in einer der Städte Gileads begraben.
JDG.12.8	Und nach ihm richtete Israel Ibzan von Bethlehem. 
JDG.12.9	Und er hatte dreißig Söhne; und dreißig Töchter entließ er aus dem Hause, und dreißig Töchter brachte er von außen für seine Söhne herein. Und er richtete Israel sieben Jahre. 
JDG.12.10	Und Ibzan starb und wurde zu Bethlehem begraben. 
JDG.12.11	Und nach ihm richtete Israel Elon, der Sebuloniter; und er richtete Israel zehn Jahre. 
JDG.12.12	Und Elon, der Sebuloniter, starb und wurde zu Ajjalon im Lande Sebulon begraben. 
JDG.12.13	Und nach ihm richtete Israel Abdon, der Sohn Hillels, der Pirhathoniter. 
JDG.12.14	Und er hatte vierzig Söhne und dreißig Enkel, die auf siebzig Eseln ritten. Und er richtete Israel acht Jahre. 
JDG.12.15	Und Abdon, der Sohn Hillels, der Pirhathoniter, starb und wurde zu Pirhathon begraben im Lande Ephraim, im Gebirge der Amalekiter.
JDG.13.1	Und die Kinder Israel taten wiederum was böse war in den Augen Jehovas; und Jehova gab sie in die Hand der Philister vierzig Jahre. 
JDG.13.2	Und es war ein Mann aus Zorha, vom Geschlecht der Daniter, sein Name war Manoah. 
JDG.13.3	Und der Engel Jehovas erschien dem Weibe und sprach zu ihr: Siehe doch, du bist unfruchtbar und gebierst nicht; aber du wirst schwanger werden und einen Sohn gebären. 
JDG.13.4	Und nun hüte dich doch und trinke weder Wein noch starkes Getränk, und iß nichts Unreines! 
JDG.13.5	Denn siehe, du wirst schwanger werden und einen Sohn gebären; und kein Schermesser soll auf sein Haupt kommen, denn ein Nasir 
JDG.13.6	Und das Weib kam und sprach zu ihrem Manne und sagte: Ein Mann Gottes ist zu mir gekommen, und sein Ansehen war wie das Ansehen eines 
JDG.13.7	Und er sprach zu mir: Siehe, du wirst schwanger werden und einen Sohn gebären; und nun, trinke weder Wein noch starkes Getränk, und iß nichts Unreines; denn ein Nasir Gottes soll der Knabe sein von Mutterleibe an bis zum Tage seines Todes.
JDG.13.8	Da flehte Manoah zu Jehova und sprach: Bitte, Herr! der Mann Gottes, den du gesandt hast, möge doch nochmals zu uns kommen und uns lehren, was wir tun sollen mit dem Knaben, der geboren werden soll. 
JDG.13.9	Und Gott erhörte die Stimme Manoahs; und der Engel Gottes kam nochmals zu dem Weibe, als sie auf dem Felde saß, und Manoah, ihr Mann, nicht bei ihr war. 
JDG.13.10	Da eilte das Weib und lief und berichtete es ihrem Manne, und sie sprach zu ihm: Siehe, der Mann ist mir erschienen, der an jenem Tage zu mir gekommen ist. 
JDG.13.11	Und Manoah machte sich auf und ging seinem Weibe nach; und er kam zu dem Manne und sprach zu ihm: Bist du der Mann, der zu dem Weibe geredet hat? Und er sprach: Ich bins. 
JDG.13.12	Und Manoah sprach: Wenn nun dein Wort eintrifft, was soll die Weise des Knaben sein und sein Tun? 
JDG.13.13	Und der Engel Jehovas sprach zu Manoah: Vor allem, was ich dem Weibe gesagt habe, soll sie sich hüten: 
JDG.13.14	von allem, was vom Weinstock kommt, soll sie nicht essen, und Wein und starkes Getränk soll sie nicht trinken, und soll nichts Unreines essen; alles, was ich ihr geboten habe, soll sie beobachten.
JDG.13.15	Und Manoah sprach zu dem Engel Jehovas: Laß dich doch von uns aufhalten, so wollen wir dir ein Ziegenböcklein zubereiten. 
JDG.13.16	Und der Engel Jehovas sprach zu Manoah: Wenn du mich auch aufhieltest, ich würde nicht von deinem Brote essen; willst du aber ein Brandopfer opfern, so opfere es Jehova. Denn Manoah wußte nicht, daß es der Engel Jehovas war. 
JDG.13.17	Und Manoah sprach zu dem Engel Jehovas: Wie ist dein Name, daß wir dich ehren, wenn dein Wort eintrifft? 
JDG.13.18	Und der Engel Jehovas sprach zu ihm: Warum fragst du denn nach meinem Namen? er ist ja wunderbar! 
JDG.13.19	Da nahm Manoah das Ziegenböcklein und das Speisopfer und opferte es Jehova auf dem Felsen. Er aber handelte wunderbar, 
JDG.13.20	und es geschah, als die Flamme von dem Altar gen Himmel emporstieg, da fuhr der Engel Jehovas in der Flamme des Altars hinauf. Und Manoah und sein Weib sahen zu und fielen auf ihr Angesicht zur Erde. 
JDG.13.21	Und der Engel Jehovas erschien Manoah und seinem Weibe fortan nicht mehr. Da erkannte Manoah, daß es der Engel Jehovas war. 
JDG.13.22	Und Manoah sprach zu seinem Weibe: Wir werden gewißlich sterben, denn wir haben Gott gesehen! 
JDG.13.23	Aber sein Weib sprach zu ihm: Wenn es Jehova gefallen hätte, uns zu töten, so hätte er nicht ein Brandopfer und Speisopfer aus unserer Hand angenommen, und er hätte uns dies alles nicht gezeigt, noch uns zu dieser Zeit dergleichen vernehmen lassen.
JDG.13.24	Und das Weib gebar einen Sohn; und sie gab ihm den Namen Simson. 
JDG.13.25	Und der Geist Jehovas fing an, ihn zu treiben zu Machaneh-Dan 
JDG.14.1	Und Simson ging nach Timna hinab; und er sah in Timna ein Weib von den Töchtern der Philister. 
JDG.14.2	Und er ging hinauf und berichtete es seinem Vater und seiner Mutter und sprach: Ich habe in Timna ein Weib gesehen von den Töchtern der Philister; und nun nehmet sie mir zum Weibe. 
JDG.14.3	Und sein Vater und seine Mutter sprachen zu ihm: Ist unter den Töchtern deiner Brüder und unter meinem ganzen Volke kein Weib, daß du hingehest, ein Weib zu nehmen von den Philistern, den Unbeschnittenen? Und Simson sprach zu seinem Vater: Diese nimm mir, denn sie ist recht in meinen Augen. 
JDG.14.4	Sein Vater und seine Mutter wußten aber nicht, daß es von Jehova war; denn er suchte eine Gelegenheit an den Philistern. Und in jener Zeit herrschten die Philister über Israel. 
JDG.14.5	Und Simson ging mit seinem Vater und seiner Mutter nach Timna hinab; und als sie an die Weinberge von Timna kamen, siehe, da brüllte ein junger Löwe ihm entgegen. 
JDG.14.6	Und der Geist Jehovas geriet über ihn, und er zerriß ihn, wie man ein Böcklein zerreißt; und er hatte gar nichts in seiner Hand. Und er tat seinem Vater und seiner Mutter nicht kund, was er getan hatte. 
JDG.14.7	Und er ging hinab und redete zu dem Weibe, und sie war recht in den Augen Simsons. 
JDG.14.8	Und er kehrte nach einiger Zeit zurück, um sie zu nehmen, und er bog ab, um das Aas 
JDG.14.9	Da nahm er ihn heraus in seine Hände, und ging und aß im Gehen; und er ging zu seinem Vater und zu seiner Mutter und gab ihnen, und sie aßen; aber er tat ihnen nicht kund, daß er den Honig aus dem Körper des Löwen herausgenommen hatte.
JDG.14.10	Und sein Vater ging zu dem Weibe hinab, und Simson machte daselbst ein Mahl; denn also pflegten 
JDG.14.11	Und es geschah, als sie ihn sahen, da nahmen die dreißig Gesellen; und sie waren bei ihm. 
JDG.14.12	Und Simson sprach zu ihnen: Ich will euch einmal ein Rätsel aufgeben; wenn ihr es mir in den sieben Tagen des Mahles kundtut und es erratet, so werde ich euch dreißig Hemden 
JDG.14.13	Wenn ihr es mir aber nicht kundtun könnet, so sollt ihr mir dreißig Hemden und dreißig Wechselkleider geben. Und sie sprachen zu ihm: Gib dein Rätsel auf, daß wir es hören! 
JDG.14.14	Und er sprach zu ihnen: Aus dem Fresser kam Fraß, und aus dem Starken 
JDG.14.15	Und es geschah am siebten Tage, da sprachen sie zu dem Weibe Simsons: Berede deinen Mann, daß er uns das Rätsel kundtue, damit wir nicht dich und deines Vaters Haus mit Feuer verbrennen! Um uns zu berauben, habt ihr uns geladen, nicht wahr? 
JDG.14.16	Und Simsons Weib weinte an ihm und sprach: Du hassest mich nur und liebst mich nicht. Das Rätsel hast du den Kindern meines Volkes aufgegeben, und mir hast du es nicht kundgetan. Und er sprach zu ihr: Siehe, meinem Vater und meiner Mutter habe ich es nicht kundgetan, und dir sollte ich es kundtun? 
JDG.14.17	Und sie weinte an ihm die sieben Tage, da sie das Mahl hatten. Und es geschah am siebten Tage, da tat er es ihr kund, denn sie drängte ihn. Und sie tat das Rätsel den Kindern ihres Volkes kund. 
JDG.14.18	Da sprachen die Männer der Stadt zu ihm am siebten Tage, ehe die Sonne unterging: Was ist süßer als Honig? und was ist stärker 
JDG.14.19	Und der Geist Jehovas geriet über ihn; und er ging hinab nach Askelon und erschlug von ihnen dreißig Mann und nahm ihre ausgezogenen Gewänder und gab die Wechselkleider denen, welche das Rätsel kundgetan hatten. Und sein Zorn entbrannte, und er ging hinauf in das Haus seines Vaters. 
JDG.14.20	Und das Weib Simsons wurde einem seiner Gesellen gegeben, den er sich zugesellt hatte.
JDG.15.1	Und es geschah nach einiger Zeit, in den Tagen der Weizenernte, da besuchte Simson sein Weib mit einem Ziegenböcklein. Und er sprach: Ich will zu meinem Weibe ins Gemach gehen; aber ihr Vater gestattete ihm nicht hineinzugehen. 
JDG.15.2	Und ihr Vater sprach: Ich habe gewißlich gedacht, daß du sie haßtest, und so habe ich sie deinem Gesellen gegeben. Ist nicht ihre jüngere Schwester schöner als sie? Möge sie doch dein werden an ihrer Statt. 
JDG.15.3	Da sprach Simson zu ihnen: Diesmal bin ich schuldlos an den Philistern, wenn ich ihnen Übles tue. 
JDG.15.4	Und Simson ging hin und fing dreihundert Schakale; und er nahm Fackeln und kehrte Schwanz an Schwanz und tat eine Fackel zwischen je zwei Schwänze in die Mitte, 
JDG.15.5	und er zündete die Fackeln mit Feuer an. Und er ließ sie los in das stehende Getreide der Philister und zündete sowohl Garbenhaufen als stehendes Getreide und Olivengärten an. 
JDG.15.6	Und die Philister sprachen: Wer hat das getan? Und man sagte: Simson, der Eidam des Timniters, weil er ihm sein Weib genommen und sie seinem Gesellen gegeben hat. Da zogen die Philister hinauf und verbrannten sie und ihren Vater mit Feuer. 
JDG.15.7	Und Simson sprach zu ihnen: Wenn ihr also tut-es sei denn, daß ich mich an euch gerächt habe, danach will ich aufhören! 
JDG.15.8	Und er schlug sie, Schenkel samt Hüfte, und richtete eine große Niederlage unter ihnen an. Und er ging hinab und wohnte in der Kluft des Felsens Etam.
JDG.15.9	Und die Philister zogen herauf und lagerten sich in Juda und breiteten sich aus in Lechi. 
JDG.15.10	Und die Männer von Juda sprachen: Warum seid ihr wider uns heraufgezogen? Und sie sprachen: Um Simson zu binden, sind wir heraufgezogen, daß wir ihm tun, wie er uns getan hat. 
JDG.15.11	Da zogen dreitausend Mann von Juda zur Kluft des Felsens Etam hinab und sprachen zu Simson: Weißt du nicht, daß die Philister über uns herrschen? und warum hast du uns das getan? Und er sprach zu ihnen: Wie sie mir getan, also habe ich ihnen getan. 
JDG.15.12	Da sprachen sie zu ihm: Um dich zu binden, sind wir herabgekommen, daß wir dich in die Hand der Philister liefern. Und Simson sprach zu ihnen: Schwöret mir, daß ihr nicht über mich herfallen werdet! 
JDG.15.13	Und sie sprachen zu ihm und sagten: Nein, sondern binden wollen wir dich und dich in ihre Hand liefern; aber töten wollen wir dich nicht. Und sie banden ihn mit zwei neuen Stricken und führten ihn aus dem Felsen herauf. 
JDG.15.14	Als er nach Lechi kam, da jauchzten ihm die Philister entgegen; aber der Geist Jehovas geriet über ihn, und die Stricke, welche an seinen Armen waren, wurden wie Flachsfäden, die vom Feuer versengt sind, und seine Bande schmolzen weg von seinen Händen. 
JDG.15.15	Und er fand einen frischen Eselskinnbacken, und er streckte seine Hand aus und nahm ihn und erschlug damit tausend Mann. 
JDG.15.16	Und Simson sprach: Mit dem Eselskinnbacken einen Haufen, zwei Haufen 
JDG.15.17	Und es geschah, als er ausgeredet hatte, da warf er den Kinnbacken aus seiner Hand; und er 
JDG.15.18	Und es dürstete ihn sehr, und er rief zu Jehova und sprach: Du hast durch die Hand deines Knechtes diese große Rettung gegeben, und nun soll ich vor Durst sterben und in die Hand der Unbeschnittenen fallen! 
JDG.15.19	Da spaltete Gott die Höhlung, die zu Lechi ist, und es kam Wasser aus ihr hervor; und er trank, und sein Geist kehrte zurück, und er lebte wieder auf. Daher gab man ihr den Namen: Quelle des Rufenden, 
JDG.15.20	Und er richtete Israel in den Tagen der Philister zwanzig Jahre.
JDG.16.1	Und Simson ging nach Gasa, und er sah daselbst eine Hure und ging zu ihr ein. 
