GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
2SA.19.33	And the king said to Barzillai, “Come over with me, and I will provide for you with me in Jerusalem.” 
2SA.19.34	But Barzillai said to the king, “How many years have I still to live, that I should go up with the king to Jerusalem? 
2SA.19.35	I am this day eighty years old; can I discern what is pleasant and what is not? Can your servant taste what he eats or what he drinks? Can I still listen to the voice of singing men and singing women? Why then should your servant be an added burden to my lord the king? 
2SA.19.36	Your servant will go a little way over the Jordan with the king. Why should the king recompense me with such a reward? 
2SA.19.37	Pray let your servant return, that I may die in my own city, near the grave of my father and my mother. But here is your servant Chimham; let him go over with my lord the king; and do for him whatever seems good to you.” 
2SA.19.38	And the king answered, “Chimham shall go over with me, and I will do for him whatever seems good to you; and all that you desire of me I will do for you.” 
2SA.19.39	Then all the people went over the Jordan, and the king went over; and the king kissed Barzillai and blessed him, and he returned to his own home. 
2SA.19.40	The king went on to Gilgal, and Chimham went on with him; all the people of Judah, and also half the people of Israel, brought the king on his way.
2SA.19.41	Then all the men of Israel came to the king, and said to the king, “Why have our brethren the men of Judah stolen you away, and brought the king and his household over the Jordan, and all David's men with him?” 
2SA.19.42	All the men of Judah answered the men of Israel, “Because the king is near of kin to us. Why then are you angry over this matter? Have we eaten at all at the king's expense? Or has he given us any gift?” 
2SA.19.43	And the men of Israel answered the men of Judah, “We have ten shares in the king, and in David also we have more than you. Why then did you despise us? Were we not the first to speak of bringing back our king?” But the words of the men of Judah were fiercer than the words of the men of Israel.
2SA.20.1	Now there happened to be there a worthless fellow, whose name was Sheba, the son of Bichri, a Benjaminite; and he blew the trumpet, and said,
2SA.20.1	“We have no portion in David,
2SA.20.1	and we have no inheritance in the son of Jesse;
2SA.20.1	every man to his tents, O Israel!”
2SA.20.2	So all the men of Israel withdrew from David, and followed Sheba the son of Bichri; but the men of Judah followed their king steadfastly from the Jordan to Jerusalem.
2SA.20.3	And David came to his house at Jerusalem; and the king took the ten concubines whom he had left to care for the house, and put them in a house under guard, and provided for them, but did not go in to them. So they were shut up until the day of their death, living as if in widowhood.
2SA.20.4	Then the king said to Amasa, “Call the men of Judah together to me within three days, and be here yourself.” 
2SA.20.5	So Amasa went to summon Judah; but he delayed beyond the set time which had been appointed him. 
2SA.20.6	And David said to Abishai, “Now Sheba the son of Bichri will do us more harm than Absalom; take your lord's servants and pursue him, lest he get himself fortified cities, and cause us trouble.”
2SA.20.7	And there went out after Abishai, Joab
2SA.20.8	When they were at the great stone which is in Gibeon, Amasa came to meet them. Now Joab was wearing a soldier's garment, and over it was a girdle with a sword in its sheath fastened upon his loins, and as he went forward it fell out. 
2SA.20.9	And Joab said to Amasa, “Is it well with you, my brother?” And Joab took Amasa by the beard with his right hand to kiss him. 
2SA.20.10	But Amasa did not observe the sword which was in Joab's hand; so Joab struck him with it in the body, and shed his bowels to the ground, without striking a second blow; and he died.
2SA.20.10	Then Joab and Abishai his brother pursued Sheba the son of Bichri. 
2SA.20.11	And one of Joab's men took his stand by Amasa, and said, “Whoever favors Joab, and whoever is for David, let him follow Joab.” 
2SA.20.12	And Amasa lay wallowing in his blood in the highway. And any one who came by, seeing him, stopped;
2SA.20.13	When he was taken out of the highway, all the people went on after Joab to pursue Sheba the son of Bichri.
2SA.20.14	And Sheba passed through all the tribes of Israel to Abel of Beth-maacah;
2SA.20.15	And all the men who were with Joab came and besieged him in Abel of Beth-maacah; they cast up a mound against the city, and it stood against the rampart; and they were battering the wall, to throw it down. 
2SA.20.16	Then a wise woman called from the city, “Hear! Hear! Tell Joab, ‘Come here, that I may speak to you.’ ” 
2SA.20.17	And he came near her; and the woman said, “Are you Joab?” He answered, “I am.” Then she said to him, “Listen to the words of your maidservant.” And he answered, “I am listening.” 
2SA.20.18	Then she said, “They were wont to say in old time, ‘Let them but ask counsel at Abel’; and so they settled a matter. 
2SA.20.19	I am one of those who are peaceable and faithful in Israel; you seek to destroy a city which is a mother in Israel; why will you swallow up the heritage of the 
2SA.20.20	Joab answered, “Far be it from me, far be it, that I should swallow up or destroy! 
2SA.20.21	That is not true. But a man of the hill country of Ephraim, called Sheba the son of Bichri, has lifted up his hand against King David; give up him alone, and I will withdraw from the city.” And the woman said to Joab, “Behold, his head shall be thrown to you over the wall.” 
2SA.20.22	Then the woman went to all the people in her wisdom. And they cut off the head of Sheba the son of Bichri, and threw it out to Joab. So he blew the trumpet, and they dispersed from the city, every man to his home. And Joab returned to Jerusalem to the king.
2SA.20.24	and Adoram was in charge of the forced labor; and Jehoshaphat the son of Ahilud was the recorder; 
2SA.20.25	and Sheva was secretary; and Zadok and Abiathar were priests; 
2SA.20.26	and Ira the Jairite was also David's priest.
2SA.21.1	Now there was a famine in the days of David for three years, year after year; and David sought the face of the 
2SA.21.2	So the king called the Gibeonites.
2SA.21.3	And David said to the Gibeonites, “What shall I do for you? And how shall I make expiation, that you may bless the heritage of the 
2SA.21.4	The Gibeonites said to him, “It is not a matter of silver or gold between us and Saul or his house; neither is it for us to put any man to death in Israel.” And he said, “What do you say that I shall do for you?” 
2SA.21.5	They said to the king, “The man who consumed us and planned to destroy us, so that we should have no place in all the territory of Israel, 
2SA.21.6	let seven of his sons be given to us, so that we may hang them up before the 
2SA.21.7	But the king spared Mephibosheth, the son of Saul's son Jonathan, because of the oath of the 
2SA.21.8	The king took the two sons of Rizpah the daughter of Aiah, whom she bore to Saul, Armoni and Mephibosheth; and the five sons of Merab
