MAT.1.1	This book is the record of Jesus the Messiah,
MRK.4.17	But since they have no real roots, they only last for a while until trouble or persecution comes, and then they quickly fall away. 
MRK.4.18	Those sown among the thorns illustrate those who hear the word, 
MRK.4.19	but worries of this world, the temptation of wealth, and other distractions choke the growth of the word, and it becomes unproductive. 
MRK.4.20	But the seeds sown on good soil illustrate those who hear the word, accept it, and are productive—producing thirty, sixty, and hundred times what was originally sown.
MRK.4.21	Who puts a lamp under a bucket, or beneath a bed?” Jesus asked them. “No, you put a lamp up on a lamp-stand. 
MRK.4.22	Everything that is hidden will be revealed, and everything that is secret will be brought out into the open. 
MRK.4.23	If you have ears to hear, listen to what I'm saying! 
MRK.4.24	Pay attention to what you're hearing,” he told them, “for you will be given according to how much you want to receive, measure for measure. 
MRK.4.25	More will be given to those who already have understanding, but those who don't want to know will have what little understanding they have taken from them.
MRK.4.26	God's kingdom is like a man sowing seed in the ground,” Jesus said. 
MRK.4.27	“He goes to bed and gets up, day after day, but the man has no knowledge of how the seeds sprout and grow. 
MRK.4.28	The earth produces a harvest by itself. First a shoot appears, then the heads of grain, and then the heads of grain ripen. 
MRK.4.29	When the grain is ripe, the farmer reaps it with a sickle, because the harvest is ready.
MRK.4.30	What can we compare God's kingdom to? What illustration shall we use?” he asked. 
MRK.4.31	“It's like a mustard seed, the tiniest seed of all. 
MRK.4.32	But when it's sown it grows into a plant that's larger than other plants. It has branches big enough that birds can roost in its shade.”
MRK.4.33	Jesus used many of these illustrated stories when he spoke to the people so they would understand as much as they could. 
MRK.4.34	In fact, when he spoke publicly, he only used stories; however in private he explained everything to his disciples.
MRK.4.35	Later that day, in the evening, he said to his disciples, “Let's go across to the other side of the Sea.” 
MRK.4.36	Leaving the crowd behind, the disciples went with Jesus and got into a boat. Other boats went with them. 
MRK.4.37	Soon a terrible storm started blowing, and waves crashed against the boat, filling it with water. 
MRK.4.38	Jesus was asleep in the stern, resting his head on a cushion. The disciples woke him up, shouting at him, “Teacher, don't you care that we're about to drown?”
MRK.4.39	Jesus woke up. He told the wind to die down and told the waves, “Be quiet! Be still.” The wind stopped, and the water became completely calm. 
MRK.4.40	“Why are you so frightened?
MRK.4.41	They were stunned and terrified.
MRK.5.1	They arrived on the other side of the lake in the region of the Gerasenes. 
MRK.5.2	When Jesus got out of the boat a man with an evil spirit came from the graveyard to meet him. 
MRK.5.3	This man lived among the tombs, and it had been impossible to tie him up any more, even with a chain. 
MRK.5.4	He had often been tied up with chains and shackles, but he simply tore the chains apart and broke the shackles into pieces. No one had the strength to subdue him. 
MRK.5.5	Day and night he was always shouting out among the tombs and in the hills nearby, cutting himself with sharp stones.
MRK.5.6	Seeing Jesus from a distance he ran and kneeled in front of him. 
MRK.5.7	In a loud voice he cried out, “What have you to do with me, Jesus, Son of Almighty God? Swear by God that you won't torture me!” 
MRK.5.8	For Jesus had already told the evil spirit to leave the man.
MRK.5.9	Then Jesus asked him, “What is your name?”
MRK.5.9	“My name is Legion, because we are many!” he replied. 
MRK.5.10	He also repeatedly pleaded with Jesus not to send them a long way away.
MRK.5.11	A large herd of pigs was feeding on the hillside nearby. 
MRK.5.12	The evil spirits pleaded with him, “Send us into the pigs so we can enter them.” 
MRK.5.13	Jesus allowed them to do this. The evil spirits left the man and went into the pigs. The whole herd, about two thousand, rushed down the steep cliff into the sea and drowned. 
MRK.5.14	The pig-keepers ran away, and spread the news all over town and in the countryside. People came out to see what had happened. 
MRK.5.15	When they found Jesus they saw the man who had been demon-possessed sitting there, dressed, and in his right mind—the one who had the legion of evil spirits—and they became frightened! 
MRK.5.16	Then those who had seen what had happened to the man who had been demon-possessed and the pigs told the others. 
MRK.5.17	They began pleading with Jesus to leave their district. 
MRK.5.18	As Jesus climbed into the boat, the man who had been demon-possessed begged to go with him. 
MRK.5.19	But Jesus refused, telling him, “Go home to your own people, and tell them how much the Lord has done for you and how he has been merciful to you.”
MRK.5.20	So the man went on his way and began to tell the people of the Ten Cities everything Jesus had done for him, and everyone was amazed.
MRK.5.21	Jesus went back again by boat to the other side of the lake where a large crowd gathered around him at the shore. 
MRK.5.22	A synagogue leader, a man named Jairus, came to him. When he saw Jesus, he fell at his feet 
MRK.5.23	and pleaded with him, saying, “My little daughter is about to die. Please come and place your hands on her so she may be healed and live.”
MRK.5.24	So Jesus went with him. Everybody followed, crowding and jostling him. 
MRK.5.25	A woman was there who had been ill from bleeding for twelve years. 
MRK.5.26	She'd suffered considerably under the care of many doctors, and had spent all she had. But nothing helped her—in fact she'd grown worse. 
MRK.5.27	She had heard about Jesus, so she came up behind him through the crowd, and touched his cloak. 
MRK.5.28	She was telling herself, “If I can just touch his cloak, I'll be healed.”
MRK.5.29	The bleeding stopped immediately, and she felt her body healed from her disease. 
MRK.5.30	Jesus, sensing at once that power had gone out from him, turned around in the crowd and asked, “Who touched my cloak?”
MRK.5.31	“Look at the crowd jostling you. What do you mean, ‘Who touched me?’” the disciples replied.
MRK.5.32	But Jesus went on looking around to see who had done it. 
MRK.5.33	The woman, realizing what had happened to her, came and fell down before him, and told him the whole truth.
MRK.5.34	“My daughter, your trust in me has healed you. Go in peace. You have been completely cured of your disease,” Jesus told her.
MRK.5.35	While he was still speaking some people came from the home of the synagogue leader. “Your daughter is dead,” they said. “You don't need to bother the Teacher any longer.”
MRK.5.36	But Jesus paid no attention to what they said. He told the synagogue leader, “Don't be afraid, just trust in me.
MRK.5.37	He wouldn't let anyone go with him except Peter, James, and James' brother John.
MRK.5.38	When they arrived at the synagogue leader's house, Jesus saw all the commotion, with people crying and wailing. 
MRK.5.39	He went in and asked them, “Why are you making such a commotion with all this crying? The little girl isn't dead, she's just sleeping.” 
MRK.5.40	They laughed scornfully at him.
MRK.5.40	Jesus made everyone leave. Then he went into the room where the little girl was lying, taking with him the child's father and mother, and the three disciples. 
MRK.5.41	Taking the little girl's hand he said, “
MRK.5.42	The little girl, who was twelve years old, got up immediately and began walking around. They were completely astonished at what had happened. 
MRK.5.43	He gave them strict instructions not to let anyone know, and he told them to give the little girl something to eat.
MRK.6.1	Jesus left and went home to Nazareth with his disciples. 
MRK.6.2	On Sabbath he began teaching in the synagogue, and many of those who were listening were surprised.
MRK.6.2	“Where does he get these ideas?” they asked. “What's this wisdom he's been given? Where does he get the power to do miracles? 
MRK.6.3	Isn't this the carpenter, Mary's son—the brother of James, Joseph, Judas and Simon? Don't his sisters live here among us?” They were offended and rejected him.
