GEN.1.1	La început Dumnezeu a creat cerul și pământul.
LEV.4.10	Precum a fost scoasă din taurul sacrificiului ofrandei de pace; și preotul să le ardă pe altarul ofrandei arse.
LEV.4.11	Și pielea taurului și toată carnea lui, cu capul lui și cu picioarele lui și măruntaiele lui și balega lui,
LEV.4.12	Chiar întregul taur să-l ducă în afara taberei la un loc curat, unde este turnată cenușa, și să îl ardă cu foc, pe lemne; să fie ars acolo unde este turnată cenușa.
LEV.4.13	Și dacă întreaga adunare a lui Israel păcătuiește din ignoranță și lucrul este ascuns de ochii adunării și ei au făcut 
LEV.4.14	Când păcatul, pe care l-au păcătuit este cunoscut, adunarea să aducă un taur tânăr pentru păcat și să îl aducă înaintea tabernacolului întâlnirii.
LEV.4.15	Și bătrânii adunării să își pună mâinile pe capul taurului înaintea DOMNULUI și taurul să fie înjunghiat înaintea DOMNULUI.
LEV.4.16	Și preotul, care este uns, să aducă din sângele taurului la tabernacolul întâlnirii;
LEV.4.17	Și preotul să își înmoaie degetul 
LEV.4.18	Și să pună 
LEV.4.19	Și să îi scoată toată grăsimea și să 
LEV.4.20	Și să facă cu taurul precum a făcut cu taurul pentru ofrandă pentru păcat, astfel să facă el cu acesta și preotul să facă ispășire pentru ei, și acesta să le fie iertat.
LEV.4.21	Și el să care taurul în afara taberei și să îl ardă precum l-a ars pe primul taur, aceasta 
LEV.4.22	Când un conducător a păcătuit și a făcut 
LEV.4.23	Sau dacă păcatul său, în care a păcătuit, ajunge la cunoașterea sa, el să-și aducă darul, un ied dintre capre, o parte bărbătească, fără cusur;
LEV.4.24	Și să își pună mâna pe capul țapului și să îl înjunghie în locul unde ei înjunghie ofranda arsă, înaintea DOMNULUI, aceasta 
LEV.4.25	Și preotul să ia din sângele ofrandei pentru păcat, cu degetul său, și să 
LEV.4.26	Și să îi ardă toată grăsimea pe altar, precum grăsimea sacrificiului ofrandelor de pace; și preotul să facă ispășire pentru el, referitor la păcatul lui, și acesta îi va fi iertat.
LEV.4.27	Și dacă oricine dintre oamenii de rând păcătuiește din ignoranță, făcând 
LEV.4.28	Sau dacă păcatul său, pe care l-a păcătuit ajunge la cunoașterea sa, atunci să își aducă darul: un ied dintre capre, parte femeiască fără cusur, pentru păcatul său pe care l-a păcătuit.
LEV.4.29	Și să își pună mâna pe capul ofrandei pentru păcat și să înjunghie ofranda pentru păcat în locul 
LEV.4.30	Și preotul să ia din sângele ei cu degetul său și să 
LEV.4.31	Și să scoată toată grăsimea acesteia, precum este scoasă grăsimea de la sacrificiul ofrandelor de pace; și preotul să 
LEV.4.32	Și dacă el aduce un miel ca ofrandă pentru păcat, el să aducă o parte femeiască fără cusur.
LEV.4.33	Și să își pună mâna pe capul ofrandei pentru păcat și să o înjunghie ca ofrandă pentru păcat în locul unde ei înjunghie ofranda arsă.
LEV.4.34	Și preotul să ia din sângele ofrandei pentru păcat cu degetul său și să 
LEV.4.35	Și să scoată toată grăsimea ei, precum este scoasă grăsimea mielului de la sacrificiul ofrandelor de pace; și preotul să le ardă pe altar, conform ofrandelor făcute prin foc DOMNULUI; și preotul să facă ispășire pentru păcatul lui pe care l-a făcut și acesta îi va fi iertat.
LEV.5.1	Și dacă un suflet păcătuiește și aude vocea jurământului și 
LEV.5.2	Sau dacă un suflet atinge vreun lucru necurat, fie trupul mort al unei fiare necurate, fie trupul mort al unei vite necurate, fie trupul mort al vreunei târâtoare necurate și 
LEV.5.3	Sau dacă atinge necurăția unui om, oricare 
LEV.5.4	Sau dacă un suflet jură, rostind cu buzele să facă rău, sau să facă bine, orice rostește un om, cu jurământ 
LEV.5.5	Și așa să fie, când va fi vinovat într-unul din aceste 
LEV.5.6	Și să aducă DOMNULUI ofranda sa pentru fărădelege, pentru păcatul său pe care l-a păcătuit, o parte femeiască din turmă, un miel sau un ied dintre capre, ca ofrandă pentru păcat; și preotul să facă ispășire pentru el referitor la păcatul lui.
LEV.5.7	Și dacă nu este în stare să aducă un miel, atunci să aducă DOMNULUI pentru fărădelegea sa ce a făcut-o, două turturele sau doi porumbei tineri; unul ca ofrandă pentru păcat și celălalt ca ofrandă arsă.
LEV.5.8	Și să le aducă preotului, care să aducă 
LEV.5.9	Și să stropească din sângele ofrandei pentru păcat pe latura altarului; și restul sângelui să îl stoarcă la baza altarului, aceasta 
LEV.5.10	Și să îl aducă pe al doilea ca ofrandă arsă, conform obiceiului; și preotul să facă ispășire pentru el, pentru păcatul lui pe care l-a păcătuit, și îi va fi iertat.
LEV.5.11	Dar dacă el nu este în stare să aducă două turturele, sau doi porumbei tineri, atunci cel ce a păcătuit să aducă pentru darul său, a zecea parte dintr-o efă de floarea făinii, ca ofrandă pentru păcat; să nu pună untdelemn peste ele, nici să nu pună tămâie în ea, pentru că este ofrandă pentru păcat.
LEV.5.12	Apoi să o aducă la preot și preotul să ia o mână plină din ea, o amintire a ei și 
LEV.5.13	Și preotul să facă ispășire pentru el referitor la păcatul lui pe care l-a păcătuit într-una din acestea și îi va fi iertat; și 
LEV.5.14	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.5.15	Dacă un suflet face o fărădelege și păcătuiește din ignoranță, în lucrurile sfinte ale DOMNULUI, atunci el să aducă DOMNULUI pentru fărădelegea sa, un berbec fără cusur din turme, cu prețuirea ta în șekeli de argint, după șekelul sanctuarului, ca ofrandă pentru fărădelege;
LEV.5.16	Și pentru vătămarea pe care a adus-o în lucrul sfânt, să plătească înapoi și să adauge a cincea parte la ea și să o dea preotului; și preotul să facă ispășire pentru el cu berbecul ofrandei pentru fărădelege și 
LEV.5.17	Și dacă un suflet păcătuiește și face oricare din aceste lucruri care sunt interzise, prin poruncile DOMNULUI, a fi făcute; chiar dacă nu a știut, totuși este vinovat și va purta nelegiuirea sa.
LEV.5.18	Și să aducă preotului un berbec, fără cusur, din turmă cu prețuirea ta, ca ofrandă pentru fărădelege; și preotul să facă ispășire pentru el referitor la ignoranța lui, în care a greșit și 
LEV.5.19	Aceasta 
LEV.6.1	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.6.2	Dacă un suflet păcătuiește și face o fărădelege împotriva DOMNULUI și minte pe aproapele său în ceea ce i-a fost încredințat să păstreze, sau în părtășie, sau într-un lucru luat prin violență, sau și-a înșelat aproapele;
LEV.6.3	Sau a găsit ceea ce era pierdut și minte referitor la aceasta și jură în mod fals, în oricare din toate acestea, pe care omul le face, păcătuind în acestea,
LEV.6.4	Atunci 
LEV.6.5	Sau tot despre ceea ce a jurat în mod fals, să restaureze întru totul și să adauge a cincea parte în plus la acesta, 
LEV.6.6	Și să aducă DOMNULUI ofranda sa pentru fărădelege, un berbec fără cusur din turmă, cu prețuirea ta, ca ofrandă pentru fărădelege, 
LEV.6.7	Și preotul să facă ispășire pentru el înaintea DOMNULUI și să fie iertat pentru orice lucru, tot ceea ce el a făcut în fărădelege.
LEV.6.8	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.6.9	Poruncește lui Aaron și fiilor săi, zicând: Aceasta 
LEV.6.10	Și preotul să se îmbrace cu hainele sale de in și izmenele sale de in să le pună peste carnea sa, și să ridice cenușa pe care focul a mistuit-o cu ofranda arsă pe altar, și să o pună lângă altar.
LEV.6.11	Și să își scoată hainele și să se îmbrace cu alte haine, și să care cenușa în afara taberei la un loc curat.
LEV.6.12	Și focul de pe altar să ardă pe el; să nu se stingă; și preotul să ardă lemne pe el în fiecare dimineață și să pună în ordine, peste acestea, ofranda arsă; și să ardă pe el grăsimea ofrandelor de pace.
LEV.6.13	Focul să ardă continuu pe altar; să nu se stingă niciodată.
LEV.6.14	Și aceasta este legea darului de mâncare: fiii lui Aaron să îl aducă înaintea DOMNULUI, înaintea altarului.
LEV.6.15	Și să își ia din el o mână plină de făină, din darul de mâncare și din untdelemnul ei, și toată tămâia care 
LEV.6.16	Și rămășița lui, Aaron și fiii săi să o mănânce, cu azime să fie aceasta mâncată în locul sfânt; în curtea tabernacolului întâlnirii să o mănânce.
LEV.6.17	Să nu fie copt cu dospeală. Eu l-am dat 
LEV.6.18	Toți cei de parte bărbătească, dintre copiii lui Aaron, să mănânce din acesta. 
LEV.6.19	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.6.20	Acesta 
LEV.6.21	Într-o tavă să fie făcut cu untdelemn, 
LEV.6.22	Și preotul, dintre fiii lui, care este uns în locul lui, să îl aducă, acesta este un statut pentru totdeauna 
LEV.6.23	Pentru ca fiecare dar de mâncare, pentru preot, să fie ars în întregime, acesta să nu fie mâncat.
LEV.6.24	Și DOMNUL i-a vorbit lui Moise, zicând:
LEV.6.25	Vorbește lui Aaron și fiilor săi, spunând: Aceasta este legea ofrandei pentru păcat: În locul unde ofranda arsă este înjunghiată, să fie 
LEV.6.26	Preotul, care o aduce pentru păcat să o mănânce, în locul sfânt să fie mâncată, în curtea tabernacolului întâlnirii.
LEV.6.27	Orice va atinge carnea acesteia să fie sfânt; și când este stropit din sângele ei peste orice haină, tu să speli ce a fost stropit în locul sfânt.
LEV.6.28	Dar vasul de lut în care aceasta este fiartă să fie spart; și dacă este fiartă într-o oală de aramă, aceasta să fie deopotrivă frecată și clătită în apă.
LEV.6.29	Toți cei de parte bărbătească dintre preoți să o mănânce, aceasta 
LEV.6.30	Și nicio ofrandă pentru păcat, din care este adus sânge în tabernacolul întâlnirii pentru 
LEV.7.1	În același fel aceasta 
LEV.7.2	În locul unde ei înjunghie ofranda arsă, 
LEV.7.3	Și să aducă din aceasta toată grăsimea ei; noada și grăsimea care acoperă măruntaiele,
LEV.7.4	Și cei doi rinichi și grăsimea care 
LEV.7.5	Și preotul să ardă acestea pe altar 
LEV.7.6	Fiecare bărbat dintre preoți să mănânce din aceasta; ea să fie mâncată în locul sfânt, 
LEV.7.7	Precum 
LEV.7.8	Și preotul care aduce ofranda arsă a oricărui bărbat, preotul să ia pentru el pielea ofrandei arse, pe care el a adus-o.
LEV.7.9	Și darul de mâncare, copt în cuptor, și tot ce este gătit în tigaie și în tavă, să fie al preotului care o aduce.
LEV.7.10	Și fiecare dar de mâncare, amestecat cu untdelemn și uscat, îl vor avea toți fiii lui Aaron, al unuia 
LEV.7.11	Și aceasta 
LEV.7.12	Dacă aduce ca mulțumire, să aducă cu sacrificiul de mulțumire, turte nedospite, amestecate cu untdelemn, și biscuiți nedospiți, unși cu untdelemn, și turte amestecate cu untdelemn, din floarea făinii, prăjite.
LEV.7.13	Pe lângă turte, să ofere ca daruri ale sale, pâine dospită cu sacrificiul de mulțumire al ofrandelor sale de pace.
LEV.7.14	Și din acestea să aducă unul din darul întreg 
LEV.7.15	Și carnea sacrificiului ofrandelor sale de pace pentru mulțumiri să fie mâncată în aceeași zi în care este adusă; să nu lase nimic din ea până dimineață.
LEV.7.16	Dar dacă sacrificiul ofrandei sale este un 
LEV.7.17	Dar rămășița din carnea sacrificiului 
LEV.7.18	Și dacă 
LEV.7.19	Și carnea ce atinge orice 
LEV.7.20	Dar sufletul care mănâncă din carnea sacrificiului ofrandelor de pace, care 
LEV.7.21	Mai mult, sufletul ce va atinge orice 
LEV.7.22	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.7.23	Vorbește copiilor lui Israel, zicând: Să nu mâncați niciun fel de grăsime, nici de bou, nici de oaie, nici de capră.
LEV.7.24	Și grăsimea vitei care moare de la sine și grăsimea celei care este sfâșiată, de fiare, poate fi folosită în orice altă lucrare, dar voi în niciun caz să nu mâncați din ea.
LEV.7.25	Pentru că oricine mănâncă grăsimea vitei, din care oamenii aduc ofrandă făcută prin foc DOMNULUI, chiar acel suflet care 
LEV.7.26	Mai mult, să nu mâncați niciun fel de sânge, 
LEV.7.27	Oricare 
LEV.7.28	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.7.29	Vorbește copiilor lui Israel, zicând: Cel ce aduce DOMNULUI sacrificiul ofrandelor sale de pace, să aducă darul său DOMNULUI din sacrificiul ofrandelor sale de pace.
LEV.7.30	Propriile sale mâini să aducă 
LEV.7.31	Și preotul să ardă grăsimea pe altar, dar pieptul să fie al lui Aaron și al fiilor săi.
LEV.7.32	Și spata dreaptă să o dați preotului 
LEV.7.33	Acela dintre fiii lui Aaron, care aduce sângele ofrandelor de pace și grăsimea, să ia spata dreaptă ca partea 
LEV.7.34	Pentru că pieptul legănat și spata săltată eu am luat-o de la copiii lui Israel de la sacrificiile ofrandelor de pace și le-am dat lui Aaron preotul și fiilor săi, printr-un statut continuu între copiii lui Israel.
LEV.7.35	Aceasta 
LEV.7.36	Pe care DOMNUL a poruncit să le fie date de copiii lui Israel, în ziua în care i-a uns, 
LEV.7.37	Aceasta 
LEV.7.38	Pe care DOMNUL a poruncit-o lui Moise în muntele Sinai, în ziua în care el a poruncit copiilor lui Israel să aducă darurile lor DOMNULUI, în pustiul Sinai.
LEV.8.1	Și DOMNUL i-a vorbit lui Moise, spunând:
LEV.8.2	Ia pe Aaron și pe fiii săi cu el și veșmintele și 
LEV.8.3	Și adună toată adunarea la ușa tabernacolului întâlnirii.
LEV.8.4	Și Moise a făcut precum DOMNUL i-a poruncit; și adunarea s-a strâns la ușa tabernacolului întâlnirii.
LEV.8.5	Și Moise a spus adunării: Acesta 
LEV.8.6	Și Moise a adus pe Aaron și pe fiii săi și i-a spălat cu apă.
LEV.8.7	Și a pus tunica pe el și l-a încins cu brâul și l-a îmbrăcat cu mantia și a pus efodul pe el și l-a încins cu brâul efodului, lucrat iscusit, și 
LEV.8.8	Și a pus pieptarul pe el, de asemenea a pus în pieptar pe Urim și Tumim.
LEV.8.9	Și a pus mitra pe capul lui; de asemenea peste mitră, 
LEV.8.10	Și Moise a luat untdelemnul ungerii și a uns tabernacolul și tot ce 
LEV.8.11	Și a stropit cu acesta de șapte ori peste altar și a uns altarul și toate vasele lui, deopotrivă ligheanul și piedestalul lui, pentru a le sfinți.
LEV.8.12	Și a turnat pe capul lui Aaron din untdelemnul ungerii și l-a uns, pentru a-l sfinți.
LEV.8.13	Și Moise a adus pe fiii lui Aaron și a pus tunici pe ei și i-a încins cu brâie și a pus bonete pe ei, precum DOMNUL a poruncit lui Moise.
LEV.8.14	Și a adus taurul pentru ofranda pentru păcat; și Aaron și fiii săi și-au pus mâinile pe capul taurului pentru ofranda pentru păcat.
LEV.8.15	Și 
LEV.8.16	Și a luat toată grăsimea care 
LEV.8.17	Dar taurul și pielea lui, carnea lui și balega lui, le-a ars cu foc în afara taberei; precum DOMNUL a poruncit lui Moise.
LEV.8.18	Și a adus berbecul pentru ofranda arsă, și Aaron și fiii săi, și-au pus mâinile pe capul berbecului.
LEV.8.19	Iar el 
LEV.8.20	Și a tăiat berbecul în bucăți; și Moise a ars capul și bucățile și grăsimea.
LEV.8.21	Și a spălat măruntaiele și picioarele în apă; și Moise a ars întregul berbec pe altar, acesta 
LEV.8.22	Și a adus celălalt berbec, berbecul consacrării, și Aaron și fiii săi și-au pus mâinile pe capul berbecului.
LEV.8.23	Iar el 
LEV.8.24	Și a adus pe fiii lui Aaron și Moise a pus din sânge pe vârful urechii lor drepte și pe degetul mare al mâinii lor drepte și pe degetul mare al piciorului lor drept; și Moise a stropit sângele peste altar, de jur împrejur.
LEV.8.25	Și a luat grăsimea și noada și toată grăsimea care 
LEV.8.26	Și din coșul cu azime, care 
LEV.8.27	Și el a pus toate pe mâinile lui Aaron și pe mâinile fiilor săi și le-a legănat ca ofrandă legănată înaintea DOMNULUI.
LEV.8.28	Și Moise le-a luat de pe mâinile lor și 
LEV.8.29	Și Moise a luat pieptul și l-a legănat 
LEV.8.30	Și Moise a luat din untdelemnul ungerii și din sângele care 
LEV.8.31	Și Moise le-a spus lui Aaron și fiilor săi: Fierbeți carnea la ușa tabernacolului întâlnirii; și acolo mâncați-o cu pâinea ce este în coșul consacrării, precum am poruncit eu, spunând: Aaron și fiii săi o să mănânce.
