GEN.1.1	La
EXO.40.32	Când intrau în cortul întâlnirii și când se apropiau de altar, se spălau; după cum
EXO.40.33	Și
EXO.40.34	Și
EXO.40.35	Și Moise
EXO.40.36	Și
EXO.40.37	Și
EXO.40.38	Căci
LEV.1.1	Și Domnul a chemat
LEV.1.2	Vorbește copiilor lui Israel și spune‐le: Când
LEV.1.3	Dacă darul său va fi ardere de tot din cireadă, să‐l aducă o parte bărbătească fără cusur
LEV.1.4	Și
LEV.1.5	Și să junghie vițelul
LEV.1.6	Și să jupuiască arderea de tot și s‐o taie în bucăți. 
LEV.1.7	Și fiii lui Aaron, preotul, să pună foc pe altar și să așeze
LEV.1.8	Și fiii lui Aaron, preoții, să așeze bucățile, capul și grăsimea, deasupra lemnelor care sunt pe focul care este pe altar. 
LEV.1.9	Dar măruntaiele lui și picioarele lui să le spele în apă. Și preotul să le ardă toate pe altar, ca ardere de tot, jertfă arsă în foc, miros
LEV.1.10	Și dacă darul său va fi din turmă, din oi sau din capre, ca ardere de tot: să‐l aducă o parte bărbătească fără cusur
LEV.1.11	Și
LEV.1.12	Și să‐l taie în bucăți și capul lui și grăsimea lui. Și preotul să le pună deasupra lemnelor care sunt pe focul care este pe altar. 
LEV.1.13	Dar măruntaiele și picioarele să le spele cu apă. Și preotul să le aducă toate și să le ardă pe altar: este o ardere de tot, o jertfă arsă în foc, miros plăcut Domnului. 
LEV.1.14	Și dacă darul lui pentru Domnul va fi o ardere de tot din păsări, atunci să‐și aducă darul din turturele
LEV.1.15	Și preotul să‐l aducă la altar și să‐i rupă capul cu unghia și să‐l ardă pe altar. Și sângele lui să fie stors pe peretele altarului. 
LEV.1.16	Și să‐i scoată gușa cu penele și să le arunce lângă altar
LEV.1.17	Și să despice pasărea între aripile sale, dar să n‐o desfacă
LEV.2.1	Și dacă va aduce cineva
LEV.2.2	Și s‐o ducă la fiii lui Aaron, preoții. Și el să ia din ea un pumn din floarea de făină și din untdelemn cu toată tămâia. Și preotul s‐o ardă ca amintirea
LEV.2.3	Și rămășița
LEV.2.4	Și dacă vei aduce ca dar, un dar de mâncare copt în cuptor, să fie turte fără aluat din floarea făinii frământate cu untdelemn, sau plăcinte fără aluat unse
LEV.2.5	Și dacă darul tău va fi un dar de mâncare din tigaie, să fie din floarea făinii fără aluat, frământată cu untdelemn. 
LEV.2.6	Îl vei frânge în bucăți și vei turna untdelemn peste el: este un dar de mâncare. 
LEV.2.7	Și dacă darul tău va fi un dar de mâncare de pe grătar, să se facă din floarea făinii cu untdelemn. 
LEV.2.8	Și să aduci Domnului darul de mâncare care a fost făcut din acestea; și să fie adus preotului și el îl va duce la altar. 
LEV.2.9	Și preotul va lua din darul de mâncare
LEV.2.10	Și rămășița
LEV.2.11	Niciun dar de mâncare pe care‐l veți aduce Domnului nu se va face cu aluat
LEV.2.12	Ca dar
LEV.2.13	Și orice dar din darul de mâncare al tău să‐l sărezi
LEV.2.14	Și dacă vei aduce Domnului un dar de mâncare din întâile roade ale tale, să aduci
LEV.2.15	Și să pui untdelemn peste
LEV.2.16	Și preotul să ardă amintirea
LEV.3.1	Și dacă darul lui va fi o jertfă
LEV.3.2	Și
LEV.3.3	Și el să aducă din jertfa de pace o jertfă cu foc Domnului: grăsimea
LEV.3.4	și cei doi rărunchi și grăsimea care este pe ei, care este pe coapse și prapurul de pe ficat: să‐l scoată cu rărunchii. 
LEV.3.5	Și fiii lui Aaron s‐o ardă
LEV.3.6	Și dacă darul său, ca jertfă de pace pentru Domnul, va fi din turmă, o parte bărbătească sau o parte femeiască, să‐l aducă
LEV.3.7	Dacă va aduce un miel ca dar al său, atunci să‐l aducă înaintea Domnului. 
LEV.3.8	Și să‐și pună mâna pe capul darului său și să‐l junghie înaintea cortului întâlnirii: și fiii lui Aaron să stropească sângele lui asupra altarului de jur împrejur. 
LEV.3.9	Și să aducă din jertfa de pace o jertfă cu foc Domnului, grăsimea lui, toată coada, s‐o scoată chiar de lângă osul spinării; și grăsimea care acopere măruntaiele și toată grăsimea care este pe măruntaie, 
LEV.3.10	și cei doi rărunchi și grăsimea care este pe ei, care este pe coapse, și prapurul de pe ficat: să‐l scoată cu rărunchii. 
LEV.3.11	Și preotul s‐o ardă pe altar: este pâinea
LEV.3.12	Și dacă darul lui va fi o capră, atunci s‐o aducă
LEV.3.13	Și să‐și pună mâna pe capul ei și s‐o junghie înaintea cortului întâlnirii: și fiii lui Aaron să stropească sângele ei asupra altarului de jur împrejur. 
LEV.3.14	Și să aducă din ea darul său, o jertfă arsă cu foc pentru Domnul; grăsimea care acopere măruntaiele și toată grăsimea care este pe măruntaie, 
LEV.3.15	și cei doi rărunchi și grăsimea care este pe ei, care este pe coapse și prapurul de pe ficat: să‐l scoată cu rărunchii. 
LEV.3.16	Și preotul să le ardă pe altar: este pâinea jertfei arse cu foc ca miros plăcut. Toată grăsimea
LEV.3.17	Va
LEV.4.1	Și Domnul a vorbit lui Moise zicând: Vorbește copiilor lui Israel zicând: 
LEV.4.2	Dacă
LEV.4.3	Dacă
LEV.4.4	Și să aducă vițelul
LEV.4.5	Și preotul cel uns să ia
LEV.4.6	Și preotul să‐și moaie degetul în sânge și să stropească din sânge de șapte ori înaintea Domnului, înaintea perdelei sfântului locaș. 
LEV.4.7	Și preotul să pună
LEV.4.8	Și toată grăsimea vițelului jertfei pentru păcat s‐o ridice de la el: grăsimea care acoperă măruntaiele și toată grăsimea care este pe măruntaie 
LEV.4.9	și cei doi rărunchi și grăsimea care este pe ei, care este pe coapse și prapurul de pe ficat: să‐l scoată cu rărunchii, 
LEV.4.10	cum
LEV.4.11	Și
LEV.4.12	tot vițelul, să‐l scoată afară din tabără, într‐un loc curat unde
LEV.4.13	Și
LEV.4.14	și păcatul cu care au păcătuit împotriva 
LEV.4.15	Și bătrânii adunării să‐și pună
LEV.4.16	Și
LEV.4.17	Și preotul să‐și moaie degetul în sânge și să stropească de șapte ori înaintea Domnului spre perdea. 
LEV.4.18	Și să pună sânge pe coarnele altarului care este înaintea Domnului, în cortul întâlnirii. Și tot sângele să‐l toarne la picioarele altarului arderii de tot care este la ușa cortului întâlnirii. 
LEV.4.19	Și să ridice toată grăsimea lui și s‐o ardă pe altar. 
LEV.4.20	Și să facă cu
LEV.4.21	Și el să scoată vițelul afară din tabără și să‐l ardă cum a ars vițelul dintâi: este o jertfă pentru păcatul obștei.
LEV.4.22	Când va păcătui o căpetenie și va face
LEV.4.23	dacă i se va face cunoscut
LEV.4.24	Și
LEV.4.25	Și
LEV.4.26	Și
LEV.4.27	Și
LEV.4.28	dacă i se va face cunoscut păcatul
LEV.4.29	Și
LEV.4.30	Și preotul să ia cu degetul său din sângele ei, și să pună pe coarnele altarului arderii de tot, iar tot sângele să‐l verse la piciorul altarului. 
LEV.4.31	Și
LEV.4.32	Iar dacă va aduce un miel ca dar al său pentru păcat
LEV.4.33	Și să‐și pună mâna pe capul jertfei pentru păcat, și s‐o junghie ca jertfă pentru păcat în locul unde se junghie arderea de tot. 
LEV.4.34	Și preotul să ia cu degetul său din sângele jertfei pentru păcat și să pună pe coarnele altarului arderii de tot și tot sângele să‐l verse la piciorul altarului. 
LEV.4.35	Și să scoată toată grăsimea lui, cum se scoate grăsimea mielului de la jertfa de pace; și preotul să le ardă pe altar cu
LEV.5.1	Și dacă va păcătui cineva, auzind
LEV.5.2	Sau
LEV.5.3	Sau dacă se va atinge de
LEV.5.4	Sau dacă va jura cineva rostind cu ușurință cu buzele ca
LEV.5.5	Și va fi 
LEV.5.6	Și va aduce Domnului jertfa sa pentru vină pentru păcatul său cu care a păcătuit, o parte femeiască din turmă, o oaie sau o iadă, ca jertfă pentru păcat; și preotul va face ispășire pentru el de păcatul lui. 
LEV.5.7	Și
LEV.5.8	Și să le aducă la preot, care să aducă ce este pentru jertfa pentru păcat, întâi, și să‐i rupă
LEV.5.9	Și să stropească peste peretele altarului din sângele jertfei pentru păcat, iar celălalt
LEV.5.10	Și pe celălalt să‐l aducă ardere de tot după rânduială
LEV.5.11	Dar dacă nu‐i va da mâna pentru două turturele sau doi pui de porumbel, atunci va aduce ca dar al lui pentru ceea ce a păcătuit, a zecea parte din efă de floarea făinii ca jertfă pentru păcat: să nu pună untdelemn
LEV.5.12	Și s‐o aducă la preot și preotul să ia din ea un pumn plin ca
LEV.5.13	Și
LEV.5.14	Și Domnul a vorbit lui Moise zicând: 
LEV.5.15	Dacă
LEV.5.16	Și pentru ceea ce a păcătuit luând din lucrul sfânt, să plătească și să adauge
LEV.5.17	Și dacă
LEV.5.18	Și să
LEV.5.19	Este o jertfă pentru vină: el este vinovat negreșit împotriva
LEV.6.1	Și Domnul a vorbit lui Moise zicând: 
LEV.6.2	Dacă cineva
LEV.6.3	sau
LEV.6.4	atunci va fi 
LEV.6.5	sau orice lucru pentru care a jurat strâmb; și să
LEV.6.6	Și să aducă preotului pentru Domnul jertfa lui pentru vină, un berbece
LEV.6.7	Și
LEV.6.8	Și Domnul a vorbit lui Moise zicând: 
LEV.6.9	Poruncește lui Aaron și fiilor lui zicând: Aceasta este legea arderii de tot: arderea de tot să fie pe vatra de pe altar toată noaptea până dimineață; și focul altarului să ardă mereu deasupra lui. 
LEV.6.10	Și
LEV.6.11	Și
LEV.6.12	Și focul de pe altar să ardă mereu pe el, să nu se stingă; și preotul să ardă lemne pe el în toate diminețile; și să așeze arderea de tot pe ele și să ardă deasupra grăsimea
LEV.6.13	Focul să ardă mereu pe altar; să nu se stingă.
LEV.6.14	Și aceasta este legea
LEV.6.15	Și să ia din el un pumn, din floarea făinii darului de mâncare și din untdelemnul lui și toată tămâia care este deasupra darului de mâncare și să le ardă pe altar, ca miros plăcut, amintirea
LEV.6.16	Iar
LEV.6.17	Să
LEV.6.18	Toată
LEV.6.19	Și Domnul a vorbit lui Moise zicând: 
LEV.6.20	Acesta
LEV.6.21	S‐o pregătească în tigaie cu untdelemn: s‐o aduci amestecată cu untdelemn; să aduci bucățile coapte din darul de mâncare ca miros plăcut Domnului. 
LEV.6.22	Și preotul dintre fiii lui
LEV.6.23	Și orice dar de mâncare al preotului să se ardă tot; să nu se mănânce.
LEV.6.24	Și Domnul a vorbit lui Moise zicând: 
LEV.6.25	Vorbește lui Aaron și fiilor săi zicând: Aceasta
LEV.6.26	S‐o mănânce preotul
LEV.6.27	Orice
LEV.6.28	Și vasul de lut în care s‐a fiert să se
LEV.6.29	Toată partea
LEV.6.30	Și orice jertfă
LEV.7.1	Și aceasta
LEV.7.2	În
LEV.7.3	Și
LEV.7.4	și cei doi rărunchi, și grăsimea care este pe ei, care este pe coapse, și prapurul de pe ficat: să‐l scoată cu cei doi rărunchi. 
LEV.7.5	Și preotul să le ardă pe altar ca jertfă arsă cu foc pentru Domnul: este o jertfă pentru vină. 
LEV.7.6	Toată
LEV.7.7	Ca jertfa pentru păcat, așa este jertfa
LEV.7.8	Și preotul care aduce arderea de tot a vreunui om, preotul va avea pentru sine pielea arderii de tot pe care a adus‐o. 
LEV.7.9	Și
LEV.7.10	Și orice dar de mâncare, frământat cu untdelemn și uscat, să fie al tuturor fiilor lui Aaron, al unuia ca și al altuia.
LEV.7.11	Și
LEV.7.12	Dacă o aduce ca mulțumire, atunci să aducă pe lângă jertfa de mulțumire turte fără aluat frământate cu untdelemn, și plăcinte fără aluat unse
LEV.7.13	Va
LEV.7.14	Și din tot darul să aducă una ca dar ridicat Domnului; va fi
LEV.7.15	Și
LEV.7.16	Și
LEV.7.17	Și ce va rămânea din carnea jertfei să se ardă cu foc a treia zi. 
LEV.7.18	Și dacă va mânca cineva din carnea jertfei sale de pace a treia zi, nu va fi primită, nu se va socoti
LEV.7.19	Și carnea care se va atinge de ceva necurat să nu se mănânce; să se ardă cu foc. Iar carnea, oricine este curat să mănânce carnea. 
LEV.7.20	Dar sufletul
LEV.7.21	Și dacă cineva se va atinge de ceva necurat, necurăție
LEV.7.22	Și Domnul a vorbit lui Moise zicând: 
LEV.7.23	Vorbește copiilor lui Israel zicând: Să nu mâncați nicio
LEV.7.24	Și grăsimea mortăciunii și grăsimea a ceea ce este sfâșiat de fiare să slujească la orice alt lucru, dar să n‐o mâncați nicidecum. 
LEV.7.25	Căci oricine va mânca grăsimea unui dobitoc, din care se aduce Domnului jertfă cu foc, sufletul care a mâncat va fi stârpit din poporul său. 
LEV.7.26	Și
LEV.7.27	Orice suflet care va mânca din orice fel de sânge, sufletul acela va fi stârpit din poporul său.
LEV.7.28	Și Domnul a vorbit lui Moise zicând: 
LEV.7.29	Vorbește copiilor lui Israel zicând: Cel ce
LEV.7.30	Chiar
LEV.7.31	Și
LEV.7.32	Și
LEV.7.33	Și acela dintre fiii lui Aaron, care aduce sângele jertfelor de pace și grăsimea lui, va avea ca parte a lui spata dreaptă. 
LEV.7.34	Și am luat de la copiii lui Israel pieptul
LEV.7.35	Aceasta este partea ungerii lui Aaron și a ungerii fiilor lui din jertfele arse cu foc ale Domnului, din
LEV.7.36	partea despre care a poruncit Domnul să se dea lor de către copiii lui Israel, din
LEV.7.37	Aceasta este legea arderii
LEV.7.38	pe care a poruncit‐o Domnul lui Moise în muntele Sinai, în ziua când a poruncit copiilor lui Israel să aducă
LEV.8.1	Și Domnul a vorbit lui Moise zicând: 
LEV.8.2	Ia
LEV.8.3	Și strânge toată adunarea la intrarea cortului întâlnirii. 
LEV.8.4	Și Moise a făcut cum îi poruncise Domnul. Și adunarea a fost strânsă la intrarea cortului întâlnirii. 
LEV.8.5	Și Moise a zis adunării: Acesta
LEV.8.6	Și Moise a adus pe Aaron și pe fiii săi și i‐a scăldat
LEV.8.7	Și
LEV.8.8	Și
LEV.8.9	Și
LEV.8.10	Și
LEV.8.11	Și a stropit din el pe altar de șapte ori și a uns altarul și toate uneltele lui și spălătorul și piciorul lui, ca să le sfințească. 
LEV.8.12	Și a turnat din untdelemnul
LEV.8.13	Și
LEV.8.14	Și
LEV.8.15	Și unul l‐a junghiat. Și Moise a luat
LEV.8.16	Și
LEV.8.17	Și vițelul și pielea lui și carnea lui și balega lui le‐a ars cu foc afară din tabără, cum
LEV.8.18	Și
LEV.8.19	Și unul l‐a junghiat. Și Moise a stropit sângele peste altar de jur împrejur. 
LEV.8.20	Și unul a tăiat berbecele în bucăți și Moise a ars capul și bucățile și grăsimea. 
LEV.8.21	Și unul a spălat cu apă măruntaiele și picioarele. Și Moise a ars berbecele întreg pe altar: a fost o ardere de tot de miros plăcut, o jertfă arsă cu foc Domnului
LEV.8.22	Și
LEV.8.23	Și unul l‐a junghiat. Și Moise a luat din sângele lui și a pus pe moalele urechii drepte a lui Aaron și pe degetul cel gros al mâinii lui drepte și pe degetul cel mare al piciorului său drept. 
LEV.8.24	Și a apropiat pe fiii lui Aaron și Moise a pus din sânge pe moalele urechii drepte a lor și pe degetul cel gros al mâinii lor drepte și pe degetul cel mare al piciorului lor drept. Și Moise a stropit sângele peste altar de jur împrejur. 
LEV.8.25	Și
LEV.8.26	Și a luat din coșul
LEV.8.27	Și
LEV.8.28	Și Moise
LEV.8.29	Și Moise a luat pieptul și l‐a legănat ca dar legănat înaintea Domnului; a fost partea
LEV.8.30	Și Moise
LEV.8.31	Și Moise a zis lui Aaron și fiilor lui: Fierbeți
LEV.8.32	Și
LEV.8.33	Și să nu ieșiți de la intrarea cortului întâlnirii șapte
LEV.8.34	Domnul a poruncit să se facă așa cum
LEV.8.35	Și veți rămânea la intrarea cortului întâlnirii șapte zile, zi și noapte, și veți păzi porunca
LEV.8.36	Și Aaron și fiii lui au făcut toate lucrurile pe care le‐a poruncit Domnul prin Moise.
LEV.9.1	Și a fost 
LEV.9.2	și a zis lui Aaron: Ia‐ți
LEV.9.3	Și să vorbești copiilor lui Israel zicând: Luați
LEV.9.4	și un bou și un berbece ca jertfă de pace, ca să jertfiți înaintea Domnului; și un dar de mâncare
LEV.9.5	Și au luat înaintea cortului întâlnirii ce poruncise Moise: și toată adunarea s‐a apropiat și a stătut înaintea Domnului. 
LEV.9.6	Și Moise a zis: Acesta este lucrul pe care l‐a poruncit Domnul să‐l faceți și vi se va arăta slava
LEV.9.7	Și Moise a zis lui Aaron: Apropie‐te de altar și adu
LEV.9.8	Și Aaron s‐a apropiat de altar și a junghiat vițelul jertfei pentru păcat, care era pentru sine însuș. 
LEV.9.9	Și
LEV.9.10	Și
LEV.9.11	Și
LEV.9.12	Și a junghiat arderea de tot și fiii lui Aaron i‐au dat sângele și el
LEV.9.13	Și
LEV.9.14	Și
LEV.9.15	Și
LEV.9.16	Și a adus arderea de tot și a făcut cu ea după
LEV.9.17	Și a adus
LEV.9.18	Și a junghiat taurul și berbecele jertfei
LEV.9.19	și i‐au adus bucățile de grăsime de taur și de berbece și coada grasă și ce acopere 
LEV.9.20	Și au pus grăsimile deasupra piepturilor și a ars
LEV.9.21	Și Aaron a legănat piepturile și spata dreaptă
LEV.9.22	Și Aaron și‐a ridicat mâinile spre popor și i‐a binecuvântat
LEV.9.23	Și Moise și Aaron au intrat în cortul întâlnirii și au ieșit și au binecuvântat pe popor. Și slava
