GEN.1.1	No princípio, quando Deus criou o céu e a terra
1KI.2.14	tenho uma coisa para te dizer!» «Então diz», respondeu ela. 
1KI.2.15	E Adonias acrescentou: «Tu sabes que o reino me pertencia e que todo o povo de Israel esperava que eu fosse o rei. Porém o direito de reinar foi dado ao meu irmão, porque o 
1KI.2.16	Agora só te quero pedir um favor. Não mo recuses.» «Fala!», respondeu ela. 
1KI.2.17	Ele então disse: «Rogo-te que peças ao rei Salomão, que nada te recusará, que me dê por esposa Abisag, a sunamita.» 
1KI.2.18	«Está bem. Eu falarei por ti ao rei.» — Disse Betsabé.
1KI.2.19	Betsabé foi falar com o rei Salomão a respeito de Adonias. O rei levantou-se para receber a sua mãe e inclinou-se respeitosamente diante dela. Depois sentou-se no trono, ordenou que trouxessem uma cadeira para a sua mãe e pediu-lhe que se sentasse à sua direita; 
1KI.2.20	ela disse-lhe então: «Quero pedir-te um pequeno favor. Rogo-te que não mo negues.» Ele respondeu: «Pede-me o que quiseres, minha mãe! Nada te recusarei.» 
1KI.2.21	Disse então Betsabé: «Peço-te que Abisag, a sunamita, seja dada por esposa a teu irmão Adonias.»
1KI.2.22	Então Salomão disse à sua mãe: «Por que pedes Abisag para Adonias? Só falta que me peças que lhe entregue o reino, porque é o meu irmão mais velho e porque tem a seu favor o 
1KI.2.23	Dito isto, o rei Salomão jurou pelo 
1KI.2.24	Pelo 
1KI.2.25	O rei Salomão deu ordem a Benaías, filho de Joiadá, para o ir matar e ele foi e matou Adonias.
1KI.2.26	Salomão disse também ao 
1KI.2.27	Salomão destituiu Abiatar das suas funções sacerdotais, cumprindo-se assim aquilo que o 
1KI.2.28	Logo que Joab ouviu o que tinha acontecido a Adonias e a Abiatar, fugiu para o 
1KI.2.29	Mas alguém informou o rei Salomão de que Joab tinha fugido para o santuário do 
1KI.2.30	Benaías foi ao santuário e disse a Joab: «O rei ordena que saias daí.» Joab respondeu: «Não saio, quero morrer aqui.»
1KI.2.30	Benaías foi ter com o rei e contou-lhe o que Joab tinha dito. 
1KI.2.31	Salomão respondeu: «Faz como ele disse. Mata-o e sepulta-o, e assim afastarás de mim e dos descendentes de meu pai a culpa dos crimes cometidos por Joab contra gente inocente. 
1KI.2.32	Que o 
1KI.2.33	A culpa dessas mortes recairá sobre Joab e sobre a sua descendência, para sempre. Porém a David, à sua descendência e aos seus sucessores o 
1KI.2.34	Então Benaías voltou ao santuário e matou Joab. Sepultaram-no na sua propriedade, num descampado.
1KI.2.35	O rei substituiu Joab por Benaías, no comando do exército, e Abiatar por Sadoc, como 
1KI.2.36	O rei mandou chamar Simei e disse-lhe: «Faz para ti uma casa em Jerusalém e fica a viver nela. Não podes sair de lá para nenhuma parte, 
1KI.2.37	porque, no dia em que saíres e atravessares o ribeiro de Cédron, serás morto. E a culpa será só tua.» 
1KI.2.38	Simei respondeu ao rei: «Estou de acordo. Farei como Vossa Majestade, meu Senhor, me ordenou.» E assim, Simei viveu bastante tempo em Jerusalém.
1KI.2.39	Mas passados três anos, dois escravos seus fugiram e foram viver com Aquis, filho de Macá, que era rei de Gat
1KI.2.40	ele montou no seu jumento e foi ter com Aquis a Gat, em busca dos seus escravos, que levou de volta para Jerusalém.
1KI.2.41	Quando disseram a Salomão que Simei tinha ido a Gat, 
1KI.2.42	mandou-o chamar e disse-lhe: «Não te fiz jurar em nome do 
1KI.2.43	Por que não cumpriste então o juramento que fizeste ao 
1KI.2.44	Sabes perfeitamente o mal que fizeste a David, meu pai; por isso, o 
1KI.2.45	Porém eu, o rei Salomão, serei abençoado e o trono de David ficará estabelecido para sempre, diante do 
1KI.2.46	Depois o rei deu ordens a Benaías, filho de Joiadá, e ele foi matar Simei. E assim se confirmou o reino nas mãos de Salomão.
1KI.3.1	Salomão aliou-se ao 
1KI.3.2	Nesse tempo, o povo oferecia 
1KI.3.3	Salomão amava o 
1KI.3.4	Um dia o rei Salomão foi a Guibeon
1KI.3.5	Nessa noite, em Guibeon, apareceu-lhe o 
1KI.3.6	Salomão respondeu: «Tu foste muito bom para com o teu 
1KI.3.7	Tu, 
1KI.3.8	Porém estou rodeado pelo povo que tu escolheste, um povo tão numeroso que não se pode contar nem calcular. 
1KI.3.9	Dá-me, por isso, um coração sábio, capaz de governar o teu povo com justiça, sabendo distinguir entre o bem e o mal. Doutro modo, como poderia eu governar este teu povo tão numeroso?»
1KI.3.10	Este pedido de Salomão agradou ao Senhor. 
1KI.3.11	E Deus disse-lhe: «Dado que me fizeste esse pedido, solicitando não uma vida longa, ou riquezas, ou a morte dos teus inimigos, mas sim inteligência para saberes ouvir e governar, 
1KI.3.12	vou conceder-te o que me pediste; vou conceder-te sabedoria e inteligência como ninguém teve antes de ti, nem terá depois de ti. 
1KI.3.13	Concedo-te, além disso, aquilo que não me pediste: tantas riquezas e esplendor, durante toda a tua vida, como nenhum outro rei teve antes. 
1KI.3.14	E, se fizeres a minha vontade, cumprindo as minhas leis e os meus mandamentos, como fez David, teu pai, conceder-te-ei também uma vida longa.»
1KI.3.15	Quando Salomão acordou e viu que Deus lhe tinha falado em sonhos, voltou para Jerusalém, apresentou-se diante da 
1KI.3.16	Um dia duas prostitutas foram ter com Salomão. Apresentaram-se diante dele 
1KI.3.17	e uma delas disse: «Por favor, Majestade! Esta mulher e eu vivemos na mesma casa e eu dei à luz um filho, estando ela comigo em casa. 
1KI.3.18	Três dias depois, também ela deu à luz um filho. Nós vivemos as duas sozinhas naquela casa, não há lá mais ninguém além de nós. 
1KI.3.19	Mas durante a noite, morreu o filho desta mulher, porque ela se deitou para cima dele enquanto dormiam. 
1KI.3.20	Então ela levantou-se a meio da noite e, enquanto eu dormia, tirou do meu lado o meu filho e deitou-o na sua cama; depois colocou o seu filho, que estava morto, ao meu lado. 
1KI.3.21	De manhã, quando me levantei para dar o peito ao meu filho, vi que estava morto; olhei bem para ele à luz do dia e vi logo que aquele não era o filho que eu tinha dado à luz.»
1KI.3.22	A outra mulher replicou então: «É mentira! O que está vivo é o meu filho; o teu é o que morreu.» Mas a primeira respondeu: «Não! O teu filho é o que morreu e o que está vivo é o meu.» E assim discutiam na presença do rei.
1KI.3.23	Salomão tomou a palavra e declarou: «Uma diz: “A criança que está viva é o meu filho; o teu filho é que está morto!” A outra responde: “Não, o teu filho é que está morto e o meu é o que está vivo!”» 
1KI.3.24	Em seguida, o rei ordenou: «Tragam-me cá uma espada!» Quando lhe levaram a espada, 
1KI.3.25	o rei disse: «Cortem em dois o menino vivo e deem metade a cada uma!»
1KI.3.26	A mãe do menino vivo, profundamente angustiada por causa do seu filho, suplicou ao rei: «Majestade, rogo-te que lhe dês o menino vivo! Não o mates!» Mas a outra disse: «Nem para mim nem para ti. Cortem-no em dois!»
1KI.3.27	Então o rei declarou: «Entreguem àquela mulher o menino vivo. Não o matem, porque ela é a sua verdadeira mãe.»
1KI.3.28	Esta sentença de Salomão tornou-se conhecida de todo o povo de Israel, que sentiu, por isso, muito respeito pelo rei, vendo que Deus lhe tinha dado sabedoria para administrar justiça.
1KI.4.1	Salomão foi rei de todo o povo de Israel. 
1KI.4.2	Estes são os nomes dos seus altos funcionários: Azarias, filho do 
1KI.4.3	Elioref e Aías, filhos de Chichá, secretários; Josafat, filho de Ailud, porta-voz do rei; 
1KI.4.4	Benaías, filho de Joiadá, comandante do exército; Sadoc e Abiatar, sacerdotes; 
1KI.4.5	Azarias, filho de Natan, superintendente das guarnições; o sacerdote Zabud, filho de Natan, conselheiro privado do rei; 
1KI.4.6	Aisar, prefeito do palácio; Adoniram, filho de Abda, responsável pelos trabalhos obrigatórios.
1KI.4.7	Salomão tinha doze intendentes em Israel, que tinham a obrigação de prover o necessário para o rei e a sua família. Cada um deles deveria prover os mantimentos, durante um mês por ano. 
1KI.4.8	Estes são os seus nomes
1KI.4.9	Ben-Déquer nas cidades de Macas, Salabim, Bet-Chemes, Elon e Bet-Hanan; 
1KI.4.10	Ben-Héssed, nas cidades de Arubot e Socó e em todo o território de Héfer; 
1KI.4.11	Ben-Abinadab, que era casado com Tafat, filha de Salomão, em toda a região de Dor; 
1KI.4.12	Baaná, filho de Ailud, nas cidades de Tanac e Meguido e em toda a região perto de Bet-Chan e de Sartan, a sul da cidade de Jezrael, desde Bet-Chan até Abel-Meolá, para lá da cidade de Jocnoam; 
1KI.4.13	Ben-Guéber, na cidade de Ramot, em Guilead, e nas aldeias de Guilead, pertencentes a Jair, descendente de Manassés, e na região de Argob, em Basã, ao todo sessenta cidades grandes e com muralhas fortificadas e portões de bronze; 
1KI.4.14	Ainadab, filho de Ido, no distrito de Manaim; 
1KI.4.15	Aimás, que era casado com Bassemat, outra filha de Salomão, no território de Neftali; 
1KI.4.16	Baaná, filho de Huchai, na região de Asser e na cidade de Alot; 
1KI.4.17	Josafat, filho de Parua, no território de Issacar; 
1KI.4.18	Simei, filho de Elá, no território de Benjamim; 
1KI.4.19	Guéber, filho de Uri, na região de Guilead, que tinha sido governada por Seon, rei dos 
1KI.4.20	A população de Judá e de Israel era tão numerosa como a areia das praias do mar; tinham comida e bebida em abundância e viviam felizes.
1KI.5.2	As provisões para a mesa de Salomão eram diariamente de cerca de seis mil e seiscentos quilos de flor de farinha e treze mil e duzentos quilos de farinha, 
1KI.5.3	dez bois gordos e vinte de pasto, cem carneiros, além de veados, gazelas, gamos e aves de capoeira.
1KI.5.4	Salomão dominava sobre toda a região a oeste do rio Eufrates, desde Tifsa até Gaza
1KI.5.5	Os habitantes de Judá e de Israel, dum extremo ao outro dos seus territórios, viveram em segurança enquanto Salomão foi vivo, cuidando cada qual da sua videira e da sua figueira.
1KI.5.6	Salomão tinha quarenta mil
1KI.5.7	Os doze intendentes do rei forneciam todas as provisões necessárias a Salomão e aos seus convidados; cada um deles era responsável pelas provisões de um mês em cada ano, procurando que nunca faltasse nada. 
1KI.5.8	E levavam também, aonde fosse preciso, cevada e palha para os cavalos e os animais de tiro.
1KI.5.9	Deus concedeu a Salomão sabedoria, uma grande inteligência e uma compreensão tão profunda como as areias nas praias do mar.
1KI.5.10	Salomão ultrapassou em sabedoria todos os sábios do Oriente e todos os sábios do Egito. 
1KI.5.11	Era o mais sábio de todos os homens. Mais sábio do que Etan, o ezraíta, e do que Heman, Calcol e Darda, filhos de Maol; e a sua fama espalhou-se por todos os povos vizinhos. 
1KI.5.12	Pronunciou três mil provérbios e compôs mil e cinco poemas
1KI.5.13	Dissertou sobre as árvores, desde o cedro do Líbano até ao hissopo
1KI.5.14	De todos os países vinham pessoas ouvir a sabedoria de Salomão; vinham da parte de todos os reis da terra que tinham ouvido falar da sua sabedoria.
1KI.5.16	Salomão mandou então dizer ao rei Hiram
1KI.5.17	«David, meu pai, como sabes, não pôde construir um 
1KI.5.18	A mim porém o 
1KI.5.19	Por isso, decidi construir um templo consagrado ao 
1KI.5.20	Dá, por isso, ordens para que me cortem cedros do Líbano. Os meus servos ajudarão os teus e eu pagarei o que me pedires pelo salário dos teus servos, pois sabes muito bem que não há entre nós ninguém que saiba cortar madeira tão bem como os 
1KI.5.21	Quando o rei Hiram ouviu a mensagem de Salomão, ficou muito contente e exclamou: «Hoje dou graças ao 
1KI.5.22	Em seguida enviou a seguinte resposta a Salomão: «Recebi a mensagem que me dirigiste. Estou pronto a fornecer-te toda a madeira de cedro e de cipreste que desejares. 
1KI.5.23	Os meus servos transportarão os troncos das montanhas do Líbano até à costa. Dali mandá-los-ei levar em jangadas pelo mar até ao lugar que me indicares. Lá serão descarregados os troncos e ali tu os mandarás buscar. Como pagamento, fornecerás as provisões necessárias para o meu palácio.»
1KI.5.24	Assim Hiram deu a Salomão toda a madeira de cedro e de cipreste que ele quis. 
1KI.5.25	Por seu lado, Salomão passou a fornecer todos os anos a Hiram, para o seu palácio, seis mil toneladas de trigo e seis mil litros de azeite puro de oliveira.
1KI.5.26	O 
1KI.5.27	O rei Salomão organizou trabalhos obrigatórios, para os quais mandou recrutar trinta mil israelitas. 
1KI.5.28	Todos os meses eram enviados para o Líbano dez mil homens; cada turno de dez mil ficava um mês no Líbano e dois meses em casa. O responsável pelos trabalhos obrigatórios era Adoniram. 
1KI.5.29	Salomão tinha, além desses, oitenta mil cortadores de pedra na montanha e setenta mil carregadores 
1KI.5.30	e ainda três mil e trezentos capatazes das obras que orientavam os trabalhadores. 
1KI.5.31	O rei ordenou que arrancassem e talhassem pedras grandes e boas para os alicerces do 
1KI.5.32	Os operários de Salomão e de Hiram e outros vindos da cidade de Biblos
1KI.6.1	Salomão começou a construção do 
1KI.6.2	O templo que o rei Salomão construiu para o 
1KI.6.3	O 
1KI.6.4	Salomão fez no templo janelas com persianas e grades
1KI.6.5	Construiu, contra as paredes do templo e os muros que rodeavam o edifício, um anexo de três andares em volta do templo e do 
1KI.6.6	O rés do chão do anexo tinha dois metros e meio de largura, o andar do meio tinha três metros e o andar superior, três e meio, porque a parede exterior do templo não tinha toda a mesma espessura: era mais grossa em baixo, menos grossa no andar do meio e ainda menos no andar superior, de modo que as vigas dos andares do anexo, apoiando-se nos ressaltos, não entravam nas paredes do templo. 
1KI.6.7	Na construção do templo só se empregaram pedras já preparadas na pedreira, de modo que, durante os trabalhos da construção, não se ouvia qualquer barulho de martelos, nem de cinzéis, nem de qualquer outra ferramenta. 
1KI.6.8	A porta do rés do chão ficava no lado sul do templo. Para subir ao andar do meio e ao de cima havia uma escada de caracol.
1KI.6.9	Quando acabou de construir o templo, Salomão mandou-o cobrir com traves e pranchas de cedro. 
1KI.6.10	Os três andares que construiu em volta do edifício tinham dois metros e meio de altura cada um e estavam ligados ao templo com vigas de cedro apoiadas nos ressaltos das paredes.
1KI.6.11	Então o 
1KI.6.12	«Quanto ao templo que estás a construir, quero dizer-te que, se te conduzires de acordo com as minhas leis e os meus decretos e cumprires todos os meus mandamentos, eu cumprirei aquilo que a teu respeito prometi a David, teu pai. 
1KI.6.13	Viverei aqui entre os israelitas e não abandonarei Israel, meu povo.»
1KI.6.14	Assim Salomão terminou a construção do 
1KI.6.15	As paredes interiores, desde o pavimento até ao teto, bem como todo o interior do templo foram revestidos com tábuas de cedro; o pavimento foi assoalhado com tábuas de cipreste. 
1KI.6.16	Ao fundo do templo, construiu uma divisão com tábuas de cedro, desde o soalho até ao teto, com dez metros de comprimento, que destinou para o 
1KI.6.17	A nave do templo, em frente do 
1KI.6.18	As tábuas de cedro que revestiam o interior do templo estavam entalhadas com flores e frutos; tudo estava revestido de cedro, não se vendo uma única pedra.
1KI.6.19	Salomão preparou o santuário no templo, para lá colocar a 
1KI.6.20	O interior do santuário, que media dez metros de comprimento, dez metros de largura e dez metros de altura, estava revestido de ouro puro. Salomão fez também em frente do santuário um 
1KI.6.21	Todo o interior do templo estava revestido de ouro puro; diante do santuário, que também estava revestido de ouro puro, havia umas correntes de ouro. 
1KI.6.22	Portanto, todo o interior do templo estava revestido de ouro, bem como o altar, que estava diante do santuário.
1KI.6.23	Dentro do santuário pôs dois 
1KI.6.24	e cada uma das suas asas media dois metros e meio. Assim de uma extremidade à outra das asas, cada querubim media cinco metros. 
1KI.6.25	Os dois querubins tinham as mesmas dimensões e a mesma forma, 
1KI.6.26	isto é, ambos tinham cinco metros de altura. 
1KI.6.27	Salomão pôs os querubins no santuário, ao fundo do templo. As suas asas estendiam-se de modo que a asa de um tocava numa parede e a asa do outro tocava na parede oposta; as outras duas asas tocavam-se entre si no meio do santuário. 
1KI.6.28	Salomão revestiu também de ouro os querubins.
