GEN.1.1	No princípio Deus criou o céu e a Terra. 
1SA.15.23	A rebelião é um pecado tão grave como a própria feitiçaria; a obstinação é uma coisa tão má como a idolatria. Já que rejeitaste a palavra do 
1SA.15.24	“Sim, eu pequei”, admitiu finalmente Saul. “É verdade que desobedeci às tuas instruções e às ordens do 
1SA.15.25	Rogo-te que me perdoes o meu pecado desta vez e que venhas comigo adorar o 
1SA.15.26	“Não. Não vou contigo. Visto que desprezaste a palavra do 
1SA.15.27	Quando Samuel se ia a retirar, Saul agarrou-o pela aba da capa para o fazer voltar, rasgando-lhe um pedaço. 
1SA.15.28	E Samuel disse-lhe: “Também o 
1SA.15.29	Aquele que é a força de Israel não mente, nem muda de intenções, pois não é homem!”
1SA.15.30	Saul insistiu: “Pequei, com certeza. Ao menos honra-me perante os chefes e o povo, indo comigo adorar o 
1SA.15.31	Samuel desta vez foi com ele, e assim Saul adorou ao 
1SA.15.32	Depois Samuel ordenou: “Tragam-me aqui o rei Agague.” Este chegou-se, todo confiante, pensando consigo mesmo: “Com certeza que o pior já passou. Eles vão seguramente poupar-me a vida!”
1SA.15.33	Contudo, Samuel falou-lhe assim: “A tua espada tirou os filhos a muitas mães, por isso agora será a tua mãe a ser desfilhada.” E a seguir despedaçou-o ali mesmo, perante o 
1SA.15.34	Samuel regressou a sua casa em Ramá e Saul voltou para Gibeá. 
1SA.15.35	Samuel nunca mais tornou a encontrar-se com Saul, embora tivesse ficado com muita pena dele. Também o 
1SA.16.1	Finalmente, o 
1SA.16.2	Samuel perguntou: “Como posso fazer uma coisa dessas? Se Saul vier a saber, tentará matar-me!”
1SA.16.2	“Leva contigo uma bezerra”, continuou o 
1SA.16.3	Depois convidarás Jessé e mostrar-te-ei como hás de fazer e qual o filho que deverás ungir.”
1SA.16.4	Samuel fez como o 
1SA.16.5	Samuel respondeu: “Está tudo bem. Eu vim para fazer um sacrifício ao 
1SA.16.6	Quando chegaram ao local do sacrifício, Samuel reparou em Eliabe e pensou: “É com certeza este o homem que o 
1SA.16.7	Mas o 
1SA.16.8	Depois Jessé disse ao seu outro filho, a Abinadabe, que avançasse perante Samuel. E ele disse: “O 
1SA.16.9	A seguir, Jessé mandou Samá avançar. E ele disse: “O 
1SA.16.10	E passaram diante de Samuel os seus sete filhos, sendo todos rejeitados.
1SA.16.10	“O 
1SA.16.11	“São estes todos os teus filhos?”
1SA.16.11	“Há ainda o mais novo, mas está fora a apascentar as ovelhas.”
1SA.16.11	“Manda-o vir aqui!”, disse Samuel. “Não nos sentaremos à mesa enquanto não tiver chegado.”
1SA.16.12	Jessé mandou que fossem buscá-lo. Era um rapaz de bela aparência, de rosto formoso e saudável. O 
1SA.16.13	Assim, enquanto David estava ali em pé, entre os irmãos, Samuel pegou no azeite que trouxera e derramou-o sobre a cabeça de David. E o Espírito do 
1SA.16.14	O Espírito do 
1SA.16.15+1SA.16.16	Alguns dos seus ajudantes sugeriram-lhe: “Deixa-nos ir à procura dum harpista que toque para ti sempre que esse espírito atormentador te dominar. A música de harpa acalmar-te-á e logo tornarás a ficar bem.”
1SA.16.17	“Pois sim”, disse Saul. “Arranjem então um harpista.”
1SA.16.18	Um deles disse que conhecia um moço de Belém, filho de um homem chamado Jessé, que não só era um harpista talentoso, mas ainda um indivíduo hábil, corajoso, forte, de boa presença e inteligente. “E o que é ainda mais importante”, acrescentaram, “o 
1SA.16.19	Saul mandou mensageiros a Jessé, pedindo-lhe que lhe enviasse David, o pastor. 
1SA.16.20	Jessé respondeu, enviando não só David, mas também um cabrito e um jumento carregado com alimentos e vinho.
1SA.16.21	Logo que viu David, Saul sentiu afeição por ele e fez dele seu pajem de armas. 
1SA.16.22	Saul mandou dizer a Jessé: “Peço-te que deixes David fazer parte da minha corte. Estou muito satisfeito com ele.”
1SA.16.23	Sempre que o espírito atormentador atacava Saul, da parte de Deus, David tocava harpa, ele sentia-se melhor e o espírito mau deixava-o.
1SA.17.1	Os filisteus convocaram o seu exército para uma guerra e acamparam entre Socó em Judá e Azeca em Efes-Damim. 
1SA.17.2	Saul combatia-os com um ajuntamento de tropas reunidas no vale de Elá. 
1SA.17.3	Os filisteus e os israelitas encontravam-se frente a frente em duas colinas opostas com o vale entre eles.
1SA.17.4	Golias, um grande guerreiro originário de Gate, avançou nas fileiras dos filisteus e colocou-se diante das forças militares israelitas. Tratava-se de um verdadeiro gigante; media para cima de 3 metros de altura! 
1SA.17.5	Trazia um capacete de bronze e vestia uma couraça que pesava uns 60 quilos. 
1SA.17.6	Tinha as pernas protegidas com caneleiras também de bronze e a sua lança, do mesmo metal, tinha vários centímetros de espessura, 
1SA.17.7	estando guarnecida com uma ponta de ferro com cerca de 7 quilos. O seu escudeiro ia à frente carregando um grande escudo.
1SA.17.8+1SA.17.9	Golias parou então e gritou para os israelitas: “Porque precisam de um exército alinhado para a batalha? Não sou eu um filisteu e vocês servos de Saul? Escolham algum dos vossos para combater comigo. Se o vosso homem conseguir matar-me, seremos vossos escravos, mas se for eu a matá-lo, serão vocês nossos escravos! 
1SA.17.10	Desafio os exércitos de Israel! Mandem vir um homem que combata comigo!” 
1SA.17.11	Ao ouvir isto, Saul e todo o exército israelita ficaram extremamente angustiados e aterrorizados.
1SA.17.12	Em Belém de Judá havia um homem da família de Efraim chamado Jessé. Tinha oito filhos e um deles era David. Nesta altura Jessé já era bastante idoso. 
1SA.17.13	Os seus três filhos mais velhos, Eliabe, Abinadabe e Samá, tinham seguido o exército de Saul para combaterem os filisteus. 
1SA.17.14	Enquanto os três mais velhos permaneciam com o exército do rei, David, que era o mais novo, 
1SA.17.15	ia ter com Saul e voltava para Belém, a fim de cuidar do rebanho de seu pai.
1SA.17.16	Durante 40 dias, duas vezes por dia, de manhã e à tarde, o gigante filisteu pavoneava-se perante as forças israelitas.
1SA.17.17	Um dia, Jessé disse ao seu filho David: “Leva estes 22 litros de grão torrado mais estes dez bolos aos teus irmãos. 
1SA.17.18	Dá também esses queijos ao capitão e vê se estão a passar bem. Toma conta de algum recado que me queiram mandar.”
1SA.17.19	Saul e as suas forças militares estavam acampados no vale de Elá. 
1SA.17.20	David deixou as ovelhas entregues a outro pastor e partiu de manhã cedo levando o que o pai enviava aos filhos. Chegou à entrada do acampamento, quando o exército israelita se preparava para a batalha com gritos e apelos à luta. 
1SA.17.21	As forças inimigas encontravam-se frente a frente em disposição de combate. 
1SA.17.22	David entregou o seu fardo ao bagageiro e correu para as fileiras à procura dos irmãos. 
1SA.17.23	Enquanto conversava com eles, viu Golias avançar entre os pelotões filisteus e gritar o seu desafio às tropas de Israel. E David ouviu-o. 
1SA.17.24	Assim que o viram, recuaram aterrorizados.
1SA.17.25	“Viste aquele gigante?”, perguntavam os soldados. “Tem insultado o exército de Israel. O rei ofereceu já uma enorme recompensa a quem o matar: dar-lhe-á uma das suas filhas e toda a sua família ficará isenta de impostos!”
1SA.17.26	David informou-se, junto de alguns que ali estavam perto, sobre o que fariam àquele que matasse o filisteu e parasse com aqueles insultos a Israel. “Quem é este incircunciso filisteu que ousa desafiar os exércitos do Deus vivo?”, perguntava. 
1SA.17.27	E davam-lhe sempre a mesma resposta.
1SA.17.28	O irmão mais velho de David, Eliabe, quando ouviu David falar desta maneira, ficou muito zangado: “Afinal o que estás tu aqui a fazer? A quem deixaste aquelas poucas ovelhas lá no deserto? Sei bem como és atrevido e gabarola! Queres é ver a peleja!”
1SA.17.29	“Que foi que eu fiz agora? Fiz apenas uma pergunta!” 
1SA.17.30	E afastou-se para continuar a falar com outros, dizendo-lhe toda a gente a mesma coisa. 
1SA.17.31	As pessoas começaram a reparar nele e no que dizia e foram contar a Saul. Este mandou chamá-lo.
1SA.17.32	“Que ninguém se angustie por causa daquele gigante”, disse David. “Eu me encarregarei desse filisteu!”
1SA.17.33	“Como é que um rapaz como tu poderia fazer frente a um homem daqueles que é soldado desde a sua mocidade?”
1SA.17.34	David insistiu: “Quando estou a tomar conta das ovelhas do meu pai, se aparece um leão ou um urso para roubar um cordeiro do rebanho, 
1SA.17.35	corro atrás dele e tiro-lhe o cordeiro da boca. Se ele se volta contra mim, agarro-o pelas mandíbulas e despedaço-o até morrer. 
1SA.17.36	Fiz isto tanto com ursos como com leões; certamente que poderei fazer o mesmo em relação a esse incircunciso filisteu que teve a ousadia de desafiar os exércitos do Deus vivo! 
1SA.17.37	O 
1SA.17.37	Saul, por fim, consentiu: “Está bem, vai lá e que o 
1SA.17.38	Saul deu-lhe a sua própria armadura; uma couraça de bronze e uma cota de malha. 
1SA.17.39	David colocou aquilo tudo sobre si, cingiu a espada e deu dois ou três passos para ver como se sentia, porque era a primeira vez que usava um equipamento de combate. “Eu nem sequer me posso mexer! Nunca andei com coisas destas!” E tirou tudo.
1SA.17.40	Foi depois buscar à torrente, que por ali passava, cinco pequenos seixos e colocou-os no seu alforge; pegou no cajado e na funda e dirigiu-se na direção de Golias. 
1SA.17.41	Este veio também ao seu encontro, com o homem que lhe levava o escudo à sua frente, 
1SA.17.42	olhando com desprezo aquele rapaz de rosto corado e de aspeto gentil.
1SA.17.43	“Ouve lá, sou algum cão”, rugiu para David, “para vires contra mim com um pau?” E amaldiçoou David pelos nomes dos seus deuses. 
1SA.17.44	“Vem cá para que dê a tua carne a comer às aves e aos animais selvagens”, gritou Golias.
1SA.17.45	David, por sua vez, gritou-lhe como resposta: “Tu vens contra mim armado de lança e escudo, mas eu lutarei contigo em nome do 
1SA.17.46	Hoje o 
1SA.17.47	E todos os que aqui estão hão de ver que o 
1SA.17.48	Golias aproximou-se e David correu ao seu encontro. 
1SA.17.49	Tirando do alforge uma das pequenas pedras, pô-la na funda e feriu o filisteu na cabeça. O seixo cravou-se mesmo na fronte, de tal forma que o homem caiu com o rosto no chão. 
1SA.17.50	David conseguiu vencer o gigante filisteu com uma simples funda e uma pedra. 
1SA.17.51	Como não tinha espada, correu para Golias, tirou a dele da bainha e matou-o cortando-lhe a cabeça. Quando os filisteus viram aquilo, e que o seu campeão estava morto, desataram a fugir.
1SA.17.52	Os israelitas deram um grande grito de triunfo e foram atrás deles, perseguindo-os até Gate e até às portas de Ecrom. Os corpos dos mortos e dos feridos espalhavam-se por todo o caminho de Saaraim. 
1SA.17.53	As tropas israelitas regressaram e despojaram o acampamento abandonado pelos filisteus.
1SA.17.54	Mais tarde, David levou a cabeça de Golias para Jerusalém, mas guardou as armas de Golias na sua própria tenda.
1SA.17.55	Saul, quando viu David dirigir-se na direção de Golias, perguntou a Abner, o general do seu exército: “Abner, a que família pertence este rapaz?”
1SA.17.55	“Realmente não sei!”
1SA.17.56	“Então procura informar-te”, disse-lhe o rei.
1SA.17.57	Depois de David ter matado Golias, Abner trouxe-o junto de Saul com a cabeça do gigante ainda nas mãos.
1SA.17.58	“Fala-me lá do teu pai, meu rapaz”, pediu-lhe Saul.
1SA.17.58	David respondeu: “Chama-se Jessé. Vivemos em Belém.”
1SA.18.1	Depois de Saul ter conversado com David, este encontrou-se com Jónatas, o filho do rei. Imediatamente estabeleceu-se entre os dois uma grande amizade. Jónatas gostava tanto de David como de si próprio. 
1SA.18.2	Saul, naquele mesmo dia, tomou David para o seu serviço e não permitiu que voltasse para casa de seu pai. 
1SA.18.3	Jónatas fez com David uma aliança, porquanto tornara-se o seu melhor amigo. 
1SA.18.4	Como penhor dessa grande amizade deu-lhe a sua capa, a espada, o arco e o cinto que trazia. 
1SA.18.5	Tornou-se oficial do exército e todas as diretrizes que recebia executava-as inteligentemente. Essa nomeação foi aplaudida não só pelos que estavam ao serviço do rei como por toda a população.
1SA.18.6	Um dia, quando o exército israelita regressava vitorioso, depois de David ter matado Golias, muitas mulheres de todas as cidades de Israel vieram ao encontro do rei Saul para o aclamar, cantando e dançando, acompanhadas de adufes e de instrumentos de música, no meio de grande alegria.
1SA.18.7	No entanto, nos seus cantares diziam:
1SA.18.7	“Saul matou os seus milhares
1SA.18.7	e David os seus dez milhares!”
1SA.18.8	Saul indignou-se muito com isto: “O quê? Louvam a David por dez milhares e a mim só por milhares? Pouco falta para que façam dele rei!”, pensou consigo. 
1SA.18.9	A partir dessa altura, o rei Saul ficou sempre de pé atrás em relação a David.
1SA.18.10	No dia seguinte, o espírito atormentador veio sobre ele, da parte de Deus. Para o acalmar, David começou a tocar a harpa como das outras vezes que tal acontecia. Saul tinha ali ao seu alcance uma lança. 
1SA.18.11	Lançou-a repentinamente contra David com a intenção de o cravar contra a parede. Contudo, David desviou-se a tempo e conseguiu escapar-lhe. Isto aconteceu também noutra ocasião.
1SA.18.12	Saul temia-o por o 
1SA.18.13	Finalmente, Saul baniu-o da sua presença e demitiu-o do cargo de oficial do exército de 1000 homens e David liderou as tropas nas suas campanhas. 
1SA.18.14	David continuava a ser bem sucedido em tudo o que empreendia, porque o 
1SA.18.15	Perante tais factos, Saul receava-o cada vez mais. 
1SA.18.16	Todo o Israel e Judá amava a David, porque era ele que liderava as tropas.
1SA.18.17	Um dia, Saul disse a David: “Estou pronto a dar-te a minha filha mais velha, Merabe, por esposa. Mas primeiramente terás de provar que és um verdadeiro soldado, combatendo as guerras do 
1SA.18.18	“Quem sou eu para me tornar genro do rei!”, exclamou David. “A família do meu pai pouco vale!” 
1SA.18.19	Entretanto, quando chegou a altura de Merabe ser dada a David, Saul casou-a com Adriel, um homem de Meolate.
1SA.18.20	No entanto Mical, outra filha de Saul, amava muito a David e Saul ficou satisfeito ao saber disso. 
1SA.18.21	“Aqui está uma oportunidade para que seja morto pelos filisteus!”, pensou Saul. Contudo, ao próprio David disse: “Tens ainda ocasião de te tornares genro do rei; posso dar-te a minha filha mais nova.”
1SA.18.22	Saul deu instruções aos seus homens para que dissessem a David, confidencialmente, que o rei, no fundo, gostava mesmo muito dele; que todos, aliás, gostavam dele e achavam que deveria aceitar a proposta do rei de se tornar seu genro. 
1SA.18.23	Ele replicava-lhes: “Ficariam assim tão honrados se a filha do rei casasse com um homem tão pobre e de humilde condição como eu?”
1SA.18.24	Quando vieram contar isto a Saul, 
1SA.18.25	este disse-lhes: “Digam a David que o único dote de que preciso é de uma centena de filisteus mortos! Vingança sobre os meus inimigos é tudo o que eu pretendo.” No entanto, o que tinha em mente era que David fosse morto nesse combate.
