GEN.1.1	No princípio, Deus criou os céus e a terra.
1CH.9.6	Ao todo, voltaram 690 famílias da tribo de Judá.
1CH.9.7	Da tribo de Benjamim, alguns dos que voltaram foram: Salu, filho de Mesulão, filho de Hodavias, filho de Hassenua; 
1CH.9.8	Ibneias, filho de Jeroão; Elá, filho de Uzi, filho de Micri; e Mesulão, filho de Sefatias, filho de Reuel, filho de Ibnias.
1CH.9.9	Todos esses homens foram chefes de clãs e estão listados nos registros genealógicos. Ao todo, voltaram 956 famílias da tribo de Benjamim.
1CH.9.10	Dos sacerdotes, alguns dos que voltaram foram: Jedaías, Jeoiaribe, Jaquim, 
1CH.9.11	Azarias, filho de Hilquias, filho de Mesulão, filho de Zadoque, filho de Meraiote, filho de Aitube. Azarias era o principal encarregado da casa de Deus.
1CH.9.12	Outros sacerdotes que voltaram foram: Adaías, filho de Jeroão, filho de Pasur, filho de Malquias; e Masai, filho de Adiel, filho de Jazera, filho de Mesulão, filho de Mesilemite, filho de Imer.
1CH.9.13	Ao todo, voltaram 1.760 sacerdotes. Foram chefes de clãs e homens muito capazes. Eram responsáveis por servir na casa de Deus.
1CH.9.14	Dos levitas, os que voltaram foram: Semaías, filho de Hassube, filho de Azricão, filho de Hasabias, descendente de Merari; 
1CH.9.15	Baquebacar; Heres; Galal; Matanias, filho de Mica, filho de Zicri, filho de Asafe; 
1CH.9.16	Obadias, filho de Semaías, filho de Galal, filho de Jedutum; e Berequias, filho de Asa, filho de Elcana, que morava na região de Netofate.
1CH.9.17	Dos guardas das portas, os que voltaram foram: Salum, Acube, Talmom, Aimã e seus parentes. Salum era o chefe dos guardas. 
1CH.9.18	Antes dessa época, eram responsáveis pela Porta do Rei, do lado leste. Eram guardas das portas dos acampamentos dos levitas. 
1CH.9.19	Salum era filho de Coré, descendente de Abiasafe,
1CH.9.20	Naquele tempo, Fineias, filho de Eleazar, era o encarregado dos guardas das portas, e o S
1CH.9.21	Mais tarde, Zacarias, filho de Meselemias, foi o responsável por guardar a entrada.
1CH.9.22	Ao todo, havia 212 guardas das portas naquele tempo, e foram listados nos registros genealógicos de seus povoados. Os antepassados deles haviam sido nomeados por Davi e por Samuel, o vidente, porque eram homens de confiança. 
1CH.9.23	Esses guardas das portas e seus descendentes, conforme suas divisões, eram responsáveis por guardar a entrada da casa do S
1CH.9.24	Os guardas das portas ficavam nos quatro lados: leste, oeste, norte e sul. 
1CH.9.25	Seus parentes nos povoados vinham de tempo em tempo dividir essa responsabilidade com eles por períodos de sete dias.
1CH.9.26	Os quatro principais guardas das portas, todos levitas, eram oficiais de confiança, pois eram responsáveis pelas salas e pelos tesouros da casa de Deus. 
1CH.9.27	Passavam a noite ao redor da casa de Deus, pois era seu dever guardá-la e abrir suas portas todas as manhãs.
1CH.9.28	Alguns dos guardas das portas foram nomeados para cuidar dos diversos objetos usados no culto. Conferiam tudo que era retirado e devolvido, para que nada se perdesse. 
1CH.9.29	Outros eram responsáveis pela mobília, pelos utensílios do santuário e pelos suprimentos, como farinha da melhor qualidade, vinho, azeite, incenso e especiarias. 
1CH.9.30	Eram os sacerdotes, porém, que misturavam as especiarias. 
1CH.9.31	Matitias, levita e filho mais velho de Salum, o coraíta, era encarregado de assar os pães para as ofertas. 
1CH.9.32	E alguns membros do clã de Coate eram encarregados de preparar os pães colocados sobre a mesa todos os sábados.
1CH.9.33	Os músicos, todos chefes de famílias levitas, moravam no templo. Eram isentos de outras responsabilidades, pois realizavam seu serviço dia e noite. 
1CH.9.34	Todos esses homens moravam em Jerusalém. Eram chefes de famílias levitas, listados como líderes nos registros genealógicos.
1CH.9.35	Jeiel, pai de
1CH.9.36	e seu filho mais velho, Abdom. Os outros filhos de Jeiel foram: Zur, Quis, Baal, Ner, Nadabe, 
1CH.9.37	Gedor, Aiô, Zacarias e Miclote. 
1CH.9.38	Miclote gerou Simeão. Todos moravam com suas famílias, próximos uns dos outros, em Jerusalém.
1CH.9.39	Ner gerou Quis.
1CH.9.39	Quis gerou Saul.
1CH.9.39	Os filhos de Saul foram: Jônatas, Malquisua, Abinadabe e Isbosete.
1CH.9.40	Jônatas gerou Mefibosete.
1CH.9.40	Mefibosete gerou Mica.
1CH.9.41	Os filhos de Mica foram: Pitom, Meleque, Tareia e Acaz.
1CH.9.42	Acaz gerou Jadá.
1CH.9.42	Os filhos de Jadá foram: Alemete, Azmavete e Zinri.
1CH.9.42	Zinri gerou Moza.
1CH.9.43	Moza gerou Bineá.
1CH.9.43	O filho de Bineá foi Refaías.
1CH.9.43	O filho de Refaías foi Eleasá.
1CH.9.43	O filho de Eleasá foi Azel.
1CH.9.44	Estes foram os seis filhos de Azel: Azricão, Bocru, Ismael, Searias, Obadias e Hanã. Todos esses foram filhos de Azel.
1CH.10.1	Os filisteus atacaram Israel, e os israelitas fugiram deles. Muitos foram mortos nas encostas do monte Gilboa. 
1CH.10.2	Os filisteus cercaram Saul e seus filhos e mataram três deles: Jônatas, Abinadabe e Malquisua. 
1CH.10.3	O combate se tornou cada vez mais intenso em volta de Saul, e os arqueiros filisteus o alcançaram e o feriram.
1CH.10.4	Saul disse a seu escudeiro: “Pegue sua espada e mate-me antes que esses filisteus incircuncisos venham e me torturem”.
1CH.10.4	Mas o escudeiro teve medo e não quis matá-lo. Então Saul pegou sua própria espada e se lançou sobre ela. 
1CH.10.5	Quando viu que Saul estava morto, o escudeiro se lançou sobre sua espada e morreu. 
1CH.10.6	Saul e seus três filhos morreram juntos, e sua dinastia chegou ao fim.
1CH.10.7	Quando os israelitas no vale de Jezreel viram que o exército israelita havia fugido e que Saul e seus filhos estavam mortos, abandonaram suas cidades e fugiram. Então os filisteus vieram e ocuparam essas cidades.
1CH.10.8	No dia seguinte, quando os filisteus foram saquear os mortos, encontraram os corpos de Saul e seus três filhos no monte Gilboa. 
1CH.10.9	Removeram a armadura de Saul e cortaram sua cabeça. Então anunciaram o ocorrido diante de seus ídolos e ao povo de toda a terra da Filístia. 
1CH.10.10	Colocaram a armadura de Saul no templo de seus deuses e penduraram sua cabeça no templo de Dagom.
1CH.10.11	Quando os habitantes de Jabes-Gileade souberam o que os filisteus haviam feito a Saul, 
1CH.10.12	todos os seus guerreiros mais valentes foram e trouxeram os corpos de Saul e seus filhos de volta para Jabes. Enterraram os ossos debaixo de uma grande árvore em Jabes e jejuaram durante sete dias.
1CH.10.13	Saul morreu porque foi infiel ao S
1CH.10.14	em vez de pedir orientação ao S
1CH.11.1	Então todo o Israel se reuniu diante de Davi, em Hebrom. “Somos do mesmo povo e raça”,
1CH.11.2	“No passado, quando Saul era rei, era você que liderava o exército de Israel. E o S
1CH.11.3	Então, ali em Hebrom, Davi fez um acordo diante do S
1CH.11.4	Então Davi e todo o Israel foram a Jerusalém (isto é, Jebus), onde moravam os jebuseus, que viviam naquele lugar. 
1CH.11.5	Os jebuseus zombaram de Davi: “Você jamais entrará aqui!”, mas Davi tomou a fortaleza de Sião, que hoje é chamada de Cidade de Davi.
1CH.11.6	Davi tinha dito a seus soldados: “O primeiro que atacar os jebuseus se tornará o comandante de meus exércitos!”. Joabe, filho de Zeruia, foi o primeiro a atacar, e assim se tornou o comandante dos exércitos de Davi.
1CH.11.7	Davi foi morar na fortaleza, e ela passou a ser chamada de Cidade de Davi. 
1CH.11.8	Ampliou a cidade, desde o aterro
1CH.11.9	Davi foi se tornando cada vez mais poderoso, pois o S
1CH.11.10	Estes foram os líderes dos guerreiros valentes de Davi. Junto com todo o Israel, apoiaram firmemente o reinado de Davi, conforme o S
1CH.11.11	Este é o registro dos guerreiros mais valentes de Davi. O primeiro era Jasobeão, o hacmonita, líder dos Três, isto é, dos guerreiros mais valentes dentre os soldados de Davi.
1CH.11.12	O segundo era Eleazar, filho de Dodai,
1CH.11.13	Estava com Davi quando os filisteus se reuniram para a batalha em Pas-Damim e atacaram os israelitas numa plantação de cevada. O exército israelita fugiu, 
1CH.11.14	mas Eleazar e Davi
1CH.11.15	Certa vez, Davi estava na rocha junto à caverna de Adulão, e o exército filisteu estava acampado no vale de Refaim. Os Três — que faziam parte dos Trinta, um grupo de elite entre os valentes de Davi — desceram para encontrá-lo em Adulão. 
1CH.11.16	Nessa ocasião, Davi estava na fortaleza, e um destacamento filisteu havia ocupado a cidade de Belém.
1CH.11.17	Davi comentou: “Ah, como seria bom beber a água pura do poço que fica junto ao portão de Belém!”. 
1CH.11.18	Então os Três atravessaram as fileiras dos filisteus, tiraram água do poço junto ao portão de Belém e a trouxeram a Davi. Ele, porém, se recusou a bebê-la. Em vez disso, derramou-a no chão como oferta ao S
1CH.11.19	“Que Deus não permita que eu beba desta água!”, exclamou. “Ela é tão preciosa quanto o sangue destes homens
1CH.11.20	Abisai, irmão de Joabe, era o líder dos Trinta.
1CH.11.21	Abisai era o mais conhecido dos Trinta e era seu comandante, embora não fosse um dos Três.
1CH.11.22	Também havia Benaia, filho de Joiada, soldado valente
1CH.11.23	Uma vez, com apenas um cajado, matou um guerreiro egípcio de 2,25 metros
1CH.11.24	Feitos como esses tornaram Benaia tão famoso quanto os três guerreiros mais valentes. 
1CH.11.25	Foi mais honrado que qualquer outro membro dos Trinta, embora não fosse um dos Três. Davi o nomeou comandante de sua guarda pessoal.
1CH.11.26	Outros guerreiros valentes de Davi foram:
1CH.11.26	Asael, irmão de Joabe;
1CH.11.26	Elanã, filho de Dodô, de Belém;
1CH.11.27	Samá, de Harode;
1CH.11.27	Helez, de Pelom;
1CH.11.28	Ira, filho de Iques, de Tecoa;
1CH.11.28	Abiezer, de Anatote;
1CH.11.29	Sibecai, de Husate;
1CH.11.29	Zalmom,
1CH.11.30	Maarai, de Netofate;
1CH.11.30	Helede, filho de Baaná, de Netofate;
1CH.11.31	Itai, filho de Ribai, de Gibeá, na terra de Benjamim;
1CH.11.31	Benaia, de Piratom;
1CH.11.32	Hurai, de Naal-Gaás;
1CH.11.32	Abi-Albom,
1CH.11.33	Azmavete, de Baurim;
1CH.11.33	Eliaba, de Saalbom;
1CH.11.34	os filhos de Jasém,
1CH.11.34	Jônatas, filho de Sage, de Harar;
1CH.11.35	Aião, filho de Sarar,
1CH.11.35	Elifal, filho de Ur;
1CH.11.36	Héfer, de Maquerate;
1CH.11.36	Aías, de Pelom;
1CH.11.37	Hezro, do Carmelo;
1CH.11.37	Paarai,
1CH.11.38	Joel, irmão de Natã;
1CH.11.38	Mibar, filho de Hagri;
1CH.11.39	Zeleque, de Amom;
1CH.11.39	Naarai, de Beerote, escudeiro de Joabe, filho de Zeruia;
1CH.11.40	Ira, de Jatir;
1CH.11.40	Garebe, de Jatir;
1CH.11.41	Urias, o hitita;
1CH.11.41	Zabade, filho de Alai;
1CH.11.42	Adina, filho de Siza, líder rubenita que tinha consigo trinta homens;
1CH.11.43	Hanã, filho de Maaca;
1CH.11.43	Josafá, de Mitene;
1CH.11.44	Uzia, de Asterote;
1CH.11.44	Sama e Jeiel, filhos de Hotão, de Aroer;
1CH.11.45	Jediael, filho de Sinri;
1CH.11.45	Joá, de Tiz;
1CH.11.46	Eliel, de Maave;
1CH.11.46	Jeribai e Josavias, filhos de Elnaão;
1CH.11.46	Itma, de Moabe;
1CH.11.47	Eliel e Obede;
1CH.11.47	Jaasiel, de Zobá.
1CH.12.1	Estes foram os homens que se juntaram a Davi em Ziclague, quando ele estava escondido de Saul, filho de Quis. Estavam entre os guerreiros que lutaram ao lado de Davi na batalha. 
1CH.12.2	Todos eles eram arqueiros habilidosos, capazes de atirar flechas com o arco, ou pedras com a funda, tanto com a mão esquerda como com a direita. Eram todos parentes de Saul, da tribo de Benjamim. 
1CH.12.3	Seu chefe era Aiezer, filho de Semaá, de Gibeá; seu irmão Joás era o segundo no comando. Os outros guerreiros foram:
1CH.12.3	Jeziel e Pelete, filhos de Azmavete;
1CH.12.3	Beraca;
1CH.12.3	Jeú, de Anatote;
1CH.12.4	Ismaías, de Gibeom, guerreiro valente e líder entre os Trinta;
1CH.12.5	Eluzai, Jerimote, Bealias, Semarias e Sefatias, de Harufe;
1CH.12.6	Elcana, Issias, Azareel, Joezer e Jasobeão, todos coraítas;
1CH.12.7	Joela e Zebadias, filhos de Jeroão, de Gedor.
1CH.12.8	Alguns guerreiros valentes e treinados para o combate da tribo de Gade também se juntaram a Davi quando ele estava na fortaleza no deserto. Eram hábeis com o escudo e a lança, ferozes como leões e ágeis como gazelas nos montes.
1CH.12.9	Ézer era o chefe;
1CH.12.9	Obadias, o segundo;
1CH.12.9	Eliabe, o terceiro;
1CH.12.10	Mismana, o quarto;
1CH.12.10	Jeremias, o quinto;
1CH.12.11	Atai, o sexto;
1CH.12.11	Eliel, o sétimo;
1CH.12.12	Joanã, o oitavo;
1CH.12.12	Elzabade, o nono;
1CH.12.13	Jeremias, o décimo;
1CH.12.13	e Macbanai, o décimo primeiro.
1CH.12.14	Esses guerreiros de Gade eram comandantes do exército. O mais fraco deles era capaz de enfrentar cem soldados, e o mais forte, capaz de enfrentar mil. 
1CH.12.15	Esses foram os homens que atravessaram o Jordão durante a época de cheia do rio, no início do ano, e expulsaram todos que habitavam nos vales nas margens leste e oeste.
1CH.12.16	Outros de Benjamim e de Judá se juntaram a Davi na fortaleza. 
1CH.12.17	Davi foi ao encontro deles e lhes disse: “Se vieram em paz, para me ajudar, somos amigos. Mas, se vieram para me entregar a meus inimigos, embora eu seja inocente, que o Deus de seus antepassados veja isso e castigue vocês!”.
1CH.12.18	Então o Espírito veio sobre Amasai, chefe dos Trinta, e ele disse:
1CH.12.18	“Somos seus, Davi!
1CH.12.18	Estamos do seu lado, filho de Jessé!
1CH.12.18	Paz e prosperidade sejam com você
1CH.12.18	e com todos que o ajudam,
1CH.12.18	pois o seu Deus o ajuda!”.
1CH.12.18	Davi os recebeu e os nomeou oficiais de suas tropas.
1CH.12.19	Alguns homens de Manassés desertaram do exército israelita e se juntaram a Davi quando ele saiu com os filisteus para guerrear contra Saul. Os governantes filisteus, porém, não permitiram que Davi e seus homens fossem com eles. Depois de discutirem, mandaram-no embora, pois disseram: “Se Davi passar para o lado de Saul e voltar-se contra nós, isso custará nossa cabeça”.
1CH.12.20	Os homens de Manassés que se uniram a Davi quando ele voltava para Ziclague foram: Adna, Jozabade, Jediael, Micael, Jozabade, Eliú e Ziletai. Cada um deles comandava mil soldados da tribo de Manassés. 
1CH.12.21	Ajudaram Davi a perseguir bandos de saqueadores, pois eram guerreiros valentes que se tornaram comandantes de seu exército. 
1CH.12.22	A cada dia, mais homens se juntavam a Davi, até que ele passou a ter um grande exército, como o exército de Deus.
1CH.12.23	Estes são os números de guerreiros armados que se uniram a Davi em Hebrom. Todos queriam que Davi se tornasse rei no lugar de Saul, como o S
1CH.12.24	Da tribo de Judá, 6.800 guerreiros armados com escudos e com lanças.
1CH.12.25	Da tribo de Simeão, 7.100 guerreiros valentes preparados para a guerra.
1CH.12.26	Da tribo de Levi, 4.600 guerreiros, 
1CH.12.27	incluindo Joiada, chefe da família de Arão, com 3.700 homens sob seu comando, 
1CH.12.28	e Zadoque, jovem guerreiro valente, com 22 oficiais, membros de sua família.
1CH.12.29	Da tribo de Benjamim, parente de Saul, 3.000 guerreiros. Até então, a maioria dos homens de Benjamim tinha permanecido leal a Saul.
1CH.12.30	Da tribo de Efraim, 20.800 guerreiros valentes, cada um deles muito respeitado em seu próprio clã.
1CH.12.31	Da meia tribo de Manassés a oeste do Jordão, 18.000 foram indicados por nome para ajudarem Davi a se tornar rei.
1CH.12.32	Da tribo de Issacar, 200 chefes com seus parentes. Todos eles entendiam bem os acontecimentos daquele tempo e sabiam qual era o melhor caminho para Israel seguir.
1CH.12.33	Da tribo de Zebulom, 50.000 guerreiros treinados. Estavam bem armados e preparados para a batalha e eram inteiramente leais a Davi.
1CH.12.34	Da tribo de Naftali, 1.000 oficiais e 37.000 guerreiros armados com escudos e lanças.
1CH.12.35	Da tribo de Dã, 28.600 guerreiros, todos preparados para a batalha.
1CH.12.36	Da tribo de Aser, 40.000 guerreiros treinados, todos preparados para a batalha.
1CH.12.37	Do lado leste do rio Jordão, onde habitavam as tribos de Rúben e Gade e a meia tribo de Manassés, 120.000 soldados equipados com todos os tipos de armas.
1CH.12.38	Todos esses soldados vieram a Hebrom em ordem de batalha, com o único propósito de fazer Davi rei sobre todo o Israel. Na verdade, todo o Israel concordava que ele devia ser seu rei. 
1CH.12.39	Durante três dias, comeram e beberam com Davi, pois seus parentes haviam feito preparativos para recebê-los. 
1CH.12.40	Pessoas de lugares tão distantes como Issacar, Zebulom e Naftali trouxeram provisões sobre jumentos, camelos, mulas e bois. Trouxeram grandes quantidades de farinha, bolos de figo, bolos de passas,
1CH.13.1	Davi consultou todos os seus oficiais, incluindo os generais e capitães de seu exército.
1CH.13.2	Em seguida, dirigiu-se a toda a comunidade de Israel e disse: “Se vocês estiverem de acordo, e se for da vontade do S
1CH.13.3	É hora de trazermos de volta a arca de nosso Deus, pois descuidamos dela durante o reinado de Saul”.
1CH.13.4	Toda a comunidade concordou, pois o povo entendeu que era a coisa certa a fazer. 
1CH.13.5	Então Davi convocou todos os israelitas, desde o ribeiro Sior, no Egito, ao sul, até Lebo-Hamate, ao norte, para trazerem a arca de Deus, que estava em Quiriate-Jearim. 
1CH.13.6	Davi e todo o Israel foram a Baalá de Judá (também chamada de Quiriate-Jearim), a fim de buscar a arca de Deus, junto à qual era invocado o nome do S
1CH.13.7	Puseram a arca de Deus numa carroça nova e a levaram da casa de Abinadabe. Uzá e Aiô guiavam a carroça. 
1CH.13.8	Davi e todo o Israel se alegravam diante de Deus com todas as suas forças, entoando cânticos e tocando todo tipo de instrumentos musicais: liras, harpas, tamborins, címbalos e trombetas.
1CH.13.9	Quando chegaram à eira de Nacom,
1CH.13.10	A ira do S
1CH.13.11	Davi ficou indignado porque a ira do S
1CH.13.12	Davi teve medo do S
1CH.13.13	Assim, não transferiu a arca do S
1CH.13.14	A arca do S
1CH.14.1	Hirão, rei de Tiro, enviou a Davi mensageiros com madeira de cedro, pedreiros e carpinteiros, para que lhe construíssem um palácio. 
1CH.14.2	E Davi compreendeu que o S
1CH.14.3	Em Jerusalém, Davi tomou para si outras mulheres, que lhe deram mais filhos e filhas. 
1CH.14.4	Estes são os nomes dos filhos de Davi que nasceram em Jerusalém: Samua, Sobabe, Natã, Salomão, 
1CH.14.5	Ibar, Elisua, Elpalete, 
1CH.14.6	Nogá, Nefegue, Jafia, 
1CH.14.7	Elisama, Eliada
1CH.14.8	Quando os filisteus souberam que Davi tinha sido ungido rei de Israel, mobilizaram suas tropas para capturá-lo. Davi, porém, foi informado disso e saiu para enfrentá-los. 
1CH.14.9	Os filisteus chegaram e invadiram o vale de Refaim. 
1CH.14.10	Então Davi perguntou a Deus: “Devo sair e lutar contra os filisteus? Tu os entregarás em minhas mãos?”.
1CH.14.10	O S
1CH.14.11	Então Davi e seus soldados foram a Baal-Perazim e ali derrotaram os filisteus. Davi exclamou: “Por meu intermédio, Deus irrompeu no meio de meus inimigos como uma violenta inundação!”. Por isso, chamou aquele lugar de Baal-Perazim.
1CH.14.12	Os filisteus haviam deixado seus ídolos ali, e Davi ordenou que fossem queimados.
1CH.14.13	Pouco tempo depois, os filisteus voltaram a invadir o vale. 
1CH.14.14	Mais uma vez, Davi consultou a Deus. “Não os ataque pela frente”, respondeu Deus. “Em vez disso, dê a volta por trás deles e ataque-os perto dos álamos.
