GEN.1.1	No 
2SA.17.5	Disse, porém, Absalão: Chamai agora também a Husai, o arquita, e ouçamos também o que ele dirá. 
2SA.17.6	E, chegando Husai a Absalão, lhe falou Absalão, dizendo: Desta maneira falou Aitofel: Faremos 
2SA.17.7	Então, disse Husai a Absalão: O conselho que Aitofel esta vez aconselhou não é bom. 
2SA.17.8	Disse mais Husai: 
2SA.17.9	Eis que agora estará escondido nalguma cova, ou em qualquer outro lugar; e será que, caindo no princípio 
2SA.17.10	Então, até o homem valente, cujo coração é como o coração de leão, sem dúvida desmaiará; 
2SA.17.11	Eu, porém, aconselho que, com toda a pressa, se ajunte a ti todo o Israel, desde Dã 
2SA.17.12	Então, iremos a ele, em qualquer lugar que se achar, e facilmente viremos sobre ele, como o orvalho cai sobre a terra; e não ficará dele e de todos os homens que estão com ele nem 
2SA.17.13	E, se ele se retirar para 
2SA.17.14	Então, disse Absalão e todos os homens de Israel: Melhor 
2SA.17.15	E disse Husai 
2SA.17.16	Agora, pois, enviai apressadamente, e avisai a Davi, dizendo: Não passes esta noite nas campinas 
2SA.17.17	Estavam, pois, Jônatas 
2SA.17.18	Mas viu-os, todavia, um moço, e avisou a Absalão; porém ambos 
2SA.17.19	E tomou a mulher 
2SA.17.20	Chegando, pois, os servos de Absalão à mulher, àquela casa, disseram: Onde 
2SA.17.21	E sucedeu que, depois que partiram, saíram do poço, e foram, e anunciaram a Davi; e disseram a Davi: Levantai-vos, e 
2SA.17.22	Então, Davi e todo o povo que com ele 
2SA.17.23	Vendo, pois, Aitofel que se não tinha seguido o seu conselho, albardou o jumento e levantou-se, e foi para sua casa e para a 
2SA.17.24	E Davi 
2SA.17.25	E Absalão constituiu a Amasa em lugar de Joabe sobre o arraial: e 
2SA.17.26	Israel, pois, e Absalão acamparam na terra de Gileade.
2SA.17.27	E sucedeu que, chegando Davi a Maanaim, Sobi, 
2SA.17.28	tomaram camas, e bacias, e vasilhas de barro, e trigo, e cevada, e farinha, e 
2SA.17.29	e mel, e manteiga, e ovelhas, e queijos de vacas, 
2SA.18.1	E Davi contou o povo que tinha consigo e pôs sobre eles capitães de cem. 
2SA.18.2	E Davi enviou o povo, um terço debaixo da mão de Joabe, e outro terço debaixo da mão de Abisai, filho de Zeruia e irmão de Joabe, e outro terço debaixo da 
2SA.18.3	Porém o povo disse: 
2SA.18.4	Então, Davi lhes disse: O que bem 
2SA.18.5	E o rei deu ordem a Joabe, e a Abisai, e a Itai, dizendo: Brandamente 
2SA.18.6	Saiu, pois, o povo ao campo, a encontrar-se com Israel, e deu-se a batalha 
2SA.18.7	E ali foi ferido o povo de Israel, diante dos servos de Davi; e, naquele mesmo dia, houve ali 
2SA.18.8	Porque ali se estendeu a batalha sobre a face de toda aquela terra; e foram mais os do povo que consumiu o bosque do que os que a espada consumiu, naquele dia.
2SA.18.9	E Absalão se encontrou com os servos de Davi; e Absalão ia montado num mulo; e, entrando o mulo debaixo da espessura dos ramos de um grande carvalho, pegou-se-lhe a cabeça no carvalho, e ficou pendurado entre o céu e a terra; e o mulo, que 
2SA.18.10	O que vendo um homem, o fez saber a Joabe e disse: Eis que vi Absalão pendurado num carvalho. 
2SA.18.11	Então, disse Joabe ao homem que lho fizera saber: Pois que o viste, por que o não feriste 
2SA.18.12	Disse, porém, aquele homem a Joabe: Ainda que eu pudesse pesar nas minhas mãos mil 
2SA.18.13	Ainda que proferisse mentira com risco da minha vida, nem 
2SA.18.14	Então, disse Joabe: Não me demorarei assim contigo aqui. E tomou três dardos e traspassou com eles o coração de Absalão, 
2SA.18.15	E o cercaram dez jovens que levavam as armas de Joabe. E feriram a Absalão e o mataram. 
2SA.18.16	Então, tocou Joabe a buzina, e voltou o povo de perseguir a Israel, porque Joabe deteve o povo. 
2SA.18.17	E tomaram Absalão, e o lançaram no bosque, numa grande cova, e levantaram 
2SA.18.18	Ora, Absalão, quando 
2SA.18.19	Então, disse Aimaás, filho de Zadoque: Deixa-me correr, e anunciarei ao rei que já o 
2SA.18.20	Mas Joabe lhe disse: Tu não serás hoje o portador das novas, porém outro dia as levarás; mas hoje não darás a nova, porque é morto o filho do rei. 
2SA.18.21	E disse Joabe a um cuxita: Vai 
2SA.18.22	E prosseguiu Aimaás, filho de Zadoque, e disse a Joabe: Seja o que 
2SA.18.23	Seja o que 
2SA.18.24	E Davi estava assentado entre as duas portas; e a sentinela 
2SA.18.25	Gritou, pois, a sentinela e o disse ao rei: Se vem 
2SA.18.26	Então, viu a sentinela outro homem que corria, e a sentinela gritou ao porteiro, e disse: Eis que 
2SA.18.27	Disse mais a sentinela: Vejo o correr do primeiro, que parece 
2SA.18.28	Gritou, pois, Aimaás e disse ao rei: Paz. E inclinou-se ao rei com o rosto em terra e disse: Bendito 
2SA.18.29	Então, disse o rei: Vai bem com o jovem, com Absalão? E disse Aimaás: Vi um grande alvoroço, quando Joabe mandou o servo do rei, e a 
2SA.18.30	E disse o rei: Vira-te e põe-te aqui. E virou-se e parou. 
2SA.18.31	E eis que vinha o cuxita e disse: Anunciar-se-á ao rei, meu senhor, que hoje o 
2SA.18.32	Então, disse o rei ao cuxita: Vai bem com o jovem, com Absalão? E disse o cuxita: 
2SA.18.33	Então, o rei se perturbou, e subiu à sala que estava por cima da porta, e chorou; e, andando, dizia assim: Meu filho Absalão, meu filho, 
2SA.19.1	E disseram a Joabe: Eis que o rei 
2SA.19.2	Então, a vitória 
2SA.19.3	E, naquele 
2SA.19.4	Estava, pois, o rei com o 
2SA.19.5	Então, entrou Joabe ao rei, em casa, e disse: Hoje, envergonhaste a face de todos os teus servos, que livraram hoje a tua vida, e a vida de teus filhos, e de tuas filhas, e a vida de tuas mulheres, e a vida de tuas concubinas, 
2SA.19.6	amando tu aos que te aborrecem e aborrecendo aos que te amam; porque, hoje, dás a entender que nada 
2SA.19.7	Levanta-te, 
2SA.19.8	Então, o rei se levantou e se assentou à porta, e fizeram saber a todo o povo, dizendo: Eis que o rei está assentado à porta. 
2SA.19.9	E todo o povo, em todas as tribos de Israel, andava altercando entre si, dizendo: O rei nos tirou das mãos de nossos inimigos, e ele nos livrou das mãos dos filisteus; e agora fugiu da terra por 
2SA.19.10	E Absalão, a quem ungimos sobre nós, 
2SA.19.11	Então, o rei Davi enviou a Zadoque e a Abiatar, sacerdotes, dizendo: Falai aos anciãos de Judá, dizendo: Por que seríeis vós os últimos em tornar a trazer o rei para a sua casa? (Porque as palavras de todo o Israel chegaram ao rei, até à sua casa.) 
2SA.19.12	Vós sois meus irmãos, meus ossos 
2SA.19.13	E a Amasa direis: 
2SA.19.14	Assim, moveu o coração de todos os homens de Judá, como 
2SA.19.15	Então, o rei voltou e chegou até ao Jordão; e Judá veio a Gilgal, 
2SA.19.16	E apressou-se Simei, 
2SA.19.17	E com ele mil varões de Benjamim, como também Ziba, 
2SA.19.18	E, passando a barca, para fazer passar a casa do rei e para fazer o que bem 
2SA.19.19	E disse ao rei: 
2SA.19.20	Porque teu servo deveras confessa que eu pequei; porém eis que eu sou o primeiro 
2SA.19.21	Então, respondeu Abisai, filho de Zeruia, e disse: Não morreria, pois, Simei por isso, havendo amaldiçoado ao 
2SA.19.22	Porém Davi disse: 
2SA.19.23	E disse o rei a Simei: 
2SA.19.24	Também Mefibosete, 
2SA.19.25	E sucedeu que, vindo ele a Jerusalém a encontrar-se com o rei, disse-lhe o rei: 
2SA.19.26	E disse ele: Ó rei, meu senhor, o meu servo me enganou; porque o teu servo dizia: Albardarei um jumento, e nele montarei, e irei com o rei; pois o teu servo é coxo. 
2SA.19.27	De mais disso, falsamente acusou 
2SA.19.28	Porque toda a casa de meu pai não era senão de homens 
2SA.19.29	E disse-lhe o rei: Por que ainda falas mais 
2SA.19.30	E disse Mefibosete ao rei: Tome ele também tudo, pois já veio o rei, meu senhor, em paz à sua casa.
2SA.19.31	Também Barzilai, 
2SA.19.32	E era Barzilai mui velho, da idade de oitenta anos; 
2SA.19.33	E disse o rei a Barzilai: Passa tu comigo, e sustentar-te-ei comigo em Jerusalém. 
2SA.19.34	Porém Barzilai disse ao rei: Quantos serão os dias dos anos da minha vida, para que suba com o rei a Jerusalém? 
2SA.19.35	Da idade de oitenta anos 
2SA.19.36	Com o rei passará teu servo ainda um pouco mais além do Jordão; e por que me recompensará o rei 
2SA.19.37	Deixa voltar o teu servo, e morrerei na minha cidade junto à sepultura de meu pai e de minha mãe; mas eis aí 
2SA.19.38	Então, disse o rei: Quimã passará comigo, e eu lhe farei como bem 
2SA.19.39	Havendo, pois, todo o povo passado o Jordão, e, passando também o rei, beijou o rei a Barzilai 
2SA.19.40	E 
2SA.19.41	E eis que todos os homens de Israel vieram ao rei e disseram ao rei: Por que te furtaram nossos irmãos, os homens de Judá, 
2SA.19.42	Então, responderam todos os homens de Judá aos homens de Israel: Porquanto o rei é 
2SA.19.43	E responderam os homens de Israel aos homens de Judá e disseram: Dez partes temos no rei e até em Davi mais temos nós do que vós; 
2SA.20.1	Então, se achou ali, por acaso, um homem de Belial, cujo nome era Seba, filho de Bicri, homem de Benjamim, o qual tocou a buzina e disse: 
2SA.20.2	Então, todos os homens de Israel deixaram de seguir Davi e seguiram Seba, filho de Bicri; porém os homens de Judá se uniram ao seu rei, desde o Jordão até Jerusalém.
2SA.20.3	Vindo, pois, Davi para sua casa, a Jerusalém, tomou o rei as dez mulheres, 
2SA.20.4	Disse mais o rei a Amasa: 
2SA.20.5	E foi Amasa para convocar a Judá; porém demorou-se além do tempo que lhe tinha designado. 
2SA.20.6	Então, disse Davi a Abisai: Mais mal agora nos fará Seba, o filho de Bicri, 
2SA.20.7	Então, saíram atrás dele os homens de Joabe, e os quereteus, 
2SA.20.8	Chegando eles, 
2SA.20.9	E disse Joabe a Amasa: Vai contigo bem, meu irmão? E Joabe, com a mão direita, pegou 
2SA.20.10	E Amasa não se resguardou da espada que 
2SA.20.11	Mas um dentre os moços de Joabe parou junto a ele e disse: Quem há que bem queira a Joabe e quem seja por Davi, siga a Joabe. 
2SA.20.12	E Amasa estava envolto no seu sangue no meio do caminho; e, vendo aquele homem que todo o povo parava, desviou a Amasa do caminho para o campo e lançou sobre ele um manto; porque via que todo aquele que chegava a ele parava. 
2SA.20.13	E, como estava apartado do caminho, todos os homens seguiram a Joabe, para perseguirem a Seba, filho de Bicri.
2SA.20.14	E passou por todas as tribos de Israel até 
2SA.20.15	E vieram, e o cercaram em Abel-Bete-Maaca, e levantaram 
2SA.20.16	Então, uma mulher sábia gritou de dentro da cidade: Ouvi, ouvi, peço-
2SA.20.17	Chegou-se a ela, e disse a mulher: Tu és Joabe? E disse ele: Eu 
2SA.20.18	Então, falou ela, dizendo: Antigamente, costumava-se falar, dizendo: Certamente, pediram conselho a Abel; e assim o cumpriam. 
2SA.20.19	Eu sou 
2SA.20.20	Então, respondeu Joabe e disse: Longe, longe de mim que eu tal faça, que eu devore ou arruíne! 
2SA.20.21	A coisa não é assim; porém um 
2SA.20.22	E a mulher, na sua 
2SA.20.23	E Joabe 
2SA.20.24	e Adorão, sobre 
2SA.20.25	e Seva, o escrivão; e Zadoque 
2SA.20.26	e também Ira, 
2SA.21.1	E houve, em dias de Davi, uma fome de três anos, de ano em ano; e Davi consultou ao 
2SA.21.2	Então, chamou o rei os gibeonitas e lhes falou (ora os gibeonitas não 
2SA.21.3	Disse, pois, Davi aos gibeonitas: Que 
2SA.21.4	Então, os gibeonitas lhe disseram: Não 
2SA.21.5	E disseram ao rei: Quanto ao homem que nos destruiu e procurou 
2SA.21.6	de seus filhos se nos deem sete homens, para que os enforquemos ao 
2SA.21.7	Porém o rei poupou a Mefibosete, filho de Jônatas, filho de Saul, por 
2SA.21.8	Porém tomou o rei os dois filhos de 
2SA.21.9	E os entregou na mão dos gibeonitas, os quais os enforcaram no monte, perante o 
2SA.21.10	Então, Rispa, 
2SA.21.11	E foi dito a Davi o que fizera Rispa, filha de Aiá, concubina de Saul. 
2SA.21.12	Então, foi Davi e tomou os ossos de Saul, e os ossos de Jônatas, seu filho, dos moradores de 
2SA.21.13	E fez subir dali os ossos de Saul e os ossos de Jônatas, seu filho; e ajuntaram 
2SA.21.14	Enterraram os ossos de Saul e de Jônatas, seu filho, na terra de Benjamim, 
2SA.21.15	Tiveram mais os filisteus uma peleja contra Israel; e desceu Davi, e com ele os seus servos, e 
2SA.21.16	E Isbi-Benobe, que 
2SA.21.17	Porém Abisai, filho de Zeruia, o socorreu, e feriu o filisteu, e o matou; então, os homens de Davi lhe juraram, dizendo: Nunca mais 
2SA.21.18	E aconteceu, 
2SA.21.19	Houve mais outra peleja contra os filisteus em Gobe; e Elanã, filho de Jaaré-Oregim, o belemita, 
2SA.21.20	Houve ainda também 
2SA.21.21	E injuriava a Israel; porém Jônatas, filho de 
2SA.21.22	Estes 
2SA.22.1	E falou 
2SA.22.2	Disse, pois: O 
2SA.22.3	Deus 
2SA.22.4	O 
2SA.22.5	Porque me cercaram as ondas de morte, as torrentes de Belial me assombraram. 
2SA.22.6	Cordas 
2SA.22.7	Estando 
2SA.22.8	Então, se abalou e tremeu a 
2SA.22.9	Subiu 
2SA.22.10	E abaixou 
2SA.22.11	E subiu um querubim, e voou; e foi visto sobre as asas do vento. 
2SA.22.12	E por tendas pôs 
2SA.22.13	Pelo resplendor da sua presença, brasas de fogo se 
2SA.22.14	Trovejou desde os céus o 
2SA.22.15	E disparou 
2SA.22.16	E apareceram as profundezas do mar, os fundamentos do mundo se descobriram, pela repreensão 
2SA.22.17	Desde o alto enviou 
2SA.22.18	Livrou-me 
2SA.22.19	Encontraram-me no dia da minha calamidade; porém o 
2SA.22.20	E 
2SA.22.21	Recompensou-me o 
2SA.22.22	Porque guardei 
2SA.22.23	Porque todos os seus 
2SA.22.24	Porém fui 
2SA.22.25	E me retribuiu 
2SA.22.26	Com o benigno te mostras benigno, com 
2SA.22.27	Com o puro te mostras puro, mas com o perverso te mostras avesso. 
2SA.22.28	E o povo aflito livras, mas teus 
2SA.22.29	Porque tu, 
2SA.22.30	Porque contigo passo pelo meio de um esquadrão, pelo meu Deus salto um muro. 
2SA.22.31	O caminho 
2SA.22.32	Porque, quem 
2SA.22.33	Deus é a minha 
2SA.22.34	Faz ele os meus 
2SA.22.35	Instrui as minhas mãos para a peleja, de maneira que um arco de cobre se quebra pelos meus braços. 
2SA.22.36	Também me deste o escudo da tua salvação e, pela tua brandura, me vieste a engrandecer. 
2SA.22.37	Alargaste 
2SA.22.38	Persegui os meus inimigos, e os derrotei, e nunca me tornei até que os consumisse. 
2SA.22.39	E os consumi e os atravessei, de modo que nunca mais se levantaram, mas caíram debaixo 
2SA.22.40	Porque me cingiste 
2SA.22.41	E deste-me o pescoço 
2SA.22.42	Olharam, porém, não 
2SA.22.43	Então, os moí 
2SA.22.44	Também me livraste 
2SA.22.45	Os filhos 
2SA.22.46	Os filhos de estranhos descaíram; e, cingindo-se, 
2SA.22.47	Vive o 
2SA.22.48	o Deus que me dá inteira vingança e sujeita os povos debaixo de mim, 
2SA.22.49	e o que me tira dentre os meus inimigos; e tu me exaltas sobre os que contra mim se levantam; do homem violento me livras. 
2SA.22.50	Por isso, ó 
2SA.22.51	Ele 
2SA.23.1	E estas 
2SA.23.2	O 
2SA.23.3	Disse o Deus de Israel, 
2SA.23.4	E 
2SA.23.5	Ainda que a minha casa não 
2SA.23.6	Porém os 
2SA.23.7	Mas qualquer que os tocar se armará de ferro e da haste de 
2SA.23.8	Estes 
2SA.23.9	E, depois dele, Eleazar, 
2SA.23.10	este se levantou e feriu os filisteus, até lhe cansar a mão e ficar a mão pegada à espada; e, naquele dia, o 
2SA.23.11	E, depois dele, 
2SA.23.12	Este, pois, se pôs no meio daquele pedaço 
2SA.23.13	Também três dos trinta cabeças desceram 
2SA.23.14	Davi 
2SA.23.15	E teve Davi desejo e disse: Quem me dera beber da água da cisterna de Belém que 
2SA.23.16	Então, 
2SA.23.17	E disse: Guarda-me, ó 
2SA.23.18	Também Abisai, irmão de Joabe, filho de Zeruia, 
2SA.23.19	 este não era o mais nobre dentre estes três? Pois era o primeiro deles; porém aos 
2SA.23.20	Também Benaia, filho de Joiada, 
2SA.23.21	Também este feriu um 
2SA.23.22	Estas 
2SA.23.23	Dentre os trinta, ele era o mais nobre, porém aos três 
2SA.23.24	Asael, 
2SA.23.25	Sama, 
2SA.23.26	Heles, paltita; Ira, filho de Iques, tecoíta; 
2SA.23.27	Abiezer, anatotita; Mebunai, husatita; 
2SA.23.28	Zalmom, aoíta; Maarai, netofatita; 
2SA.23.29	Helebe, filho de Baaná, netofatita; Itai, filho de Ribai, de Gibeá, dos filhos de Benjamim; 
2SA.23.30	Benaia, piratonita; Hidai, do ribeiro de 
2SA.23.31	Abi-Albom, arbatita; Azmavete, barumita; 
2SA.23.32	Eliaba, saalbonita; os filhos de Jasém; 
2SA.23.33	Sama, hararita; Aião, filho de Sarar, ararita; 
2SA.23.34	Elifelete, filho de Aasbai, filho de um maacatita; Eliã, filho de Aitofel, gilonita; 
2SA.23.35	Hezrai, carmelita; Paarai, arbita; 
2SA.23.36	Igal, filho de Natã, de Zobá; Bani, gadita; 
2SA.23.37	Zeleque, amonita; Naarai, beerotita, o que trazia as armas de Joabe, filho de Zeruia; 
2SA.23.38	Ira, 
2SA.23.39	Urias, heteu; trinta e sete por todos.
2SA.24.1	E a ira do 
2SA.24.2	Disse, pois, o rei a Joabe, chefe do exército, o qual 
2SA.24.3	Então, disse Joabe ao rei: Ora, multiplique o 
2SA.24.4	Porém a palavra do rei prevaleceu contra Joabe e contra os chefes do exército. Joabe, pois, saiu com os chefes do exército diante da face do rei, a numerar o povo de Israel. 
2SA.24.5	E passaram o Jordão e puseram-se em campo junto a 
2SA.24.6	E vieram a Gileade e à terra baixa de Cades; 
2SA.24.7	E vieram à fortaleza de Tiro, e a todas as cidades dos heveus e dos cananeus, e saíram para a banda do sul de Judá, a Berseba. 
2SA.24.8	Assim, rodearam por toda a terra e, ao cabo de nove meses e vinte dias, voltaram a Jerusalém. 
2SA.24.9	E Joabe deu ao rei a soma do número do povo contado: 
2SA.24.10	E o coração doeu a 
2SA.24.11	Levantando-se, pois, Davi pela manhã, veio a palavra do 
2SA.24.12	Vai e dize a Davi: Assim diz o 
2SA.24.13	Veio, pois, Gade a Davi e fez-lho saber; e disse-lhe: 
2SA.24.14	Então, disse Davi a Gade: Estou em grande angústia; porém caiamos nas mãos do 
2SA.24.15	Então, enviou 
2SA.24.16	Estendendo, pois, 
2SA.24.17	E, vendo Davi ao Anjo que feria o povo, falou ao 
2SA.24.18	E Gade veio, naquele mesmo dia, a Davi e disse-lhe: Sobe, levanta ao 
2SA.24.19	Davi subiu conforme a palavra de Gade, como o 
2SA.24.20	E olhou Araúna e viu que vinham para ele o rei e os seus servos; saiu, pois, Araúna, e inclinou-se diante do rei com o rosto em terra. 
2SA.24.21	E disse Araúna: Por que vem o rei, meu senhor, ao seu servo? E disse Davi: Para 
2SA.24.22	Então, disse Araúna a Davi: Tome e ofereça o rei, meu senhor, o que bem 
2SA.24.23	Tudo isso deu Araúna ao rei; disse mais Araúna ao rei: O 
2SA.24.24	Porém o rei disse a Araúna: Não, porém por certo preço to comprarei, porque não oferecerei ao 
2SA.24.25	E edificou ali Davi ao 
1KI.1.1	Sendo, pois, o rei Davi já velho 
