GEN.1.1	No princípio, criou Deus os céus e a terra. 
DEU.19.9	desde que guardes todos estes mandamentos que hoje te ordeno, para cumpri-los, amando o 
DEU.19.10	para que o sangue inocente se não derrame no meio da tua terra que o 
DEU.19.11	Mas, havendo alguém que aborrece a seu próximo, e lhe arma ciladas, e se levanta contra ele, e o fere de golpe mortal, e se acolhe em uma dessas cidades, 
DEU.19.12	os anciãos da sua cidade enviarão a tirá-lo dali e a entregá-lo na mão do vingador do sangue, para que morra. 
DEU.19.13	Não o olharás com piedade; antes, exterminarás de Israel a culpa do sangue inocente, para que te vá bem.
DEU.19.14	Não mudes
DEU.19.15	Uma só testemunha não se levantará contra alguém por qualquer iniquidade ou por qualquer pecado, seja qual for que cometer; pelo depoimento de duas ou três testemunhas,
DEU.19.16	Quando se levantar testemunha falsa contra alguém, para o acusar de algum transvio, 
DEU.19.17	então, os dois homens que tiverem a demanda se apresentarão perante o 
DEU.19.18	Os juízes indagarão bem; se a testemunha for falsa e tiver testemunhado falsamente contra seu irmão, 
DEU.19.19	far-lhe-eis como cuidou fazer a seu irmão; e, assim, exterminarás o mal do meio de ti; 
DEU.19.20	para que os que ficarem o ouçam, e temam, e nunca mais tornem a fazer semelhante mal no meio de ti. 
DEU.19.21	Não o olharás com piedade: vida por vida, olho por olho,
DEU.20.1	Quando saíres à peleja contra os teus inimigos e vires cavalos, e carros, e povo maior em número do que tu, não os temerás; pois o 
DEU.20.2	Quando vos achegardes à peleja, o sacerdote se adiantará, e falará ao povo, 
DEU.20.3	e dir-lhe-á: Ouvi, ó Israel, hoje, vos achegais à peleja contra os vossos inimigos; que não desfaleça o vosso coração; não tenhais medo, não tremais, nem vos aterrorizeis diante deles, 
DEU.20.4	pois o 
DEU.20.5	Os oficiais falarão ao povo, dizendo: Qual o homem que edificou casa nova e ainda não a consagrou? Vá, torne-se para casa, para que não morra na peleja, e outrem a consagre. 
DEU.20.6	Qual o homem que plantou uma vinha e ainda não a desfrutou? Vá, torne-se para casa, para que não morra na peleja, e outrem a desfrute. 
DEU.20.7	Qual o homem que está desposado com alguma mulher e ainda não a recebeu? Vá, torne-se para casa, para que não morra na peleja, e outro homem a receba. 
DEU.20.8	E continuarão os oficiais a falar ao povo, dizendo: Qual o homem medroso e de coração tímido? Vá, torne-se para casa, para que o coração de seus irmãos se não derreta como o seu coração. 
DEU.20.9	Quando os oficiais tiverem falado ao povo, designarão os capitães dos exércitos para a dianteira do povo.
DEU.20.10	Quando te aproximares de alguma cidade para pelejar contra ela, oferecer-lhe-ás a paz. 
DEU.20.11	Se a sua resposta é de paz, e te abrir as portas, todo o povo que nela se achar será sujeito a trabalhos forçados e te servirá. 
DEU.20.12	Porém, se ela não fizer paz contigo, mas te fizer guerra, então, a sitiarás. 
DEU.20.13	E o 
DEU.20.14	mas as mulheres, e as crianças, e os animais, e tudo o que houver na cidade, todo o seu despojo, tomarás para ti; e desfrutarás o despojo dos inimigos que o 
DEU.20.15	Assim farás a todas as cidades que estiverem mui longe de ti, que não forem das cidades destes povos. 
DEU.20.16	Porém, das cidades destas nações que o 
DEU.20.17	Antes, como te ordenou o 
DEU.20.18	para que não vos ensinem a fazer segundo todas as suas abominações, que fizeram a seus deuses, pois pecaríeis contra o 
DEU.20.19	Quando sitiares uma cidade por muito tempo, pelejando contra ela para a tomar, não destruirás o seu arvoredo, metendo nele o machado, porque dele comerás; pelo que não o cortarás, pois será a árvore do campo algum homem, para que fosse sitiada por ti? 
DEU.20.20	Mas as árvores cujos frutos souberes não se comem, destruí-las-ás, cortando-as; e, contra a cidade que guerrear contra ti, edificarás baluartes, até que seja derribada.
DEU.21.1	Quando na terra que te der o 
DEU.21.2	sairão os teus anciãos e os teus juízes e medirão a distância até às cidades que estiverem em redor do morto. 
DEU.21.3	Os anciãos da cidade mais próxima do morto tomarão uma novilha da manada, que não tenha trabalhado, nem puxado com o jugo, 
DEU.21.4	e a trarão a um vale de águas correntes, que não foi lavrado, nem semeado; e ali, naquele vale, desnucarão a novilha. 
DEU.21.5	Chegar-se-ão os sacerdotes, filhos de Levi, porque o 
DEU.21.6	Todos os anciãos desta cidade, mais próximos do morto, lavarão as mãos sobre a novilha desnucada no vale 
DEU.21.7	e dirão: As nossas mãos não derramaram este sangue, e os nossos olhos o não viram derramar-se. 
DEU.21.8	Sê propício ao teu povo de Israel, que tu, ó 
DEU.21.9	Assim, eliminarás a culpa do sangue inocente do meio de ti, pois farás o que é reto aos olhos do 
DEU.21.10	Quando saíres à peleja contra os teus inimigos, e o 
DEU.21.11	e vires entre eles uma mulher formosa, e te afeiçoares a ela, e a quiseres tomar por mulher, 
DEU.21.12	então, a levarás para casa, e ela rapará a cabeça, e cortará as unhas, 
DEU.21.13	e despirá o vestido do seu cativeiro, e ficará na tua casa, e chorará a seu pai e a sua mãe durante um mês. Depois disto, a tomarás; tu serás seu marido, e ela, tua mulher. 
DEU.21.14	E, se não te agradares dela, deixá-la-ás ir à sua própria vontade; porém, de nenhuma sorte, a venderás por dinheiro, nem a tratarás mal, pois a tens humilhado.
DEU.21.15	Se um homem tiver duas mulheres, uma a quem ama e outra a quem aborrece, e uma e outra lhe derem filhos, e o primogênito for da aborrecida, 
DEU.21.16	no dia em que fizer herdar a seus filhos aquilo que possuir, não poderá dar a primogenitura ao filho da amada, preferindo-o ao filho da aborrecida, que é o primogênito. 
DEU.21.17	Mas ao filho da aborrecida reconhecerá por primogênito, dando-lhe dobrada porção de tudo quanto possuir, porquanto aquele é o primogênito do seu vigor; o direito da primogenitura é dele.
DEU.21.18	Se alguém tiver um filho contumaz e rebelde, que não obedece à voz de seu pai e à de sua mãe e, ainda castigado, não lhes dá ouvidos, 
DEU.21.19	seu pai e sua mãe o pegarão, e o levarão aos anciãos da cidade, à sua porta, 
DEU.21.20	e lhes dirão: Este nosso filho é rebelde e contumaz, não dá ouvidos à nossa voz, é dissoluto e beberrão. 
DEU.21.21	Então, todos os homens da sua cidade o apedrejarão até que morra; assim, eliminarás o mal do meio de ti; todo o Israel ouvirá e temerá.
DEU.21.22	Se alguém houver pecado, passível da pena de morte, e tiver sido morto, e o pendurares num madeiro, 
DEU.21.23	o seu cadáver não permanecerá no madeiro durante a noite, mas, certamente, o enterrarás no mesmo dia; porquanto o que for pendurado no madeiro é maldito
DEU.22.1	Vendo extraviado o boi ou a ovelha de teu irmão, não te furtarás a eles; restituí-los-ás, sem falta, a teu irmão. 
DEU.22.2	Se teu irmão não for teu vizinho ou tu o não conheceres, recolhê-los-ás na tua casa, para que fiquem contigo até que teu irmão os busque, e tu lhos restituas. 
DEU.22.3	Assim também farás com o seu jumento e assim farás com as suas vestes; o mesmo farás com toda coisa que se perder de teu irmão, e tu achares; não te poderás furtar a ela. 
DEU.22.4	O jumento que é de teu irmão ou o seu boi não verás caído no caminho e a eles te furtarás; sem falta o ajudarás a levantá-lo.
DEU.22.5	A mulher não usará roupa de homem, nem o homem, veste peculiar à mulher; porque qualquer que faz tais coisas é abominável ao 
DEU.22.6	Se de caminho encontrares algum ninho de ave, nalguma árvore ou no chão, com passarinhos, ou ovos, e a mãe sobre os passarinhos ou sobre os ovos, não tomarás a mãe com os filhotes; 
DEU.22.7	deixarás ir, livremente, a mãe e os filhotes tomarás para ti, para que te vá bem, e prolongues os teus dias.
DEU.22.8	Quando edificares uma casa nova, far-lhe-ás, no terraço, um parapeito, para que nela não ponhas culpa de sangue, se alguém de algum modo cair dela.
DEU.22.9	Não semearás a tua vinha com duas espécies de semente, para que não degenere o fruto da semente que semeaste e a messe da vinha.
DEU.22.10	Não lavrarás com junta de boi e jumento.
DEU.22.11	Não te vestirás de estofos de lã e linho juntamente.
DEU.22.12	Farás
DEU.22.13	Se um homem casar com uma mulher, e, depois de coabitar com ela, a aborrecer, 
DEU.22.14	e lhe atribuir atos vergonhosos, e contra ela divulgar má fama, dizendo: Casei com esta mulher e me cheguei a ela, porém não a achei virgem, 
DEU.22.15	então, o pai da moça e sua mãe tomarão as provas da virgindade da moça e as levarão aos anciãos da cidade, à porta. 
DEU.22.16	O pai da moça dirá aos anciãos: Dei minha filha por mulher a este homem; porém ele a aborreceu; 
DEU.22.17	e eis que lhe atribuiu atos vergonhosos, dizendo: Não achei virgem a tua filha; todavia, eis aqui as provas da virgindade de minha filha. E estenderão a roupa dela diante dos anciãos da cidade, 
DEU.22.18	os quais tomarão o homem, e o açoitarão, 
DEU.22.19	e o condenarão a cem siclos de prata, e o darão ao pai da moça, porquanto divulgou má fama sobre uma virgem de Israel. Ela ficará sendo sua mulher, e ele não poderá mandá-la embora durante a sua vida. 
DEU.22.20	Porém, se isto for verdade, que se não achou na moça a virgindade, 
DEU.22.21	então, a levarão à porta da casa de seu pai, e os homens de sua cidade a apedrejarão até que morra, pois fez loucura em Israel, prostituindo-se na casa de seu pai; assim, eliminarás o mal do meio de ti.
DEU.22.22	Se um homem for achado deitado com uma mulher que tem marido, então, ambos morrerão, o homem que se deitou com a mulher e a mulher; assim, eliminarás o mal de Israel.
DEU.22.23	Se houver moça virgem, desposada, e um homem a achar na cidade e se deitar com ela, 
DEU.22.24	então, trareis ambos à porta daquela cidade e os apedrejareis até que morram; a moça, porque não gritou na cidade, e o homem, porque humilhou a mulher do seu próximo; assim, eliminarás o mal do meio de ti.
DEU.22.25	Porém, se algum homem no campo achar moça desposada, e a forçar, e se deitar com ela, então, morrerá só o homem que se deitou com ela; 
DEU.22.26	à moça não farás nada; ela não tem culpa de morte, porque, como o homem que se levanta contra o seu próximo e lhe tira a vida, assim também é este caso. 
DEU.22.27	Pois a achou no campo; a moça desposada gritou, e não houve quem a livrasse.
DEU.22.28	Se um homem achar moça virgem, que não está desposada, e a pegar, e se deitar com ela, e forem apanhados, 
DEU.22.29	então, o homem que se deitou com ela dará ao pai da moça cinquenta siclos de prata; e, uma vez que a humilhou, lhe será por mulher; não poderá mandá-la embora durante a sua vida.
DEU.22.30	Nenhum homem tomará sua madrasta
DEU.23.1	Aquele a quem forem trilhados os testículos ou cortado o membro viril não entrará na assembleia do 
DEU.23.2	Nenhum bastardo entrará na assembleia do 
DEU.23.3	Nenhum amonita ou moabita entrará na assembleia do 
DEU.23.4	Porquanto não foram ao vosso encontro com pão e água, no caminho, quando saíeis do Egito; e porque alugaram contra ti Balaão,
DEU.23.5	Porém o 
DEU.23.6	Não lhes procurarás nem paz nem bem em todos os teus dias, para sempre.
DEU.23.7	Não aborrecerás o edomita, pois é teu irmão; nem aborrecerás o egípcio, pois estrangeiro foste na sua terra. 
DEU.23.8	Os filhos que lhes nascerem na terceira geração, cada um deles entrará na assembleia do 
DEU.23.9	Quando sair o exército contra os teus inimigos, então, te guardarás de toda coisa má.
DEU.23.10	Se houver entre vós alguém que, por motivo de polução noturna, não esteja limpo, sairá do acampamento; não permanecerá nele. 
DEU.23.11	Porém, em declinando a tarde, lavar-se-á em água; e, posto o sol, entrará para o meio do acampamento.
DEU.23.12	Também haverá um lugar fora do acampamento, para onde irás. 
DEU.23.13	Dentre as tuas armas terás um porrete; e, quando te abaixares fora, cavarás com ele e, volvendo-te, cobrirás o que defecaste. 
DEU.23.14	Porquanto o 
DEU.23.15	Não entregarás ao seu senhor o escravo que, tendo fugido dele, se acolher a ti. 
DEU.23.16	Contigo ficará, no meio de ti, no lugar que escolher, em alguma de tuas cidades onde lhe agradar; não o oprimirás.
DEU.23.17	Das filhas de Israel não haverá quem se prostitua no serviço do templo, nem dos filhos de Israel haverá quem o faça. 
DEU.23.18	Não trarás salário de prostituição nem preço de sodomita à Casa do 
DEU.23.19	A teu irmão não emprestarás com juros, seja dinheiro, seja comida ou qualquer coisa que é costume se emprestar com juros. 
DEU.23.20	Ao estrangeiro emprestarás com juros, porém a teu irmão não emprestarás com juros, para que o 
DEU.23.21	Quando fizeres algum voto
DEU.23.22	Porém, abstendo-te de fazer o voto, não haverá pecado em ti. 
DEU.23.23	O que proferiram os teus lábios, isso guardarás e o farás, porque votaste livremente ao 
DEU.23.24	Quando entrares na vinha do teu próximo, comerás uvas segundo o teu desejo, até te fartares, porém não as levarás no cesto. 
DEU.23.25	Quando entrares na seara do teu próximo, com as mãos arrancarás as espigas; porém na seara não meterás a foice.
DEU.24.1	Se um homem tomar uma mulher e se casar com ela, e se ela não for agradável aos seus olhos, por ter ele achado coisa indecente nela, e se ele lhe lavrar
DEU.24.2	e se ela, saindo da sua casa, for e se casar com outro homem; 
DEU.24.3	e se este a aborrecer, e lhe lavrar termo de divórcio, e lho der na mão, e a despedir da sua casa ou se este último homem, que a tomou para si por mulher, vier a morrer, 
DEU.24.4	então, seu primeiro marido, que a despediu, não poderá tornar a desposá-la para que seja sua mulher, depois que foi contaminada, pois é abominação perante o 
DEU.24.5	Homem recém-casado não sairá à guerra, nem se lhe imporá qualquer encargo; por um ano ficará livre em casa e promoverá felicidade à mulher que tomou.
DEU.24.6	Não se tomarão em penhor as duas mós, nem apenas a de cima, pois se penhoraria, assim, a vida.
DEU.24.7	Se se achar alguém que, tendo roubado
DEU.24.8	Guarda-te da praga da lepra
DEU.24.9	Lembra-te do que o 
DEU.24.10	Se emprestares alguma coisa ao teu próximo, não entrarás em sua casa para lhe tirar o penhor. 
DEU.24.11	Ficarás do lado de fora, e o homem, a quem emprestaste, aí te trará o penhor. 
DEU.24.12	Porém, se for homem pobre, não usarás de noite o seu penhor; 
DEU.24.13	em se pondo o sol, restituir-lhe-ás, sem falta, o penhor para que durma no seu manto e te abençoe; isto te será justiça diante do 
DEU.24.14	Não oprimirás o jornaleiro pobre e necessitado, seja ele teu irmão ou estrangeiro que está na tua terra e na tua cidade. 
DEU.24.15	No seu dia, lhe darás o seu salário, antes do pôr do sol, porquanto é pobre, e disso depende a sua vida; para que não clame contra ti ao 
DEU.24.16	Os pais não serão mortos em lugar dos filhos,
DEU.24.17	Não perverterás o direito do estrangeiro e do órfão; nem tomarás em penhor a roupa da viúva. 
DEU.24.18	Lembrar-te-ás de que foste escravo no Egito e de que o 
DEU.24.19	Quando, no teu campo, segares a messe e, nele, esqueceres um feixe de espigas, não voltarás a tomá-lo; para o estrangeiro, para o órfão e para a viúva será; para que o 
DEU.24.20	Quando sacudires a tua oliveira, não voltarás a colher o fruto dos ramos; para o estrangeiro, para o órfão e para a viúva será. 
DEU.24.21	Quando vindimares a tua vinha, não tornarás a rebuscá-la; para o estrangeiro, para o órfão e para a viúva será o restante. 
DEU.24.22	Lembrar-te-ás de que foste escravo na terra do Egito; pelo que te ordeno que faças isso.
