GEN.1.2	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä. 
LEV.4.2	"Puhu israelilaisille ja sano: Jos joku erehdyksestä rikkoo jotakuta Herran käskyä vastaan ja tekee jotakin, mitä ei saa tehdä, 
LEV.4.3	niin, jos voideltu pappi tekee rikkomuksen ja saattaa kansan vikapääksi, tuokoon rikkomuksensa tähden, jonka hän on tehnyt, virheettömän mullikan Herralle syntiuhriksi. 
LEV.4.4	Ja vieköön mullikan ilmestysmajan ovelle Herran eteen ja laskekoon kätensä mullikan pään päälle ja teurastakoon mullikan Herran edessä. 
LEV.4.5	Ja ottakoon se voideltu pappi mullikan verta ja vieköön sen ilmestysmajaan, 
LEV.4.6	ja pappi kastakoon sormensa vereen ja pirskoittakoon verta seitsemän kertaa Herran edessä, pyhäkön esiripun edessä. 
LEV.4.7	Ja pappi sivelköön sitä verta alttarin sarviin, jolla poltetaan hyvänhajuista suitsutusta Herran edessä ja joka on ilmestysmajassa; mullikan kaiken muun veren hän vuodattakoon ilmestysmajan oven edessä olevan polttouhrialttarin juurelle. 
LEV.4.8	Ja kaiken syntiuhrimullikan rasvan hän erottakoon siitä pois, sekä sisälmyksiä peittävän rasvan että kaiken sisälmysten rasvan, 
LEV.4.9	ja molemmat munuaiset ynnä niiden päällä lantiolihaksissa olevan rasvan ja maksanlisäkkeen, joka on irroitettava munuaisten luota, 
LEV.4.10	samalla tavalla kuin se erotetaan pois yhteysuhrihärästä; ja pappi polttakoon ne polttouhrialttarilla. 
LEV.4.11	Mutta mullikan nahan ja kaiken lihan ynnä pään ja jalat, sisälmykset ja ravan, 
LEV.4.12	koko mullikan, hän vieköön leirin ulkopuolelle puhtaaseen paikkaan, johon tuhka heitetään, ja polttakoon sen halkojen päällä tulessa; siinä paikassa, johon tuhka heitetään, se poltettakoon.
LEV.4.14	ja jos sitten rikkomus, jonka he ovat tehneet sitä vastaan, tulee tunnetuksi, niin tuokoon seurakunta mullikan syntiuhriksi ja vieköön sen ilmestysmajan eteen. 
LEV.4.15	Ja seurakunnan vanhimmat laskekoot kätensä mullikan pään päälle Herran edessä, ja mullikka teurastettakoon Herran edessä. 
LEV.4.16	Ja voideltu pappi vieköön mullikan verta ilmestysmajaan. 
LEV.4.17	Ja pappi kastakoon sormensa vereen ja pirskoittakoon sitä seitsemän kertaa Herran edessä, esiripun edessä. 
LEV.4.18	Ja hän sivelköön sitä verta alttarin sarviin, joka on Herran edessä ilmestysmajassa; kaiken muun veren hän vuodattakoon ilmestysmajan oven edessä olevan polttouhrialttarin juurelle. 
LEV.4.19	Ja hän erottakoon siitä pois kaiken rasvan ja polttakoon sen alttarilla 
LEV.4.20	ja tehköön tälle mullikalle, niinkuin hän teki syntiuhrimullikalle; samalla tavalla hän sille tehköön. Kun pappi näin on toimittanut heille sovituksen, annetaan heille anteeksi. 
LEV.4.21	Ja mullikan hän vieköön leirin ulkopuolelle ja polttakoon sen, niinkuin hän poltti edellisen mullikan; se on seurakunnan syntiuhri.
LEV.4.22	Jos päämies tekee rikkomuksen ja erehdyksestä rikkomalla jotakuta Herran, Jumalansa, käskyä vastaan tekee sellaista, mitä ei saa tehdä, ja niin joutuu vikapääksi, 
LEV.4.23	ja hän sitten saa tietää rikkomuksensa, jonka hän on tehnyt, niin tuokoon uhrilahjanaan kauriin, virheettömän urospuolen, 
LEV.4.24	ja laskekoon kätensä kauriin pään päälle ja teurastakoon sen siinä paikassa, jossa polttouhriteuraat Herran edessä teurastetaan; se on hänen syntiuhrinsa. 
LEV.4.25	Ja pappi ottakoon syntiuhrin verta sormeensa ja sivelköön sitä polttouhrialttarin sarviin; muun veren hän vuodattakoon polttouhrialttarin juurelle. 
LEV.4.26	Mutta kaiken sen rasvan hän polttakoon alttarilla, niinkuin yhteysuhrin rasvan. Kun pappi näin on toimittanut hänelle sovituksen hänen rikkomuksestansa, annetaan hänelle anteeksi.
LEV.4.28	ja hän sitten saa tietää rikkomuksensa, jonka hän on tehnyt, niin tuokoon rikkomuksensa tähden, jonka hän on tehnyt, uhrilahjanaan vuohen, virheettömän naaraspuolen, 
LEV.4.29	ja laskekoon kätensä tämän syntiuhriteuraan pään päälle ja teurastakoon sen polttouhripaikalla. 
LEV.4.30	Ja pappi ottakoon sen verta sormeensa ja sivelköön sitä polttouhrialttarin sarviin; kaiken muun veren hän vuodattakoon alttarin juurelle. 
LEV.4.31	Ja hän irroittakoon kaiken sen rasvan, niinkuin rasva irroitetaan yhteysuhrista, ja pappi polttakoon sen alttarilla suloisena tuoksuna Herralle. Kun pappi näin on toimittanut hänelle sovituksen, annetaan hänelle anteeksi.
LEV.4.32	Mutta jos hän tuo uhrilahjanaan karitsan syntiuhriksi, niin tuokoon virheettömän uuhen 
LEV.4.33	ja laskekoon kätensä tämän syntiuhriteuraan pään päälle ja teurastakoon sen syntiuhriksi siinä paikassa, jossa polttouhrieläin teurastetaan. 
LEV.4.34	Ja pappi ottakoon syntiuhrin verta sormeensa ja sivelköön polttouhrialttarin sarviin; kaiken muun veren hän vuodattakoon alttarin juurelle. 
LEV.4.35	Ja kaiken sen rasvan hän irroittakoon, niinkuin yhteysuhrilampaan rasva irroitetaan, ja pappi polttakoon sen alttarilla Herran uhrin päällä. Kun pappi on toimittanut hänelle sovituksen hänen rikkomuksestansa, jonka hän on tehnyt, annetaan hänelle anteeksi."
LEV.5.1	"Jos joku rikkoo siten, että hän, vaikka kuulee vannotuksen ja voisi olla todistajana, joko hän on ollut silminnäkijänä tahi muuten saanut asiasta tietää, ei kuitenkaan ilmoita sitä ja niin joutuu syynalaiseksi; 
LEV.5.2	tahi jos joku tietämättään koskee johonkin saastaiseen, mihin tahansa, joko saastaisen metsäeläimen raatoon tai saastaisen kotieläimen raatoon tai saastaisen matelijan raatoon, ja on siten tullut saastaiseksi ja vikapääksi; 
LEV.5.3	tahi jos hän tietämättään koskee ihmisen saastaan, olipa se mitä saastaa tahansa, josta tulee saastaiseksi, mutta sitten huomaa sen ja joutuu vikapääksi; 
LEV.5.4	tahi jos joku, ajattelemattomasti puhuen huulillansa, tietämättään vannoo tekevänsä jotakin, pahaa tai hyvää — vannoipa mitä hyvänsä, mitä ihminen saattaa ajattelemattomasti vannoa — mutta sitten huomaa sen ja joutuu johonkin sellaiseen vikapääksi, 
LEV.5.5	niin, jos hän on vikapää johonkin sellaiseen, tunnustakoon sen, mitä on rikkonut, 
LEV.5.6	ja tuokoon hyvityksenä Herralle rikkomuksesta, jonka hän on tehnyt, naaraspuolen pikkukarjasta, uuhen tai vuohen, syntiuhriksi; ja pappi toimittakoon hänelle sovituksen hänen rikkomuksestansa.
LEV.5.7	Mutta jollei hän saa hankituksi sellaista eläintä, niin tuokoon Herralle hyvitykseksi siitä, mitä on rikkonut, kaksi metsäkyyhkystä tai kaksi kyyhkysenpoikaa, toisen syntiuhriksi ja toisen polttouhriksi, 
LEV.5.8	ja vieköön ne papille. Tämä uhratkoon ensiksi sen, joka on määrätty syntiuhriksi, vääntäköön siltä niskat poikki, päätä kuitenkaan irroittamatta, 
LEV.5.9	ja pirskoittakoon syntiuhrin verta alttarin seinään, ja puserrettakoon se veri, joka jää jäljelle, alttarin juurelle; se on syntiuhri. 
LEV.5.10	Ja toisen hän säädetyllä tavalla valmistakoon polttouhriksi. Kun pappi näin on toimittanut hänelle sovituksen hänen rikkomuksestaan, jonka hän on tehnyt, annetaan hänelle anteeksi.
LEV.5.11	Jollei hän saa hankituksi kahta metsäkyyhkystä tai kahta kyyhkysenpoikaa, niin tuokoon uhrilahjanaan sen sovittamiseksi, mitä on rikkonut, kymmenennen osan eefa-mittaa lestyjä jauhoja syntiuhriksi, mutta älköön vuodattako siihen öljyä älköönkä panko sen päälle suitsuketta, sillä se on syntiuhri. 
LEV.5.12	Ja vieköön sen papille, ja pappi ottakoon siitä kourallisen, alttariuhriosan, ja polttakoon sen alttarilla Herran uhrin päällä; se on syntiuhri. 
LEV.5.13	Kun pappi näin on toimittanut hänelle sovituksen jostakin sellaisesta hänen tekemästään rikkomuksesta, annetaan hänelle anteeksi. Ja papille tulkoon se, mikä ruokauhristakin."
LEV.5.14	Ja Herra puhui Moosekselle sanoen: 
LEV.5.15	"Jos joku lankeaa uskottomuuteen ja erehdyksestä rikkoo anastamalla sitä, mikä on Herralle pyhitetty, tuokoon hyvityksenä Herralle vikauhriksi virheettömän oinaan pikkukarjasta, niin monen hopeasekelin arvoisen, pyhäkkösekelin painon mukaan, kuin sinä arvioit. 
LEV.5.16	Ja mitä hän on pyhitetystä anastanut itselleen, sen hän korvatkoon ja pankoon siihen lisäksi vielä viidennen osan sen arvosta ja antakoon sen papille. Kun pappi näin on toimittanut hänelle sovituksen uhraamalla vikauhrioinaan, annetaan hänelle anteeksi.
LEV.5.17	Jos joku rikkoo jotakuta Herran käskyä vastaan ja tekee tietämättään sellaista, mitä ei saa tehdä, ja tulee vikapääksi ja joutuu syynalaiseksi, 
LEV.5.18	niin tuokoon papille vikauhriksi pikkukarjasta sinun arviosi mukaisen, virheettömän oinaan. Kun pappi on toimittanut hänelle sovituksen siitä erehdyksestä, jonka hän on tietämättään tehnyt, annetaan hänelle anteeksi. 
LEV.5.19	Se on vikauhri; sillä hän on tullut vikapääksi Herran edessä."
LEV.7.1	"Ja tämä on laki vikauhrista. Se on korkeasti-pyhää. 
LEV.7.2	Siinä paikassa, missä polttouhri teurastetaan, teurastettakoon myös vikauhri, ja sen veri vihmottakoon alttarille ympärinsä. 
LEV.7.3	Ja kaikki sen rasva uhrattakoon, sekä rasvahäntä että sisälmyksiä peittävä rasva, 
LEV.7.4	ja molemmat munuaiset ynnä niiden päällä lantiolihaksissa oleva rasva ja maksanlisäke, joka on irroitettava munuaisten luota. 
LEV.7.5	Ja pappi polttakoon ne alttarilla uhrina Herralle; se on vikauhri. 
LEV.7.6	Jokainen miehenpuoli papeista saakoon sitä syödä. Se syötäköön pyhässä paikassa; se on korkeasti-pyhää. 
LEV.7.7	Mitä on säädetty syntiuhrista, koskee vikauhriakin; laki on sama molemmista. Se olkoon sen papin oma, joka sillä sovituksen toimittaa. 
LEV.7.8	Ja pappi, joka toimittaa jonkun puolesta polttouhrin, saakoon uhraamansa polttouhriteuraan nahan. 
LEV.7.9	Ja jokainen ruokauhri, joka paistetaan uunissa, ja jokainen pannussa tai leivinlevyllä valmistettu, olkoon sen papin oma, joka uhrin toimittaa. 
LEV.7.10	Mutta jokainen muu ruokauhri, olipa siihen sekoitettu öljyä tai olipa se kuiva, olkoon kaikkien Aaronin poikien oma, yhden niinkuin toisenkin.
LEV.7.12	Jos joku tuo sen kiitokseksi, niin tuokoon kiitosuhriteuraan lisäksi öljyyn leivottuja happamattomia kakkuja, öljyllä voideltuja happamattomia ohukaisia ja sekoitettuja lestyjä jauhoja öljyyn leivottuina kakkuina. 
LEV.7.13	Hapatetusta taikinasta leivottujen kakkujen ohella hän tuokoon tämän uhrilahjansa kiitosuhrina uhratun yhteysuhriteuraan lisäksi. 
LEV.7.14	Ja hän tuokoon siitä yhden kutakin uhrilahja-lajia anniksi Herralle; se olkoon sen papin oma, joka vihmoo yhteysuhrin veren. 
LEV.7.15	Ja kiitosuhrina uhratun yhteysuhriteuraan liha syötäköön sinä päivänä, jona se on uhrattu, älköönkä mitään siitä jätettäkö seuraavaan aamuun. 
LEV.7.16	Mutta jos uhrilahjana tuotu teuras on lupausuhri tai vapaaehtoinen uhri, syötäköön se sinä päivänä, jona se on tuotu; jos kuitenkin jotakin siitä jää tähteeksi, saatakoon se syödä seuraavana päivänä. 
LEV.7.17	Mutta mitä uhrilihasta on tähteenä kolmantena päivänä, se poltettakoon tulessa. 
LEV.7.18	Jos yhteysuhriteuraan lihaa syödään kolmantena päivänä, ei se ole otollinen eikä sitä lueta tuojan hyväksi, vaan se on saastaista; jokainen, joka sitä syö, joutuu syynalaiseksi. 
LEV.7.19	Sitä lihaa, joka on sattunut saastaiseen, mihin tahansa, älköön syötäkö, vaan se poltettakoon tulessa; muuten saakoon jokainen, joka on puhdas, syödä yhteysuhriteuraan lihaa. 
LEV.7.20	Mutta jokainen, joka saastaisena ollessaan syö yhteysuhriteuraan lihaa, joka on Herran oma, hävitettäköön kansastansa. 
LEV.7.21	Jos joku koskee johonkin saastaiseen, mihin tahansa, joko ihmisen saastaan tahi saastaiseen karjaeläimeen tai mihin inhottavaan saastaan tahansa, ja syö yhteysuhriteuraan lihaa, joka on Herran oma, hänet hävitettäköön kansastansa."
LEV.7.22	Ja Herra puhui Moosekselle sanoen: 
LEV.7.23	"Puhu israelilaisille ja sano: Älkää syökö mitään härän, lampaan tai vuohen rasvaa. 
LEV.7.24	Itsestään kuolleen tai kuoliaaksi raadellun eläimen rasva käytettäköön kaikkinaisiin tarpeisiin; mutta älkää sitä syökö. 
LEV.7.25	Sillä jokainen, joka syö sen eläimen rasvaa, josta tuodaan Herralle uhri, hävitettäköön kansastansa. 
LEV.7.26	Älkää myöskään, missä asuttekin, syökö mitään verta, ei lintujen eikä karjaeläinten. 
LEV.7.27	Jokainen, joka syö verta, minkälaista hyvänsä, hävitettäköön kansastansa."
LEV.7.28	Ja Herra puhui Moosekselle sanoen: 
LEV.7.29	"Puhu israelilaisille ja sano: Joka tuo Herralle yhteysuhrinsa, tuokoon Herralle uhrilahjan tästä yhteysuhristaan. 
LEV.7.30	Omin käsin hän tuokoon Herran uhrit; tuokoon rasvan ynnä rintalihan, ja toimitettakoon niiden heilutus Herran edessä. 
LEV.7.31	Ja pappi polttakoon rasvan alttarilla, mutta rintaliha olkoon Aaronin ja hänen poikiensa oma. 
LEV.7.32	Ja oikea reisi antakaa papille anniksi yhteysuhriteuraistanne. 
LEV.7.33	Se Aaronin pojista, joka uhraa yhteysuhrin veren ja rasvan, saakoon oikean reiden osaksensa. 
LEV.7.34	Sillä minä olen ottanut heilutus-rintalihan ja anniksi annetun reiden israelilaisilta heidän yhteysuhriteuraistansa ja antanut ne pappi Aaronille ja hänen pojillensa ikuiseksi osuudeksi israelilaisilta."
LEV.7.35	Tämä on Aaronin ja hänen poikiensa osa Herran uhreista, joka heille määrättiin sinä päivänä, jona hän toi heidät pappeina palvelemaan Herraa; 
LEV.7.36	sen osan Herra käski sinä päivänä, jona hän heidät voiteli, israelilaisten antaa heille ikuiseksi osuudeksi sukupolvesta sukupolveen. 
LEV.7.37	Tämä on se laki polttouhrista, ruokauhrista, syntiuhrista, vikauhrista, vihkiäisuhrista ja yhteysuhrista, 
LEV.7.38	jonka lain Herra antoi Moosekselle Siinain vuorella sinä päivänä, jona hän antoi israelilaisille käskyn tuoda uhrilahjansa Herralle Siinain erämaassa.
LEV.8.1	Ja Herra puhui Moosekselle sanoen: 
LEV.8.2	"Ota Aaron ja hänen poikansa ynnä heidän vaatteensa ja voiteluöljy sekä syntiuhrimullikka ja ne kaksi oinasta ja kori, jossa happamattomat leivät ovat, 
LEV.8.3	ja kokoa kaikki seurakunta ilmestysmajan oven eteen". 
LEV.8.4	Ja Mooses teki, niinkuin Herra oli häntä käskenyt, ja seurakunta kokoontui ilmestysmajan oven eteen. 
LEV.8.5	Ja Mooses sanoi seurakunnalle: "Näin on Herra käskenyt tehdä". 
LEV.8.6	Ja Mooses toi Aaronin ja hänen poikansa esille ja pesi heidät vedellä. 
LEV.8.7	Sitten hän pani hänen yllensä ihokkaan ja vyötti hänet vyöllä ja puki hänet viittaan ja pani kasukan hänen päälleen ja vyötti hänet kasukan vyöllä ja sitoi sen hänen ympärilleen 
LEV.8.8	ja asetti hänen rintaansa rintakilven ja pani kilpeen uurimin ja tummimin 
LEV.8.9	ja pani käärelakin hänen päähänsä ja pani käärelakkiin, sen etupuolelle, kultaisen otsakoristeen, pyhän otsalehden, niinkuin Herra oli Moosesta käskenyt. 
LEV.8.10	Ja Mooses otti voiteluöljyn ja voiteli asumuksen ja kaikki, mitä siinä oli, ja pyhitti ne; 
LEV.8.11	ja hän pirskoitti sitä seitsemän kertaa alttarille ja voiteli alttarin kaikkine kaluineen ynnä altaan jalustoineen pyhittääkseen ne. 
LEV.8.12	Ja hän vuodatti voiteluöljyä Aaronin päähän ja voiteli hänet pyhittääkseen hänet. 
LEV.8.13	Ja Mooses toi esille Aaronin pojat ja puki heidän yllensä ihokkaat ja vyötti heidät vyöllä ja sitoi päähineet heidän päähänsä, niinkuin Herra oli Moosesta käskenyt.
LEV.8.15	Sitten Mooses teurasti sen ja otti sen verta ja siveli sitä sormellansa alttarin sarviin yltympäri ja puhdisti alttarin; ja muun veren hän vuodatti alttarin juurelle ja pyhitti sen toimittamalla sen sovituksen. 
LEV.8.16	Ja Mooses otti kaiken sisälmysten päällä olevan rasvan ja maksanlisäkkeen ja molemmat munuaiset rasvoineen ja poltti ne alttarilla. 
LEV.8.17	Mutta mullikan nahkoinensa, lihoinensa ja rapoinensa hän poltti tulessa leirin ulkopuolella, niinkuin Herra oli Moosesta käskenyt.
LEV.8.19	Ja Mooses teurasti sen ja vihmoi veren alttarille ympärinsä 
LEV.8.20	ja leikkeli oinaan määräkappaleiksi; sitten Mooses poltti pään ynnä kappaleet ja rasvan. 
LEV.8.21	Mutta sisälmykset ja jalat hän pesi vedessä; ja niin Mooses poltti koko oinaan alttarilla. Se oli polttouhri suloiseksi tuoksuksi, uhri Herralle, niinkuin Herra oli Moosekselle käskyn antanut.
LEV.8.23	Ja Mooses teurasti sen ja otti sen verta ja siveli sitä Aaronin oikean korvan lehteen ja oikean käden peukaloon ja oikean jalan isoonvarpaaseen. 
LEV.8.24	Ja Mooses toi Aaronin pojat esille ja siveli verta heidän oikean korvansa lehteen ja oikean kätensä peukaloon ja heidän oikean jalkansa isoonvarpaaseen, mutta vihmoi muun veren alttarille ympärinsä. 
LEV.8.25	Ja hän otti rasvan ja rasvahännän ja kaiken sisälmysten päällä olevan rasvan ja maksanlisäkkeen ja molemmat munuaiset rasvoineen ja oikean reiden. 
LEV.8.26	Sitten hän otti happamattomien leipien korista, joka oli Herran edessä, yhden happamattoman kakun ja yhden öljyyn leivotun kakun ja yhden ohukaisen ja pani ne rasvojen ja oikean reiden päälle 
LEV.8.27	ja pani kaikki nämä Aaronin käsiin ja hänen poikiensa käsiin, ja toimitutti niiden heilutuksen Herran edessä. 
LEV.8.28	Sitten Mooses otti ne heidän käsistänsä ja poltti ne alttarilla polttouhrin päällä; tämä oli vihkiäisuhri suloiseksi tuoksuksi, uhri Herralle. 
LEV.8.29	Ja Mooses otti rintalihan ja toimitti sen heilutuksen Herran edessä; vihkiäisoinaasta tuli tämä Mooseksen osaksi, niinkuin Herra oli Moosekselle käskyn antanut.
LEV.8.31	Ja Mooses sanoi Aaronille ja hänen pojillensa: "Keittäkää liha ilmestysmajan ovella ja syökää se siinä ynnä leipä, joka on vihkiäisuhriin kuuluvassa korissa, niinkuin minä olen käskenyt ja sanonut: Aaron poikinensa syököön sen. 
LEV.8.32	Mutta mitä jää tähteeksi lihasta ja leivästä, se polttakaa tulessa. 
LEV.8.33	Seitsemään päivään älkää lähtekö ilmestysmajan ovelta, älkää ennenkuin teidän vihkimispäivänne ovat kuluneet umpeen, sillä seitsemän päivää kestää teidän vihkimisenne. 
LEV.8.34	Niinkuin on tehty tänä päivänä, niin on Herra käskenyt vastakin tehdä toimittaakseen teille sovituksen. 
LEV.8.35	Ja olkaa seitsemän päivää ilmestysmajan ovella, päivät ja yöt, ja toimittakaa Herran palvelustehtävät, ettette kuolisi; sillä niin on minulle käsky annettu."
LEV.8.36	Ja Aaron ja hänen poikansa tekivät kaiken, mitä Herra oli Mooseksen kautta käskenyt.
LEV.9.1	Ja kahdeksantena päivänä Mooses kutsui Aaronin ja hänen poikansa ja Israelin vanhimmat 
LEV.9.2	ja sanoi Aaronille: "Ota itsellesi härkävasikka syntiuhriksi ja oinas polttouhriksi, molemmat virheettömiä, ja tuo ne Herran eteen. 
LEV.9.3	Ja puhu israelilaisille ja sano: 'Ottakaa kauris syntiuhriksi ja vasikka ja karitsa, molemmat vuoden vanhoja ja virheettömiä, polttouhriksi 
LEV.9.4	ja härkä ja oinas yhteysuhriksi, uhrattaviksi Herran edessä, ynnä ruokauhri, johon on öljyä sekoitettu, sillä tänä päivänä ilmestyy teille Herra'." 
LEV.9.5	Ja he toivat, mitä Mooses oli käskenyt, ilmestysmajan edustalle, ja koko seurakunta astui esiin ja asettui Herran eteen. 
LEV.9.6	Ja Mooses sanoi: "Näin Herra on käskenyt teidän tehdä, että Herran kirkkaus ilmestyisi teille".
LEV.9.7	Ja Mooses sanoi Aaronille: "Astu alttarin ääreen ja uhraa syntiuhrisi ja polttouhrisi ja toimita itsellesi ja kansalle sovitus ja uhraa sitten kansan uhrilahja ja toimita heille sovitus, niinkuin Herra on käskenyt". 
LEV.9.8	Niin Aaron astui alttarin ääreen ja teurasti oman syntiuhrivasikkansa. 
LEV.9.9	Ja Aaronin pojat toivat hänelle veren, ja hän kastoi sormensa vereen ja siveli sitä alttarin sarviin, mutta muun veren hän vuodatti alttarin juurelle. 
LEV.9.10	Mutta syntiuhriteuraan rasvan ja munuaiset ja maksanlisäkkeen hän poltti alttarilla, niinkuin Herra oli Moosekselle käskyn antanut. 
LEV.9.11	Ja lihan ja nahan hän poltti tulessa leirin ulkopuolella. 
LEV.9.12	Sitten hän teurasti polttouhrin, ja Aaronin pojat ojensivat hänelle veren, ja hän vihmoi sen alttarille ympärinsä. 
LEV.9.13	Ja he ojensivat hänelle polttouhrin kappaleittain ynnä pään, ja hän poltti ne alttarilla. 
LEV.9.14	Ja hän pesi sisälmykset ja jalat ja poltti ne polttouhrin päällä alttarilla.
