PSA.2.1	Ango solian da no Dios no nasiones aya. Ango paro o aro a planohen da a abo so kayayawan. 
MAT.18.17	As an di pa manngey am ivahey mo do rarayay mo sa a mavayavayat tapian sira dana o omyokoyokod nia as an sivog o kaskeh na manngey am pavidangen mo na sia asa ka bokalot anmana dira do maparo sa a tawo.
MAT.18.18	“Ta torohan koynio so othoridad nio tapian no vadawen nio do tana aya am nawri sira o vadawen do hanyit as alit na ta no piahen nio do tana aya am nawri sira o piahen do hanyit. 
MAT.18.19	As vatahen ko pa dinio ta an mian o paypanmoan no dadwa dinio a ipachahoahok am parinyen no Ama ko do hanyit. 
MAT.18.20	Ta do yanan no dadwa anmana tatdo kano maypangay a makpeh a makayamot do ngaran ko am mian ako do panghovokan da.”
MAT.18.21	Inangay na iyahes ni Pedro di Jesus, “Apo, maypipira ko a pakaboan o kakteh ko a nakagatos diaken. Manawob dana paro o papito a kapakabo ko dia?” 
MAT.18.22	“Nawri ava as manda do maypipito a ka pito a poho,” kwana ni Jesus. 
MAT.18.23	“Ta no paypatolan no hanyit am maparin a pakomparahen do naparin do asa ka patol a mian so singilen dira do pachirawatan na sa. 
MAT.18.24	Do kasoma da so pamagan da am mian o asa a livolivohen so pagan.
MAT.18.25	Do kabo no ipakapamaga na am pinanyokod no apohen nawri o kadakaw sia a pachangayan no kakovot na, kamanganakan na sira kano atavo a miniminyan na tapian makapaga. 
MAT.18.26	Amna vinata no pachirawatan aya a tori a domogod a machisiasi do apohen naya, ‘Apo, ichasi mo yaken as makatnaya ka, ta pagan ko anti ya atavo dimo!’ 
MAT.18.27	Makayamot ta masisien o apohen aya am chinasi na as kawayak narana do otang nawri as kapasavat na sia.
MAT.18.28	“Kahbet no tawo aya am navayat na o asa do rarayay na do apohen a nakaotang sia so dekey a kantidad.
MAT.18.29	Domnogod ya a machisiasi a makavata sia, ‘Makatnaya ka pa so dekey, ta tayto pa abo o ichaytoroh ko, pero pagan ko anti mo.’ 
MAT.18.30	Chinasi nava ya asna pinakalaboso na sia a manda do kapamaga na. 
MAT.18.31	As sira o kadwan do rarayay naw do apohen aw a nakavoya sia o naparin aya am chinaket da ya as inangay da ivahey do apohen daw o pinarin nawri. 
MAT.18.32	Pinatawag no patol ori o pachirawatan naw as kavata na sia dia, ‘Ango katawo mo. Pinaypasinsian koymo do oyod a rakoh a pagan mo diaken makayamot ta nangahes ka diaken so kasisien. 
MAT.18.33	As akma so nakasi ko nimo am mayanong o kasi mo no rarayay moaya a mian so otang dimo.’ 
MAT.18.34	Do nakaket no patol ori am pinakalaboso na o pachirawatan naya a manda do kapamaga na do otang na.” 
MAT.18.35	Do pinakavosan sia ni Jesus am vinata na, “Akma pa saw ta an abo kasisien nio a mapakabo so kakteh nio am kapakaboan navaynio no Ama ko do hanyit.”
MAT.19.1	Tayoka si Jesus a mapawnonong sira ya am komnaro do Galilea as kangay na do parte no Judea do katovang no Rio Jordan. 
MAT.19.2	Minonot sa dia o aro a tawo as tinovatova na sira o atavo a mian so ganit.
MAT.19.3	Kwanasaw am nawara sa o Fariseo a makey a omhawahaway sia do kahes da nia, “Ara o anohed no asa ka tawo a mapasiay so kakovot na do aran ango a rason?” 
MAT.19.4	Tinbay ni Jesus a makavata sia, “Nalir nio paro pava do nakatolas a Chirin no Dios ta do nakapangamaog no Dios so tawo am namarin so mahakay kano mavakes, 
MAT.19.5	as kavata na sia, ‘Makayamot dia am komaro o mahakay do inyapoan na as kapachisa na do kakovot na as kapayvadiw da asa vahay.’ 
MAT.19.6	Dawa dadwa pa sava ta asa dana. As no pinayasa no Dios am mayanong ava paysiayen no aran sino a tawo.”
MAT.19.7	Vatan da sia no Fariseo saya, “Onas, ango paro o pakayapoan no nakavata na sia ni Moises o katoroh no mahakay so katolasan a kavoyan sia o kapasiay na so kakovot na.” 
MAT.19.8	Tinbay ni Jesus, “Makayamot do kakekehnet no oho da a akma dinio am tinonngan sa ni Moises a mapasiay so kakovot da amna nawri ava o somnivog a ichakey no Dios do sitsitnanan na. 
MAT.19.9	As vatahen ko dinio ta an sino o mapasiay so kakovot na a mavakes a di nangadwan am mangadwan an mirwa a maychakovot so matarek dana a mavakes.”
MAT.19.10	Vinata da no disipolos ori ni Jesus, “An nawri o kaparin no kapaychakovot am mapipia dana o di maychakovot!” 
MAT.19.11	No tinbay ni Jesus dira am, “Maytavo ava o tawo a makawnot dia ya asna mian sa o somnivog a di maychakovot. 
MAT.19.12	Matatarek o pakayapoan no kadi a maychakovotan. Mian sa o mawara kano mian sa a parinyen no kapayengay da a tawo a dia parin a maychakovot, as mian sa o di maychakovot a makayamot do kakey da a mayserbi do paypatolan no hanyit. An sino o makawnot dia ya am nia o onotan na.”
MAT.19.13	Mian sa o nanangay no kametdehan di Jesus tapian palapawen na o tanoro na dira as kapachahoahok na nira amna sira o disipolos na sawri am nipenpen da sa a maypasngen di Jesus. 
MAT.19.14	Amna vinata ni Jesus, “Inolay nio sa a mangay diaken o kametdehan siraya asna vadawen nio sava, ta sira o tawotawo a akma so kaparin no kametdehan o machangay do paypatolan no hanyit.” 
MAT.19.15	As pinalapaw na o tanoro na do oho da as kabendision na dira as karahan na nia am komnaro dana daw si Jesus.
MAT.19.16	Mian o asa ka kanakan a mahakay a nangay di Jesus a omahes nia, “Maistro, ango mapia a parinyen ko tapian marawat ko o viay a abo so pandan.” 
MAT.19.17	Tinbay sia ni Jesus, “Ango ahsan mo nia o komapet do mapia. Moyvoh o Dios a somnivog a mapia! As an ichakey mo o karawat mo so viay a abo so pandan am anohdan mo atavo a pidipidit no Dios.” 
MAT.19.18	“No siyo do pidipidit saya,” kwana no mahakay ori. Vinata sia ni Jesus, “Mandiman kava. Mangadwan kava. Manakaw kava. Maydaday kava. 
MAT.19.19	Torohan mo so anib kano onor o inyapoan mo as kaddaw mo no kapayengay mo a tawo akma so kaddaw mo no mismo mo karakohan.” 
MAT.19.20	Vinata no kanakan aya, “Pinasada ko pa sava ya as ango pa o paykolangan ko.” 
MAT.19.21	Vatan sia ni Jesus, “An ara sivog o kakey mo a mayvadiw a mapia do salapan no Dios am iyangay mo a idakaw o atavo a miniminyan mo as kapayatay mo sia o sadiw na dira do makasiasi, tapian mian o kaynakman mo do hanyit as kawnot mo na diaken.” 
MAT.19.22	Do nakadngey na sia ya no kanakan aya am oyod a mangsah a komaro takwan aro miniminyan na.
MAT.19.23	Vinata ni Jesus dira do disipolos naw, “Kapanmohen nio, ta oyod a masadit o kawnot no asa ka maynakem do paypatolan no hanyit. 
MAT.19.24	Vatahen ko dinio ta masonosonong o kapayhawos no kamelyo do dodoyan no dayem kano kawnot no maynakem do paypatolan no Dios.” 
MAT.19.25	Pinaychaknin da sa no disipolos sawri o nadngey daya as kavata da sia, “Sango paro maparin a makarawat so viay a abo so pandan.” 
MAT.19.26	Tiniban sa ni Jesus as kavata na sia dira, “Maparin ava ya no tawo pero no Dios am arava o di na parin!”
MAT.19.27	Vatan sia ni Pedro, “Tayto mo mapanmo ta chinaroan namen o atavo as kawnot namen dimo asna ango anti o sinmo na niaya diamen.” 
MAT.19.28	Amna vinata na dira, “Vatahen ko dinio so kakawyoran ta an mian dana anti o Naytawo aya do trono na do hanyit am mayponged kamo anti no trono nio as kainio na anti no omyokoyokod nira no tayatayabo sa no dose a ka kamanganakan ni Israel. 
MAT.19.29	As sira o komnaro do vahay da, takey da, kakakteh da sa, inyapoan da sa anmana kamanganakan da a makayamot do kawnot da diaken am maypisapoho a livo anti o karakorakoh no marawat da kano nikaroan da as kapakarawat da pa so viay a abo so pandan. 
MAT.19.30	Amna aro sa o omahahaw so kapanoma da do paypatolan no Dios a mayvadiw a manawdi as mian sa o ahahawen a manawdi am sira o manoma.”
MAT.20.1	Vinata pa ni Jesus, “No kaparin no kapaypatol no Dios do tawotawo am akma so asa ka tawo a minhep a mangaheahes so tangdanan na a maytrabaho do takey na. 
MAT.20.2	Tayoka na peseken dira o tangdan da do asa karaw am pinasibo na sa do takey nawri. 
MAT.20.3	Do masngen a alas nueve am nangay o taytakey aya do plasa as kavoya na sira so mahahakay a abo so parinyen, 
MAT.20.4	as vinata na dira, ‘Mangay kamo a maytrabaho do takey ko, ta torohan koynio anti so machinaho a tangdan nio.’ As sira o mahahakay ori am nangay sa a maytrabaho do takey naw. 
MAT.20.5	Do ka alas dose kano ka alas tres am nakavoya pa o taytakey aya so abo so trabaho as tinovoy na pa sa ya do takey naw. 
MAT.20.6	Do masngen dana kapaylarga am mian pa sa o navoya na a abo so trabaho. Vinata na dira, ‘Ango ichabo no parinyen nio.’ 
MAT.20.7	Tinbay da no mahahakay siraya, ‘Makey kami a maytrabaho amna arava o minahap diamen sicharaw.’ ‘Mangay kamo do takey ko,’ kwana no taytakey aya, ‘as kapaytrabaho nio.’
MAT.20.8	“Do kamahep narana am tinawagan no taytakey aya o pachirawatan naw as kayokoyokod na nia, ‘Tawagan mo sa o naytrabaho sawri as katangdan mo dira, pakayapohen do nanawdi saya somitnan a maytrabaho a manda do nanoma sirawri a somdep.’ 
MAT.20.9	Sira o nanawdi a somitnan a maytrabaho am tinorohan na sa so tangdan do asa karaw. 
MAT.20.10	Do kalogar darana katangdanan no nanoma sawri a somitnan am do vata da as torohan sa anti so rakorakoh a tangdan amna nachalit o tinoroh ori dira. 
MAT.20.11	Nayreklamo sa do taytakey ori a makavata sia, 
MAT.20.12	‘Ango pachalit aya no tangdan namen a naychamahepan do kakohatan dira do asa aya kawras so nakapaytrabaho.’ 
MAT.20.13	Amna vinata no taytakey aya do asa dira, ‘Kayvan, arava o nilokoan ko dinio. Pinaypanmoan ta kayti kamavekhas o logar ko a itangdan dinio. 
MAT.20.14	Dawa risibien nio na o tangdan nioaya as kasavat nio na, ta mian diaken o katoroh ko dira do nahay aya so tangdan no asa ka tawo do asa karaw. 
MAT.20.15	Ara paroava o anohed ko do kartos ko? Anmana maynanahet kamo paro do kadadam ko do kadwan?’” 
MAT.20.16	Do pinakavosan sia ni Jesus am vinata na, “Mian sa anti o manawdi a mayvadiw a manoma as alit na pa ta mian sa anti o manoma a mayvadiw a manawdi.”
MAT.20.17	Do kayan da do rarahan a mangwan do Jerusalem am pinataywawa sa ni Jesus o disipolos na sawri as kavata na sia dira, 
MAT.20.18	“Kapanmohen nio ta tayto ta mangay do Jerusalem as hapen da o Naytawo aya no maato sa a papali kano eskriba as kasentensia da dia a dimanen. 
MAT.20.19	As itoroh anti sia dira do Hentil a atetekan da kano iplotan as kapapasek da sia do kros. Amna do ichatdo na a karaw am mirwa anti a maviay.”
MAT.20.20	Nawara o kakovot ni Zebedeo kanira no dadwa ka kamanganakan na sa a mahahakay as kadogod na do salapan ori ni Jesus a machahes sia. 
MAT.20.21	Vinata ni Jesus sia, “Ango ichakey mo.” Tinbay na, “Maparin paro anchowa an sira o kamanganakan koaya anti o mayviit do trono mo?” 
MAT.20.22	Amna vinata na dira ni Jesus, “Ara nioava mapanmo o iyahes nioaya! Maparin nio paro a risibien o kopa
MAT.20.23	Tinbay sa ni Jesus, “Ominom kamo anti do kopa
MAT.20.24	Do nakadngey da sia no asapoho sawri a disipolos ni Jesus o ichakey daw no dadwa saya a ka maychakteh am chinaket da sa. 
MAT.20.25	Amna tinawagan na sa atavo ni Jesus as kavata na sia dira, “No adan a kapanmoan nio sia am sira o rakoh so ipakapamarin o manyokoyokod dira do maypahbo kanira. 
MAT.20.26	Amna machitarek kamo dira, ta an sino makey a máto dinio am parinyen na o karakohan na a máhbo dinio as kapayserbi na dinio atavo. 
MAT.20.27	As an sino makey a adngedngeyen am mayvadiw a pachirawatan no atavo. 
MAT.20.28	Takwan aran no Naytawo aya am nawara ava a payserbian, ta no kapayserbi na do kadwan as kano katoroh na no viay na a iyadidi so aro a tawo do kastigo no gatos da.”
MAT.20.29	As do kakaro da Jesus do Jerico am mian sa o aro a tawotawo a minonot sia. 
MAT.20.30	Mian sa o dadwa ka mavota a maydisna do payis no rarahan. As do nakadngey da so kapanahan dawri ni Jesus am tomnawag sa so maliak as kavata da sia, “Imo a tayabo ni David, ichasi mo pa yamen!” 
MAT.20.31	Chinahoya da sa no tawotawo sirawri as kavata da so kapakadomi da amna pinaypaliak pa no katawatawag da, “Imo a tinovoy no Dios, ichasi mo pa yamen!” 
MAT.20.32	Minhes si Jesus as katawag na dira. “Ango ichakey nio a parinyen ko dinio,” kwana. 
MAT.20.33	Tinbay da, “Apo, parinyen mo pa yamen a makavoya.” 
MAT.20.34	Chinasi na sa ni Jesus as katodo na so mata da am nyeng sa makavoya as kawnot da sia.
MAT.21.1	Do kasngen darana da Jesus kanira no disipolos na sawri do Jerusalem am minrapit sa do Betpage, asa ka dekey a kavahayan do tokon ori a ngaranan da so Olivo. Niyokoyokod sa ni Jesus o dadwa ka disipolos na 
MAT.21.2	a makavata sia dira, “Mangay kamo do kavahayan aya as kahap nio so makedked sawri may-ina kabayo. 
MAT.21.3	As an mian o omahes nia an ango ahapan nio sira am vatahen nio, ‘Ipahap sira no Apohen a serbien,’ ta piahen da sa anti ori.” 
MAT.21.4	Do niaya a naparin am nakatongtong o vinata no asa ka profeta kaychowa a akma sia,
MAT.21.5	“Ivahevahey mo dira do Jerusalem, mawara o patol nioaya a mahbo a mangabayo do dekey a kabayo.”
MAT.21.6	Nangay sa o dadwa ka disipolos ni Jesus as kaparin da so niyokoyokoran ori nira. 
MAT.21.7	Inahap da sa o may-ina aya kabayo as karasay da dira no mankantad do lamit da as kasakay ni Jesus do dekey aw. 
MAT.21.8	Napangay sa o aro ori a tawo so lamit do rarahan ori a panahanan ni Jesus as sira o kadwan am nanghap sa so vohovohong sa a pangayen da do panahanan nawri a iyanib sia. 
MAT.21.9	As sira o aro ori a tawo a machivan di Jesus am nangyangyaw sa a makavata sia, “Dadayen ta o tayabo aya ni David! Mabendito o mawara aya do ngaran no Dios! Dadayen pa sia no mian sa do hanyit!” 
MAT.21.10	Naknin sa o tawotawo do Jerusalem do nakawara ori ni Jesus do kavahayan aya as vinata da, “Sino paro ya.” 
MAT.21.11	Tinbay da no aro ori a tawotawo, “Si Jesus ya a asa ka profeta a yapo do Nazareth do provinsia no Galilea.”
MAT.21.12	Nangay si Jesus do templo as kapakaro na sira so maydakaw sirawri kano manadiw do sahad ori no templo as kavalantwag na sira so lamisa da no manwad ori so kartos as kano disnan da sa no maydakaw sawri so voyit. 
MAT.21.13	As vinata na dira ni Jesus, “No vatahen no nakatolas am, ‘Vahay a pachahoahokan o vahay ko,’ amna tayto nio pinarin a kakpekpehan no manakanakaw.”
MAT.21.14	Nangay sa di Jesus do templo ori o mavota kano mapiday sa as tinovatova na sa. 
MAT.21.15	Amna oyod daya chinaket no maato sa a papali kano eskriba do nakavoya da sia o makakniknin sawri a pariparinyen ni Jesus kano kadngey da sira so kametdehan sawri a mangyangyaw nia, “Dadayen ta o tinovoy aya no Dios a tayabo ni David!” 
MAT.21.16	Nangay sa di Jesus as kavata da sia, “Ara mo madngey o ipangyangyaw daya?” “Oon,” kwana ni Jesus as kavata na sia dira, “Nalir nio paro pava do Chirin no Dios a kavata na sia, ‘Yapo dira do kametdehan o mapía dana a idaday so Dios’?” 
MAT.21.17	Komnaro si Jesus daw as kangay na misan do Betania.
MAT.21.18	Do mavekhas ori do kapayvidi darana do Jerusalem am napteng si Jesus. 
MAT.21.19	Do nakapakavoya na so asa ka kayo a tawagan so igos do payis ori no rarahan am nangay a manita so asi na amna arava o navoya na as vinata na, “Mirwa pava anti a omsi o kayo aya.” Kavata na sia ya am nyeng a somitnan a mahayo o vohong no kayo ori. 
MAT.21.20	Naychaknin sa o disipolos na sawri do nakavoya da so naparin do kayo aya as kahes da nia di Jesus, “Ango ichanyeng na a mahayo no kayo aya.” 
MAT.21.21	Tinbay sa ni Jesus, “Kakawyoran o vatahen ko dinio, ta an mian o saray nio a abo so kamadamadanan am tod nioava parin o pinarin ko do kayo asna aran no tokon aya am maparin nio pa mandoan do kabdis na a mangay do taaw am nyeng ori a mabdis. 
MAT.21.22	As an mian o saray nio am marawat nio o ipachahoahok nio.”
MAT.21.23	Do nakapayvidi ni Jesus do templo ori a mananawo am nangay sa dia o maato sa a papali kano adngedngeyen da sa no Judeo as kahes da nia di Jesus, “Ango anohed mo a omparin sira so aro aya a pariparinyen mo as kano yapo dino o ipakapamarin moaya.” 
MAT.21.24	Tinbay sa ni Jesus, “Tayto o iyahes ko dinio as an matbay nio am ivahey ko dinio o pakayapoan no anohed ko as kano ipakapamarin koaya a omparin sira ya. 
MAT.21.25	Sino pinakayapoan no anohed ni Juan a manbawtismo. Yapo do Dios anmana tawo.”
MAT.21.25	Somnitnan sa maysosobna takwan an vatahen da o nakayapo na do Dios am iyahes dira ni Jesus an ango di da nanganohdan di Juan. 
MAT.21.26	Asna an vatahen da o nakayapo na do tawo am ichamo da sa o tawotawo saya takwan sincharan da si Juan a asa ka profeta. 
MAT.21.27	Dawa vatan da sia di Jesus, “Ichapatak namen ava.” “Dawa,” kwana ni Jesus, “ivahey koava dinio an dino o pakayapoan no anohed kano ipakapamarin ko.
MAT.21.28	“Iktokto nio pa ya,” kwana ni Jesus dira. “Mian o asa ka tawo a mian so dadwa ka kamanganakan. Vinata na do matonetoneng ori o kangay na do takey da a maytrabaho, 
MAT.21.29	amna nachisobna ya do kadngeyan sia no ama naya, amna do kwanasaw am chinatadian o aktokto na as kangay na. 
MAT.21.30	Nangay pa o ama daya do mametmetdeh ori as katovoy na sia do takey. Nachipaoon ya amna kwanasaw am nangay ava.” 
MAT.21.31	Inahes dira ni Jesus, “Sino paro dira do dadwa aya o minparin so ichahoho no ama dawri.” “No matonetoneng ori,” kon da di Jesus. “Vatahen ko dinio,” kwana ni Jesus dira, “ta manmanma sa o maparo saya a mangolekta no Roma kano malalapos sa mavavakes kaninio a makasdep do paypatolan no Dios. 
MAT.21.32	Ta nananawo si Juan Bawtista a mapapanmo nia dinio o mayanong nio a parinyen am nanganohed kamoava asna sira o mangolekta no Roma kano makagatogatos siraya o nanganohed as nanehseh no gatogatos da, as aran do nakavoya nio sia o nakapanehseh da am alit no kadi nio manganohdan.
MAT.21.33	“Adngeyen nio pa o asa aya ka parabola,” kwana ni Jesus dira. “Mian o asa ka tawo a mian so takey a nimohan na so obas. Niahad na ya so maypadivon as kapamarin na so vahay a paytayayanan kano pamarinyan da so vino. Kwanasaw am pinawnong na ya do kadwan a tawo do kangay na do biahe. 
MAT.21.34	Do tiempo dana no kavolas so asi no obas naya am napaytovoy so pachirawatan na sa a omahap sia o natay na. 
MAT.21.35	Amna sira o tinovoy na saya am nikomitan da sa no mangonong do takey awri. Tinaho da o asa, nidiman da o asa as nibatoan da o asa. 
MAT.21.36	Napaytovoy pa o taytakey aya so aroaro a pachirawatan na am alit no pinarin da dira. 
MAT.21.37	Kwanasaw am vinata no taytakey aya, ‘Tovoyen ko sawen o anak koaya a omahap so natay kori, ta iya anti o aniven da naw as kanitan dava ya.’ 
