MRK.1.1	Eiwa God da Mai, Yesu Keriso,
MRK.14.65	Edo embo neneimi tuturo edo Yesu kosiwa edo gongomi dombu doiedo ipa umbutu edo doreite tedogositera, “Embo aimi imo doreiri? Imo awa God da peroveta, awatedo nakare teyo goré!” Edo yai awa sima ari embobo daedo ipa do bereya edo Yesu dedo esitera.
MRK.14.66	Edo iji ainde Peter matawa kambeda mando arapada isiri pirisida gisijiari bajina ainda buro gagara da (1) gundo daginegain esisina. 
MRK.14.67	Edo buro gagara ami Peter anumbedo ni aveite isiri gido jisini eite sisina,
MRK.14.67	“Imo awa daedo Yesu, Nasaret embo, ainda otawo.”
MRK.14.68	Ata Peter imo akuta toreite sisina, “Na embo awa gae! Imo ge ro tesi awa na gain darena.” Ango tedo imo dodo torari beda mambiri, kokora aoro sisina.
MRK.14.69	Edo buro gagarami tenda gundo Peter gido, tuturo edo embobo demonda pepetegari itera awamanede sisina, “Embo eiwa embo ounda otawo da (1)!”
MRK.14.70	Ata Peter mi imo akuta tekago torisina.
MRK.14.70	Ainda amboda borere ae bé embobo demonda pepetegari itera ami Peter de sitera, “Nanekare gebé tera awa, imo awa embo ounda otawo da (1), aindabé imo awa daedo Galili embo. Ito ge bepu awa Galili embo dá ango teta.”
MRK.14.71	Ata Peter mi tuturo edo sinigambari ge okain sisina, “Na ge pitawa tana awa God mi begá aina. Embo tewa awa na da ji gae!”
MRK.14.72	Edo kokora tekago aoro tesiri gido Peter mi Yesu da ge awa kotembesisina, “Kokora aoro tote (2) tae gisida, iji tamonde (3) imo akuta toreite, ‘Embo awa na gae,’ tata.” Edo iji angode Peter ge awa kotembedo, imo dotedo wowoteite ji sisina.
MRK.15.1	Edo sipo atesiri boraebé pirisi babain ae orobeda kopuru mamai de edo Aodarida atopapasigari de Sanhedrin berari demi nongo edo Yesu de bekumba ge bajinabé tari awa sirigesitera. Ango edo awamanemi buro embobode tetero Yesu awa asimi ipada bundedo kundo maundo Pilate
MRK.15.2	Awatedo, Pilate mi Yesu de tedogari pipisisina, “Imo Judah embomainda Daotari ri ta?”
MRK.15.2	Edo Yesu mi mina sisina, “Imo ro teta awara.”
MRK.15.3	Ango tesiri pirisi babain mi Yesu de bekumba ge jiwae pitawami sitera Pilate da yai, ata Yesu ge mina da ji tae. 
MRK.15.4	Edo Pilate tekago sisina, “Imo embobomi ito buriya babain karigetera awa goteta. Imo akuta toreite ge mina teyo!”
MRK.15.5	Ata tekago Yesu ge mina tae. Tepo dapisina. Awa gido Pilate korebé esisina.
MRK.15.6	Edo God da Darutegari Bondo iji ainde, duberi da da Pilate mi Judah embomainda jipapa ambo ambo edo buriya ari embo da (1) awa bundari oroda udegeuri idegedo maundo esisina. 
MRK.15.7	Iji angode, embo dao Barabbas awa bundari oroda embo neneinde daedo pipisitera, aindabé, awamanemi Rome da gisijiari ajiregedo duduno eite embo nenei deoro bebetegedo esitera, awatedo. 
MRK.15.8	Edo embo jisi dami aorogatedo tuturo edo benunu sitera, “Gisijiari, nakare bundari oro dá edo eta ango embo da (1) udegato idegedo mambarate jipapa era!”
MRK.15.9+MRK.15.10	Ata, Pilate goteira awa, pirisi babain mi Yesu da buro dave awa gido embo jiwaebé awa ambo ambo edo era, awatedo, jisi okain eite Pilate da yai Yesu pipisitera. Awatedo, awamane ge tae gisida, Pilate mi embomai doregesitera ainde tedogosisina, “Imomane Judah embomainda Daotari awa udegano mambarate jipapa evita?”
MRK.15.11	Ata pirisi babain mi embomai doregesitera awamane ao gaietero Pilate de sitera, “Ango ae! Nakare inemi Barabbas udegato idegedo mambarate jipapa era. Ata embo Yesu teta awa jipapa ae!”
MRK.15.12	Ango edo Pilate mi awamanede tekago sisina, “Edo nanemi Barabbas udegano mambari awa Judah embomainda Daotari tedo ewa, ainde nongo anate jipapa evi?”
MRK.15.13	Ango tesiri awamanemi tekago aorogatedo sitera, “Awa oregada
MRK.15.14	Edo ango tetero Pilate mi awamanede sisina, “Ro awa embo? Embo ami buriya bajina da (1) ro esiri?” Ata awamanemi aoro ikanade bé gatetero yai gagapu eiri sitera, “Awa oregada de!” 
MRK.15.15	Edo Pilate mi embomai doregesitera awamane dubodave orote Barabbas bundari oroda awa awamanede udegesiri idegedo maunsisina. Edo Pilate mi tesiri ainda itoro embobomi Yesu budo vedetero kundo piesiri awamanemi oregada daro betarate kundo maunsitera.
MRK.15.16	Ango edo Pilate da itoro embobomi Yesu kundo maundo Rome da gisijiarida mando bajina (ainda dao nei awa Paraetorium) ainda totoritera. Edo awamaneda itoro embobo nenei (ajijigari 600 ango) awa berari tetero gundo doregesitera. 
MRK.15.17	Edo awamanemi Yesu tedojirain ombari ribori tokona
MRK.15.18	Ango edo awamanemi tuturo edo Yesu de iwata pitawa edo tedojijireite sitera, “Oro! Oro! Imo awa Judah embomainda Daotari!” 
MRK.15.19	Edo awamanemi siri budo Yesu kopuruda dedo tamoda kosiwa edo, embo ainda doda baongo dadari edo tumondebain eite iwata pitawa ango tekago tekago edo esitera. 
MRK.15.20	Ango edo Yesu tedojirido itae edo ombari tokona ribori ainde pietero opusina awa jido teugedo embo ainda ombari topobé awa pietero opusina. Edo awamanemi embo awa gisijido oregada dain kundo idegedo maunsitera.
MRK.15.21	Ango edo awamane idegedo mauntero embo dao Simon awa Jerusalem torain tedo begatada ango gundo daginegain esisina. Edo itoro embobomi Yesu da orega amboka arate embo awa jijine sitera. Simon da nasi topo awa Sairin. Edo embo awa Alexander ae Rufus deda mamo. 
MRK.15.22	Edo itoro embobo Yesu kundo visido Gologata pamoda maunsitera. Gologata da moka awa ‘Kopuru Akou da Yai.’ 
MRK.15.23	Ainda amboda awamanemi waini ae siwo dao myrrh de baige ari Yesu de pipisitera, ata inainyae doturisina. 
MRK.15.24	Ango edo itoro embobomi Yesu oregada dedo jiero erido petesiri ainda ombarijiari awa embo aimi baini ango tetenya esitera.
MRK.15.25	Sipo tega 9:00 ango eiri awamanemi Yesu oregada doritera. 
MRK.15.26	Edo bekumba ge kariwa engo gaiedo Yesu da kopuru enoda detero takimbesisina:
MRK.15.26	JUDAH EMBOMAINDA DAOTARI.
MRK.15.27	Iji dá ainde Yesu oregada doritera, ae beono embo tote (2)de, embo da (1) awa Yesu da ipabeda edo nei awa ainda ipa andada. 
MRK.15.28	Ango esiri God da geda gaiari awa bé esisina, “Edo jivere embobode daedo embo awa ajigetera.”
MRK.15.29	Edo embomaimi begatada gundo daginegeteite pangedo Yesu gido kopuru govegove edo ge beyae embo ainde tedo esitera, “Aan aan! Inemi Judah embomainda oro kotopu bajina dedo sitedo tekago deguta tamonde (3)da doda ain teteta. 
MRK.15.30	Imo goroba gido oregada edo ito wasiri akuta toregedo dodo wotedo gumbu, nakare goré!”
MRK.15.31	Edo dá ango pirisi babain ae Aodarida atopapasigari demi doregedo awamane akuta tedojirari ge mina tara esitera, “Imo embo nenei toregedo esira, ata ainda wasiri akuta toregari tao ae!
MRK.15.32	Edo embo awa bé Keriso, Israel embomainda Daotari, gido awa borokobé orega dodo wotedo gumbari kaen jisimi gido embo awa gebé oré.” Edo beono embo tote (2) oregadami bekumba ge dá ango ainde sitera.
MRK.15.33	Edo iji visido toropu eiri butu berari awa muyae wotedo apuregesisina. Ango edo isiri gundo iji wareregedo 3:00 turo bureiri parara tenda datembesisina. 
MRK.15.34	Edo iji tega 3:00 eiri Yesu aoro ikanade bé gatedo sisina, “Eloi, Eloi, lama sabachthani?” (ainda moka awa, “God nato, God nato, ro embo na dodo taigetesi?”).
MRK.15.35	Edo embomai nenei demonda petedo itero jijirisina ami Yesu da ge yavi ingitera ata nongo siri awa gain daritera. Edo awamanemi sitera, “Ei giu! Embo owa peroveta Elijah mi gundo kondade arate dao sira.”
MRK.15.36	Ango edo embo da (1) tumundo maundo waini jigaganide awa gongo jibigi keredo ami tatapu edo unguta riborida kanjigesisina. Edo kundo maundo Yesu mi indarate ainda beda pipiteite sisina, “Dowo! Kaen isite gane! Elijah gundo embo awa oregada kundo piari wotainita.”
MRK.15.37	Edo Yesu aoro ikanade gatedo ainda amboda imo besisina.
MRK.15.38	Edo iji angode, gongo puruta bajina, bereya edo ribori, Judah embomainda oro kotopu bajina doda awa, toropubéda keredo kupo eve kupo eve esisina,
MRK.15.39	Edo itoroda gisijiari
MRK.15.40	Edo yai ainda awa eutumai daedo yai aikeda petedo jijimbeteite itera. Awamaneda doda awa Mary, nasi Magadala eutu ae Mary nei, embo saka James ae Joses deda ai de edo Salome de. 
MRK.15.41	Eutumai eiwamanemi Yesu sima edo esitera, yai Galili ainda. Edo eutumai nenei jiwae yai ainda, awamane daedo Yesu de gundo Jerusalem nasida vivisitera.
MRK.15.42	Aindabé, awamaneda Oena Apari Deguta turo 6:00 awa tuturo aina, iji awa Judah embomainda Siya baiya Ari Deguta. Edo turo jijireiri yai damodamo esiri, 
MRK.15.43	Joseph awa nasi Eremateia embo, Sanhedrin da badari nei, itadaita itae do goroba edo Pilate da yai maundo Yesu da tamo kundo goiain tedogosisina. Edo Joseph daedo imo akuta iji nonde God da gisijiari butuda gumaini awa gain sima edo esisina. 
MRK.15.44	Iji ainde Pilate mi Yesu da betari bino ingisina awa, imo korebé esisina. Edo Pilate mi itoroda gisijiari dao tesiri gumbiri tedogosisina, “Embo awa bé betesirita?” awa tari gain. 
MRK.15.45	Ango edo itoroda gisijiarimi Pilate de sisina, “Een, gebé! Embo awa bé betesira!” Ango tesiri gido Pilate mi Joseph da yai awara ari pipisisina, Yesu da tamo kundo goiarate. 
MRK.15.46	Awatedo, Joseph mi gongo virarae davebé awa oriedo Yesu da tamo oregada awa teugedo piesiri wotesiri doisina. Ango edo ainda tamo awa kundo maundo banga to matu siya ari ainda doda torido pipisisina. Edo banga bajina da (1) arapada awa apepegesiri maundo to be awa apuregesisina. 
MRK.15.47	Edo Mary, nasi Magadala eutu, ae Mary, Joses da ai, demi yai nonda Yesu da tamo piain kundo maunteiri awa jijimbesitera.
MRK.16.1	Ango edo Oena Apari Deguta itae esiri ainda turobé de Mary, nasi Magadala eutu de Mary nei, James da ai de edo Salome de maundo ni igi muno davede oriesitera, kundo maundo Yesu da tamoda gutain. 
MRK.16.2	Edo sipo ataebé de Deguta Bajina pura tuturoda awamane banga to beda mauntero iji vivisisina. 
MRK.16.3	Awamane maunteite begata toropuda ge akuta mina tara esitera, “Embo aimi kaena kondade edo banga apepegaro demonda mambari to be arapa aini?”
MRK.16.4	Aindabé, banga awa duga badaribé, awatedo, ge ango sitera. Ata awamane maundo jisi piedo banga awa matu apepegari demonda isiri gositera. 
MRK.16.5	Ango edo awamane maundo banga toda totoreite maisinga da (1) gositera. Embo awa ombari ribori pararade umbugo ipabeda anumbedo isiri gido itadaita esitera.
MRK.16.6	Ata maisinga ami awamanede sisina, “Itadaita eove! Na gotena, imomane Yesu Nasaret Embo oregada dorara awa gain kakowa ewa. Embo awa matu God mi jiri erira. Einda itae! Ainda tamo yai einda pipitara. Giu!
MRK.16.7	Awarata, overegedo mambuwo! Ainda ambodani ae Peter de bino awa tawo goré, ‘Yesu yai Galili ainda gisi maunteira. Awatedo, maundo embo awa ainda tambave, ango imondemane matu tesiri gotawa.’”
MRK.16.8	Edo ge ango tesiri ingido eutumai awa banga to dodo idegedo tuputera, wasiri nongo nongo esiri gain dareite, do periperi eiri. Edo awamane adu esitera, awatedo, embo neneinde ge ro maisingami tesiri gositera awa da ji tae.
MRK.16.9	Ango edo Yesu betedo tekago erorisina, ainda amboda, Deguta Bajina pura tuturoda sipode, imo Mary, nasi Magadala eutuda yaida gisi idegesisina. Eutu awa iji gisi Yesu mi bineimane ajigari 7 ainda yai ondesiri idegesitera. 
MRK.16.10	Ami Yesu gido maundo ainda ambodani ae embo eutu neneinde ainda betari awa embo mamato eite ji site itero bino awa karigesisina. 
MRK.16.11	Edo iji ainde eutu ami Yesu wasiride jisimi gira ango sisina. Ata awamane gebé ae esitera.
MRK.16.12	Edo amboda Yesu ainda ambodani tote (2)da yai idegesisina, awa kariwa eve. Embo tote (2) awa nasi bajinada edo idegedo maunteite begata toropuda Yesu taputera. 
MRK.16.13	Ango edo embo tote (2) tekago egenembedo nasi bajinada maunsitera. Edo Yesu da ambodani de embo eutu neneinde ge awa tetero gositera, ata awamane daedo gebé ae esitera.
MRK.16.14	Edo amboda, ambodani 11 akuta doregedo indari indero Yesu awamaneda yai idegedo ge okain sisina, “Embo neneimi na gido imondemane tetero gewa awa, God mi na betarida jiri erena. Ata itomane gebé ari nato yai piae edo imomane do okainde! Awatedo, awamane gebé ae etewa.”
MRK.16.15	Ango edo awamanede sisina, “Mambuwo! Maundo butu arapuda nasida torido idegedo eite nato bino dave awa karigawo embo berari goré. 
MRK.16.16	Edo embo aimi ainda gebé ari nato yai piedo bapataito ari baina, embo awa God mi toregedo ainda jimbo beyaeda rirowa piari awa dowaina. Ata embo aimi ainda gebé ari nato yai piae aina, embo ainda jimbo beyaeda rirowa awa God mi embo ainde piaina. 
MRK.16.17	Edo kariwa engogo awa embo na gebé edo era awamaneda yai God mi piaina: bineimane nato daoda ondaro idegara; ge teka yai neneinda ami tara; 
MRK.16.18	Awamanemi jimbago kaede kumbara edo daedo un kaede indara, ata da ji nei ro ainyae; edo karu embomai ipa tamonda piaro kaviyegara.”
MRK.16.19	Awatedo, Badari mi ainda ambodanide ge tedo itae edo, ainda amboda, God mi imo jiri utuda visido maundo God da ipabeda anumbesisina. 
MRK.16.20	Edo awamane idegedo maundo butu umbugo berarida embomainde bino awa karigedo esitera. Edo Badari mi kondade euri kariwa awamaneda yai idegeuri jisimi gido awa God da ge gebé edo esitera. Awara.
LUK.1.1	Arie Theophilus, embo jiwaebé awa edo gido wasiri ro matu natokare yaida idegesisina awa ge jirari sirigesitera. 
LUK.1.2	Awamane wasiri awa gaguritera dá ango embomai tuturoda awa jisimi gido edo namondekare gemi karigetero gositera. 
LUK.1.3	Awatedo, na kotembetena, dave awa nanemi wasiri ro berarida tuturoda udugedo gositena awa daedo sirigedo ito yai gaiano gatate, dariga nato. 
LUK.1.4	Edo ove gagurena emi imo kondade ari ro berari matu imo atopapositera awa gebé rita, pitawari awa gata.
LUK.1.5	Edo iji angode Herod
LUK.1.6	Edo awamane tote (2) awa wasiri dambu darari God da jisida. Edo Badari
LUK.1.7	Ata Elizabeth awa eutu ero edo daedo eutu de embo de begogo berari mai bari tao ae, awatedo, awamane mamai itae.
LUK.1.8	Edo iji angode pirisi maneda sirigari Abijah da embobo God da yai rorou piari iji gumbiri, Zacharias daedo Judah embomainda oro kotopu bajinada
LUK.1.9	Ango edo awamanemi pirisi mane ewowoda ganuma jipedo dodegedo garida tari isira awa ambo ambo esitera.
LUK.1.10	Edo iji angode embomai jiwaebé arapada doregedo benunu tero rorae muno davede ainda dungari ora gupusina.
LUK.1.11	Ango edo Badari da anela
LUK.1.12	Edo Zacharias anela gido do buriya eiri ainda yai adu ari gupusina. 
LUK.1.13	Ata anelami ainde sisina, “Zacharias, adu eote! God benunu ito awa matu ingira. Awatedo, aro ito Elizabeth mai jianda baina, edo ainda dao John tata. 
LUK.1.14+LUK.1.15	Mai awawa embo bajina aina, Badari da jisida. Awatedo, mai ami ito yai yawa ari edo dubodave ari piaina. Daedo, iji angode mai awa engari gido, embo jiwaebé yawa ara. Edo mai awa waini
LUK.1.16	Edo mai ami Israel mamai jiwae awa tari awamaneda God, Badari da yai overegedo tekago kera ara. 
LUK.1.17	Edo mai awa Badari gumbae gisida peroveta
LUK.1.18	Edo Zacharias mi anela de ge sisina, “Edo ango gumaina awa nongo edo gani? Na awa embo begogo edo aro natoda duberi daedo awa jiwaebé.”
LUK.1.19	Ango tesiri anelami ge mina sisina, “Na awa Gabriel. Na God da dombuda petedo isima ena. Ami na ito yai piesiri bino dave eiwa kundo gumena tano gatate. 
LUK.1.20	Awarata giyo! Nato tarigari pietena awa bé aina, iji dave ainde. Ata imo ge nato awa gebé ae eteta. Awa embo, ito be engiregetena. Ge tainyae, isirato mai bari iji gumbari tekago ge tata.”
LUK.1.21	Iji angode embomai iji borerebé sima eite kotembari jiwaebé esitera, “Ro awa embo Zacharias oro kotopu bajina yai kotopu doda iji riboribé isiri?” 
LUK.1.22	Edo imo idegesisina, iji ainde, awamanede ge tari tao ae. Edo tepo ipami iwata kawata esisina. Ango esiri awamanemi, “Embo awa jisi viviro yai kotopu doda gido ge tae eira,” ango kotembesitera. 
LUK.1.23	Ango edo Zacharias da rorou piari buro beao edo imo Jerusalem dodo ainda mandoda maunsisina. 
LUK.1.24	Ainda amboda, ainda aro Elizabeth tuturo edo watou jijirisina. Ango edo ainda mando doda kariga ipa da (5) sima esisina. 
LUK.1.25	Ango edo isite ge sisina, “Boroko Badari mi na do edo kondade esiri nato mengari emboda jisida awa itae esira.”
LUK.1.26	Edo Elizabeth da watou awa kariga 6 ainda doda God mi anela Gabriel piesiri gupusina, nasi Nasaret yai Galili doda. 
LUK.1.27	Edo Gabriel bino kundo gagara dao Mary da yai gupusina. Gagara awa Joseph mi jimbarate geritera. Edo Joseph awa Daotari David da orobe. 
LUK.1.28	Ango edo anela awa Mary da yai gundo sisina, “Ategetena, Badari imo gido dubodave eira! Ami imonde daedo isira, edo ainda ao ari bajinabé eutumai berari daginegedo ito yai piesira.”
LUK.1.29	Edo ainda bino kundo gundo tesiri ingido do buriya esiri jiro buro jiwae esisina, “Nongo nongo edo ategari engo namonde pipiteiri?” 
LUK.1.30	Ata anelami sisina, “Mary, God ito yai dubodave eira, awatedo, adu eote. 
LUK.1.31	Edo imo watou jirido mai engata. Ainda dao Yesu teyo! 
LUK.1.32	Edo mai eiwawa embo bajina aina. Edo God Ikanebé Ikane ainda Mai tara. Badari God mi ainda apiye David da daotari anumba ainde piaina, 
LUK.1.33	edo ami Jacob da orobe natopo gisijiaina. Ainda gisijiarida beao ari itae!”
LUK.1.34	Ango tesiri Mary mi ge mina anela de sisina, “Amo nongo nongo anate tesi? Na gagara tepo, iu itae.”
LUK.1.35	Edo anelami ainde sisina, “Asisi Kotopu ito yai gumaina, edo God Ikanebé Ikaneda gorobami imo datembedo apuregaina. Awa embo, daedo, mai bata awa kotopu, edo God da Mai tara. 
LUK.1.36	Edo giyo! Ito mato Elizabeth begogo, mai bari tao. Eutu awa ero teora, ata boroko ainda watou awa kariga 6 jirira. 
LUK.1.37	God da yai buro berari awa ari tao, awatedo, ge berari awa bé aina.”
LUK.1.38	Edo Mary mi ainde sisina, “Awara, na Badari da buro ain jipapa ena. Awatedo, ge ro teteta awa doyo nato yai gumbare.” Ango tesiri anela dodo maunsisina.
LUK.1.39	Iji angode Mary siya edo burigibé yai Judea da nasi peji tetembada jiari ainda maunsisina. 
LUK.1.40	Edo eutu awa maundo Zacharias da mandoda torido Elizabeth ategesisina. 
LUK.1.41	Iji ainde Elizabeth Mary da ategari ingiri mai saka ainda osi doda yawa eite gubigabi esisina. Edo Asisi Kotopu mi Elizabeth sirido gisijijisina. 
LUK.1.42	Ango esiri imo aoro ikanabé gatedo sisina, “God da ao ari bajinabé eutumai berari daginegedo ito yai piesira. Edo mai engata ainda yai daedo ao ari bajinabé piaina. 
LUK.1.43+LUK.1.44	Edo iji boroko einde na ito ategari dengoromi ingeno mai saka nato osi doda yawa eite gubigabi esira. Ata na eutu dave arago ro ain imo Badari natoda ai ami nato yai gumbesi? 
