GEN.1.1	Alguses lõi Jumal taevad ja maa.
MAT.8.13	Ja Jeesus ütles sõjapealikule: „Mine! Nagu sa oled uskunud, nõnda sündigu sulle!” Ja tema poiss sai terveks selsamal tunnil.
MAT.8.14	Ja Jeesus tuli Peetruse kotta ja nägi tema ämma olevat maas palavikus.
MAT.8.15	Siis Jeesus võttis ta käest kinni, ja palavik lahkus temast. Ja ämm tõusis üles ja ümmardas teda.
MAT.8.16	Aga õhtu tulles toodi Tema juure palju seestunuid; ja Ta ajas vaimud välja sõnaga ja tegi haiged terveks,
MAT.8.17	et läheks täide, mis on üteldud prohvet Jesaja kaudu: „Tema võttis Enese peale meie haigused ja kandis meie tõved!”
MAT.8.19	Ja Tema juure tuli üks kirjatundja ja ütles Temale: „Õpetaja, ma tahan Sind järgida, kuhu Sa iganes lähed!”
MAT.8.20	Siis Jeesus ütles temale: „Rebastel on augud ja taeva lindudel on pesad, kuid Inimese Pojal ei ole, kuhu Ta Oma pea võiks panna!”
MAT.8.21	Ka keegi teine jüngritest ütles Temale: „Issand, luba mind enne minna ja matta oma isa.
MAT.8.22	Aga Jeesus ütles temale: „Järgi mind ja lase surnuid oma surnud matta!”
MAT.8.23	Ja kui Tema astus paati, läksid Ta jüngrid Tema järele.
MAT.8.24	Ja vaata, suur maru tõusis merel, nõnda et paat lainetega kaeti. Aga Tema magas.
MAT.8.25	Siis jüngrid tulid Tema juure, äratasid Ta üles ja ütlesid: „Issand aita! Me hukkume!”
MAT.8.26	Tema ütles neile: „Miks te olete arad, te nõdrausulised?” Siis Ta tõusis üles ja sõitles tuult ja merd. ja meri jäi täiesti vaikseks.
MAT.8.27	Aga inimesed imestasid ja ütlesid: „Mis Mees See küll on, et isegi tuuled ja meri kuulevad Tema sõna!”
MAT.8.29	Ja vaata, nemad kisendasid ning ütlesid: „Mis on Sul meiega tegemist, Sa Jumala Poeg? Oled Sa siia tulnud meid enneaegu vaevama?”
MAT.8.30	Aga kaugel neist oli suur seakari söömas.
MAT.8.31	Ja kurjad vaimud palusid Teda ning ütlesid: „Kui Sa meid välja ajad, siis läheta meid seakarja sisse!”
MAT.8.32	Ja Ta ütles neile: „Minge!” Siis nad läksid sigade sisse. Ja vaata, kogu kari kukutas enese ülepeakaela kaldalt merre ja suri vette. 33. Aga karjased põgenesid ja läksid linna ning andsid teada kõik ja mis oli sündinud seestunutega.
MAT.8.34	Ja vaata, kogu linn läks välja Jeesusele vastu. Ja kui nad Teda nägid, palusid nad Teda, et Ta nende rajadest ära läheks.
MAT.9.1	Ja Ta astus paati ja tuli teisele poole järve ning saabus Oma linna.
MAT.9.2	Ja vaata, nad kandsid Tema juure halvatu, kes oli voodis maas. Kui Jeesus nende usku nägi, ütles Ta halvatule: „Ole julge, mu poeg, sinu patud antakse sulle andeks!”
MAT.9.3	Ja vaata, mõned kirjatundjaist ütlesid isekeskis: „Seesinane pilkab Jumalat.”
MAT.9.4	Aga kui Jeesus nende mõtteid nägi, ütles Ta: „Mispärast te mõtlete kurja oma südames?
MAT.9.5	Sest mis on kergem ütelda: Su patud antakse sulle andeks, või ütelda: Tõuse üles ja kõnni?
MAT.9.6	Aga et te teaksite, et Inimese Pojal on meelevald maa peal anda patud andeks, siis Ta ütleb halvatule: Tõuse üles, võta oma voodi ja mine koju!”
MAT.9.7	Ja see tõusis üles ja läks koju.
MAT.9.8	Aga kui rahvahulgad seda nägid, panid nad seda imeks ja andsid Jumalale au, Kes annab inimestele niisuguse meelevalla.
MAT.9.9	Ja sealt mööda minnes nägi Jeesus meest, Matteus nimi, tolli juures istuvat, ja ütles temale: „Järgi mind!” Ja see tõusis ja järgis Teda.
MAT.9.10	Ja kui Ta lauas istus tema kojas, vaata, siis tuli palju tölnereid ja patuseid ning istusid lauas ühes Jeesuse ja Ta jüngritega.
MAT.9.11	Seda nähes ütlesid variserid Ta jüngritele: „Mispärast teie Õpetaja sööb ühes tölnerite ja patustega?”
MAT.9.12	Aga kui Tema seda kuulis, ütles Ta: „Arsti ei vaja terved, vaid haiged.
MAT.9.13	Ent minge ja õppige, mis see on: Ma tahan halastust ja mitte ohvrit. Sest Ma pole tulnud kutsuma õigeid, vaid patuseid!”
MAT.9.14	Siis tulid Johannese jüngrid Tema juure ja küsisid: „Mispärast meie ja variserid paastume, aga Sinu jüngrid ei paastu?”
MAT.9.15	Jeesus ütles neile: „Ega peiupoisid või olla kurvad, niikaua kui peig on nende juures? Ent päevad tulevad, mil peig neilt võetakse, ja siis nad paastuvad.
MAT.9.16	Ūkski ei pane vanutamata riidetükki paigaks vanale kuuele; sest niisugune augutäidis rebeneb küljest lahti ja lõhe läheb pahemaks. 17. Ei valata ka mitte värsket viina vanusse nahklähkreisse; muidu lähkrid lõhkevad ja viin voolab maha ning lähkrid saavad hukka; vaid värske viin valatakse uutesse lähkritesse, siis säilivad mõlemad.”
MAT.9.19	Ja Jeesus tõusis ja läks ta järel, samuti Ta jüngrid.
MAT.9.20	Ja vaata, naine, kes oli kaksteistkümmend aastat veritõbe põdenud, tuli Tema selja taha ja puudutas Tema kuue palistust.
MAT.9.21	Sest ta ütles iseeneses: „Saaksin Ma vaid puudutada Tema kuube, siis ma pääseksin!”
MAT.9.22	Aga Jeesus pöördus, nägi teda ja ütles: „Ole julge, tütar, sinu usk on sind päästnud!” Ja naine sai terveks selsamal tunnil.
MAT.9.23	Ja kui Jeesus ülema kotta jõudis ja nägi vilepuhujaid ja käratsevat rahvast,
MAT.9.24	ütles Ta: „Minge ära, sest tütarlaps pole surnud, vaid magab!” Ja nad naersid Teda.
MAT.9.25	Aga kui rahvahulk oli välja aetud, läks Ta sisse ja võttis tema käest kinni, ja tütarlaps tõusis üles.
MAT.9.26	Ja sõnum sellest levis üle kogu selle maa.
MAT.9.27	Kui Jeesus sealt edasi läks, järgis Teda kaks pimedat, karjudes ning üteldes: „Taaveti Poeg, halasta meie peale!”
MAT.9.28	Kui Ta tuppa astus, tulid need pimedad Tema juure, ja Jeesus ütles neile: „Kas te usute, et Ma võin seda teha?” Nemad ütlesid temale: „Jah, Issand!”
MAT.9.29	Siis Ta puudutas nende silmi ning ütles: „Teile sündigu teie usku mööda!”
MAT.9.30	Ja nende silmad avanesid. Ja Jeesus hoiatas neid kõvasti ning ütles: „Katsuge, et seda keegi ei saa teada!”
MAT.9.31	Aga nemad läksid välja ja tegid Tema kuulsaks kogu sellel maal.
MAT.9.33	Ja kui kuri vaim oli välja aetud, rääkis keeletu. Ja rahvas imestas ja ütles: „Seda pole veel iialgi nähtud Iisraelis!”
MAT.9.34	Kuid variserid ütlesid: „Kurjade vaimude ülema abil ajab Ta kurje vaime välja.”
MAT.9.35	Ja Jeesus käis läbi kõik linnad ja külad, õpetas nende kogudusekodades ja kuulutas Jumala riigi Evangeeliumi, parandas kõike tõbe ja kõike viga.
MAT.9.37	Siis Ta ütles Oma jüngritele: „Lõikust on palju, aga vähe töötegijaid.
MAT.9.38	Paluge siis lõikuse Issandat, et Ta läkitaks töötegijaid välja Oma lõikusele.”
MAT.10.1	Ja Ta kutsus Oma kaksteistkümmend jüngrit enese juure ja andis meile meelevalla rüvedate vaimude üle, neid välja ajada ja parandada kõike tõbe ja kõike viga.
MAT.10.2	Nende kaheteistkümne apostli nimed on need: esimene Siimon, nimetatud Peetruseks, ja Andreas, tema vend; Jakoobus, Sebedeuse poeg, ja Johannes, tema vend;
MAT.10.3	Filippus ja Bartolomeus, Toomas ja Matteus, tölner; Jakoobus, Alfeuse poeg, ja Taddeus;
MAT.10.4	Siimon Kaanast ja Juudas Iskariot, kes Tema ka ära andis.
MAT.10.5	Need kaksteistkümmend läkitas Jeesus, käskis neid ning ütles: „Ärge minge paganate teele ja ärge astuge samaarlaste linna,
MAT.10.6	vaid minge ennemini Iisraeli koja kadunud lammaste juure.
MAT.10.7	Ja minnes kuulutage ning ütelge: Taevariik on lähedal!
MAT.10.8	Tehke haigeid terveks, äratage surnuid üles, puhastage pidalitõbiseid, ajage välja kurje vaime. Muidu olete saanud, muidu andke!
MAT.10.9	Ärge varuge kulda ega hõbedat ega vaskraha oma vöö vahele,
MAT.10.10	ei pauna teekonnale ega kaht kuube ega jalatseid ega saua; sest töötegija on oma toiduse väärt.
MAT.10.11	Aga kui te kuhugi linna või külasse astute, siis kuulake, kes seal on vääriline, ja sinna jääge, seni kui sealt ära lähete.
MAT.10.12	Aga sisse astudes majasse teretage seda.
MAT.10.13	Ja kui see maja on selle vääriline, siis tulgu teie rahu ta peale; aga kui see ei ole vääriline, pöördugu teie rahu tagasi teie juure.
MAT.10.14	Ja kes iganes teid vastu ei võta ega kuule teie sõnu, sellest kojast või sellest linnast minge välja ja puistake tolm oma jalgadelt.
MAT.10.15	Tõesti Mina ütlen teile, Soodoma- ja Gomorramaal on kohtupäeval hõlpsam põli kui niisugusel linnal!
MAT.10.16	Vaata, Mina läkitan teid nagu lambaid huntide keskele! Olge siis arukad nagu maod ja vagurad nagu tuvid!
MAT.10.17	Aga hoiduge inimestest; sest nad annavad teid ära kohtute kätte ja piitsutavad teid kogudusekodades.
MAT.10.18	Ja teid viiakse minu pärast ka maavalitsejate ja kuningate ette, neile ja paganaile tunnistuseks.
MAT.10.19	Ja kui nad teid annavad kohtu kätte, siis ärge muretsege, kuidas või mida rääkida, sest teile antakse sel tunnil see, mida teil tuleb rääkida.
MAT.10.20	Sest teie ei ole need, kes kõnelevad, vaid see on teie Isa Vaim, Kes kõneleb teie sees.
MAT.10.21	Siis vend annab venna surma ja isa oma lapse, ja lapsed hakkavad vastu vanemaile ja tapavad nad.
MAT.10.22	Ja te saate kõikide vihaalusteks Minu nime pärast; aga kes jääb püsima otsani, see päästetakse.
MAT.10.23	Aga kui nad teid taga kiusavad ühes linnas, siis põgenege teise. Sest tõesti Ma ütlen teile, te ei jõua Iisraeli linnu õpetades läbi käia, enne kui Inimese Poeg tuleb!
MAT.10.24	Jünger ei ole ülem oma õpetajast ega ori ülem oma isandast.
MAT.10.25	Jünger olgu rahul sellega, et tema käsi käib nagu ta õpetajal ja orjal nagu ta isandal. Kui nad pereisandat on hüüdnud Peeltsebuliks, kui palju enam tema peret!
MAT.10.26	Ärge siis neid kartke! Sest midagi ei ole peidetud, mis ei tuleks ilmsiks, ja midagi pole salajas, mida ei saada teada.
MAT.10.27	Mis Ma teile ütlen pimedas, seda rääkige valges; ja mida te kuulete kõrva sisse räägitavat, seda kuulutage katustelt.
MAT.10.28	Ja ärge kartke neid, kes ihu tapavad, aga hinge ei või tappa, vaid kartke ennemini Teda, kes hinge ja ihu võib hukutada põrgus.
MAT.10.29	Eks kaks varblast müüda veeringu eest? Ent ükski neist ei lange maha ilma teie Isata.
MAT.10.30	Aga teie juuksekarvadki on kõik ära loetud.
MAT.10.31	Ärge siis kartke; teie olete kallihinnalisemad kui palju varblasi!
MAT.10.32	Igaüks nüüd, kes Mind tunnistab inimeste ees, teda tunnistan Minagi Oma Isa ees, Kes on taevas.
MAT.10.33	Aga kes iganes Mind ära salgab inimeste ees, teda salgan Minagi Oma Isa ees, Kes on taevas!
MAT.10.34	Ärge arvake, et Ma olen tulnud tooma rahu maa peale; Ma ei ole tulnud tooma rahu, vaid mõõka!
MAT.10.35	Sest Ma olen tulnud ajama inimest riidu tema isaga ja tütart tema emaga ja miniat tema ämmaga;
MAT.10.36	ja inimese vaenlasiks saavad ta omad kodakondsed.
MAT.10.37	Kes isa või ema enam armastab kui Mind, see ei ole Mind väärt; ja kes poega või tütart enam armastab kui Mind, see ei ole Mind väärt;
MAT.10.38	ja kes ei võta oma risti enese peale ega järgi Mind, ei ole Mind väärt.
MAT.10.39	Kes oma elu leiab, kaotab selle, ja kes oma elu kaotab Minu pärast, leiab selle.
MAT.10.40	Kes teid vastu võtab, võtab Mind vastu; ja kes Mind vastu võtab, võtab vastu Selle, Kes Mind on läkitanud.
MAT.10.41	Kes prohveti vastu võtab ta prohvetinime tõttu, saab prohveti palga; ja kes õige vastu võtab, õige inimese nime tõttu, see saab õige inimese palga.
MAT.10.42	Ja kes iganes üht neist vähemaist joodab karikatäie külma veega ta jüngri nime tõttu, tõesti Ma ütlen teile, see ei jää ilma oma palgast!”
MAT.11.1	Ja sündis, kui Jeesus oli lõpetanud käskude andmise Oma kaheteistkümnele jüngrile, et Ta läks sealt eemale õpetama ja jutlustama nende linnades.
MAT.11.2	Aga kui Johannes vangihoones olles kuulis Kristuse tegudest, läkitas ta oma jüngrite kaudu
MAT.11.3	Temale ütlema: „Kas oled Sina See, Kes tuleb, või peame teist ootama?”
MAT.11.4	Ja Jeesus vastas ning ütles neile: „Minge ja teatage Johannesele, mida te kuulete ja näete:
MAT.11.5	pimedad saavad nägijaiks ja jalutumad käivad, pidalitõbised tehakse puhtaks ja kurdid kuulevad, ja surnud äratatakse üles ja vaestele kuulutatakse Evangeeliumi,
MAT.11.6	ja õnnis on, kes iganes Minust ei pahandu!”
MAT.11.7	Aga kui need ära läksid, hakkas Jeesus rahvale rääkima Johannesest: „Mida te olete läinud välja kõrbe vaatama? Kas pilliroogu, mida tuul kõigutab?
MAT.11.8	Või mida te olete välja läinud vaatama? Kas inimest, kes on riietatud peente riietega? Vaata, kes kannavad peeni riideid, need on kuningate kodades.
MAT.11.9	Või mida te olete välja läinud vaatama? Kas prohvetit? Tõesti, Ma ütlen teile, et ta on enamgi kui prohvet.
MAT.11.10	Tema on see, kellest on kirjutatud: Vaata, Mina läkitan Sinu palge eele Oma Ingli, kes Sulle tee valmistab Sinu ees!
MAT.11.11	Tõesti, Ma ütlen teile, ei ole naistest sündinute seast tõusnud suuremat kui Ristija Johannes, aga väiksem Taevariigis on suurem temast!
MAT.11.12	Ent Ristija Johannese päevist siiamaani rünnatakse Taevariiki, ja kes seda ründavad, kisuvad ta endile.
MAT.11.13	Ja kõik prohvetid ja käsuõpetus on ennustanud Johanneseni,
MAT.11.14	ja kui te tahate seda tõeks võtta: tema on Eelija, kes pidi tulema.
MAT.11.15	Kellel kõrvad on, see kuulgu!
MAT.11.16	Aga kellega Ma võrdleksin sedasinast sugupõlve? See on laste sarnane, kes turgudel istuvad ja hüüavad teistele
MAT.11.17	ning ütlevad: Me oleme teile vilet ajanud, ja te pole tantsinud; me oleme teile nutulugu laulnud, ja te pole nutnud.
MAT.11.18	Sest Johannes tuli, ei söönud ega joonud; ja nad ütlevad: Temas on kuri vaim!
MAT.11.19	Inimese Poeg tuli, sööb ja joob; ja nad ütlevad: Vaata, see inimene on söödik ja viinajoodik, tölnerite ja patuste sõber! Ometi mõistetakse tarkus õigeks ta tegudest.”
MAT.11.20	Siis Ta hakkas sõitlema neid linnu, kus kõige rohkem oli sündinud Tema vägevaid tegusid, sellepärast et nad ei olnud meelt parandanud:
MAT.11.21	„Häda sulle, Korasin! Häda sulle, Betsaida! Sest kui Tüüroses ja Siidonis oleksid sündinud need vägevad teod, mis on sündinud teie juures, küll nemad ammugi oleksid kotis ja tuhas parandanud meelt.
MAT.11.22	Aga Ma ütlen teile: Tüürosel ja Siidonil on hõlpsam põli kohtupäeval kui teil!
MAT.11.23	Ja sina, Kapernaum, kas sa ei olnud ülendatud taevani? Kuni põrguni sa langed alla! Sest kui Soodomas oleksid sündinud need vägevad teod, mis on sündinud sinus, seisaks see veel tänapäeval!
MAT.11.24	Aga Ma ütlen teile: Soodomamaal on hõlpsam põli kohtupäeval kui sinul!”
MAT.11.25	Sel ajal Jeesus hakkas rääkima ja ütles: „Ma ülistan sind, Isa, taeva ja maa Issand, et Sa selle oled peitnud tarkade ja mõistlike eest ja oled selle ilmutanud väetimaile!
MAT.11.26	Tõesti, Isa, see on nõnda olnud Su meele järele!
MAT.11.27	Kõik on Mu Isa annud Minu kätte, ja ükski muu ei tunne Poega kui ainult Isa, ega ükski tunne Isa kui ainult Poeg ja see, kellele iganes Poeg tahab Seda ilmutada.
MAT.11.28	Tulge Minu juure kõik, kes olete vaevatud ja koormarud, ja Mina annan teile hingamise!
MAT.11.29	Võtke endi peale Minu ike ja õppige Minust, et Mina olen tasane ja südamelt alandlik; ja te leiate hingamise oma hingedele.
MAT.11.30	Sest Minu ike on hea ja Minu koorem on kerge!”
MAT.12.1	Sel ajal läks Jeesus viljast läbi hingamispäeval. Aga Tema jüngritel oli nälg ja nad hakkasid päid katkuma ja sööma.
MAT.12.2	Kui variserid seda nägid, ütlesid nad Temale: „Vaata, Sinu jüngrid teevad, mida ei sünni teha hingamispäeval!”
MAT.12.3	Aga Tema ütles neile: „Eks te ole lugenud, mis Taavet tegi, kui temal ja ta kaaslastel nälg oli,
MAT.12.4	kuidas ta läks Jumala kotta ja nad sõid ära vaateleivad, mida süüa ei olnud luba temal ega ta kaaslastel, vaid ainult preestritel?
MAT.12.5	Või eks te ole käsuõpetusest lugenud, et preestrid rikuvad hingamispäeval pühakojas hingamispäeva ja on ometigi süüta?
MAT.12.6	Kuid Ma ütlen teile, et siin on See, Kes on suurem kui pühakoda!
MAT.12.7	Aga kui te teaksite, mis see on: Ma tahan halastust, aga mitte ohvrit! siis te ei oleks hukka mõistnud süütumaid.
MAT.12.8	Sest Inimese Poeg on hingamispäeva isand!”
MAT.12.9	Ja kui Ta läks sealt eemale, tuli Ta nende kogudusekotta.
MAT.12.10	Ja vaata, seal oli inimene kuivanud käega. Ja nad küsisid Temalt ning ütlesid: „Kas sünnib terveks teha hingamispäeval?” Nad mõtlesid Ta peale kaevata.
MAT.12.11	Aga Tema ütles neile: „Kes on teie seast inimene, kellel on üksainus lammas, ja kui see kukub auku hingamispäeval, et ta temast ei haara kinni ega tõmba teda välja?
MAT.12.12	Kui suur vahe on nüüd inimese ja lamba vahel! Sellepärast sünnib küll teha head hingamispäeval!”
MAT.12.13	Siis Ta ütles sellele inimesele: „Siruta oma käsi!” Ja ta sirutas. Ja see sai jälle terveks otsegu teine.
MAT.12.14	Siis variserid läksid välja ja pidasid nõu Tema vastu, kuidas Teda hukka saata.
MAT.12.15	Aga kui Jeesus seda sai teada, läks Ta sealt ära. Ja paljud järgisid Teda, ja Ta tegi nad kõik terveks;
MAT.12.16	ja Ta hoiatas neid kõvasti, et nad Temast avalikult ei räägiks,
MAT.12.17	et läheks täide, mis on üteldud prohvet Jesaja kaudu:
MAT.12.18	„Vaata, See on Mu Sulane, Kelle Ma olen valinud, Mu armas, kellest Mu hingel on hea meel! Ma panen Oma Vaimu Tema peale ja Ta kuulutab paganaile kohut.
MAT.12.19	Ta ei riidle ega kisenda, ja Ta häält ei kuulda uulitsail.
MAT.12.20	Rudjutud pilliroogu Ta ei murra katki ja suitsvat tahti Ta ei kustuta ära, kuni Ta on õigluse jalule seadnud;
MAT.12.21	ja paganad panevad oma lootuse Tema nime peale!”
MAT.12.22	Siis toodi Tema juure seestunu, kes oli pime ja keeletu. Ja Ta tegi tema terveks, nõnda et keeletu rääkis ja nägi.
MAT.12.23	Ja kõik rahvas hämmastus ning ütles: „Kas see vahest ei ole Taaveti poeg?”
MAT.12.24	Aga kui variserid seda kuulsid, ütlesid nad: „Seesinane ei aja kurje vaime välja muidu kui Peeltsebuli, kurjade vaimude peamehe abil!”
MAT.12.25	Et aga Jeesus nende mõtteid mõistis, ütles Ta neile: „Iga kuningriik, mis on isekeskis riius, hävib; ja ükski linn või koda, mis on isekeskis riius, ei jää püsima.
MAT.12.26	Kui nüüd saatan välja ajab saatana, siis on ta riius iseenesega; kuidas siis võib tema riik püsida?
MAT.12.27	Ja kui Mina Peeltsebuli abil kurje vaime välja ajan, kelle abil ajavad teie pojad need välja? Sellepärast peavad nemad olema teile kohtumõistjaiks.
MAT.12.28	Aga kui Mina Jumala Vaimuga kurjad vaimud välja ajan, siis on juba Jumala Riik teie juure tulnud.
MAT.12.29	Või kuidas võib keegi minna vägeva kotta ja riisuda tema riistu, kui ta enne ei seo seda vägevat? Alles siis ta saab riisuda tema maja.
MAT.12.30	Kes ei ole Minuga, see on Minu vastu; ja kes Minuga ei kogu, see pillab laiali.
MAT.12.31	Seepärast Ma ütlen teile: Iga patt ja jumalapilge antakse inimestele andeks; aga Püha Vaimu pilget ei anta inimestele andeks.
MAT.12.32	Ja kes iganes räägib sõna Inimese Poja vastu, sellele antakse see andeks, aga kes iganes midagi räägib Püha Vaimu vastu, sellele ei anta seda andeks, ei selles maailmas ega tulevases.
MAT.12.33	Kas tunnistage puu heaks ja ta vili heaks, või tunnistage puu halvaks ja ta vili halvaks. Sest puud tuntakse tema viljast.
MAT.12.34	Te rästikute sigitis, kuidas te võite rääkida head, kui te olete kurjad? Sellest, mida süda on täis, sellest räägib suu.
MAT.12.35	Hea inimene toob südame heast tagavarast esile head, ja halb inimene toob halvast tagavarast esile halba.
